,Name,Team,Creativity per fixture adj,Creativity per game adj,Team games,Played,Creativity GW4 adj,Creativity GW3 adj,Creativity GW2 adj,Creativity GW1 adj
79,Matthew Cash,Aston Villa,7.021679308944627,7.021679308944627,3,3,7.9621697734809915,7.929914135262493,5.172954018090396,
80,Gabriel Fernando de Jesus,Man City,6.972532617605619,20.917597852816858,3,1,0.0,0.0,20.917597852816858,
81,James Ward-Prowse,Southampton,6.8341882722126215,6.8341882722126215,4,4,10.736022623026427,0.0,8.995284035894784,7.605446429929273
82,Michail Antonio,West Ham,6.764987801054992,6.764987801054992,4,4,23.347149834852672,1.4406509479993665,0.0,2.2721504213679293
83,Declan Rice,West Ham,6.414354869330983,6.414354869330983,4,4,9.541015220265677,0.0,11.496313638725251,4.620090618333003
84,Wilfried Zaha,Crystal Palace,6.2704783102811295,6.2704783102811295,4,4,2.544627784882248,0.0,22.53728545624227,0.0
85,John Lundstram,Sheffield Utd,6.1559617664686455,6.1559617664686455,4,4,0.9292501156055073,10.513995755988198,7.168859234506407,6.011741959774471
86,Stuart Dallas,Leeds,5.9214319294655215,5.9214319294655215,4,4,17.239084475915128,6.4466432419469575,0.0,0.0
87,Jeffrey Schlupp,Crystal Palace,5.915194342860139,11.830388685720278,4,2,0.0,0.0,23.660777371440556,0.0
88,Giovani Lo Celso,Spurs,5.560272220806063,11.120544441612125,4,2,0.0,8.572963826346836,13.668125056877415,0.0
89,Tomas Soucek,West Ham,5.534540229079004,5.534540229079004,4,4,0.0,0.0,8.217305509052203,13.920855407263812
90,Ivan Ricardo Neves Abreu Cavaleiro,Fulham,5.434643278911862,5.434643278911862,4,4,0.0,2.011019545642205,11.927331335965032,7.800222234040209
91,Aboubakar Kamara,Fulham,5.351907978583501,5.351907978583501,4,4,0.0,21.407631914334004,0.0,0.0
92,Phil Foden,Man City,5.303523966865274,5.303523966865274,3,3,10.042062031513677,0.0,5.868509869082146,
93,Steven Bergwijn,Spurs,5.303055055905661,7.070740074540882,4,3,0.0,7.846482773671205,13.365737449951437,0.0
94,Bukayo Saka,Arsenal,5.225747347963785,10.45149469592757,4,2,0.0,0.0,20.90298939185514,0.0
95,Ashley Westwood,Burnley,5.166126876327351,5.166126876327351,3,3,0.0,7.5043969507728425,7.993983678209211,
96,Scott McTominay,Man Utd,5.122236166572674,7.68335424985901,3,2,0.0,0.0,15.36670849971802,
97,Jamal Lewis,Newcastle,5.1093321535343685,5.1093321535343685,4,4,0.0,0.0,0.0,20.437328614137474
98,Kenny Tete,Fulham,4.932736373492688,9.865472746985375,4,2,0.0,9.815022136298646,9.915923357672105,0.0
99,Romaine Sawyers,West Brom,4.918097861078024,4.918097861078024,4,4,8.038104625126744,11.634286819185354,0.0,0.0
100,Georginio Wijnaldum,Liverpool,4.806618936365847,4.806618936365847,4,4,0.0,5.089331177998039,0.0,14.137144567465352
101,Jimmy Dunne,Burnley,4.463041637265306,6.694562455897959,3,2,0.0,8.781609438542231,4.607515473253686,
102,Stuart Armstrong,Southampton,4.46032681648548,5.947102421980641,4,3,7.903818737688889,0.0,9.93748852825303,0.0
103,Patrick Bamford,Leeds,4.4073329107722135,4.4073329107722135,4,4,0.0,6.719445212036685,10.909886431052167,0.0
104,Rodrigo Moreno,Leeds,4.165082884871645,4.165082884871645,4,4,16.66033153948658,0.0,0.0,0.0
105,Ross Barkley,Aston Villa,4.0899802146218995,4.0899802146218995,3,3,0.0,0.0,0.0,12.269940643865699
106,Ferran Torres,Man City,4.086078835624119,4.086078835624119,3,3,9.494120806902334,2.7641156999700245,0.0,
107,Ben Davies,Spurs,4.0438952960514065,4.0438952960514065,4,4,0.0,0.0,0.0,16.175581184205626
108,Sergio Reguilon,Spurs,4.013192192714721,16.052768770858883,4,1,16.052768770858883,0.0,,
109,Toby Alderweireld,Spurs,3.9955571823763765,15.982228729505506,4,1,0.0,0.0,0.0,15.982228729505506
110,Luka Milivojevic,Crystal Palace,3.9705977532024725,5.294130337603296,4,3,0.0,0.0,0.0,15.88239101280989
111,Leander Dendoncker,Wolves,3.9588963609649364,5.278528481286582,4,3,8.67202431143573,0.0,0.0,7.163561132424016
112,Jamie Vardy,Leicester,3.9528436912919904,3.9528436912919904,4,4,0.0,0.0,12.015576597004541,3.7957981681634214
113,Adama Traore,Wolves,3.9112993848814566,3.9112993848814566,4,4,0.0,0.0,15.645197539525826,0.0
114,Joelinton Cassio Apolinario de Lira,Newcastle,3.707114364793821,3.707114364793821,4,4,3.1775950925473153,0.0,0.0,11.650862366627969
115,Jarrod Bowen,West Ham,3.7020199029694423,3.7020199029694423,4,4,14.808079611877769,0.0,0.0,0.0
116,Charlie Taylor,Burnley,3.6391721781811412,3.6391721781811412,3,3,0.0,0.0,10.917516534543424,
117,Alexandre Lacazette,Arsenal,3.6305486920048176,4.8407315893397564,4,3,0.0,5.117544835973641,0.0,9.40464993204563
118,Adam Lallana,Brighton,3.6053144366074834,3.6053144366074834,4,4,4.380815558600934,0.0,0.0,10.040442187829
119,Caglar Soyuncu,Leicester,3.4887061342845747,3.4887061342845747,4,4,0.0,0.0,13.954824537138299,0.0
120,Fabio Henrique Tavares,Liverpool,3.46632643967179,3.46632643967179,4,4,11.298839415093594,2.5664663435935653,0.0,0.0
121,James Justin,Leicester,3.4277558172673928,3.4277558172673928,4,4,0.0,0.0,11.13517607246124,2.5758471966083305
122,Jorge Luiz Frello Filho,Chelsea,3.3791123044264437,4.505483072568592,4,3,10.32881895197437,0.0,0.0,3.187630265731405
123,Joe Bryan,Fulham,3.312513204824457,3.312513204824457,4,4,3.2176250505182606,10.032427768779566,0.0,0.0
124,Helder Wander Sousa de Azevedo e Costa,Leeds,3.1414275054520475,3.1414275054520475,4,4,4.455842995789175,0.0,0.0,8.109867026019016
125,Ashley Barnes,Burnley,3.1353875908265763,9.406162772479728,3,1,9.406162772479728,0.0,0.0,
126,Sander Berge,Sheffield Utd,3.0955614559886238,3.0955614559886238,4,4,0.0,8.301790768889937,0.0,4.080455055064558
127,Sebastien Haller,West Ham,3.0916609884750783,3.0916609884750783,4,4,0.0,0.0,0.0,12.366643953900313
128,Danny Ings,Southampton,3.033710038408072,3.033710038408072,4,4,6.405736740262578,0.0,0.0,5.729103413369709
129,Dominic Calvert-Lewin,Everton,2.9650882421044433,2.9650882421044433,4,4,0.0,0.0,0.0,11.860352968417773
130,Marcus Rashford,Man Utd,2.921758837289399,2.921758837289399,3,3,2.5073242788976424,1.7696280419967632,4.48832419097379,
131,Max Kilman,Wolves,2.8821929527479933,11.528771810991973,4,1,11.528771810991973,0.0,0.0,0.0
132,Ruben Diogo da Silva Neves,Wolves,2.822397024310896,2.822397024310896,4,4,0.0,0.0,0.6127582986823671,10.676829798561217
133,Lucas Rodrigues Moura da Silva,Spurs,2.7825275661659474,2.7825275661659474,4,4,0.0,11.13011026466379,0.0,0.0
134,Oliver Burke,Sheffield Utd,2.7814274611358942,3.7085699481811925,4,3,0.0,11.125709844543577,0.0,0.0
135,Tom Cairney,Fulham,2.720948632880976,3.627931510507968,4,3,0.0,10.883794531523904,0.0,0.0
136,Timo Werner,Chelsea,2.607972483284117,2.607972483284117,4,4,0.0,0.0,8.566789721594251,1.8651002115422157
137,Benjamin Chilwell,Chelsea,2.589024664891861,10.356098659567444,4,1,10.356098659567444,0.0,0.0,0.0
138,Jake Livermore,West Brom,2.5848749582996042,2.5848749582996042,4,4,0.0,6.20237239398231,0.0,4.1371274392161075
139,Mason Greenwood,Man Utd,2.5588699718434063,2.5588699718434063,3,3,0.0,7.676609915530219,0.0,
140,Vladimir Coufal,West Ham,2.5433719102057015,10.173487640822806,4,1,10.173487640822806,,,
141,Harvey Barnes,Leicester,2.439130548991277,2.439130548991277,4,4,0.0,0.0,8.194485236803828,1.5620369591612788
142,Oliver McBurnie,Sheffield Utd,2.4345890405339765,2.4345890405339765,4,4,0.0,0.0,4.000617230790972,5.737738931344934
143,Benjamin Mendy,Man City,2.424435050327149,2.424435050327149,3,3,0.0,7.273305150981447,0.0,
144,Thiago Alcantara do Nascimento,Liverpool,2.4059032337782242,9.623612935112897,4,1,0.0,0.0,9.623612935112897,
145,James Tarkowski,Burnley,2.374454146241961,7.1233624387258825,3,1,7.1233624387258825,0.0,0.0,
146,Youri Tielemans,Leicester,2.354309474064839,2.354309474064839,4,4,0.0,0.0,9.417237896259357,0.0
147,Eberechi Eze,Crystal Palace,2.3272163580008374,2.3272163580008374,4,4,0.0,9.30886543200335,0.0,0.0
148,Tyrone Mings,Aston Villa,2.3258290535275137,2.3258290535275137,3,3,0.0,0.0,6.977487160582541,
149,John Fleck,Sheffield Utd,2.1599254996847566,2.8799006662463422,4,3,1.113406883932965,0.0,0.0,7.526295114806062
150,Matt Doherty,Spurs,2.1383042296169874,2.851072306155983,4,3,0.0,8.55321691846795,0.0,0.0
151,Serge Aurier,Spurs,1.9880296424057204,7.952118569622882,4,1,7.952118569622882,0.0,0.0,0.0
152,Nampalys Mendy,Leicester,1.945518368403892,1.945518368403892,4,4,0.0,7.782073473615568,0.0,0.0
153,Joseph Gomez,Liverpool,1.9344552691196863,2.579273692159582,4,3,0.0,7.737821076478745,0.0,0.0
154,Denis Odoi,Fulham,1.8803710944126792,2.507161459216906,4,3,0.0,7.521484377650717,0.0,0.0
155,Kieran Tierney,Arsenal,1.8521987693435242,2.469598359124699,4,3,7.408795077374097,0.0,0.0,0.0
156,Mohamed Naser El Sayed Elneny,Arsenal,1.823111637473748,2.430815516631664,4,3,7.292446549894992,0.0,0.0,0.0
157,Bamidele Alli,Spurs,1.8230771855889534,3.6461543711779068,4,2,0.0,0.0,0.0,7.2923087423558135
158,Nemanja Matic,Man Utd,1.7536988255360049,2.6305482383040073,3,2,5.261096476608015,0.0,0.0,
159,Granit Xhaka,Arsenal,1.7440501018702868,1.7440501018702868,4,4,0.0,0.0,0.0,6.976200407481147
160,Naby Keita,Liverpool,1.7386166771999496,1.7386166771999496,4,4,0.0,6.9544667087997984,0.0,0.0
161,Ahmed El Mohamady,Aston Villa,1.6652249873458924,4.995674962037677,3,1,4.995674962037677,0.0,0.0,
162,Bernardo Mota Veiga de Carvalho e Silva,Man City,1.600408987755961,4.801226963267883,3,1,4.801226963267883,0.0,0.0,
163,Ian Carlo Poveda-Ocampo,Leeds,1.5992371133839005,3.198474226767801,4,2,6.396948453535602,0.0,0.0,0.0
164,Ki-Jana Hoever,Wolves,1.591410201208315,3.18282040241663,4,2,0.0,6.36564080483326,,
165,Javier Manquillo,Newcastle,1.5629667639950597,1.5629667639950597,4,4,0.0,0.0,0.0,6.251867055980239
166,Nicolas Pepe,Arsenal,1.4980529500569788,1.4980529500569788,4,4,0.0,0.0,0.0,5.992211800227915
167,Ademola Lookman,Fulham,1.4339906490802268,5.735962596320907,4,1,5.735962596320907,,,
168,Adam Webster,Brighton,1.3700487521940408,1.3700487521940408,4,4,0.0,0.0,0.0,5.480195008776163
169,Kyle Walker,Man City,1.3098916088882875,1.3098916088882875,3,3,3.9296748266648627,0.0,0.0,
170,Michael Keane,Everton,1.2839906022516618,1.2839906022516618,4,4,0.0,0.0,5.135962409006647,0.0
171,Thiago Thiago,Chelsea,1.2560888665178664,2.512177733035733,4,2,5.024355466071466,0.0,0.0,0.0
172,Matt Ritchie,Newcastle,1.2205195594237601,4.8820782376950405,4,1,0.0,4.8820782376950405,0.0,0.0
173,Keinan Davis,Aston Villa,1.1397537973293947,3.4192613919881842,3,1,0.0,0.0,3.4192613919881842,
174,Grady Diangana,West Brom,1.1240608206345062,1.1240608206345062,4,4,0.0,2.478875076573786,0.0,2.017368205964239
175,Chris Basham,Sheffield Utd,1.0846549612873688,1.0846549612873688,4,4,0.0,4.338619845149475,0.0,0.0
176,Douglas Luiz Soares de Paulo,Aston Villa,1.0815645269958643,1.0815645269958643,3,3,0.0,0.0,3.2446935809875925,
177,Aaron Ramsdale,Sheffield Utd,1.0618115983321177,1.0618115983321177,4,4,0.0,4.247246393328471,0.0,0.0
178,Emil Krafth,Newcastle,1.0552639947429965,4.221055978971986,4,1,4.221055978971986,0.0,0.0,0.0
179,Kieran Gibbs,West Brom,1.0158393062444315,2.031678612488863,4,2,0.0,0.0,4.063357224977726,0.0
180,Antonee Robinson,Fulham,1.001486341108055,4.00594536443222,4,1,4.00594536443222,0.0,0.0,0.0
181,Jordan Henderson,Liverpool,0.9745245359338877,1.9490490718677753,4,2,0.0,0.0,3.8980981437355506,0.0
182,Federico Fernandez,Newcastle,0.9615839927132279,0.9615839927132279,4,4,0.0,3.8463359708529117,0.0,0.0
183,Aaron Connolly,Brighton,0.9527758675511862,0.9527758675511862,4,4,0.0,2.263385306863881,1.5477181633408634,0.0
184,Conor Coady,Wolves,0.946190556945582,0.946190556945582,4,4,0.0,0.0,3.784762227782328,0.0
185,Andy Carroll,Newcastle,0.9323084017497009,1.2430778689996012,4,3,0.0,0.0,0.0,3.7292336069988035
186,Andre Filipe Tavares Gomes,Everton,0.9132863988529681,1.2177151984706243,4,3,0.0,0.0,3.6531455954118726,0.0
187,Hal Robson-Kanu,West Brom,0.90975092598053,1.2130012346407066,4,3,0.0,3.63900370392212,0.0,0.0
188,Illan Meslier,Leeds,0.9006875241552413,0.9006875241552413,4,4,0.0,0.0,3.6027500966209653,0.0
189,Oriol Romeu Vidal,Southampton,0.897333304157051,0.897333304157051,4,4,1.5581889523817096,0.0,2.0311442642464947,0.0
190,Ola Aina,Fulham,0.8846150015356301,3.5384600061425204,4,1,3.5384600061425204,,,
191,James McCarthy,Crystal Palace,0.8828803231053967,0.8828803231053967,4,4,0.0,3.5315212924215866,0.0,0.0
