,Teams,xG av,Matches,GW38,GW37*,GW37,GW36,GW35*,GW35,GW34*,GW34,GW33,GW32,GW31,GW30,GW29,GW28*,GW28,GW27,GW26,GW25*,GW25,GW24,GW23,GW22,GW21,GW20,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW7*,GW7,GW6,GW5,GW4,GW3,GW2,GW1
11,Brighton,165.81684814790557,38,197.17045705765486,132.4229055084288,196.47872801870108,302.1677926182747,,135.9516391530633,,57.20211723819376,89.9146020412445,42.85135809332132,123.67918659001589,43.922000005841255,,,53.98922674357891,115.19757807254791,165.94509640708566,,361.3904394209385,149.28486198186874,192.73720551282167,110.6082858517766,140.03851152956486,221.3117253035307,395.3611543402076,133.81771370768547,66.30538143217564,296.24725989997387,154.09885346889496,85.50582397729158,121.79161757230759,108.63352995365858,44.2488893866539,132.9013966023922,96.37333378195763,223.66418763995173,,172.8188400156796,215.12961969710886,193.90787798911333,137.8046602010727,137.5819044187665,315.5620217323303,437.022446654737
12,Man Utd,160.046602028275,38,100.40360698476434,149.7057342901826,55.166886001825326,34.14169447496533,,306.19679410010576,,351.4394488185644,152.2739609703422,81.45087845623493,156.68626632541418,98.95653761923313,,,290.1603024452925,15.376435220241547,198.1047973036766,,361.31668109446764,244.59069054573774,97.28075936436653,322.9251258075237,92.3232527449727,65.34455297514796,120.10365575551987,73.2123414054513,67.24047027528286,112.59494833648205,437.9189679399133,42.386357486248016,207.33445938676596,274.1047606803477,69.70950271934271,71.46283742040396,147.47567996382713,129.86103957518935,,155.40834218263626,84.0272529050708,71.99513297528028,98.47702290862799,302.80274227261543,244.7235982865095,197.08735905587673
13,West Ham,145.77226602766467,38,24.015861749649048,,373.4682423993945,89.73493836820126,,79.4024920091033,,134.53568369150162,145.3070880845189,114.13314398378131,147.0171444118023,99.45841617882252,134.33261141180992,,187.60815113782883,217.94845089316368,209.72146093845367,,52.00160872191191,19.564632885158062,119.2143146879971,131.2800861895084,247.86363020539284,98.30998964607716,159.71096167340875,151.6533177345991,103.82761731743813,98.30004693940282,175.05140509456396,114.6604236215353,136.96294650435448,206.4017117023468,208.09955559670925,61.85782356187701,66.41530971974134,93.13453286886215,,344.1629939712584,153.87827455997467,89.56320211291313,122.52753525972366,308.64721462130547,171.23369965702295,148.33958894014359
14,Crystal Palace,143.02549240620513,38,223.18864762783048,,259.4007480889559,206.5598152577877,,105.38705857470632,143.66095587611198,386.2662613391876,212.87919208407402,149.47213511914015,17.438851296901703,90.09723998606205,,,333.7248431518674,28.121918812394142,241.6119709610939,,73.86392299085855,71.95161301642656,24.113695695996284,116.00965671241285,28.871670784428716,161.05668544769287,96.38148853555322,165.6024033203721,164.97724540531635,179.1524536907673,127.70949006080627,98.83771520107985,184.29955169558525,189.1939265653491,143.65263991057873,56.26863343641162,109.68375033698976,98.24524484574795,,119.01467405259609,37.23598010838032,111.69583797454834,235.84997970610857,108.20601135492325,107.39302039146425,227.89178201928735
15,Fulham,141.17478792996783,38,111.59782186150551,,8.8624507188797,145.5794334411621,,139.41844552755356,,85.07980331778526,363.2569883018732,83.75989515334368,105.35717159509659,111.88117899000645,261.4866219460964,,297.22075164318085,137.60398905724287,114.36215490102768,,142.04702861607075,174.55963715910914,128.8060326129198,240.61561794951558,70.34631371498108,154.07351637259126,32.46328644454479,139.0847012400627,47.10416961461306,224.08410999923944,309.49627002701163,151.00516192615032,249.05710536986587,64.87445458769798,118.24059076607227,55.71740102022886,74.58381932228804,226.61179024726152,,93.89671320095658,54.70625692978501,175.7036130875349,188.78940343856812,85.17466289922595,39.98990524560213,158.14367309212685
16,Nott'm Forest,138.01553801535383,38,157.96183198690414,,244.98845599591732,193.81805397570133,,217.3116024583578,,128.73294651508334,176.2443222105503,206.14287462085485,194.73351873457432,78.46519658342004,195.2677134424448,,68.70340090245008,97.1465814858675,225.56910309940577,,267.815862596035,96.80753406137228,45.6547631882131,63.16178534179926,122.6080410182476,74.43477381020784,310.7396110892296,79.53473739326,170.56852616369724,121.8008091673255,21.865945868194103,68.44307240098715,222.65468761324885,147.49262779951096,59.24466568976641,64.20143395662308,327.54883989691734,126.39786098152399,,80.03167305141687,72.91088737547398,70.57947814464569,115.04956260323524,96.03535225614905,137.29180619120598,96.6305049136281
17,Wolves,134.85568496643714,38,73.12534973025322,,115.60956677421927,39.688679575920105,,149.32503942400217,48.59405718743801,16.45159125328064,152.66842655837536,178.34054697304967,101.02106239646673,166.23209016397595,,,129.58869617432356,51.071128994226456,121.61806970834732,,179.0441818535328,105.97032625228167,248.9961788058281,232.44778625667095,123.06292485445738,264.4772417843342,189.51601013541222,176.49625651538372,55.6205615401268,102.70750634372234,111.88631160184741,107.88550674915314,157.87473376840353,192.32681151479483,131.05833381414413,86.33926101028919,236.43137738108635,176.2319597415626,,67.39848852157593,79.23820689320564,53.88334132730961,113.91115877777338,140.50455167889595,269.26855128258467,178.60415540635586
18,Luton,133.9564675551006,38,206.74289297312498,,64.04558420181274,95.36092281341553,,90.43503142893313,,49.77989010512829,80.97747042775154,130.74845671653748,29.208244010806084,40.240162797272205,85.37822049111128,279.4186808168888,108.53087697178125,293.4391211718321,,97.8115264326334,160.76923180371523,176.63636421784759,270.290994271636,371.00026346743107,96.51674777269363,273.4858423471451,71.55749164521694,185.78336611390114,,68.90371590852737,52.625429537147284,22.717618755996227,99.61530487053096,40.82651901990175,134.11033190786839,45.678672194480896,149.8481639660895,84.81179252266884,153.05832885205746,154.5821264386177,224.10051748156548,145.7055028527975,220.43672520667315,46.57405875623226,,188.59357582405207
19,Burnley,115.86515989865323,38,108.2223189994693,,95.03314383327962,128.65286208689213,,189.6331498399377,,242.94020673260093,185.21952219307423,34.96195264160633,112.5806304626167,237.87248469889164,269.77627985179424,,88.13101463019848,161.90373888239264,7.602155581116676,,33.51429980248213,113.33737587556243,101.27663500607014,149.1135025396943,152.0226739346981,112.12119460105896,97.42397191002965,41.713981702923775,81.14352826960385,118.95280703902245,80.34728299826384,265.88311083614826,144.2276557907462,32.77056757360697,149.98049652203918,90.25501143187284,69.31290980428457,95.66422831267118,92.12809754535554,83.58830437064171,93.54443438351154,81.25706147402525,166.60376638174057,63.060470670461655,,31.103246938437223
20,Sheffield Utd,112.08070871836848,38,69.73118335008621,,46.66256885975599,248.98613654077053,,187.1887642890215,120.97109574824572,198.34679178893566,83.44978699460626,174.26471039652824,72.09481000900269,178.82398199290037,,,196.58789243549109,20.13736218214035,65.73345209471881,,58.62140357494354,198.28270077705383,188.51932771503925,78.11449822038412,274.72433783113956,26.32114067673683,419.33623161166906,64.69495231285691,44.01395581662655,84.19756889343262,83.41716676950455,61.81307304650545,82.15326759964228,84.43397730588912,110.16500163823366,2.8155391104519367,141.0736294463277,25.18088249489665,,91.853117197752,57.93920923024416,79.0655329823494,165.754522010684,76.22317783534528,55.10381292551756,42.270367592573166
