,Name,Team,Position,xG per fixture adj,xG per game adj,Team games,Played,GW9,GW8,GW6,GW5,GW4,GW3,GW2,GW1
105,Raul Jimenez,Wolves,Forward,9.313871991516496,21.732367980205158,7,3,17.105329156424702,0.0,0.0,48.846695825233354,16.350408115382127,0.0,0.0,0.0
106,Emmanuel Dennis,Nott'm Forest,Forward,9.14363039629304,11.4295379953663,5,4,12.611929546756125,0.0,4.997784873338771,21.93571286066074,18.784654247465685,0.0,,
107,Armando Broja,Chelsea,Forward,9.10529754145545,13.657946312183174,6,4,14.4735164426995,,11.11573699957724,39.39076402512395,0.0,0.0,0.0,4.125284224031503
108,Adam Webster,Brighton,Defender,9.094829551676025,9.094829551676025,6,6,8.294669226443013,,0.0,1.4647016953134802,44.08946964015444,6.074959654596297,0.0,2.9398463199919322
109,Marc Roca Junque,Leeds,Midfielder,8.844143611781094,8.844143611781094,6,6,9.666612069118885,,50.03519876728525,0.0,0.0,0.0,0.0,3.0296629034013094
110,Philip Billing,Bournemouth,Midfielder,8.80093400176622,8.80093400176622,7,7,9.022350858827107,59.26922313882071,0.940294005708506,0.0,0.0,0.0,0.0,1.39702086783433
111,Harvey Elliott,Liverpool,Midfielder,8.725067446453286,8.725067446453286,6,6,6.465473113678551,,3.7253555920319648,8.756507018421829,4.2464581343711005,21.848546805016742,13.77353712887808,0.0
112,Mikkel Damsgaard,Brentford,Midfielder,8.718338918766024,13.077508378149037,6,4,14.823517364498032,52.31003351259614,0.0,0.0,0.0,0.0,0.0,
113,Keane Lewis-Potter,Brentford,Midfielder,8.699049273128841,12.178668982380376,7,5,13.804671801123405,0.0,52.95657168780386,2.003286695239051,2.367501750633011,3.5659847782259737,0.0,0.0
114,James Tarkowski,Everton,Defender,8.582114698761647,8.582114698761647,7,7,9.202538268625487,0.0,0.0,0.0,48.25687936416547,0.0,3.9324626844066786,7.885460842759377
115,Dominic Solanke,Bournemouth,Forward,8.55769015145165,11.98076621203231,7,5,12.282182357104762,8.111249568710537,8.500449591887183,25.88264125968751,0.0,0.0,0.0,17.409490639876317
116,Joelinton Cassio Apolinario de Lira,Newcastle,Midfielder,8.54727971371984,8.54727971371984,7,7,9.875116658259305,12.798395401152906,17.310197715098106,0.0,12.49172876638544,0.0,0.0,17.230636113402426
117,Danny Ings,Aston Villa,Forward,8.398882414515809,9.798696150268443,7,6,10.735495333361605,10.019823276037929,0.0,0.0,5.903189812217087,5.954791295836922,23.563894317801715,13.350478199717015
