,Name,Team,Position,xG per fixture,xG per game,Team games,Played,GW7*,GW7,GW6,GW5,GW4,GW3,GW2,GW1
157,Vitaly Janelt,Brentford,Midfielder,4.89288397754232,4.89288397754232,6,6,,4.051879945286322,3.613394871354103,0.0,19.096577167510983,3.9629489183425903,0.0,2.6843829080462456
158,Jeffrey Schlupp,Crystal Palace,Midfielder,4.842664922277133,4.842664922277133,6,6,,3.84275772826049,0.0,0.0,11.534655094146727,5.785106867551804,0.0,11.736227571964266
159,Ross Barkley,Luton,Midfielder,4.72455158829689,11.811378970742226,5,2,10.850716529590226,13.812192866185418,0.0,0.0,15.917493402957914,7.705264538526535,,0.0
160,Jack Robinson,Sheffield Utd,Defender,4.598519702752431,4.598519702752431,6,6,,7.263044563495508,12.619291245937347,0.0,10.697225481271744,0.0,4.274601489305496,0.0
161,Jean-Ricner Bellegarde,Wolves,Midfielder,4.557543620467187,4.557543620467187,2,2,,4.448166653329397,0.0,9.115087240934374,,,,
162,Cole Palmer,Chelsea,Midfielder,4.321857665975888,6.482786498963833,6,4,,6.250235040141389,11.712735146284105,14.218410849571226,0.0,0.0,0.0,0.0
163,Joao Palhinha Goncalves,Fulham,Midfielder,4.30302768945694,6.4545415341854095,6,4,,6.367466339355188,4.256757348775864,8.286958187818527,0.0,13.274450600147247,0.0,0.0
164,Ryan Christie,Bournemouth,Midfielder,4.171108081936836,4.171108081936836,6,6,,3.2209515233235244,6.466852873563767,1.8813135102391243,11.845281720161438,3.1478308141231537,0.0,1.685369573533535
165,Kristoffer Ajer,Brentford,Defender,4.094129179914792,6.141193769872189,6,4,,4.5432447565063505,3.2106876373291016,0.0,11.518282443284988,0.0,9.835804998874664,0.0
166,Dwight McNeil,Everton,Midfielder,4.041448049247266,8.082896098494532,6,3,,12.68325951801647,16.04598015546799,6.180743873119353,2.0219642668962483,0.0,0.0,0.0
167,Mathias Jensen,Brentford,Midfielder,3.8971224799752235,3.8971224799752235,6,6,,3.038033209599929,6.61335214972496,0.0,6.246471777558327,0.0,10.522910952568054,0.0
168,Nathan Ake,Man City,Defender,3.859579935669899,4.631495922803879,6,5,,4.497661118027545,0.0,0.0,1.786711812019348,10.435765236616136,0.0,10.935002565383911
169,Harry Wilson,Fulham,Midfielder,3.8257320721944175,3.8257320721944175,6,6,,2.93483365222278,3.49813774228096,10.397408157587053,0.0,2.2949175909161568,1.702742464840412,5.061186477541924
170,Cauley Woodrow,Luton,Forward,3.6970096081495285,4.621262010186911,5,4,3.322997746160014,4.2299405425159415,13.756847381591795,4.7282006591558465,0.0,0.0,,0.0
171,Frank Onyeka,Brentford,Midfielder,3.670356422662735,5.5055346339941025,6,4,,5.9837062378770085,0.0,0.0,7.337529957294464,14.684608578681946,0.0,0.0
172,Pablo Fornals Malla,West Ham,Midfielder,3.6038090785344443,4.324570894241333,6,5,,8.331906850765902,5.073907971382142,0.0,0.0,0.0,9.621847420930864,6.9270990788936615
