,Name,Team,Position,xA per fixture,xA per game,Team games,Played,GW12,GW11,GW10,GW9,GW8,GW6,GW5,GW4,GW3,GW2,GW1
293,Romeo Lavia,Southampton,Midfielder,0.28580451384186745,0.5716090276837349,10,5,0.6480542399850672,0.0,0.0,0.0,0.0,0.0,0.0,1.0573023930191994,0.0,1.800742745399475,0.0
294,Aaron Hickey,Brentford,Defender,0.25424668565392494,0.28249631739324993,10,9,0.29171908571375105,0.0,0.0,0.0,0.0,0.0,0.0,2.5424668565392494,0.0,0.0,0.0
295,Ibrahima Diallo,Southampton,Midfielder,0.24609437212347984,0.4101572868724664,10,6,0.4422162819825532,0.0,0.0,0.0,0.0,0.0,2.4609437212347984,0.0,0.0,0.0,0.0
296,Kalidou Koulibaly,Chelsea,Defender,0.23467209604051378,0.30172126633780344,9,7,0.3669533043836812,0.0,2.112048864364624,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
297,Tariq Lamptey,Brighton,Defender,0.22226205716530487,0.2857655020696777,9,7,0.20989194662766333,0.0,0.0,0.0,,0.0,2.000358514487744,0.0,0.0,0.0,0.0
298,Virgil van Dijk,Liverpool,Defender,0.22215627961688575,0.22215627961688575,9,9,0.17003869393106724,0.0,0.0,0.0,,0.0,1.9994065165519717,0.0,0.0,0.0,0.0
299,David De Gea Quintana,Man Utd,Goalkeeper,0.20611362738741767,0.20611362738741767,9,9,0.2441060868119786,0.0,0.0,0.0,,1.8550226464867592,0.0,0.0,0.0,0.0,0.0
300,Harry Maguire,Man Utd,Defender,0.2035576022333569,0.6106728067000707,9,3,0.4809203120111854,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.832018420100212,0.0
301,Scott McTominay,Man Utd,Midfielder,0.19330721762445238,0.21747061982750893,9,8,0.16909382896742037,0.0,0.0,0.0,,0.0,1.7397649586200714,0.0,0.0,0.0,0.0
302,Albert Sambi Lokonga,Arsenal,Midfielder,0.1729261875152588,0.28821031252543133,10,6,,0.0,0.0,0.0,0.0,1.729261875152588,0.0,0.0,0.0,0.0,0.0
303,Sam Greenwood,Leeds,Forward,0.16493169176909658,0.4947950753072898,9,3,0.5098252483066169,0.0,0.0,0.0,,1.4843852259218693,0.0,0.0,0.0,0.0,0.0
304,Matija Sarkic,Wolves,Goalkeeper,0.0,0.0,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
305,Matt Ritchie,Newcastle,Defender,0.0,0.0,10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
306,Phil Jones,Man Utd,Defender,0.0,0.0,9,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
307,Diego Da Silva Costa,Wolves,Forward,0.0,0.0,4,3,0.0,0.0,0.0,0.0,0.0,,,,,,
308,Federico Fernandez,Newcastle,Defender,0.0,0.0,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
309,Yerson Mosquera Valdelamar,Wolves,Defender,0.0,0.0,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
310,Ciaran Clark,Newcastle,Defender,0.0,0.0,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311,Karl Darlow,Newcastle,Goalkeeper,0.0,0.0,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
312,Brandon Williams,Man Utd,Defender,0.0,0.0,9,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
313,Francisco Jorge Tomas Oliveira,Wolves,Midfielder,0.0,0.0,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
314,Chem Campbell,Wolves,Midfielder,0.0,0.0,10,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
315,Sasa Kalajdzic,Wolves,Forward,0.0,0.0,5,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
316,Max Kilman,Wolves,Defender,0.0,0.0,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
317,Lisandro Martinez,Man Utd,Defender,0.0,0.0,9,9,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
318,Amad Diallo,Man Utd,Midfielder,0.0,0.0,9,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
319,Zidane Iqbal,Man Utd,Midfielder,0.0,0.0,9,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
320,Fabio Silva,Wolves,Forward,0.0,0.0,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
321,Jackson Smith,Wolves,Goalkeeper,0.0,0.0,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
322,Luke Cundle,Wolves,Midfielder,0.0,0.0,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
323,Hugo Bueno Lopez,Wolves,Defender,0.0,0.0,10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
324,Joseph Hodge,Wolves,Midfielder,0.0,0.0,10,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325,Connor Ronan,Wolves,Midfielder,0.0,0.0,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
