,Teams,xG av adj,Matches,GW38,GW37*,GW37,GW36*,GW36,GW35,GW34*,GW34,GW33*,GW33,GW32,GW31*,GW31,GW30,GW29*,GW29,GW28*,GW28,GW27*,GW27,GW26*,GW26,GW25*,GW25,GW24,GW23*,GW23,GW22*,GW22,GW21*,GW21,GW20,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW7,GW6,GW5,GW4,GW3,GW2,GW1
11,Brighton,134.41448716800392,38,168.6774165316126,,173.6734861036774,,306.4838509901967,270.20553139484,,215.040280326274,25.224111283797182,87.97488050331374,67.45557658298252,,160.20727582866073,,129.7663945477914,104.47209893995635,,138.79829335886473,,63.47258137773658,,39.88610458972966,119.87281766578451,171.59475594907647,,,97.21686601857962,116.79567412063692,286.5543114820941,,132.9573643551867,122.90029664062375,103.31699638158958,,119.05456193986926,,127.6836524774209,126.74855491734218,150.11081691370208,59.97678392773971,120.26685280759396,250.7257679834478,251.3732975277913,78.47805042918642,126.23199815500209,85.36245713670012,119.70659513415174,31.530951151146613,62.86240940580494,144.12378561347356,150.96701189077052
12,Crystal Palace,132.55799865013077,38,33.68947682587426,148.9052813275969,146.27249357595002,,203.52657651963824,62.39862110025719,,123.28560663956752,,36.367301018982054,147.49686342308806,,158.09358710796107,,,101.88205517513167,,250.16538114248397,,92.73418960362336,65.41932444671559,97.49512095457173,,54.54307635190038,82.02340727472377,,269.9558185325648,,58.04846415297638,,271.07484408314104,161.59411816110776,22.05996725146895,,131.03095504306097,188.02946014819955,49.45747993402147,54.04410192794932,97.32002112521258,159.73092984905492,246.48443551878205,225.74977217383287,189.7987576057883,55.70195568429778,95.98296603618392,155.84554559054183,106.93762338719236,408.83297641936156,168.56070202153566,66.4033245698849,50.26136700074185
13,Southampton,128.28095288113255,38,85.36534973333212,,20.17100279552891,,108.26848492672973,85.45325225485412,,105.550866363745,118.4054307237415,117.69439303891535,88.23073442577342,,157.13301030254317,,,100.47566378124459,153.03915991331644,134.47656187337256,,211.63248502154346,,244.4635112028843,,64.35310327571662,214.47810035238044,,263.348011353123,,86.2047694600012,,174.47133805273515,43.67386465553513,136.37300289543188,,82.15819089659342,56.83089250286399,156.76260918498295,160.03707761746415,175.6959229965391,75.81910071025284,90.85154880348787,152.48221529521868,127.41095072177987,141.34053539091988,238.4703221826361,85.83160861897794,105.5189884753062,69.58624559878959,334.782241518234,55.81625928121244,52.01940328533124
14,Everton,118.31361510102029,38,122.89356182153196,106.86075079352483,295.25308241721194,65.23354548691373,137.16823155548235,174.53444875841754,,70.54725792257582,,137.06640552853227,33.9438252321817,206.95608530732824,66.13880814986759,,59.80538807909483,36.92865523628594,,25.763579698562815,,165.67990805728488,,16.4832728416024,,197.32568040551075,69.29694178770283,,125.26476075360699,,36.113104744892475,,208.07797077443328,,,,98.04283796367625,175.1275003463383,121.96794447199451,85.04025431190868,106.02351356550074,57.36622876868141,74.6134025845641,157.8702289768082,147.1522496945609,86.0933384045683,125.60292064399239,152.07977666591302,76.37238883652829,161.20970243396275,176.38155631052953,141.39292998385352,196.2453345228455
15,Burnley,114.95403726824038,38,127.72493379502461,164.994015787636,77.9216193285256,,132.535367475204,110.21502781568921,,118.3319578518384,193.36782362157155,199.66041142497915,96.71307585464947,201.4012956084605,12.707763259294614,,,90.38801051643263,,133.66536696426115,84.6126117815902,33.69069928304675,200.81615510588693,93.53115851485043,,192.7050144929896,73.4101851930889,61.32594759984036,44.01519664442412,,,,73.12723234977499,82.81701147576354,,,,55.096111831675,50.80463779082409,18.176434610455175,,137.00630774331907,105.31461527411841,319.92417007118075,55.3083822995092,233.94661251230698,39.029882332302456,34.82014623391717,87.7642798658809,163.1190521230167,130.45827720401593,114.6231515641699,223.18347299162048
16,Aston Villa,114.6001595555882,38,53.270929785048615,89.04798126943444,106.11582458953187,257.1757936684539,161.9878884395384,154.31895208028436,,48.22503922819656,,,183.96778885558962,,177.78536194728514,35.009001431109695,,106.61389236610881,96.91255014401125,234.4616788805392,,148.36666792081078,,82.06959000018323,,38.25107036233736,115.7187265851815,,77.07439006522436,,173.6483877963723,,124.65716168268087,,74.0605796475827,,131.0731246087404,23.336300932711165,150.05603394704954,165.95170353005147,59.70238578848527,125.11123269945504,44.043049181756906,69.12530764802392,159.65555697934914,112.84821519209552,132.85470331496512,149.38979272758536,69.68007725713744,184.30868391947897,48.51601412780239,99.51375870305229,90.90086580910602
17,Newcastle,109.93166977013593,38,155.76273265630192,,190.4479675521479,,213.8868228964304,19.14958214529163,,129.17118266707777,101.17962936019933,236.54334485622695,133.84918399717097,,66.57320856344944,,68.17474423021862,38.582763191412404,66.89229375237306,218.14406872393408,,250.49724398960788,,93.93914301763061,,53.3642260632431,245.67530247884935,,88.7398674958299,,83.0165417249621,,,,120.43594467636046,37.444203304931946,34.264177581820306,41.56452409301624,152.89569441793694,77.1857341464948,20.97802386625124,239.32581575805557,25.890014079989562,24.625441024207642,100.38140119557481,79.87251552846836,80.42757384250277,201.88074496951205,93.58302726462199,59.110935569317796,100.80909623049033,63.889880958559495,169.24885339469512
18,Wolves,106.97232471478371,38,185.44510299085624,,66.68678670690583,88.52462549977797,265.4453156199047,60.18418041255951,,52.98738267958327,,,25.786150100100986,,185.6359348920454,94.46433111042698,,63.80431703809821,123.9295234971984,93.41811714512845,,89.68214020592089,125.53387985299811,38.38531632182346,,243.5908931991971,72.57646557156201,,23.898446030959228,,195.8429893646215,,79.88965236005893,,,50.20986902313372,127.25855853782227,16.396470166519496,15.798560171403812,63.69506526763073,19.83498664891356,132.61320183670662,33.400294526861714,151.96182078985584,68.50912639846095,222.160834606195,97.34825356192772,74.95541179533538,112.05651127790324,232.56711813378814,175.76374817187923,186.95481281558833,107.75214483212697
19,Watford,105.44698105518518,38,89.95400719287747,,210.9660333519255,20.842093308100498,33.5598047235987,70.22137578057814,,91.6332683098116,,187.1768472549165,81.78548515160928,,125.05569054006668,,,106.29972911236304,46.44209764909292,146.6587888201222,,41.55991953739172,225.9245138519426,184.14580984411887,,60.70190523592787,33.72800818437172,83.46797685300476,88.66485852569764,,125.95068267826778,,37.546797841142315,101.9759528693348,,,,61.50133439870235,149.33065262910415,154.92594809870621,193.66201337959308,262.1171631853993,55.636292623847424,70.04425307938129,278.05492957483915,50.18484868126144,14.678352510161265,75.96855769963526,171.34591625369683,17.234825038955723,73.73145216742112,46.379510644757325,137.92758351531228
20,Norwich,86.24393629653086,38,38.504346384968386,,142.42057488551623,102.73172171409367,78.31445217055999,35.62654763658644,,55.263471236420536,,170.76974331234786,152.36393123830558,,56.275349091547966,,,106.82858388773863,150.8811937557432,86.23941334859748,,35.025052802043135,,111.18438132436619,,76.68092760390111,38.952821343666415,,73.95715622825912,,89.73312991678837,,34.51955110394197,78.07797795428071,17.450742803062067,,51.707757899713485,93.94391035209968,137.25801924274987,127.05253772646331,130.5760883232611,35.967151351360286,126.82066022546334,50.39281922366843,41.78212012097784,132.26400394961183,60.74811941858465,71.75752726938447,62.56258839108751,65.32664980769226,117.07535589468623,5.375401052626921,234.85779927600615
