,Teams,Opponent xG av adj,Matches,GW38,GW37*,GW37,GW36*,GW36,GW35,GW34*,GW34,GW33*,GW33,GW32,GW31*,GW31,GW30,GW29*,GW29,GW28*,GW28,GW27*,GW27,GW26*,GW26,GW25*,GW25,GW24,GW23*,GW23,GW22*,GW22,GW21*,GW21,GW20,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW7,GW6,GW5,GW4,GW3,GW2,GW1
11,Man Utd,154.03405317947713,38,38.92198160437494,,,,345.2195179278093,70.34740196000928,192.5645594604889,218.78357417534647,130.17371652074436,311.0907091603537,43.91438833404721,,117.25224799509641,,,129.33923299660523,,172.6907462978984,,60.42769077218898,,184.7229824049296,135.02321963630635,76.83563907518617,101.33236950013969,,23.25905028626576,214.83371434556815,231.89869197206366,,115.79106361695682,114.31716165387684,163.75513452256453,,,171.13732869690506,57.139003200913386,101.80051756218299,182.801331449112,381.1156291772927,120.16849129292301,92.23053547232631,233.26481492865614,333.86915128527085,162.4971668726765,199.50255782466004,163.33565166962617,80.37234425253979,254.74977978875052,66.64290817932574,60.172014948149084
12,Wolves,154.1412679365548,38,184.02532514168482,,265.156340982707,200.2857618860717,142.06374964218196,311.0535402480673,,166.93488262796765,,,185.99775318613308,,242.6479973243915,304.95876931638,,48.82730068692057,69.01226716062169,295.3799781480302,,158.53495293347493,213.65720191481856,168.8972487320542,,66.76671759588741,134.85481698544973,,76.66007257989602,,105.1907800281437,,73.13447472443113,,,61.8848841642493,137.05249771502764,172.37470293066437,140.84911283027344,25.642109142573634,243.10446596260547,42.63643302755026,291.03374273796805,208.73701169029832,181.37445928575733,154.01939236208355,111.76271369150449,104.73543306545147,240.4589152354798,25.61069396653782,91.55086053318274,137.7250474538125,72.77577394874994
13,Burnley,163.4104417979567,38,225.13681279634292,126.4141751110445,191.1686085839766,,229.9610277868594,108.53624373036604,,81.63964981037768,150.28269981136933,273.06330005888884,295.0546328777528,284.62196289771435,94.75247922427329,,,187.89093478223333,,178.2457142210976,196.57963013648788,113.88976861963313,55.09386530522533,47.75881283830866,,163.44223740450502,175.09551219885543,129.01058372461992,116.40811371787481,,,,216.57847404395406,174.80037510176425,,,,97.68515961553052,220.99284433775782,98.13737837445908,,196.17056793902168,234.47517523621397,88.40260405156451,161.7126979984298,129.65322433693777,117.63948283160424,235.5474258349322,93.59885281562858,221.70801055100065,165.58016481291116,152.10274602470975,180.76483877812782
14,Everton,163.50456012772156,38,373.54578077315216,182.41324795383827,187.68409088281422,32.132775100511004,161.11246287529914,97.49002885390105,,100.1197907184242,,88.06255733915116,72.52612868800637,294.7811690763704,159.03808112384579,,98.28967937264946,98.05735506809653,,267.8213127416425,,111.279766219614,,309.4944439293988,,25.69199461963572,354.19783356842294,,109.13982133846143,,173.33031652869994,,158.79826082744603,,,,249.6723209132777,230.3414911199873,90.00810980975209,164.79541256519016,123.6893363630605,155.60165394354175,63.86728367123621,233.5417869779536,428.68422022389547,198.61273714254946,99.85268051041326,138.60828131653324,98.6692359973077,238.74933246175368,75.08001781982743,102.53514756946146,65.85733884829672
15,Newcastle,165.2181999636925,38,199.3264265532787,,41.97133539502966,,259.5410721026475,157.6118117111429,,113.81816831562344,47.501690311761635,58.94158450036407,42.25404928827875,,287.4032415097034,,87.47494629552553,83.45737455819061,206.5822972693254,176.75397455164622,,51.02240062650091,,82.8579645339611,,57.75218926925968,101.35786182520178,,121.13919812774533,,207.04232796607707,,,,167.95407877075422,208.19006213014066,200.919144047726,224.15174638375387,79.28527815430428,261.6717118983195,263.74963059257544,127.26424982858428,153.15493963314188,186.04216404485655,247.9084659222156,123.49667768163825,159.51810906884631,124.8798871423001,155.1387012774517,265.9138026045568,451.9110309869982,150.2477544569012,343.0842492839863
16,Southampton,176.49379134020327,38,385.47236018465014,,68.75510336892502,,381.5347104814282,83.36028462719119,,280.08579484373575,308.6452569998073,114.93460098107707,379.34577553558796,,159.8039909036345,,,178.721572806379,105.17158299097284,362.0619897366955,,73.77996312945243,,24.658861571060974,,289.849971919306,138.82799279279118,,93.24704736856572,,328.22832870662387,,64.15746541090587,223.80449344396536,150.2334760289373,,175.0483827168616,177.672368693736,166.30548117975206,159.47049826161972,177.01453851954653,75.76448536916979,68.01245345062493,117.76529612001751,88.2808191629833,47.23765003351636,325.8531059283879,125.6235396575501,69.90430248696593,70.88377027361149,158.4973639818392,215.16773520961902,293.5816560502292
17,Leicester,179.2772294314105,38,119.26117507921718,126.30873835687774,358.92035133908604,218.9802407480018,207.64613019259627,131.69996832245317,,75.35713522552257,207.49198531364505,376.3342830904969,199.39199019392242,,88.19050579528557,178.34450999786304,,250.01376866391,,227.55964734581184,,136.66308689462943,,65.09893484769385,,72.80495079028549,158.24507723177803,,128.13082113158288,,342.18704718957054,,,175.8176651961934,222.83459032657464,,,66.12807215544528,234.4797022983425,223.582636192846,329.4807072913281,201.62433934382358,219.70463826769952,93.89488027898263,120.56817962435943,97.50709918594627,129.75350240345938,56.240181815128615,157.7720508545653,158.82992682489493,249.5547547701543,223.39099698974618,182.74044682387773
18,Watford,180.18604955261776,38,202.62257341461788,,247.60020680736466,100.30245347301819,279.4578551017147,180.811983592544,,210.51689030215334,,219.33096655272507,94.8210744116274,,128.9067307869269,,,142.57671849740308,213.4783362202042,85.52490640294849,,229.70816661830204,89.82583210855654,130.2579757723506,,229.71337088700176,98.36970643719509,100.60757095450367,160.1219374785907,,134.15224905338454,,154.9850895962665,278.7642019636505,,,,191.11641406775792,230.1897073426333,71.05761662589495,263.4337539227406,158.6776729682094,127.0290792727111,216.37492172572246,226.25984174659874,210.58564798505208,167.01596381650765,326.23324719980866,135.4519748695903,400.61512412618237,73.35938622598445,192.93806757178328,144.2746670992482
19,Leeds,182.3253328542844,38,87.23260350724034,,244.1011374701153,114.46495972231116,231.79859593321865,172.0791862238292,,177.7303467949878,,,148.38365682699276,,234.10418603516567,170.84446027468832,,242.8354697621252,161.4938918080934,39.120817697703416,,209.8208015064586,307.0646994359234,248.7829806886787,,318.55043303662507,192.83227490709538,,150.55878938499265,,230.1115800584866,,125.95620029611145,,,314.24673602976327,207.18335012634464,214.22803274081417,123.84072705519533,77.91077352573423,210.98339175001468,189.98537887876827,86.63317991235363,114.54952863249468,123.90290161217824,210.57581044083324,26.63098002800733,194.41703175922078,158.7758432545142,257.4156245338197,224.70464648789928,228.2560434207725,156.255596903235
20,Norwich,211.93717987476555,38,344.91017493261364,,137.5663173094804,280.6825732885634,328.05511958799315,293.3152320874537,,249.9725073234205,,158.6234831356247,190.00493542751423,,256.8371188108529,,,351.33229763402903,166.08568875117362,229.2493632314827,,359.6361606436215,,181.72200946561034,,305.6793096581063,134.87339518373494,,183.4850283531609,,66.49648524099094,,282.611020785471,265.7137527231996,249.57192131092873,,249.1317070701662,199.6072121430061,160.3633508805931,149.37009242941502,40.91704221956737,128.84265040932488,293.43205401469527,123.71760085341297,242.02771091905555,125.81249046192933,76.67908611900579,280.03049574263883,354.58704637639323,231.50406599759577,138.7488918329612,139.3361166394111,103.08132624689287
