,Teams,Opponent xG av,Matches,GW47,GW46,GW45,GW44,GW43,GW42,GW41,GW40,GW39*,GW39,GW38,GW37,GW36,GW35,GW34,GW33,GW32,GW31,GW30,GW29,GW28,GW27,GW26,GW25,GW24*,GW24,GW23,GW22,GW21,GW20,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW7,GW6,GW5,GW4,GW3,GW2,GW1
11,Burnley,178.18421052631578,38,155.0,72.0,175.0,338.0,308.0,152.0,213.0,97.0,,230.0,,,,,,,,,,117.0,251.0,153.0,128.0,135.0,,254.0,243.0,299.0,143.0,201.0,236.0,30.0,48.0,183.0,268.0,97.0,201.0,87.0,201.0,245.0,173.0,145.0,138.0,120.0,181.0,202.0,180.0,226.0,146.0
12,Brighton,178.5,38,147.0,165.0,280.0,379.0,311.0,131.0,161.0,120.0,,179.0,,,,,,,,,,102.0,191.0,234.0,75.0,164.0,,188.0,75.0,239.0,252.0,126.0,179.0,67.0,122.0,223.0,166.0,235.0,243.0,311.0,84.0,143.0,318.0,88.0,339.0,126.0,36.0,185.0,174.0,113.0,112.0
13,Crystal Palace,180.28947368421052,38,80.0,171.0,199.0,189.0,176.0,191.0,92.0,252.0,,123.0,,,,,,,,,,177.0,303.0,80.0,204.0,124.0,,149.0,407.0,151.0,150.0,211.0,126.0,109.0,228.0,178.0,118.0,195.0,194.0,259.0,171.0,189.0,309.0,133.0,181.0,214.0,141.0,107.0,231.0,213.0,126.0
14,West Ham,181.78947368421052,38,128.0,141.0,186.0,89.0,134.0,127.0,197.0,120.0,,181.0,,,,,,,,,,142.0,157.0,371.0,311.0,209.0,159.0,299.0,177.0,138.0,63.0,219.0,205.0,,86.0,168.0,209.0,235.0,190.0,213.0,169.0,161.0,300.0,182.0,210.0,126.0,107.0,108.0,287.0,167.0,237.0
15,Spurs,183.92105263157896,38,124.0,320.0,191.0,131.0,149.0,95.0,139.0,89.0,,152.0,,,,,,,,,,334.0,178.0,195.0,255.0,294.0,,138.0,200.0,255.0,163.0,58.0,89.0,146.0,250.0,84.0,167.0,222.0,135.0,129.0,118.0,343.0,87.0,242.0,175.0,196.0,174.0,304.0,113.0,469.0,86.0
16,Arsenal,186.6315789473684,38,305.0,94.0,334.0,206.0,117.0,98.0,49.0,123.0,152.0,288.0,,,,,,,,,,177.0,,240.0,107.0,139.0,,320.0,165.0,111.0,145.0,176.0,184.0,111.0,166.0,133.0,279.0,189.0,267.0,218.0,345.0,190.0,104.0,86.0,162.0,182.0,287.0,161.0,362.0,227.0,93.0
17,Bournemouth,198.0,38,196.0,236.0,111.0,206.0,118.0,257.0,145.0,105.0,,75.0,,,,,,,,,,190.0,264.0,202.0,294.0,243.0,,301.0,182.0,220.0,194.0,179.0,244.0,37.0,354.0,294.0,112.0,202.0,188.0,275.0,125.0,81.0,91.0,187.0,309.0,264.0,209.0,181.0,317.0,248.0,88.0
18,Newcastle,201.73684210526315,38,163.0,122.0,172.0,279.0,336.0,223.0,150.0,138.0,,103.0,,,,,,,,,,126.0,97.0,231.0,202.0,258.0,,160.0,240.0,158.0,234.0,320.0,224.0,206.0,126.0,207.0,200.0,332.0,242.0,197.0,255.0,165.0,259.0,121.0,187.0,207.0,318.0,156.0,165.0,238.0,149.0
19,Aston Villa,214.81578947368422,38,69.0,92.0,112.0,150.0,176.0,119.0,86.0,126.0,215.0,71.0,,,,,,,,,,206.0,,255.0,360.0,180.0,,144.0,180.0,312.0,205.0,299.0,205.0,236.0,170.0,448.0,356.0,221.0,137.0,227.0,348.0,435.0,238.0,349.0,173.0,262.0,152.0,251.0,131.0,154.0,313.0
20,Norwich,225.47368421052633,38,476.0,311.0,283.0,253.0,144.0,101.0,170.0,180.0,,290.0,,,,,,,,,,168.0,199.0,231.0,253.0,162.0,,217.0,128.0,231.0,199.0,191.0,137.0,247.0,200.0,114.0,225.0,350.0,251.0,130.0,270.0,284.0,146.0,268.0,228.0,225.0,382.0,280.0,287.0,135.0,222.0
