,Name,Team,xG per fixture,xG per game,Team games,Played,GW47,GW46,GW45,GW44,GW43,GW42,GW41,GW40,GW39*,GW39,GW38,GW37,GW36,GW35,GW34,GW33,GW32,GW31,GW30,GW29,GW28,GW27,GW26,GW25,GW24*,GW24,GW23,GW22,GW21,GW20,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW7,GW6,GW5,GW4,GW3,GW2,GW1
14,Sadio Mane,Liverpool,32.60526315789474,35.4,38,35,19.0,2.0,86.0,50.0,14.0,31.0,32.0,25.0,,10.0,,,,,,,,,,40.0,8.0,87.0,21.0,0.0,0.0,4.0,41.0,31.0,88.0,41.0,44.0,,31.0,0.0,31.0,60.0,40.0,39.0,78.0,22.0,4.0,45.0,32.0,6.0,66.0,37.0,30.0,38.0,6.0
15,Richarlison de Andrade,Everton,32.44736842105263,34.25,38,36,38.0,19.0,14.0,4.0,23.0,1.0,21.0,36.0,,52.0,,,,,,,,,,29.0,32.0,92.0,57.0,6.0,,0.0,0.0,77.0,37.0,44.0,35.0,32.0,14.0,52.0,48.0,29.0,14.0,54.0,60.0,32.0,20.0,43.0,27.0,39.0,19.0,53.0,18.0,30.0,32.0
16,Teemu Pukki,Norwich,31.63157894736842,33.388888888888886,38,36,7.0,0.0,0.0,12.0,10.0,18.0,2.0,2.0,,22.0,,,,,,,,,,35.0,19.0,44.0,11.0,74.0,,29.0,54.0,0.0,24.0,4.0,44.0,66.0,48.0,60.0,36.0,28.0,24.0,50.0,40.0,16.0,26.0,70.0,33.0,44.0,33.0,24.0,38.0,114.0,41.0
17,Sergio Aguero,Man City,31.263157894736842,49.5,38,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,29.0,,,,,,,,,,2.0,,36.0,97.0,96.0,,35.0,151.0,109.0,0.0,23.0,0.0,2.0,0.0,0.0,0.0,0.0,35.0,44.0,111.0,0.0,0.0,46.0,7.0,56.0,89.0,58.0,68.0,51.0,17.0
18,Heung-Min Son,Spurs,30.105263157894736,38.13333333333333,38,30,3.0,35.0,26.0,52.0,22.0,51.0,10.0,2.0,,50.0,,,,,,,,,,0.0,0.0,0.0,140.0,36.0,,62.0,48.0,30.0,0.0,0.0,0.0,8.0,19.0,60.0,30.0,27.0,34.0,74.0,12.0,57.0,14.0,8.0,37.0,20.0,64.0,38.0,75.0,0.0,0.0
19,Diogo Jota,Wolves,29.973684210526315,33.5,38,34,11.0,0.0,26.0,36.0,12.0,18.0,5.0,4.0,,52.0,,,,,,,,,,22.0,67.0,68.0,21.0,55.0,,19.0,0.0,0.0,6.0,17.0,34.0,18.0,53.0,95.0,38.0,22.0,27.0,95.0,75.0,40.0,8.0,0.0,0.0,74.0,24.0,0.0,60.0,12.0,25.0
20,Wilfried Zaha,Crystal Palace,29.026315789473685,29.026315789473685,38,38,22.0,50.0,76.0,27.0,31.0,9.0,34.0,0.0,,24.0,,,,,,,,,,43.0,37.0,13.0,20.0,36.0,,12.0,25.0,4.0,31.0,12.0,34.0,31.0,25.0,8.0,32.0,25.0,67.0,6.0,25.0,43.0,21.0,12.0,57.0,34.0,22.0,52.0,43.0,28.0,32.0
21,Riyad Mahrez,Man City,28.789473684210527,33.15151515151515,38,33,81.0,10.0,2.0,31.0,67.0,58.0,4.0,6.0,34.0,23.0,,,,,,,,,,6.0,,38.0,0.0,30.0,,54.0,8.0,58.0,49.0,66.0,4.0,114.0,17.0,32.0,9.0,8.0,61.0,0.0,0.0,0.0,0.0,22.0,61.0,50.0,0.0,44.0,2.0,6.0,39.0
22,Michail Antonio,West Ham,28.789473684210527,45.583333333333336,38,24,4.0,60.0,25.0,181.0,95.0,54.0,76.0,52.0,,1.0,,,,,,,,,,35.0,46.0,4.0,26.0,67.0,0.0,41.0,0.0,0.0,0.0,16.0,40.0,,34.0,27.0,0.0,54.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,58.0,0.0
23,Harry Kane,Spurs,28.18421052631579,36.93103448275862,38,29,17.0,60.0,72.0,70.0,14.0,28.0,40.0,66.0,,8.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,31.0,44.0,65.0,29.0,27.0,48.0,11.0,50.0,30.0,19.0,0.0,19.0,44.0,12.0,31.0,86.0,5.0,38.0,8.0,4.0,95.0
24,Chris Wood,Burnley,28.157894736842106,33.4375,38,32,38.0,65.0,34.0,2.0,34.0,6.0,0.0,0.0,,0.0,,,,,,,,,,99.0,5.0,0.0,0.0,20.0,,21.0,55.0,36.0,54.0,4.0,15.0,2.0,57.0,34.0,4.0,57.0,35.0,77.0,0.0,0.0,56.0,8.0,37.0,111.0,6.0,17.0,65.0,8.0,8.0
25,Christian Pulisic,Chelsea,27.86842105263158,42.36,38,25,8.0,29.0,50.0,25.0,25.0,52.0,28.0,68.0,,55.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,54.0,0.0,19.0,0.0,72.0,30.0,94.0,45.0,6.0,100.0,71.0,110.0,25.0,2.0,0.0,0.0,0.0,41.0,38.0,4.0,8.0
26,Sebastien Haller,West Ham,26.63157894736842,31.625,38,32,22.0,2.0,7.0,0.0,23.0,0.0,0.0,0.0,,0.0,,,,,,,,,,47.0,66.0,23.0,0.0,8.0,2.0,12.0,64.0,14.0,29.0,55.0,8.0,,63.0,0.0,2.0,0.0,55.0,9.0,69.0,8.0,37.0,54.0,78.0,8.0,30.0,90.0,110.0,0.0,17.0
27,Kevin De Bruyne,Man City,26.44736842105263,28.714285714285715,38,35,54.0,37.0,0.0,3.0,14.0,15.0,46.0,17.0,1.0,73.0,,,,,,,,,,0.0,,23.0,30.0,43.0,,13.0,29.0,6.0,10.0,44.0,8.0,56.0,50.0,49.0,17.0,56.0,20.0,38.0,54.0,12.0,19.0,0.0,18.0,40.0,2.0,27.0,16.0,38.0,27.0
28,Mason Mount,Chelsea,25.63157894736842,26.324324324324323,38,37,14.0,6.0,0.0,2.0,22.0,32.0,2.0,16.0,,23.0,,,,,,,,,,36.0,35.0,29.0,19.0,32.0,,2.0,18.0,30.0,32.0,19.0,14.0,20.0,41.0,48.0,67.0,39.0,1.0,44.0,44.0,36.0,19.0,26.0,8.0,10.0,29.0,9.0,53.0,77.0,20.0
29,David Silva,Man City,24.657894736842106,34.7037037037037,38,27,101.0,0.0,9.0,2.0,56.0,84.0,0.0,2.0,41.0,19.0,,,,,,,,,,0.0,,0.0,25.0,0.0,,0.0,55.0,37.0,0.0,0.0,0.0,0.0,0.0,62.0,26.0,36.0,6.0,0.0,79.0,59.0,34.0,28.0,0.0,89.0,11.0,15.0,44.0,0.0,17.0
30,Willian Borges Da Silva,Chelsea,24.473684210526315,25.833333333333332,38,36,0.0,19.0,33.0,6.0,58.0,59.0,51.0,23.0,,24.0,,,,,,,,,,30.0,0.0,19.0,16.0,0.0,,27.0,36.0,75.0,4.0,10.0,2.0,36.0,44.0,12.0,53.0,2.0,33.0,33.0,23.0,59.0,35.0,11.0,73.0,10.0,4.0,2.0,4.0,4.0,0.0
31,Bernardo Mota Veiga de Carvalho e Silva,Man City,24.394736842105264,27.264705882352942,38,34,0.0,22.0,4.0,40.0,2.0,62.0,0.0,14.0,30.0,4.0,,,,,,,,,,0.0,,31.0,50.0,22.0,,0.0,68.0,0.0,0.0,4.0,12.0,6.0,0.0,50.0,41.0,4.0,0.0,25.0,35.0,43.0,38.0,26.0,0.0,102.0,30.0,19.0,52.0,91.0,0.0
32,Gerard Deulofeu,Watford,23.57894736842105,32.0,38,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,0.0,11.0,23.0,12.0,38.0,,48.0,47.0,51.0,47.0,14.0,47.0,42.0,27.0,40.0,10.0,4.0,51.0,32.0,35.0,22.0,25.0,2.0,12.0,41.0,85.0,2.0,113.0,12.0,3.0
33,Harvey Barnes,Leicester,23.5,24.805555555555557,38,36,17.0,11.0,64.0,17.0,22.0,2.0,1.0,4.0,,10.0,,,,,,,,,,66.0,46.0,2.0,18.0,39.0,,59.0,57.0,7.0,0.0,26.0,2.0,4.0,27.0,47.0,60.0,8.0,27.0,33.0,7.0,45.0,42.0,4.0,9.0,49.0,4.0,25.0,21.0,0.0,11.0
34,Jordan Ayew,Crystal Palace,23.289473684210527,23.91891891891892,38,37,10.0,20.0,23.0,4.0,26.0,18.0,43.0,0.0,,23.0,,,,,,,,,,30.0,19.0,103.0,4.0,6.0,,22.0,2.0,25.0,43.0,1.0,55.0,22.0,1.0,6.0,28.0,6.0,12.0,0.0,23.0,58.0,11.0,59.0,49.0,19.0,40.0,38.0,17.0,0.0,19.0
35,Alexandre Lacazette,Arsenal,22.657894736842106,28.7,38,30,8.0,4.0,19.0,7.0,34.0,35.0,25.0,22.0,39.0,2.0,,,,,,,,,,19.0,,0.0,19.0,26.0,,8.0,3.0,70.0,50.0,4.0,56.0,0.0,0.0,0.0,27.0,47.0,60.0,51.0,27.0,68.0,2.0,0.0,0.0,0.0,0.0,69.0,2.0,58.0,0.0
36,Callum Wilson,Bournemouth,22.31578947368421,24.228571428571428,38,35,53.0,20.0,18.0,8.0,48.0,0.0,0.0,2.0,,16.0,,,,,,,,,,35.0,42.0,45.0,23.0,44.0,,31.0,41.0,14.0,8.0,18.0,9.0,4.0,0.0,6.0,4.0,13.0,10.0,30.0,12.0,2.0,17.0,17.0,84.0,21.0,54.0,19.0,19.0,26.0,35.0
37,Jack Grealish,Aston Villa,22.026315789473685,23.25,38,36,62.0,5.0,41.0,30.0,8.0,25.0,25.0,6.0,0.0,6.0,,,,,,,,,,2.0,,22.0,23.0,52.0,,34.0,31.0,12.0,23.0,22.0,15.0,45.0,17.0,41.0,0.0,32.0,52.0,0.0,0.0,0.0,86.0,43.0,19.0,6.0,10.0,20.0,11.0,11.0,0.0
38,Oliver McBurnie,Sheffield Utd,21.842105263157894,23.055555555555557,38,36,18.0,26.0,0.0,36.0,19.0,29.0,47.0,9.0,21.0,21.0,,,,,,,,,,27.0,,104.0,66.0,24.0,,11.0,69.0,21.0,35.0,0.0,56.0,17.0,4.0,0.0,42.0,7.0,17.0,0.0,0.0,0.0,6.0,8.0,42.0,0.0,8.0,2.0,21.0,13.0,4.0
39,Jay Rodriguez,Burnley,21.763157894736842,22.97222222222222,38,36,54.0,90.0,26.0,28.0,21.0,12.0,0.0,71.0,,0.0,,,,,,,,,,85.0,46.0,61.0,38.0,38.0,,17.0,13.0,0.0,26.0,18.0,4.0,17.0,0.0,30.0,2.0,9.0,1.0,0.0,10.0,42.0,5.0,17.0,19.0,0.0,0.0,17.0,0.0,10.0,0.0
40,Troy Deeney,Watford,21.07894736842105,29.666666666666668,38,27,51.0,0.0,19.0,75.0,14.0,2.0,7.0,18.0,,12.0,,,,,,,,,,31.0,40.0,6.0,21.0,0.0,,70.0,94.0,46.0,6.0,117.0,17.0,77.0,0.0,20.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,9.0
41,Ayoze Perez,Leicester,20.5,23.606060606060606,38,33,0.0,44.0,34.0,15.0,0.0,18.0,18.0,4.0,,0.0,,,,,,,,,,0.0,63.0,0.0,24.0,4.0,,67.0,37.0,0.0,83.0,4.0,0.0,3.0,0.0,0.0,12.0,29.0,55.0,11.0,12.0,129.0,10.0,4.0,23.0,21.0,8.0,0.0,4.0,31.0,12.0
42,Nathan Redmond,Southampton,19.789473684210527,23.5,38,32,35.0,34.0,24.0,24.0,8.0,30.0,16.0,6.0,,43.0,,,,,,,,,,0.0,0.0,0.0,0.0,19.0,,26.0,3.0,4.0,59.0,8.0,38.0,10.0,0.0,34.0,46.0,17.0,30.0,2.0,2.0,29.0,28.0,9.0,51.0,36.0,0.0,0.0,41.0,11.0,29.0
43,Lucas Rodrigues Moura da Silva,Spurs,19.763157894736842,21.457142857142856,38,35,8.0,2.0,35.0,35.0,26.0,5.0,12.0,13.0,,0.0,,,,,,,,,,12.0,43.0,29.0,42.0,2.0,,20.0,43.0,32.0,41.0,10.0,21.0,2.0,43.0,33.0,0.0,0.0,41.0,15.0,11.0,0.0,24.0,26.0,0.0,2.0,0.0,0.0,25.0,66.0,32.0
44,Miguel Almiron,Newcastle,19.736842105263158,20.833333333333332,38,36,0.0,19.0,34.0,35.0,0.0,56.0,19.0,18.0,,19.0,,,,,,,,,,54.0,63.0,2.0,2.0,12.0,,2.0,2.0,28.0,8.0,32.0,4.0,36.0,0.0,28.0,9.0,5.0,3.0,30.0,51.0,17.0,8.0,29.0,0.0,36.0,2.0,24.0,36.0,6.0,21.0
45,Mahmoud Ahmed Ibrahim Hassan,Aston Villa,19.5,21.794117647058822,38,34,11.0,34.0,12.0,71.0,3.0,2.0,4.0,8.0,7.0,0.0,,,,,,,,,,0.0,,21.0,12.0,0.0,,21.0,2.0,30.0,2.0,0.0,30.0,35.0,0.0,26.0,63.0,26.0,0.0,37.0,39.0,63.0,10.0,3.0,2.0,39.0,0.0,28.0,4.0,61.0,35.0
46,James Maddison,Leicester,18.473684210526315,22.64516129032258,38,31,0.0,0.0,0.0,0.0,0.0,0.0,23.0,13.0,,32.0,,,,,,,,,,23.0,2.0,15.0,8.0,16.0,,31.0,42.0,0.0,35.0,7.0,2.0,7.0,26.0,47.0,17.0,27.0,35.0,34.0,10.0,25.0,35.0,21.0,0.0,44.0,21.0,29.0,46.0,16.0,13.0
47,Matt Doherty,Wolves,17.92105263157895,18.916666666666668,38,36,4.0,6.0,8.0,3.0,2.0,4.0,6.0,9.0,,4.0,,,,,,,,,,6.0,34.0,63.0,4.0,53.0,,6.0,4.0,18.0,52.0,0.0,23.0,41.0,10.0,23.0,2.0,37.0,21.0,48.0,39.0,35.0,4.0,0.0,33.0,33.0,36.0,0.0,10.0,0.0,0.0
48,Abdoulaye Doucoure,Watford,17.55263157894737,18.027027027027028,38,37,30.0,0.0,6.0,29.0,8.0,0.0,12.0,0.0,,25.0,,,,,,,,,,40.0,25.0,27.0,22.0,28.0,,0.0,15.0,53.0,19.0,20.0,0.0,8.0,13.0,19.0,6.0,10.0,21.0,32.0,24.0,9.0,20.0,13.0,9.0,0.0,33.0,22.0,61.0,6.0,2.0
49,Harry Wilson,Bournemouth,17.55263157894737,21.516129032258064,38,31,1.0,50.0,2.0,0.0,51.0,0.0,18.0,0.0,,2.0,,,,,,,,,,0.0,0.0,18.0,25.0,26.0,,73.0,0.0,17.0,4.0,28.0,28.0,0.0,0.0,0.0,6.0,58.0,10.0,35.0,65.0,21.0,12.0,2.0,0.0,17.0,15.0,18.0,25.0,40.0,0.0
50,Todd Cantwell,Norwich,17.263157894736842,17.72972972972973,38,37,3.0,18.0,0.0,1.0,0.0,6.0,10.0,0.0,,2.0,,,,,,,,,,2.0,10.0,0.0,8.0,6.0,,40.0,32.0,29.0,60.0,0.0,17.0,17.0,19.0,19.0,4.0,41.0,39.0,6.0,0.0,11.0,6.0,49.0,52.0,28.0,33.0,8.0,37.0,41.0,2.0
51,Anwar El Ghazi,Aston Villa,17.236842105263158,19.264705882352942,38,34,0.0,0.0,7.0,2.0,1.0,21.0,0.0,19.0,7.0,12.0,,,,,,,,,,0.0,,2.0,62.0,4.0,,8.0,8.0,49.0,0.0,28.0,6.0,35.0,8.0,37.0,0.0,0.0,37.0,13.0,17.0,0.0,36.0,61.0,30.0,9.0,11.0,0.0,74.0,43.0,8.0
52,Joelinton Cassio Apolinario de Lira,Newcastle,16.86842105263158,16.86842105263158,38,38,2.0,0.0,22.0,0.0,20.0,8.0,8.0,24.0,,77.0,,,,,,,,,,20.0,0.0,13.0,24.0,31.0,,8.0,8.0,0.0,23.0,36.0,21.0,18.0,5.0,24.0,4.0,0.0,13.0,41.0,5.0,17.0,6.0,6.0,2.0,35.0,6.0,38.0,40.0,12.0,24.0
53,Ismaila Sarr,Watford,16.763157894736842,22.75,38,28,35.0,4.0,47.0,6.0,4.0,0.0,24.0,4.0,,21.0,,,,,,,,,,28.0,72.0,0.0,0.0,0.0,,0.0,22.0,20.0,29.0,83.0,4.0,41.0,26.0,57.0,10.0,44.0,18.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,18.0,0.0,8.0,0.0,0.0
54,Christian Benteke,Crystal Palace,16.63157894736842,26.333333333333332,38,24,0.0,0.0,0.0,86.0,76.0,9.0,0.0,0.0,,6.0,,,,,,,,,,16.0,50.0,38.0,70.0,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,47.0,75.0,0.0,0.0,2.0,8.0,0.0,19.0,2.0,17.0,2.0,0.0,19.0,39.0,1.0,2.0,21.0,2.0
55,Wesley Moraes,Aston Villa,16.63157894736842,30.095238095238095,38,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,54.0,25.0,12.0,52.0,4.0,12.0,4.0,25.0,39.0,20.0,10.0,24.0,30.0,123.0,4.0,42.0,24.0,43.0,37.0,31.0,17.0
56,Bamidele Alli,Spurs,16.5,25.08,38,25,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,,0.0,,,,,,,,,,41.0,58.0,0.0,67.0,4.0,,74.0,11.0,10.0,31.0,49.0,38.0,0.0,22.0,15.0,56.0,69.0,4.0,0.0,17.0,13.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Nicolas Pepe,Arsenal,16.42105263157895,20.129032258064516,38,31,10.0,0.0,0.0,32.0,0.0,0.0,3.0,4.0,19.0,0.0,,,,,,,,,,48.0,,21.0,39.0,0.0,,6.0,47.0,23.0,26.0,0.0,2.0,0.0,3.0,27.0,47.0,0.0,6.0,0.0,0.0,13.0,19.0,8.0,23.0,70.0,5.0,75.0,39.0,9.0,0.0
58,Daniel James,Man Utd,16.36842105263158,18.848484848484848,38,33,0.0,0.0,0.0,0.0,4.0,4.0,38.0,2.0,,2.0,,,,,,,,,,38.0,0.0,54.0,2.0,8.0,,43.0,2.0,18.0,4.0,26.0,0.0,0.0,47.0,19.0,14.0,20.0,11.0,37.0,3.0,4.0,0.0,19.0,18.0,8.0,6.0,68.0,66.0,20.0,17.0
59,Kelechi Iheanacho,Leicester,15.868421052631579,30.15,38,20,19.0,13.0,0.0,38.0,35.0,80.0,52.0,6.0,,0.0,,,,,,,,,,31.0,11.0,19.0,0.0,0.0,,34.0,10.0,21.0,44.0,59.0,0.0,0.0,13.0,76.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Olivier Giroud,Chelsea,15.736842105263158,33.22222222222222,38,18,29.0,50.0,107.0,20.0,25.0,100.0,21.0,19.0,,25.0,,,,,,,,,,46.0,21.0,69.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0
61,John Egan,Sheffield Utd,15.447368421052632,16.305555555555557,38,36,0.0,20.0,40.0,36.0,17.0,62.0,0.0,0.0,34.0,6.0,,,,,,,,,,18.0,,25.0,54.0,4.0,,18.0,2.0,7.0,0.0,8.0,152.0,21.0,2.0,0.0,23.0,0.0,0.0,0.0,2.0,0.0,18.0,8.0,2.0,0.0,2.0,0.0,4.0,0.0,2.0
62,David McGoldrick,Sheffield Utd,15.368421052631579,20.857142857142858,38,28,0.0,30.0,4.0,68.0,0.0,12.0,13.0,18.0,0.0,0.0,,,,,,,,,,2.0,,0.0,0.0,0.0,,0.0,0.0,4.0,7.0,0.0,2.0,16.0,72.0,33.0,4.0,54.0,31.0,9.0,23.0,64.0,4.0,0.0,0.0,0.0,53.0,0.0,0.0,53.0,8.0
63,Adama Traore,Wolves,15.342105263157896,15.756756756756756,38,37,0.0,28.0,10.0,12.0,6.0,28.0,2.0,1.0,,0.0,,,,,,,,,,4.0,10.0,1.0,27.0,24.0,,22.0,20.0,6.0,8.0,8.0,57.0,46.0,57.0,50.0,8.0,6.0,14.0,12.0,6.0,30.0,1.0,26.0,8.0,29.0,0.0,2.0,8.0,6.0,0.0
64,Dominic Solanke,Bournemouth,14.973684210526315,17.78125,38,32,29.0,22.0,42.0,56.0,0.0,6.0,22.0,0.0,,3.0,,,,,,,,,,0.0,0.0,0.0,4.0,0.0,,28.0,4.0,4.0,7.0,32.0,0.0,0.0,49.0,18.0,18.0,30.0,0.0,10.0,0.0,8.0,52.0,8.0,26.0,4.0,22.0,9.0,54.0,2.0,0.0
65,James Ward-Prowse,Southampton,14.421052631578947,14.421052631578947,38,38,26.0,24.0,33.0,0.0,41.0,0.0,21.0,8.0,,40.0,,,,,,,,,,0.0,8.0,8.0,0.0,3.0,,2.0,0.0,8.0,0.0,15.0,0.0,14.0,17.0,13.0,4.0,21.0,90.0,7.0,33.0,15.0,26.0,1.0,11.0,34.0,0.0,2.0,4.0,2.0,17.0
66,Allan Saint-Maximin,Newcastle,14.263157894736842,20.846153846153847,38,26,0.0,6.0,43.0,23.0,0.0,10.0,17.0,25.0,,25.0,,,,,,,,,,35.0,7.0,25.0,19.0,61.0,,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,19.0,7.0,29.0,30.0,49.0,46.0,3.0,15.0,0.0,11.0,0.0,0.0,2.0,0.0,13.0
67,Leandro Trossard,Brighton,14.210526315789474,17.419354838709676,38,31,0.0,25.0,35.0,12.0,61.0,21.0,11.0,0.0,,8.0,,,,,,,,,,6.0,3.0,0.0,7.0,31.0,,3.0,33.0,13.0,39.0,24.0,0.0,0.0,17.0,5.0,6.0,14.0,12.0,0.0,35.0,8.0,0.0,0.0,0.0,0.0,0.0,59.0,17.0,35.0,0.0
68,Shane Long,Southampton,14.105263157894736,20.615384615384617,38,26,0.0,4.0,0.0,19.0,2.0,0.0,19.0,21.0,,0.0,,,,,,,,,,51.0,24.0,39.0,24.0,27.0,,32.0,25.0,7.0,7.0,0.0,0.0,64.0,24.0,51.0,35.0,55.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
