,Teams,xA av adj,Matches,GW47,GW46,GW45,GW44,GW43,GW42,GW41,GW40,GW39*,GW39,GW38,GW37,GW36,GW35,GW34,GW33,GW32,GW31,GW30,GW29,GW28,GW27,GW26,GW25,GW24*,GW24,GW23,GW22,GW21,GW20,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW7,GW6,GW5,GW4,GW3,GW2,GW1
11,Spurs,133.69852724252013,38,70.49995621077214,131.54430082256164,93.35875293503783,148.88932600112798,91.86085858585857,110.6714235685519,147.01411912450664,174.61352055587724,,109.44365312929173,,,,,,,,,,103.93429330970314,171.46239266198282,128.96671719359026,171.8053411735881,78.41645885286783,,124.26793884220353,174.27122775534616,246.96098171800648,109.1566692131398,135.86530112044812,114.50560224089637,96.28243828497183,149.49262295081965,153.99737114163344,117.83392191485187,151.20681818181816,146.84651129125652,232.65012558306418,83.5817019786377,135.45053844227397,161.19853446986687,92.06806722689075,101.66175706646294,178.8411280846063,126.58781199824841,93.73199379582628,157.18398121575785,70.8884788029925,193.5313977704275
12,Southampton,130.70931196051893,38,114.06851453175457,137.08080808080805,202.772268907563,146.82970374730232,194.47336718613204,103.50972568578551,97.62198295199637,119.44843485617598,,153.70175070028003,,,,,,,,,,73.17751108792066,118.16910828025478,181.8979419331128,120.65294638901196,263.34104683195585,,191.67175594803675,120.40415690866507,197.31645123384249,126.0679496351409,124.38468836666179,66.32184928540494,94.0692024990812,104.33112333526346,99.34749543438556,105.1102707749766,91.60290115148794,159.61928934010155,41.40542812116967,66.65399002493763,75.50248726987856,163.60727946916467,122.56604590731916,152.3433538417513,166.00151515151512,144.53191603875132,124.74355503237196,130.82380952380953,186.79574254946155,84.98648648648648
13,Arsenal,129.61186546009662,38,143.23533722147448,76.65754012005388,53.077710994239915,87.37471741307769,145.46237759498624,92.91126073380173,90.28326330532211,79.1770206264324,117.9361344537815,52.53902743142144,,,,,,,,,,139.56336132020846,,157.80313430222375,169.81776676232712,143.40889085807117,,54.746167171935895,146.90129171151773,53.70113851992409,165.4610359034726,134.14172802078818,161.9893939393939,96.4658378567676,108.52837905236905,112.1605095541401,146.5857142857143,118.9096638655462,164.69588999236052,127.35656090873479,197.85066354410617,159.4510728360823,184.69847506279152,131.22979797979798,158.7981753972925,174.8100085752787,94.89458651114101,236.74859064243807,145.68807913849233,194.7723083739477,105.41827550221757
14,Norwich,124.80642905805989,38,77.63229426433914,64.27393294934278,55.69945864010394,112.88882455124492,107.59108718408851,149.6453781512605,74.93238860688099,112.32323586061983,,105.69747899159663,,,,,,,,,,131.10545389307495,147.43307873090478,116.59933645589379,124.26799398948158,149.80060005217845,,140.46543139218772,150.20378787878784,99.20258975868158,143.2948328711137,64.5187151237659,135.82637510719096,172.07607338017172,153.7146886016451,218.7723537854323,129.5274560733384,129.91236604624928,140.62428646471722,138.2507851054284,98.18739495798317,106.35899548754169,117.93964646464643,134.3625627832904,123.65031382279956,114.52277359326538,128.4461596009975,85.48597278517659,112.07983975747075,177.03707278893813,198.29328825444526
15,Sheffield Utd,123.53316666792735,38,72.25864018334605,124.54664682192261,97.79604386995689,138.3634473798181,141.02382903981263,128.36210308669325,88.99443411074544,95.2542279772415,107.05902687190189,64.40774225162316,,,,,,,,,,79.71351540616244,,187.93753501400556,140.17348484848483,101.61907750693327,,111.50820448877803,102.95444162436546,139.47232194557034,84.42033558727773,177.53486284289275,176.6224315836698,78.43865546218485,88.5221242190371,78.6125,157.59416905817895,161.02982045277125,161.75944673337258,128.7674774645872,150.56075911977553,116.43936016213082,100.8261844331641,115.86732465978763,226.64340095166537,44.929294344247936,201.01738731856375,140.27003031615416,159.01094790442616,136.6854619763538,87.26363636363635
16,Watford,121.27200698392521,38,186.31118161308515,25.406932668329173,144.02429067747536,132.32659796504043,77.14447945845004,80.6212213079255,50.254346829640944,101.4264953478068,,124.89318448883662,,,,,,,,,,105.015559772296,208.53082895066362,113.88556013341179,56.18655462184873,94.04317982840132,,78.50656621340192,146.49437687795105,169.0941919191919,135.13249414519905,139.44738453999753,60.1370111230714,122.02905630763192,139.5455547207613,145.40615968471758,99.02773207990597,74.18041252864782,153.90448973563724,86.76001400560222,215.58005630142918,47.72752525252525,52.46082415223922,121.51512378902045,204.60115144418424,77.16179551122195,266.0321489001692,104.02363683798589,256.73103647944407,125.42761337769215,87.3394957983193
17,Bournemouth,116.20090258955777,38,158.90434249693573,115.21025210084031,201.05980049875308,123.04565217391301,99.79254542853053,71.93421620561114,113.7861074876076,75.35999219359874,,162.02138373960005,,,,,,,,,,150.09809666917104,178.12932005197052,140.34380446019787,140.244474345174,89.98593654293764,,104.67759103641455,62.684477124183,101.76010168984595,67.46017660683266,91.04817927170869,96.30363790186124,55.35731797371142,144.08319618882632,68.04027047332832,103.27142023062325,168.0905995135212,109.72611241217795,108.94589094703885,140.78377476947225,140.03770001495434,81.98894724556489,101.09221658206427,158.8637087434858,55.63530939648585,130.0526877954824,147.18674108891497,124.36850374064836,106.08787210584343,128.17194115536418
18,Newcastle,115.44471203521044,38,63.15775106436263,131.19467787114846,203.63438260123047,85.67786750411243,119.82034912718203,107.97269832078747,109.91540404040403,123.42249173098122,,159.6507893792608,,,,,,,,,,134.13970970206262,163.74991877123026,92.16400525470733,110.31466441060348,111.93656629318392,,65.74212922430397,135.2312039844088,101.13458235753318,69.09770857814334,213.0837856767641,115.98312732980182,90.51166253101735,88.33021710234823,101.1813139801375,79.54332615715823,80.76895261845385,97.61316917799827,106.23762626262626,95.59134337000577,191.59112021857916,109.35614984841922,165.95458112615262,53.70160595377985,140.55910364145652,135.45053844227397,143.79962614027215,105.55153813134925,101.22001633986926,82.91335307388606
19,Burnley,113.48979203990261,38,181.35462184873944,192.75109710550885,140.16467603434813,70.087778612572,113.34402142443543,125.6897380696089,70.49995621077214,105.99226858082845,,21.015610972568577,,,,,,,,,,131.46700529403347,84.33462040177406,121.36666666666665,90.03503437738732,197.75056401579238,,81.06480282519128,87.94253819036426,54.88235166738847,191.37420066152146,125.97741808907197,89.19786377166871,25.49368686868687,77.03327680667884,79.63607096866502,68.6928179551122,133.2889797109911,72.9813668311649,146.5733931673422,74.57891998564763,199.23791684711995,153.46835095965525,128.73123796182801,93.8380742374127,135.71849906629316,76.86246498599438,145.53057851239666,161.64350117096015,161.92490129723635,101.0852253628724
20,Crystal Palace,110.62915602555663,38,169.71031621118897,108.49875097580015,150.65467922307238,86.51901261791006,193.38198354265913,119.10424990207598,117.0305715551617,53.077710994239915,,71.13156565656564,,,,,,,,,,140.50794078061907,111.26050420168065,151.7695016957996,102.30224128874103,176.010764262648,,64.95590527119937,93.3155860349127,51.25552735476593,105.6240779645191,58.13361344537813,128.27447886508395,147.99577354552568,115.43277310924368,35.9263944967848,61.352020202020185,77.55597400679368,270.5860756323566,77.35279341706365,92.99245985115549,110.31466441060348,117.31102244389027,87.48883902721481,133.9568744164332,135.13249414519908,108.16108169981393,176.81312017640573,37.01589170100059,89.24648367420164,76.75421117142356
