,Name,Team,xA per fixture,xA per game,Team games,Played,GW47,GW46,GW45,GW44,GW43,GW42,GW41,GW40,GW39*,GW39,GW38,GW37,GW36,GW35,GW34,GW33,GW32,GW31,GW30,GW29,GW28,GW27,GW26,GW25,GW24*,GW24,GW23,GW22,GW21,GW20,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW7,GW6,GW5,GW4,GW3,GW2,GW1
12,Pascal Groß,Brighton,23.907894736842106,31.32758620689655,38,29,0.0,36.0,0.3,25.4,15.8,11.3,0.0,0.0,,15.7,,,,,,,,,,0.0,0.0,0.0,8.3,57.9,,21.8,18.5,16.8,0.0,0.0,46.3,5.1,59.3,29.8,79.4,28.8,0.0,16.8,41.8,2.5,69.7,58.0,33.5,41.3,69.1,0.8,14.9,72.7,10.9
13,Riyad Mahrez,Man City,23.310526315789474,26.84242424242424,38,33,16.1,2.2,1.0,57.9,26.4,19.2,20.8,55.2,10.0,9.1,,,,,,,,,,26.7,,69.4,0.0,27.0,,40.9,1.9,40.8,45.6,33.2,1.7,50.7,3.7,21.1,11.8,9.2,16.9,0.0,0.0,0.0,0.0,4.9,59.7,51.8,18.8,66.3,13.6,1.0,51.2
14,Mohamed Salah,Liverpool,21.968421052631573,24.552941176470583,38,34,24.0,16.8,3.3,37.0,24.6,35.3,22.8,33.1,,0.0,,,,,,,,,,44.8,3.3,15.3,24.7,32.5,28.8,18.5,32.7,40.2,40.2,38.5,15.9,,3.9,51.5,0.0,12.7,0.0,3.3,1.2,15.3,0.0,37.7,13.3,15.3,41.8,38.4,16.6,11.8,39.7
15,Sadio Mane,Liverpool,21.75263157894737,23.61714285714286,38,35,2.6,5.1,53.9,58.8,12.8,13.1,12.2,62.7,,24.6,,,,,,,,,,28.6,4.2,12.3,2.6,0.0,0.0,17.0,25.5,10.6,15.8,15.5,36.3,,15.2,0.0,28.1,32.9,24.7,22.3,45.7,32.6,36.3,16.5,3.6,3.4,26.0,16.6,51.2,56.0,1.3
16,Ashley Westwood,Burnley,21.426315789473684,23.26285714285714,38,35,22.8,73.3,26.1,1.4,7.8,42.4,24.7,24.0,,2.6,,,,,,,,,,30.0,15.4,22.6,21.5,43.9,,1.8,2.3,2.1,51.6,37.3,19.5,12.8,26.6,0.0,0.0,0.0,9.6,16.8,18.8,3.2,31.9,39.4,19.6,50.3,32.4,15.3,30.3,22.6,11.5
17,Mason Mount,Chelsea,21.42105263157895,22.0,38,37,54.7,1.8,0.0,13.8,18.0,6.1,32.5,2.2,,16.3,,,,,,,,,,13.3,20.6,5.0,17.5,35.7,,5.1,50.7,46.3,17.1,17.5,22.6,16.8,9.9,21.8,8.2,32.9,0.6,33.8,14.4,23.7,19.4,23.4,27.6,16.8,44.8,18.0,30.2,23.1,51.8
18,Oliver Norwood,Sheffield Utd,21.284210526315782,21.284210526315782,38,38,0.2,1.4,32.2,16.7,17.2,33.2,1.6,22.3,3.8,24.3,,,,,,,,,,17.4,,64.3,3.1,27.3,,5.5,24.4,40.8,11.3,37.4,43.3,15.2,25.0,1.3,8.2,16.6,23.0,18.2,2.8,4.9,15.7,43.0,19.4,0.8,54.8,17.3,31.8,61.8,21.3
19,Youri Tielemans,Leicester,21.194736842105264,21.76756756756757,38,37,37.4,52.5,40.7,24.5,36.3,28.4,5.8,2.8,,16.3,,,,,,,,,,21.5,1.5,15.6,3.8,27.3,,16.1,6.5,11.0,26.3,0.0,3.8,12.3,21.9,25.8,14.7,20.7,13.9,44.6,17.5,47.5,37.2,4.3,25.3,29.3,9.7,31.9,35.2,4.8,30.7
20,Adama Traore,Wolves,20.694736842105254,21.254054054054045,38,37,0.7,26.4,46.8,2.4,8.4,41.8,17.5,15.7,,15.0,,,,,,,,,,11.0,19.4,0.7,24.9,30.4,,40.3,26.5,26.4,32.5,1.3,46.1,49.9,18.8,3.4,27.3,16.7,34.3,18.8,27.3,33.6,3.7,14.3,20.5,49.8,15.8,1.3,0.8,15.9,0.0
21,Bernardo Mota Veiga de Carvalho e Silva,Man City,20.347368421052625,22.741176470588226,38,34,0.3,49.9,28.1,25.8,14.7,71.1,0.3,13.1,48.6,3.8,,,,,,,,,,3.4,,17.6,38.0,12.1,,0.0,43.7,0.0,0.0,40.9,3.4,17.9,14.2,26.4,43.2,1.3,0.0,24.3,25.1,47.8,42.5,4.9,0.3,33.0,33.2,1.1,21.8,21.4,0.0
22,Gylfi Sigurdsson,Everton,20.13421052631579,21.86,38,35,21.0,38.3,0.9,3.3,14.5,2.2,3.2,0.9,,4.0,,,,,,,,,,0.9,18.6,33.0,13.3,30.5,,0.0,0.0,16.7,40.6,33.9,69.3,1.7,0.0,15.8,16.2,16.6,21.8,42.8,1.2,1.4,0.8,28.2,67.3,58.0,14.7,71.6,23.0,25.8,13.1
23,Raheem Sterling,Man City,19.771052631578947,22.766666666666666,38,33,37.7,7.4,1.5,42.9,1.8,3.9,1.1,21.3,0.0,62.1,,,,,,,,,,15.1,,0.0,0.0,27.8,,9.0,13.5,0.0,0.0,26.2,1.8,36.3,31.4,30.6,8.3,34.8,4.4,4.9,49.6,37.3,41.8,18.1,52.3,0.0,57.8,14.5,12.8,30.6,12.7
24,David Silva,Man City,19.36315789473684,27.25185185185185,38,27,18.3,0.0,19.7,18.6,52.2,41.5,0.0,4.4,54.3,14.5,,,,,,,,,,0.0,,0.0,39.1,0.0,,0.0,17.5,65.8,1.5,0.0,0.0,0.0,0.0,49.3,51.9,50.4,17.7,0.0,5.7,31.8,27.9,17.2,0.3,21.9,9.6,42.4,29.4,0.6,32.3
25,Cesar Azpilicueta,Chelsea,18.650000000000006,19.686111111111117,38,36,2.4,12.3,66.3,22.2,2.0,55.9,16.0,1.8,,45.5,,,,,,,,,,2.9,42.3,2.4,4.4,7.8,,23.6,15.6,13.9,3.3,13.8,5.3,3.1,55.8,33.1,34.6,0.0,13.3,0.0,8.0,13.2,5.3,2.2,12.1,54.9,12.5,31.6,22.0,30.5,16.8
26,Roberto Firmino,Liverpool,18.5,18.5,38,38,27.8,13.0,15.9,66.6,12.7,2.0,10.9,5.0,,13.9,,,,,,,,,,6.3,2.4,18.8,14.7,43.8,19.3,27.1,36.1,45.4,5.6,4.6,23.3,,13.1,21.9,10.3,3.1,4.0,11.0,45.5,14.8,5.8,26.5,14.9,12.6,49.6,26.9,5.8,7.2,14.8
27,Raul Jimenez,Wolves,17.584210526315786,17.584210526315786,38,38,3.4,2.9,3.3,5.1,28.8,30.9,5.6,3.8,,23.8,,,,,,,,,,24.3,15.1,12.3,7.2,2.0,,36.3,6.9,5.4,4.7,10.3,38.2,26.2,17.4,44.8,27.1,29.8,24.2,46.3,14.4,32.3,3.6,31.0,12.0,41.6,5.3,2.8,24.4,2.5,12.2
28,John Fleck,Sheffield Utd,17.073684210526316,21.62666666666667,38,30,15.2,17.7,1.7,0.0,0.0,0.0,0.0,4.8,30.6,0.0,,,,,,,,,,5.8,,19.5,36.8,27.6,,6.0,22.3,40.4,8.2,2.8,17.8,0.0,8.5,18.9,19.1,35.0,33.5,25.7,16.8,43.3,46.8,11.2,33.0,16.6,39.2,0.0,0.0,15.5,28.5
29,Nicolas Pepe,Arsenal,16.826315789473686,20.625806451612906,38,31,34.2,26.5,3.1,4.3,0.0,0.0,0.8,17.6,17.6,0.0,,,,,,,,,,5.8,,51.3,58.8,0.0,,1.7,29.1,16.0,53.6,0.3,1.3,0.0,12.9,7.7,14.8,0.0,1.7,1.1,0.0,67.0,35.8,19.6,6.0,61.8,14.2,29.2,17.7,26.3,1.6
30,Ryan Fraser,Bournemouth,16.502631578947376,22.39642857142858,38,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,29.7,30.4,1.5,50.2,30.7,,27.8,30.3,54.8,16.9,10.8,16.8,19.0,13.3,26.8,13.6,17.3,16.8,31.3,24.3,37.1,7.6,16.0,0.0,0.1,3.3,42.6,2.0,31.4,24.7
31,Aaron Mooy,Brighton,16.18157894736842,19.83548387096774,38,31,11.4,8.2,1.1,2.5,15.0,44.3,0.3,16.8,,5.0,,,,,,,,,,17.8,51.3,41.9,20.6,3.1,,68.8,5.7,0.0,31.3,68.3,13.3,32.8,21.0,4.5,38.1,15.9,42.3,0.0,0.0,0.0,1.5,14.9,0.8,15.0,0.9,0.0,0.0,0.5,0.0
32,Heung-Min Son,Spurs,15.950000000000001,20.203333333333333,38,30,5.0,15.9,8.3,37.5,10.2,25.8,29.2,40.4,,2.8,,,,,,,,,,0.0,0.0,0.0,27.1,2.3,,3.7,45.6,2.7,0.0,0.0,0.0,1.3,3.3,53.2,5.4,51.2,37.0,29.5,12.8,2.5,4.7,2.4,34.8,36.2,15.4,24.7,35.2,0.0,0.0
33,Gerard Deulofeu,Watford,15.85,21.510714285714283,38,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,0.0,11.1,6.7,11.4,22.4,,17.9,15.8,19.4,24.3,72.8,14.5,14.4,3.8,45.3,16.3,2.8,59.3,13.3,26.5,7.6,12.1,11.3,12.9,0.3,92.0,1.0,32.3,29.3,5.5
34,Mark Noble,West Ham,15.847368421052632,18.24848484848485,38,33,40.1,77.8,23.7,99.4,0.0,17.2,0.0,14.8,,36.9,,,,,,,,,,39.1,12.3,3.0,15.7,22.7,2.2,1.7,27.1,2.3,14.4,0.0,14.2,,3.3,14.8,6.1,1.4,22.9,0.1,1.6,4.1,15.2,14.8,2.8,14.8,4.5,18.7,12.5,0.0,0.0
35,Jonjo Shelvey,Newcastle,15.721052631578948,22.976923076923075,38,26,21.2,29.7,40.0,1.5,0.8,40.8,29.8,22.8,,1.6,,,,,,,,,,43.3,11.3,0.0,0.0,0.0,,0.0,35.4,0.0,37.8,29.5,0.0,15.7,0.0,46.6,21.0,11.0,16.8,39.8,5.7,0.0,0.0,0.0,0.0,48.4,1.6,0.0,0.0,40.5,4.8
36,Ilkay Gundogan,Man City,15.586842105263154,19.10645161290322,38,31,2.8,0.0,8.6,0.0,3.2,0.0,1.3,9.9,0.0,31.4,,,,,,,,,,35.8,,17.1,1.8,33.9,,0.0,42.6,0.9,23.1,3.8,2.2,14.8,19.6,11.3,0.0,26.3,10.3,36.0,42.4,31.8,42.3,41.2,14.8,0.0,23.3,2.3,13.4,40.3,3.8
37,Wilfried Zaha,Crystal Palace,15.473684210526315,15.473684210526315,38,38,6.1,11.8,3.4,37.5,31.7,17.3,19.0,0.5,,4.2,,,,,,,,,,14.1,1.4,14.3,21.3,37.3,,16.8,11.7,19.3,21.9,12.1,24.8,7.3,16.2,14.1,14.3,29.5,9.7,11.9,22.2,6.6,14.8,14.9,58.7,6.5,2.2,15.0,2.0,14.8,0.8
38,Leandro Trossard,Brighton,15.405263157894739,18.883870967741938,38,31,0.0,24.2,11.3,4.9,17.1,13.4,11.7,1.4,,12.3,,,,,,,,,,40.3,12.3,0.0,3.3,39.1,,0.8,16.7,16.7,42.7,45.6,10.8,1.2,17.9,31.0,0.5,12.0,14.3,28.8,53.7,14.3,0.0,0.0,0.0,0.0,0.0,3.8,81.0,2.3,0.0
39,Mesut Ozil,Arsenal,15.339473684210526,32.38333333333333,38,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,18.1,,18.1,47.6,27.8,,3.1,53.3,5.0,17.8,36.7,50.8,0.0,13.8,31.3,35.2,71.3,60.7,18.7,54.8,0.0,0.0,0.0,0.0,0.0,18.8,0.0,0.0,0.0,0.0
40,Marcus Rashford,Man Utd,14.834210526315788,18.18387096774193,38,31,14.0,11.0,23.3,9.2,26.5,28.8,7.3,50.5,,13.7,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,9.4,3.8,9.3,8.4,39.0,16.3,11.9,3.9,17.1,20.1,28.0,24.9,29.3,12.0,24.2,23.1,12.5,16.0,21.8,18.3,25.2,4.9
41,Diego Rico,Bournemouth,14.707894736842107,20.700000000000003,38,27,55.6,32.9,35.8,15.3,11.2,5.3,0.0,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,17.9,4.9,,1.1,19.0,0.0,0.9,11.8,0.0,6.6,29.0,1.0,27.3,31.3,15.6,1.8,9.9,16.5,39.3,19.2,86.3,15.0,31.8,0.0,0.0,0.0,16.6
42,Enda Stevens,Sheffield Utd,14.592105263157896,14.592105263157896,38,38,1.2,17.3,5.4,16.9,2.3,12.9,12.6,2.9,4.0,4.2,,,,,,,,,,12.8,,6.9,32.6,5.3,,20.1,30.4,18.0,3.4,28.3,24.4,27.4,16.7,7.8,31.3,17.7,18.6,17.4,26.2,13.8,2.8,7.7,47.4,1.7,23.7,12.3,3.8,13.2,3.1
43,Robert Snodgrass,West Ham,14.528947368421052,23.004166666666666,38,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,0.1,1.0,18.9,4.8,30.2,29.1,0.2,25.1,14.3,45.2,14.8,23.8,,32.1,18.4,22.8,42.3,67.7,14.0,73.3,36.5,0.0,0.0,0.0,0.0,0.0,16.2,0.0,5.5,15.8
44,Conor Hourihane,Aston Villa,14.521052631578943,20.43703703703703,38,27,39.4,9.8,16.7,13.3,12.3,0.0,29.8,43.3,15.4,104.3,,,,,,,,,,14.9,,0.7,0.0,0.0,,0.0,14.2,12.0,0.1,47.5,11.2,2.8,0.0,0.0,0.9,2.7,41.7,0.0,0.6,0.0,30.4,36.3,14.6,1.0,0.0,25.1,0.0,0.0,10.8
45,Benjamin Chilwell,Leicester,14.35263157894737,20.200000000000003,38,27,0.0,0.0,0.0,0.0,0.0,3.2,40.6,23.6,,34.1,,,,,,,,,,0.0,30.0,1.7,18.5,16.1,,9.6,0.0,15.0,9.3,0.0,2.8,1.0,29.3,36.0,0.0,28.9,31.7,27.3,13.0,76.8,5.6,4.7,27.2,12.6,4.5,25.6,0.0,0.0,16.7
46,Frederico Rodrigues de Paula Santos,Man Utd,14.28157894736842,18.713793103448275,38,29,0.0,0.0,0.0,0.4,2.8,13.1,0.0,0.0,,3.3,,,,,,,,,,6.4,17.5,23.1,13.0,32.2,,28.4,27.9,8.5,19.3,4.2,47.1,50.3,52.0,22.2,21.5,39.9,6.5,19.1,38.5,2.8,2.2,8.0,10.8,21.3,0.4,0.0,0.0,0.0,0.0
47,Nathan Redmond,Southampton,14.186842105263159,16.846875,38,32,5.9,26.1,26.8,31.6,15.8,15.7,8.8,5.5,,23.0,,,,,,,,,,0.0,0.0,0.0,0.0,15.7,,40.0,30.3,33.5,27.0,12.7,1.0,28.6,1.8,3.4,13.7,3.4,23.3,3.4,23.5,2.6,5.0,2.3,18.8,40.4,0.0,0.0,23.5,22.9,3.1
48,Abdoulaye Doucoure,Watford,14.184210526315793,14.56756756756757,38,37,27.4,0.5,13.0,3.3,4.6,1.7,1.8,4.3,,2.5,,,,,,,,,,45.4,23.0,4.8,12.8,14.6,,15.8,18.6,38.4,24.4,4.9,0.0,2.5,33.5,2.6,4.7,12.8,25.0,2.8,29.2,13.3,11.7,7.5,5.3,1.0,39.8,3.7,46.5,12.2,23.1
49,Ryan Bertrand,Southampton,14.17105263157895,16.828125000000004,38,32,5.1,12.3,0.0,4.5,30.1,0.3,3.0,26.4,,13.8,,,,,,,,,,33.8,28.7,16.4,42.3,22.5,,18.1,30.6,30.3,15.6,2.4,0.8,24.8,9.4,5.9,6.4,8.8,22.2,0.0,0.0,0.0,25.8,10.9,52.8,26.7,0.0,0.0,0.0,1.1,6.7
50,Rodrigo Hernandez,Man City,14.015789473684212,15.217142857142857,38,35,15.3,34.4,2.8,13.5,5.1,0.0,12.3,5.9,16.5,2.7,,,,,,,,,,6.3,,47.6,16.8,16.2,,28.2,0.7,16.8,3.8,29.8,2.6,1.9,15.8,28.7,10.8,1.3,12.2,4.7,0.0,0.0,14.8,50.2,24.9,14.3,27.7,18.7,2.0,24.2,3.1
51,Harvey Barnes,Leicester,13.61578947368421,14.372222222222222,38,36,0.0,22.5,19.7,0.2,4.2,22.0,3.0,1.3,,6.6,,,,,,,,,,19.0,49.8,0.8,4.0,17.9,,45.2,35.7,1.7,0.0,11.3,11.4,13.2,5.5,1.3,6.2,5.4,28.3,19.0,1.3,50.3,38.4,0.8,23.9,23.3,1.3,15.7,5.1,0.0,2.1
52,Patrick van Aanholt,Crystal Palace,13.578947368421053,17.79310344827586,38,29,0.0,0.0,4.1,15.8,44.9,15.9,19.1,11.8,,17.4,,,,,,,,,,16.1,29.6,83.0,6.1,11.2,,0.0,0.0,0.0,0.0,0.0,17.4,66.3,0.0,0.0,0.8,1.8,15.9,12.2,1.8,26.8,17.1,24.3,18.7,3.2,1.3,17.4,1.1,14.4,0.5
53,Serge Aurier,Spurs,13.371052631578948,15.396969696969698,38,33,3.8,0.9,3.3,12.9,19.2,6.8,2.2,17.8,,21.4,,,,,,,,,,10.6,24.6,1.5,12.6,1.4,,45.5,32.9,40.3,17.6,3.2,12.8,17.6,1.4,2.6,6.7,28.5,26.3,28.0,11.7,14.1,23.9,0.0,1.0,26.2,28.8,0.0,0.0,0.0,0.0
54,John McGinn,Aston Villa,13.244736842105263,17.975,38,28,33.3,1.6,21.9,11.3,25.3,15.7,14.8,1.6,1.7,0.8,,,,,,,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.1,38.7,21.5,32.9,32.0,14.8,17.2,17.9,2.1,37.8,18.2,23.8,12.0,14.1,30.6,16.8,30.4,13.4
55,Luka Milivojevic,Crystal Palace,13.13421052631579,16.1,38,31,14.0,0.0,2.8,5.9,25.2,5.9,6.1,0.0,,1.5,,,,,,,,,,1.4,0.0,0.0,0.9,27.3,,0.0,0.0,0.0,3.9,35.3,18.3,26.7,15.8,11.7,17.9,7.3,11.7,15.5,15.1,3.4,1.6,0.0,22.2,20.1,32.8,101.3,10.9,21.8,14.8
56,Todd Cantwell,Norwich,12.976315789473684,13.327027027027027,38,37,11.4,2.1,3.2,1.3,0.0,3.3,13.6,0.3,,23.1,,,,,,,,,,2.3,23.5,13.9,22.9,23.1,,21.7,22.3,8.4,14.6,0.5,5.8,4.9,3.2,12.7,15.1,21.8,11.9,14.2,1.3,11.3,13.8,37.3,2.5,15.5,12.8,3.1,2.2,58.3,33.9
57,James McArthur,Crystal Palace,12.805263157894743,13.151351351351357,38,37,12.0,2.5,60.5,1.4,3.3,16.8,24.0,0.6,,16.7,,,,,,,,,,25.3,15.4,15.5,14.0,27.8,,1.3,11.5,3.1,3.3,1.4,9.6,14.3,2.3,2.3,33.3,7.2,20.9,0.8,3.5,25.8,22.5,2.1,24.9,23.1,0.0,22.1,0.8,3.1,11.6
58,George Baldock,Sheffield Utd,12.781578947368422,12.781578947368422,38,38,1.2,31.8,14.4,16.3,21.9,4.3,6.7,10.2,47.2,11.2,,,,,,,,,,5.1,,34.3,7.3,2.3,,15.1,0.9,20.4,0.8,2.1,16.7,12.0,7.4,15.5,38.6,20.0,4.3,6.6,10.4,1.2,5.8,10.0,15.2,1.0,26.7,5.9,22.8,8.3,3.8
59,Matt Ritchie,Newcastle,12.70263157894737,26.81666666666667,38,18,15.0,50.8,49.8,30.3,19.2,0.6,0.0,23.4,,33.2,,,,,,,,,,30.3,30.1,0.2,14.9,55.6,,25.5,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.3,35.2,32.5
60,Anwar El Ghazi,Aston Villa,12.68947368421053,14.182352941176473,38,34,0.0,0.0,5.6,0.0,5.3,5.4,0.8,25.6,15.6,2.3,,,,,,,,,,0.4,,5.6,14.6,24.7,,42.8,6.8,3.8,0.0,5.1,5.2,28.9,30.8,31.3,0.0,14.0,24.5,31.1,26.2,0.3,3.3,36.0,2.0,30.1,37.2,0.0,0.5,11.1,5.3
61,Pierre-Emerick Aubameyang,Arsenal,12.62105263157895,13.322222222222225,38,36,14.2,8.1,11.0,12.5,3.7,16.5,13.3,0.9,13.8,2.4,,,,,,,,,,35.9,,4.0,8.2,31.0,,0.0,0.0,2.2,18.9,12.8,7.7,3.8,0.3,26.1,21.3,22.3,11.1,30.3,10.6,12.4,4.7,12.8,25.7,1.6,2.2,26.6,25.3,18.9,6.5
62,Bruno Miguel Borges Fernandes,Man Utd,12.613157894736842,34.23571428571429,38,14,17.2,34.2,39.8,24.8,44.9,75.5,23.1,21.0,,26.6,,,,,,,,,,39.8,24.5,55.4,41.6,10.9,,,,,,,,,,,,,,,,,,,,,,,,,
63,Richarlison de Andrade,Everton,12.581578947368422,13.280555555555557,38,36,3.5,2.4,0.5,2.6,12.1,2.0,1.8,3.8,,11.1,,,,,,,,,,11.8,13.3,53.3,16.4,21.8,,0.0,0.0,15.6,2.0,35.5,14.1,22.3,13.5,4.5,11.8,33.3,1.8,12.8,4.2,23.8,18.3,11.4,1.6,17.3,40.9,13.3,3.0,0.4,20.3
64,Lucas Rodrigues Moura da Silva,Spurs,12.555263157894743,13.631428571428577,38,35,4.4,34.4,17.3,26.1,12.4,1.1,17.3,4.9,,0.0,,,,,,,,,,21.3,3.8,4.8,40.8,11.0,,26.8,23.4,31.9,2.7,14.3,7.8,1.1,47.3,15.5,15.2,0.1,14.3,0.6,3.1,0.3,14.6,11.4,0.0,1.7,0.1,0.0,5.8,0.1,39.4
65,Pierre-Emile Højbjerg,Southampton,12.342105263157897,14.212121212121216,38,33,0.0,1.0,15.0,0.0,1.8,0.0,0.0,13.1,,5.1,,,,,,,,,,27.5,22.8,3.8,5.4,3.0,,14.0,2.8,1.8,15.4,22.9,11.3,12.1,32.4,4.4,37.3,18.7,22.6,0.0,1.3,33.8,31.8,30.2,8.0,6.8,39.3,14.5,2.8,5.2,1.1
66,Manuel Lanzini,West Ham,12.231578947368419,19.366666666666664,38,24,11.3,0.0,0.0,0.0,0.0,14.3,2.3,2.3,,11.8,,,,,,,,,,0.0,0.0,0.0,0.0,0.1,18.8,2.3,5.9,4.2,12.0,32.9,40.8,,0.0,0.0,0.0,0.0,0.0,11.1,27.0,15.2,9.3,7.3,22.0,0.0,16.8,59.4,82.1,48.8,6.8
67,Giovani Lo Celso,Spurs,12.08947368421053,16.407142857142862,38,28,38.0,16.2,31.9,12.9,3.0,15.6,26.1,43.8,,1.5,,,,,,,,,,18.1,30.2,30.7,26.0,13.6,,50.5,4.3,6.6,15.5,13.3,2.8,0.0,0.0,0.0,0.7,0.1,0.0,33.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.5,23.6,0.3,0.0
