GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW7*,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,GW16,GW17,GW18,GW19,GW20,GW21,GW22,GW23,GW24,GW25,GW26,GW27,GW28,GW29,GW30,GW31,GW32,GW33,GW34,GW35,GW36,GW37,GW38
,,,,,231.57438069799255,213.18217268844415,,197.56297764624932,222.26643579150277,186.3437779772068,229.4624811853608,172.12153522976337,128.5465539817242,219.28122125539375,252.02910216897402,140.24244924888842,199.99208817460007,142.87699525288238,201.9080114082169,127.86675466067337,237.84886699331634,148.26079151635062,142.87699525288238,201.9080114082169,172.12153522976337,229.4624811853608,186.3437779772068,128.5465539817242,222.26643579150277,197.56297764624932,252.02910216897402,199.99208817460007,140.24244924888842,219.28122125539375,231.57438069799255,213.18217268844415,177.87852253719373,212.03689929865385
,,,,,137.97147983247334,144.62779433521808,131.3806569336135,138.71670420108455,121.25307854495826,115.74477398060306,113.88204562678324,130.1339740936838,91.25514626086836,111.99872760466467,92.96943378374804,83.6446785389113,154.76721393347276,83.20233610405806,163.99423073115898,96.47264638515948,131.3806569336135,128.5533625332349,83.20233610405806,163.99423073115898,130.1339740936838,113.88204562678324,115.74477398060306,91.25514626086836,121.25307854495826,138.71670420108455,92.96943378374804,154.76721393347276,83.6446785389113,111.99872760466467,137.97147983247334,144.62779433521808,150.68443323719848,142.68532833742847
,,,,,197.15107052869655,224.33430373740907,,151.16336522636539,209.02094485043258,211.590935360958,251.64327599661326,156.85940299254713,185.1661622017575,225.54599900996496,188.19485964570376,242.77050891067736,148.37602469542455,,235.15711785264193,266.64591561021786,135.28258276198238,213.61797549429997,182.10398704989944,235.15711785264193,156.85940299254713,251.64327599661326,211.590935360958,185.1661622017575,209.02094485043258,151.16336522636539,188.19485964570376,148.37602469542455,242.77050891067736,225.54599900996496,197.15107052869655,224.33430373740907,231.99877123146464,245.0048912672233
,,,,,220.56692183951336,153.20266455163866,,188.02779019582408,275.31984932978514,140.42591736244438,239.5456408697171,250.66778083602367,242.80672782049146,139.6832957959845,161.9620053021852,259.82917710810864,191.1895772402706,252.97484716532233,194.31679755423832,203.56435203197458,232.88296136938786,231.63184991279476,252.97484716532233,194.31679755423832,250.66778083602367,239.5456408697171,140.42591736244438,242.80672782049146,275.31984932978514,188.02779019582408,161.9620053021852,191.1895772402706,259.82917710810864,139.6832957959845,220.56692183951336,153.20266455163866,156.08067666464336,215.82035078727154
,,,,,257.7199708643543,206.4671356187977,,236.80337759725825,143.4091524483422,216.82473587030182,146.10318704016845,243.2195430769713,151.60855052485996,204.5079504465432,227.28525739025437,217.99586976757126,224.2326360991066,234.6437909615094,190.55145861227248,178.96774386546267,131.4491614729144,181.8950559723235,234.6437909615094,190.55145861227248,243.2195430769713,146.10318704016845,216.82473587030182,151.60855052485996,143.4091524483422,236.80337759725825,227.28525739025437,224.2326360991066,217.99586976757126,204.5079504465432,257.7199708643543,206.4671356187977,202.02399010543493,176.00807471353747
,,,,110.29082756676716,70.21764872339037,94.02017498043922,,76.60644904465033,125.34226239438489,95.60117410221878,97.1648887042753,126.49587261203537,107.91738351137468,121.41147333771883,119.78082094628823,115.82366115754877,116.44925867133334,129.92326650909317,69.84631313757036,109.2442680096886,94.02017498043922,78.04555122299703,129.92326650909317,69.84631313757036,126.49587261203537,97.1648887042753,95.60117410221878,107.91738351137468,125.34226239438489,76.60644904465033,119.78082094628823,116.44925867133334,115.82366115754877,121.41147333771883,70.21764872339037,137.66911998814447,80.98641197046025,110.29082756676716
,,,,,63.90156353473274,115.72957365234838,,109.58605252171135,99.94628520014851,71.40294921876053,105.96569396163717,98.7323343090649,118.86525568097626,100.90377012705963,87.46438038691424,86.01794304053969,74.09350783895114,88.89500433118302,114.67414934566645,64.24129405827874,115.72957365234838,70.08633170308056,88.89500433118302,114.67414934566645,98.7323343090649,105.96569396163717,71.40294921876053,118.86525568097626,99.94628520014851,109.58605252171135,87.46438038691424,74.09350783895114,86.01794304053969,100.90377012705963,63.90156353473274,93.12552585941971,111.07791705561783,106.5380457076132
,,,,,140.28616489928652,171.84223654656438,,225.3015708847611,215.30493071963247,137.6993918887196,145.5723352100793,208.19197217226107,174.6529992496521,126.21558171206988,227.37517470569392,125.548109390983,182.96475173626033,218.2360134872335,193.9805103755264,233.53588390542322,196.3655731320301,169.00040507727442,218.2360134872335,193.9805103755264,208.19197217226107,145.5723352100793,137.6993918887196,174.6529992496521,215.30493071963247,225.3015708847611,227.37517470569392,182.96475173626033,125.548109390983,126.21558171206988,140.28616489928652,171.84223654656438,198.2467543691483,247.45898472821185
,,,,,133.73957641175426,192.58978736502883,,97.71026789852584,135.9271073753835,169.84643931623705,131.52786557410204,142.39589106406132,154.28940804754131,107.16724079858756,162.9046366262721,167.56526691273115,162.0294680178998,152.82534201312518,109.18044740983203,150.9691203462021,192.58978736502883,181.75386225255897,152.82534201312518,109.18044740983203,142.39589106406132,131.52786557410204,169.84643931623705,154.28940804754131,135.9271073753835,97.71026789852584,162.9046366262721,162.0294680178998,167.56526691273115,107.16724079858756,133.73957641175426,113.29451268513033,175.34534734052957,98.22974126713822
,,,,,229.14245739623487,128.3672743231421,,177.6304412016638,237.51714698723387,127.68842309588614,251.67760545443718,212.8848545110871,218.9753969352356,142.6777293983359,201.6264169334603,186.08389042783384,231.2514115119512,148.05401705790857,171.88148297542597,221.9564480906374,197.2874430474306,199.71316577507653,148.05401705790857,171.88148297542597,212.8848545110871,251.67760545443718,127.68842309588614,218.9753969352356,237.51714698723387,177.6304412016638,201.6264169334603,231.2514115119512,186.08389042783384,142.6777293983359,229.14245739623487,128.3672743231421,140.04685770916007,174.77176129803973
