,Teams,Opponent xG av adj,Matches,GW38,GW37,GW36,GW35**,GW35*,GW35,GW34,GW33,GW32*,GW32,GW31,GW30,GW29,GW28,GW27*,GW27,GW26*,GW26,GW25*,GW25,GW24*,GW24,GW23,GW22,GW21,GW20,GW19*,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW7,GW6,GW5,GW4,GW3,GW2,GW1
11,Wolves,159.10986527340847,38,81.67054330595187,207.77392655367234,300.5705376892973,,,98.08427578581582,217.1883850931677,216.71536352558897,,175.14786314525813,178.56476172394153,109.4409076433121,,115.88439724727101,,73.79463421577,291.7412255130597,287.0880952380952,,233.63550407925408,,93.41755479969765,137.34675003982795,145.66217772012325,125.00207339829981,153.97536861506057,,226.1754906832298,104.4546516007533,211.40494392670985,137.2760195993659,86.17039305768249,188.55461007311132,126.98999473407058,145.0150370054085,106.58503203607025,171.07973893303068,128.73394746787602,104.69087940098774,220.00364918100766,83.07229989868287,156.34255536130536,119.04317448262768,171.84142515923568,130.7563083022388,185.2803841536615
12,Everton,171.03462905623283,38,213.00624416977612,142.04961643835617,198.3079111644658,,106.4015656134358,120.00099522292994,157.0281169940222,208.22848224420304,,142.5914837502127,236.16408150371188,222.50369064897367,,178.75956539398865,,173.8175552922591,230.66904347826087,120.75927815570672,,130.9064487422876,159.57893540111942,220.9166603379533,160.73457991064996,194.11070075757576,190.5776291793313,234.3538951728533,,,133.2403378995434,125.76104299363058,,186.72788715486195,171.07973893303068,148.87235144177157,88.09930884676146,148.15005077173032,228.3655303030303,192.30051262578317,123.3746505260124,193.02093211752785,161.7718631897203,199.57868414807785,167.60031590586004,173.75288202363674,124.32162732919255,191.83170835460268
13,Spurs,173.46983438572138,38,127.74208220487495,212.8031312268716,202.6134063926941,,,236.270490967366,166.46284513805523,,144.68328609221464,213.4508097928437,188.53731805735697,412.9181965552178,102.11117990321662,134.90859413004705,,63.75105743313291,149.9486140117714,134.68186433793664,,119.0409872611465,,179.96567164179106,76.39039751552795,202.39030410742498,225.68906175959563,146.64383602278122,,256.208031212485,200.3130339851908,160.7342001748252,,202.6134063926941,203.61895810100367,223.9001008542952,261.2543334024466,135.8861926382358,96.03618351764088,238.313916744403,191.72491925465837,102.84564839677776,149.37443135662065,187.20155254777072,54.73664072632944,105.06202634245187,199.36673280423278,181.660263653484
14,Crystal Palace,177.60462464203516,38,188.13331158044613,113.40142694989461,175.0477369769428,,234.68312547241118,98.43020408163267,191.91651702425375,144.07001752429505,,,271.44111374407584,186.2017702448211,,208.20127950310558,,229.78771482048666,94.70307681222079,157.96113537117904,,334.2483572895277,,238.754214053615,196.74568764568767,315.1860790273556,118.92526027397261,253.44210191082803,,126.53836287313433,115.35662396627211,160.6728331332533,126.78161542137966,280.59122544833474,129.47577717133365,67.20055732484076,141.56564573762122,170.75500621118013,158.81469098277609,172.637662469537,89.5895541958042,177.28673059360733,183.14334535788873,233.30725793713472,164.2933056872038,164.62961393596987,178.98012681942643,156.0756708238851
15,Aston Villa,180.93614931876485,38,223.8198657187994,171.3149481027735,431.25715322413436,,198.69091337099812,224.15957630782535,208.9093032015066,136.3044347826087,,127.94434468283583,246.07551020408164,177.42011581545472,147.72067381316998,208.90240121580547,,111.21714155251142,143.30279711884756,131.7493444055944,,187.29102278158356,,301.8710235349866,188.6765120804281,232.32192675159237,352.02468820861674,162.84261779041432,81.8506484295846,328.99974347014927,,228.5037541432483,138.89530674038969,150.00248807795978,28.459167701863354,79.58473801787166,220.23196347031964,,102.72085191082803,96.17972674143105,122.19981352359333,85.44288548752834,284.5785839160839,145.03048430779035,188.8486473659231,199.168388076704,81.0601680672269,
16,Leeds,185.74479193366437,38,212.69483229813665,182.27815570672712,233.85669171405365,,,166.18575803981622,161.88666877270572,134.66951289811212,,176.68793901281444,222.14512593283584,149.09280912364946,242.6649325992026,184.13549236440232,,210.24174363057324,,90.0980999146029,158.35414777021919,144.25193607305937,,209.20608075239178,126.2520941322828,148.73434086629004,189.21195634857418,219.89726443768996,,99.9888248302006,,260.5628551982304,68.90114285714286,290.178198619009,306.6989551808618,174.69616008105368,223.6818550955414,310.33179963138497,196.4201600753296,80.16307767147723,193.7532137673647,169.04215389517287,132.14387987475092,112.31830136986302,174.34174440298509,263.44554621848744,163.68436491361305,275.4042774086379
17,Sheffield Utd,190.99550636869094,38,231.40793054427297,184.46937183383992,245.2413559322034,,,363.75603358905244,226.71020078271226,189.50262991628495,,178.3878904109589,205.2956867196368,260.8637019230769,,264.1283654612076,,214.17683295540436,203.3642826643894,170.9652527289986,,187.72192899183597,,165.12136942675158,109.52887045813587,248.6432546583851,133.5682719216418,165.07875774607294,,175.41830015313937,95.28881458966565,156.25259174787476,110.19425264012999,110.13153483992468,288.53918022429315,150.30855310563481,231.26541005291003,172.88402102915407,269.61316770186335,223.6818550955414,226.99461558715115,163.09388992537313,169.53458115804463,178.56476172394153,124.15501053997083,158.97754224941727,182.77043125533731,122.2287397260274
18,Newcastle,194.96757077258718,38,152.237905828745,91.19268907563026,127.24135377798508,,,325.59823960490684,187.69891357223938,196.00200522069292,,237.12196656050955,345.275324939074,190.80587034201122,169.50486495024484,146.73119128949617,,253.13680745341614,,193.80412785388128,,189.40615362444157,,204.7713665086888,241.51855631141345,90.00149284677586,136.245197740113,119.45273892773893,142.44080557927697,223.87005837522298,373.4557743097239,86.44201051457703,107.30036782154723,163.7968808302239,148.8039681032846,323.2250582750583,176.7464099378882,,155.00257101389178,132.54580700368618,232.40464852607707,224.80457627118645,131.0380182648402,318.8626531200461,162.84261779041432,374.43087459588224,132.36615858474175,200.64166401273886
19,Burnley,197.1828640646443,38,163.56783913565428,162.3812233032748,164.24751602564103,,,239.23099487374216,236.16195859872613,109.01482191780822,,296.2729283758467,222.3405673758865,401.01194255479965,,204.3677966101695,,204.31808821144804,179.60728851362117,169.2632720775906,,125.81947826086956,89.28238086197076,240.00398092473563,66.65921655346706,159.57893540111942,212.7082411795682,229.96467406774838,241.06815970574277,216.0017914012739,172.89827784983427,,153.43531812725092,106.2778044871795,182.7925296803653,282.3073797324224,239.51163450624293,250.91823917137478,156.06398087686568,256.25425046651463,270.44596430263783,160.3248683517641,173.36662412795644,259.1282111801242,169.80955420466057,67.21506991685563,259.3260315437311,
20,West Brom,213.20798903909477,38,221.3388986013986,260.1621576433121,208.16271357380162,,,171.07973893303068,269.78415525114156,306.33353970964987,,205.53989166799428,150.37947845804987,175.40493022643497,,111.25184532448684,,171.03120567375885,183.93101694915256,171.4094139946296,,73.46283509342,,172.02944228274967,199.0125744427429,283.71058823529415,176.2754699069679,203.86736240671644,178.56148089171975,285.20039269406396,,313.80912112858766,160.7342001748252,133.05245609871855,234.25505977796755,254.48270755597017,229.67047619047617,342.5056811113415,406.748343337335,238.06094538117884,226.71020078271226,202.60232580216442,73.32513820881377,144.4769090170593,177.72120181405893,227.7883030542391,355.3728907721281,202.65849131750838
