,Name,Team,Position,xA per fixture,xA per game,Team games,Played,GW38,GW37,GW36,GW35**,GW35*,GW35,GW34,GW33,GW32*,GW32,GW31,GW30,GW29,GW28,GW27*,GW27,GW26*,GW26,GW25*,GW25,GW24*,GW24,GW23,GW22,GW21,GW20,GW19*,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW7,GW6,GW5,GW4,GW3,GW2,GW1
12,James Ward-Prowse,Southampton,3,25.5578947368421,25.5578947368421,38,38,44.2,30.5,35.1,,34.0,28.3,11.4,,,16.0,42.5,17.8,,3.0,33.8,1.8,,16.8,30.8,19.5,,3.5,53.7,0.2,38.0,37.2,,17.3,,11.4,21.8,17.0,37.4,20.2,67.0,41.1,27.4,7.8,36.3,30.3,39.2,8.9,44.2,5.1,23.3,17.4
13,Ademola Lookman,Fulham,3,25.274285714285707,26.017647058823524,35,34,24.9,14.3,0.8,,,20.3,45.0,,,10.9,0.0,16.8,68.4,2.7,,18.8,28.8,68.8,,39.0,31.4,38.8,44.9,27.5,18.0,64.1,0.9,7.7,35.5,,,38.7,10.2,14.2,25.8,4.9,12.3,35.0,15.4,25.1,22.0,39.9,12.8,,,
14,Aaron Cresswell,West Ham,2,23.64736842105263,24.96111111111111,38,36,25.8,40.7,60.3,,,16.2,67.8,0.0,,0.0,1.5,14.3,12.7,2.0,,36.8,,25.3,,19.1,,29.9,35.3,24.8,0.8,22.1,43.0,3.5,,7.1,9.3,22.9,20.6,6.7,29.3,30.8,4.3,20.5,64.7,0.5,14.8,34.0,52.5,52.5,35.0,11.2
15,Matheus Pereira,West Brom,3,22.989473684210523,26.47272727272727,38,33,0.0,5.3,61.9,,,43.4,29.8,51.3,,11.8,22.8,40.8,,32.7,,32.1,7.0,21.7,,21.7,,34.8,10.5,20.9,7.1,15.3,3.5,24.4,,33.0,4.1,14.5,0.0,0.0,0.0,23.1,123.9,25.8,0.0,0.8,17.0,59.3,18.3,28.3,12.0,14.7
16,Ashley Westwood,Burnley,3,22.189473684210526,22.189473684210526,38,38,61.5,14.8,34.6,,,0.6,17.6,21.3,,16.1,51.3,2.8,,24.1,,3.3,11.1,17.6,,36.3,48.3,7.1,33.2,10.9,21.5,31.3,11.1,21.8,1.3,,6.9,72.4,11.7,12.1,44.7,16.4,48.9,3.2,2.1,3.0,50.9,17.5,3.7,24.9,25.3,
17,Mohamed Salah,Liverpool,3,21.728947368421046,22.316216216216212,38,37,27.4,27.3,45.1,,23.5,31.7,,38.8,,0.3,16.8,17.4,,14.5,,4.6,15.4,19.6,,16.7,,18.9,4.2,15.6,18.1,28.8,14.6,28.4,,17.1,3.9,21.0,14.2,19.3,2.2,23.2,14.4,0.0,38.0,16.6,27.2,20.2,41.8,27.3,61.5,50.1
18,Jack Harrison,Leeds,3,21.62368421052631,22.824999999999996,38,36,2.9,7.8,51.9,,,53.8,21.8,5.5,,50.8,0.0,12.2,23.5,0.8,,11.1,,10.7,0.6,30.1,,15.4,13.5,17.8,10.5,1.7,,11.5,,11.5,28.0,14.3,36.7,52.8,15.4,1.8,26.7,38.3,21.2,48.8,54.8,42.7,0.0,66.3,2.0,6.5
19,Sadio Mane,Liverpool,3,21.307894736842105,23.134285714285713,38,35,45.0,47.1,30.8,,0.0,34.5,,37.0,,13.1,0.6,15.8,,22.7,,14.9,2.9,27.3,,17.1,,27.3,13.2,0.0,0.0,20.3,102.0,24.8,,29.3,19.9,15.0,11.3,26.8,2.8,15.8,0.2,13.1,12.3,29.5,30.0,28.3,0.0,26.5,7.0,45.5
20,Dwight McNeil,Burnley,3,20.797368421052635,21.952777777777783,38,36,21.3,30.9,5.2,,,42.8,3.5,29.0,,26.0,58.7,17.1,,49.8,,27.3,26.5,18.8,,17.3,25.4,31.1,42.6,1.7,1.1,33.5,18.3,5.1,0.9,,0.0,0.0,15.2,5.5,16.3,33.6,6.8,27.0,26.6,2.3,12.8,34.0,36.1,10.4,29.8,
21,Youri Tielemans,Leicester,3,20.74210526315789,20.74210526315789,38,38,55.9,17.3,,,17.8,46.4,69.8,38.8,,22.3,52.6,20.8,,38.6,,29.3,37.0,2.1,,34.3,,1.3,29.4,16.8,22.8,28.9,4.5,34.8,,5.1,2.5,4.6,4.3,13.9,7.6,7.3,25.8,5.9,14.8,3.6,8.4,5.2,14.8,2.0,34.7,6.2
22,James Maddison,Leicester,3,20.271052631578954,24.8483870967742,38,31,2.7,2.1,,,1.0,28.7,31.3,16.2,,49.6,0.0,1.4,,0.0,,0.0,0.0,0.0,,6.6,,24.6,19.3,51.6,32.9,17.8,15.6,36.7,,37.3,0.0,38.1,63.8,62.1,18.5,47.4,21.5,50.2,29.2,18.3,6.8,15.2,0.0,0.3,11.2,12.3
23,Adama Traore,Wolves,3,19.763157894736835,20.29729729729729,38,37,14.6,7.2,34.3,,,12.8,26.8,33.8,,48.3,2.9,18.0,,32.3,,13.5,2.9,51.9,,14.8,,13.5,38.6,17.2,1.4,10.8,,38.8,0.0,30.2,23.1,25.4,44.9,0.7,26.6,43.5,36.0,11.9,3.8,0.0,10.8,10.3,0.1,8.3,39.2,1.8
24,Vladimir Coufal,West Ham,2,19.168571428571425,19.732352941176465,35,34,15.4,25.8,17.8,,,33.8,31.2,16.3,,24.3,21.7,26.2,26.1,5.8,,0.5,,23.0,,0.7,,2.2,15.5,26.8,6.3,13.3,28.1,14.8,,1.3,0.0,20.7,30.5,67.1,25.3,25.3,1.0,43.3,36.0,1.5,14.8,3.7,24.8,,,
25,Joao Filipe Iria Santos Moutinho,Wolves,3,19.128947368421056,22.02727272727273,38,33,40.0,49.9,26.6,,,20.5,0.0,0.0,,26.2,28.7,0.0,,28.2,,37.5,22.3,14.4,,18.5,,4.7,48.1,35.4,5.4,0.0,,10.8,28.4,27.2,26.4,6.6,23.3,0.0,39.9,13.8,3.9,42.7,0.0,0.7,1.1,15.1,0.3,17.6,13.6,49.1
26,Leandro Trossard,Brighton,3,19.081578947368417,20.71714285714285,38,35,0.8,35.2,15.4,,,2.9,32.7,14.0,,1.7,17.5,2.4,34.4,2.3,,9.0,,14.8,,28.9,,29.3,0.8,23.4,28.9,25.8,,2.4,27.1,45.3,0.8,39.6,81.3,40.8,0.0,10.3,2.3,0.0,0.0,15.7,4.7,27.7,17.4,25.0,36.9,27.6
27,Lucas Digne,Everton,2,18.531578947368416,23.473333333333326,38,30,1.3,37.8,36.3,,44.4,0.4,54.7,15.1,,3.3,6.3,38.0,,50.2,,15.8,27.5,16.5,,19.4,4.3,2.4,5.4,19.3,24.4,34.7,,,14.4,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,54.9,11.4,0.0,3.1,29.5,20.7,17.3,75.5,19.9
28,Reece James,Chelsea,2,18.35,21.790625000000002,38,32,17.0,20.9,,,48.4,16.7,3.8,10.3,,19.1,12.0,65.9,,15.3,,15.6,12.0,14.3,,14.7,,0.5,22.3,43.1,3.7,0.0,34.9,0.0,,0.0,0.0,29.3,0.0,23.1,5.3,28.8,48.0,11.1,22.3,9.9,3.7,0.3,0.0,89.7,5.0,30.3
29,Andros Townsend,Crystal Palace,3,18.278947368421054,20.429411764705883,38,34,18.6,70.1,45.2,,0.0,31.8,16.0,0.0,,,0.3,0.0,,0.3,,15.7,16.8,20.0,,14.3,,15.8,14.6,1.3,0.5,3.2,,2.7,30.2,21.6,33.3,15.1,0.0,32.5,0.0,0.0,24.3,64.4,3.1,23.2,28.5,8.9,29.4,38.3,20.9,33.7
30,Riyad Mahrez,Man City,3,18.252631578947366,25.688888888888886,38,27,27.8,17.6,0.0,,,0.0,0.0,,,22.8,0.0,15.4,,0.0,20.1,29.6,49.8,18.8,,20.8,12.9,0.4,2.4,31.1,0.0,33.2,18.8,0.0,41.9,0.5,,0.0,1.3,0.0,15.3,53.9,75.6,43.5,0.0,20.1,31.5,15.8,29.8,42.9,0.0,
31,Ilkay Gundogan,Man City,3,18.11578947368421,24.585714285714285,38,28,0.0,21.5,52.0,,,17.0,0.0,,,34.3,19.6,0.0,,0.0,36.8,46.9,1.5,6.8,,6.7,0.0,18.8,8.5,64.3,50.8,18.6,30.3,27.7,17.3,15.5,,28.1,19.7,58.3,0.0,8.8,27.8,0.0,15.6,0.8,20.7,13.7,0.0,0.0,0.0,
32,Marcus Rashford,Man Utd,3,17.950000000000003,18.435135135135138,38,37,0.0,2.6,,26.6,1.1,53.8,,8.7,,26.2,2.3,22.6,,29.6,,14.9,31.0,27.0,,21.3,,27.2,29.2,18.6,8.1,12.8,0.6,1.4,20.2,3.3,10.0,2.8,14.4,14.1,12.0,13.8,38.8,5.4,47.1,19.3,18.8,35.8,14.9,14.5,31.3,
33,Martin Ødegaard,Arsenal,3,17.933333333333334,23.057142857142857,18,14,51.0,16.6,,,16.9,0.0,67.6,3.6,,0.0,0.0,8.0,59.8,28.3,,29.1,,14.1,,9.6,,13.0,4.9,0.0,0.3,,,,,,,,,,,,,,,,,,,,,
34,Joao Pedro Cavaco Cancelo,Man City,2,17.710526315789476,24.03571428571429,38,28,0.0,0.7,21.7,,,12.1,10.1,,,0.0,45.8,0.0,,30.9,0.0,13.4,32.7,0.0,,5.2,17.8,36.3,2.4,6.9,0.0,53.0,26.8,4.1,18.8,27.8,,28.1,11.8,30.5,17.9,17.7,0.0,53.3,26.8,55.7,25.9,38.8,0.0,0.0,0.0,
35,Mateusz Klich,Leeds,3,17.405263157894733,18.897142857142853,38,35,0.0,0.0,13.7,,,29.1,8.6,0.4,,1.8,0.0,10.3,0.3,0.4,,12.3,,18.1,0.8,1.8,,1.5,30.8,6.7,12.0,1.0,,6.8,,47.6,40.6,10.9,27.1,51.3,6.9,43.1,32.0,36.8,53.4,10.0,41.5,16.3,25.5,40.4,16.8,4.8
36,Harry Kane,Spurs,4,17.344736842105267,18.831428571428575,38,35,12.6,14.3,22.7,,,28.3,34.2,,0.0,24.3,3.7,4.9,3.4,5.4,,34.2,17.7,25.8,,16.6,,13.3,26.5,0.0,0.0,0.1,,50.3,11.8,17.5,,3.9,8.3,0.8,14.8,11.2,25.3,13.5,50.0,3.1,12.3,29.3,32.2,23.5,40.8,22.5
37,Eberechi Eze,Crystal Palace,3,17.18684210526316,19.20882352941177,38,34,0.0,0.0,26.7,,43.2,33.8,28.3,42.2,,,2.0,4.8,,15.9,,2.3,2.8,1.3,,0.8,,24.5,42.1,43.2,11.3,18.8,,1.7,37.5,13.3,0.0,15.8,16.8,8.8,73.3,52.0,5.5,15.3,28.2,1.6,11.3,0.0,3.9,14.5,0.8,8.8
38,Bukayo Saka,Arsenal,3,17.121052631578955,20.331250000000008,38,32,0.8,18.2,,,1.2,31.7,0.0,31.7,,31.3,23.7,0.0,15.4,16.8,,19.5,,0.0,,5.5,,7.5,59.6,3.3,0.0,26.8,,49.1,41.1,17.9,44.4,6.8,13.2,15.9,18.4,26.1,39.1,20.3,4.2,3.0,14.3,17.5,6.0,0.0,20.3,0.0
39,Ivan Ricardo Neves Abreu Cavaleiro,Fulham,3,17.031578947368427,17.977777777777785,38,36,24.9,27.1,50.7,,,84.7,1.2,,,1.1,10.3,0.8,6.5,9.1,,6.2,29.8,40.1,,2.4,25.3,0.5,27.5,1.8,2.3,12.7,21.3,27.5,18.3,,,12.1,0.0,30.8,16.3,4.3,13.4,15.7,0.0,0.5,0.0,40.8,2.5,23.0,29.3,26.4
40,Gylfi Sigurdsson,Everton,3,16.952631578947365,17.89444444444444,38,36,10.4,58.3,36.9,,12.3,33.0,1.8,3.5,,49.3,1.8,2.0,,0.0,,14.4,14.4,55.0,,0.3,3.6,2.3,0.5,16.8,2.3,14.5,,,15.4,22.5,,28.7,31.8,45.8,69.6,0.2,0.0,1.0,11.9,32.0,2.7,0.1,27.0,0.4,21.4,0.3
41,Roberto Firmino,Liverpool,4,16.926315789473684,17.866666666666664,38,36,38.8,38.5,23.0,,27.3,10.8,,32.1,,22.3,12.5,18.5,,0.0,,0.0,3.9,16.1,,14.3,,26.2,17.8,4.6,13.5,38.0,2.2,26.3,,13.7,16.7,10.3,11.8,25.0,25.5,3.4,6.3,14.6,1.3,4.3,5.6,28.8,22.3,24.4,35.3,7.2
42,Ollie Watkins,Aston Villa,4,16.063157894736843,16.4972972972973,38,37,12.2,13.3,43.2,,0.0,3.3,5.0,26.9,,12.4,34.1,13.3,3.3,14.4,,3.3,37.9,24.6,,15.8,,2.8,14.3,7.0,3.4,22.7,17.2,12.3,,28.3,28.8,37.9,4.6,11.5,1.3,,12.8,22.3,3.5,22.8,24.3,8.5,25.7,12.0,23.4,
43,Matt Targett,Aston Villa,2,15.973684210526315,15.973684210526315,38,38,11.2,16.4,29.7,,32.3,35.8,10.9,61.6,,6.0,14.8,3.9,27.3,41.8,,2.9,19.5,0.8,,31.3,,3.8,15.8,4.3,11.8,15.6,6.6,2.1,,6.8,1.5,1.5,25.1,12.5,11.3,,47.0,5.5,12.5,47.8,1.5,14.2,0.6,2.0,11.0,
44,John McGinn,Aston Villa,3,15.802631578947368,16.22972972972973,38,37,10.6,22.8,2.3,,15.4,23.0,22.4,34.0,,15.0,21.6,13.9,25.6,13.6,,23.1,18.7,0.8,,7.5,,13.7,2.1,5.7,3.4,26.0,0.0,0.3,,6.3,21.6,2.2,4.1,13.7,14.3,,6.6,17.4,36.5,12.7,0.9,36.6,14.3,55.4,36.4,
45,James Rodriguez,Everton,3,15.410526315789474,25.460869565217394,38,23,0.0,0.0,31.4,,0.0,0.0,0.0,1.6,,55.3,13.0,31.3,,0.0,,0.0,0.0,0.0,,15.2,0.3,24.3,1.3,0.0,18.2,3.0,,,28.8,2.8,,0.0,0.0,0.0,0.0,30.0,65.8,15.0,3.3,0.0,25.5,50.2,29.3,41.7,39.7,58.6
46,Raheem Sterling,Man City,3,15.371052631578944,18.841935483870966,38,31,47.6,0.0,23.9,,,4.4,5.8,,,0.0,18.9,10.9,,0.0,0.0,14.6,17.4,0.0,,19.3,15.8,42.2,25.3,27.9,0.0,20.8,24.2,6.2,0.3,25.9,,26.0,4.5,61.6,4.1,3.8,0.0,11.0,4.8,18.3,2.1,21.0,54.3,6.5,14.7,
47,Ross Barkley,Aston Villa,3,14.853846153846153,22.28076923076923,39,26,0.0,0.0,0.0,,25.3,12.9,29.9,43.0,,15.3,0.8,0.0,10.9,13.6,,14.5,13.9,0.0,,9.4,,24.1,38.1,19.6,24.7,28.3,28.4,2.7,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,80.7,64.8,46.7,16.0,3.9,0.0,0.0,11.8
48,Rodrigo Hernandez,Man City,3,14.376315789473683,16.06764705882353,38,34,1.8,3.8,43.0,,,23.0,18.8,,,23.1,0.0,15.7,,3.6,0.0,29.2,30.2,0.0,,0.0,37.9,14.8,2.6,17.7,0.1,9.6,51.4,0.0,7.2,4.5,,4.8,4.3,25.9,5.6,25.7,6.3,46.5,2.2,4.1,27.5,25.8,5.4,8.0,16.2,
49,Phil Foden,Man City,3,14.363157894736844,19.492857142857144,38,28,6.7,20.1,0.0,,,0.7,0.0,,,52.9,11.3,0.0,,0.0,37.3,2.0,0.0,14.7,,0.0,24.9,40.4,13.0,0.0,29.6,26.8,74.1,6.0,33.8,44.0,,0.3,0.0,32.1,0.0,0.0,10.6,0.9,0.0,0.8,6.8,7.3,26.2,3.7,18.8,
50,Bertrand Traore,Aston Villa,3,14.340540540540545,14.738888888888892,37,36,0.7,44.1,45.5,,4.4,1.0,24.3,33.7,,22.1,11.6,41.3,1.6,0.8,,16.1,31.4,4.9,,3.2,,0.8,14.3,6.3,14.1,13.8,18.1,1.0,,22.0,0.9,42.2,45.3,15.7,7.0,,1.4,38.2,0.0,0.2,0.6,1.2,0.5,0.3,,
51,Marc Albrighton,Leicester,3,14.321052631578945,17.554838709677416,38,31,10.7,5.8,,,42.8,69.8,20.3,1.0,,11.8,37.9,11.3,,20.7,,14.8,25.9,21.9,,0.0,,0.2,25.3,0.4,2.9,2.1,38.9,37.5,,13.1,0.0,2.1,26.1,0.0,32.0,6.8,0.0,11.7,15.7,22.9,10.9,0.0,0.0,0.0,0.1,0.8
52,Kalvin Phillips,Leeds,3,14.192105263157897,18.59655172413793,38,29,12.8,14.8,15.4,,,0.3,0.0,35.8,,29.1,5.0,17.6,15.6,2.0,,15.8,,0.0,0.0,0.0,,0.0,43.1,30.6,28.8,15.1,,0.0,,4.0,29.7,0.6,0.8,20.8,2.3,15.5,15.1,20.9,0.0,0.0,0.0,17.8,6.0,65.8,33.6,24.6
53,Benjamin Chilwell,Chelsea,2,14.100000000000001,19.84444444444445,38,27,50.3,16.9,,,6.3,0.0,3.4,43.3,,0.0,23.7,0.0,,22.1,,0.0,22.3,16.1,,0.0,,0.0,7.4,0.0,0.0,6.7,8.5,7.6,,4.8,18.2,2.8,0.1,47.8,6.1,12.5,19.8,10.3,27.5,8.9,28.4,57.3,56.7,0.0,0.0,0.0
54,Willian Borges Da Silva,Arsenal,3,14.073684210526315,21.392,38,25,0.0,0.0,,,0.0,49.3,72.4,2.1,,0.0,0.1,0.0,0.0,0.5,,15.0,,61.5,,0.0,,0.3,2.6,0.0,31.0,1.5,,14.9,0.0,26.4,0.0,0.0,18.3,0.0,57.8,26.9,18.8,1.7,19.2,4.1,0.0,29.5,8.3,13.7,20.9,38.0
55,Timo Werner,Chelsea,4,14.010526315789477,15.211428571428574,38,35,42.2,12.0,,,0.0,22.8,25.9,25.3,,1.5,0.0,23.6,,0.4,,25.8,11.8,0.0,,5.2,,29.7,19.3,23.8,23.7,0.0,0.3,10.5,,4.3,2.0,12.5,13.3,15.2,17.1,33.2,16.6,17.1,11.2,25.8,3.3,15.4,6.2,11.3,12.4,11.7
56,John Fleck,Sheffield Utd,3,13.968421052631578,17.12258064516129,38,31,3.1,57.6,25.3,,,4.2,2.2,12.5,,18.9,13.1,13.8,,2.3,,35.3,11.5,2.4,,2.7,,0.0,3.0,32.9,11.0,29.6,,38.8,29.2,15.0,6.2,0.0,0.3,23.6,16.9,18.0,28.8,23.8,0.0,0.0,0.0,0.0,12.0,0.0,0.8,36.0
57,Jonjo Shelvey,Newcastle,3,13.739473684210527,17.403333333333332,38,30,1.7,26.2,14.1,,,14.6,0.8,24.0,,0.3,25.4,27.3,14.8,17.0,,11.4,,37.4,,2.2,,15.8,0.8,21.9,16.5,54.4,26.5,15.3,0.0,0.2,0.0,0.0,12.9,0.0,26.4,,22.3,0.0,0.0,0.0,0.0,2.8,17.1,15.2,12.2,44.6
58,Oliver Norwood,Sheffield Utd,3,13.578947368421055,16.125000000000004,38,32,51.6,21.8,15.8,,,29.8,10.6,3.0,,37.6,16.0,12.8,,4.7,,4.7,11.9,33.8,,5.6,,19.3,11.4,2.1,11.3,1.3,,37.8,8.3,10.6,15.8,57.5,0.0,0.0,0.0,0.3,19.3,3.3,12.1,0.5,0.0,23.3,0.0,0.3,0.0,21.8
59,Aaron Wan-Bissaka,Man Utd,2,13.110526315789475,14.65294117647059,38,34,0.0,32.5,,31.4,0.0,14.8,,13.2,,30.2,17.3,29.8,,29.0,,0.8,9.3,13.6,,3.0,,16.3,30.5,6.4,28.3,38.5,21.0,1.1,13.5,26.2,6.0,0.0,0.4,3.1,1.0,12.6,16.4,14.8,1.6,3.3,4.2,23.8,3.1,1.2,0.0,
60,Stuart Armstrong,Southampton,3,13.071052631578949,15.051515151515153,38,33,24.8,24.7,2.8,,14.4,4.6,1.0,,,13.3,4.1,31.3,,7.7,2.9,44.1,,13.6,22.4,0.0,,16.1,0.0,0.5,25.3,33.6,,23.5,,11.7,1.3,3.5,0.0,12.3,6.3,28.8,4.3,17.7,12.6,11.8,26.9,0.0,31.3,4.1,13.4,0.0
61,Jarrod Bowen,West Ham,3,12.98684210526316,12.98684210526316,38,38,14.8,13.3,11.5,,,3.0,0.3,17.9,,13.7,12.9,2.3,3.3,30.9,,0.1,,1.1,,14.3,,2.3,0.3,0.0,32.1,20.4,2.7,33.5,,19.9,3.3,1.4,10.9,1.6,53.8,30.3,25.1,41.1,16.3,1.2,0.9,24.7,21.8,1.0,6.9,2.6
62,Kieran Tierney,Arsenal,2,12.897368421052633,18.151851851851852,38,27,4.1,16.8,,,19.8,1.0,0.0,0.0,,0.0,0.0,0.9,17.9,28.7,,19.1,,17.5,,26.6,,0.0,0.0,0.0,0.0,0.0,,18.8,0.0,53.0,27.2,12.2,55.8,11.0,27.3,25.3,4.3,5.0,27.6,12.4,31.3,2.0,21.3,0.7,0.0,2.5
63,Che Adams,Southampton,4,12.857894736842105,13.572222222222223,38,36,0.0,1.5,35.3,,37.0,8.8,12.8,,,12.7,0.0,0.3,,13.3,22.9,11.5,,2.7,13.2,0.0,,0.2,25.3,11.6,11.5,12.5,,5.3,,0.0,1.3,2.8,11.8,16.1,46.7,12.7,24.6,33.3,6.3,23.9,5.7,16.8,2.6,11.3,21.2,13.1
64,Hakim Ziyech,Chelsea,3,12.778947368421052,21.113043478260867,38,23,22.8,0.0,,,14.9,13.8,20.9,0.8,,18.0,10.9,2.7,,36.0,,0.0,2.5,52.6,,11.3,,0.0,0.0,0.0,0.0,64.3,0.1,15.3,,17.3,0.0,0.0,0.0,0.0,0.0,0.9,30.8,35.5,81.8,16.5,0.5,15.4,0.0,0.0,0.0,0.0
65,Bernardo Mota Veiga de Carvalho e Silva,Man City,3,12.531578947368422,18.315384615384616,38,26,0.0,14.5,24.0,,,0.0,0.0,,,45.0,32.9,0.0,,15.2,16.2,0.0,34.1,0.0,,25.6,28.5,7.8,14.7,11.2,14.0,26.3,17.2,5.9,29.7,29.0,,7.9,35.2,0.0,0.0,0.0,0.0,4.9,2.4,9.3,4.8,7.8,12.1,0.0,0.0,
66,Antonee Robinson,Fulham,2,12.521052631578952,16.99285714285715,38,28,0.0,0.0,0.0,,,42.5,18.3,,,0.8,39.1,0.0,1.3,1.0,,0.0,3.3,4.8,,20.8,0.3,0.0,15.8,20.6,3.3,0.0,0.0,15.3,23.1,,,31.0,14.3,22.9,15.8,2.0,22.6,37.2,7.3,18.2,63.7,12.7,17.8,0.0,0.0,0.0
67,Thiago Alcantara do Nascimento,Liverpool,3,12.44054054054054,19.179166666666667,37,24,16.5,8.3,61.4,,15.0,7.4,,28.0,,34.5,0.3,18.5,,14.6,,0.0,17.1,24.8,,26.6,,4.9,6.1,10.0,31.0,7.6,35.2,27.4,,18.4,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.8,0.0,0.0,17.8,
68,Callum Hudson-Odoi,Chelsea,3,12.407894736842103,20.499999999999996,38,23,0.0,0.0,,,32.9,4.4,0.0,0.0,,20.5,68.2,0.0,,0.7,,6.8,0.0,24.9,,1.8,,28.4,22.5,5.9,39.2,39.8,19.7,1.6,,27.3,24.5,29.8,0.0,0.0,0.0,0.0,0.0,2.2,0.0,10.9,0.0,0.0,29.6,28.6,0.0,1.3
