,Teams,xG av adj,Matches,GW38,GW37,GW36,GW35**,GW35*,GW35,GW34,GW33,GW32*,GW32,GW31,GW30,GW29,GW28,GW27*,GW27,GW26*,GW26,GW25*,GW25,GW24*,GW24,GW23,GW22,GW21,GW20,GW19*,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW7,GW6,GW5,GW4,GW3,GW2,GW1
11,Spurs,151.0550355343232,38,240.27606821230123,144.01629952796452,295.7396701824879,,,138.16292261988968,183.24520011002616,,175.13645987198424,129.12328967642526,150.63878351267556,152.07026037428804,124.18171935345444,93.46159808612441,,198.56821055727096,88.49115006043861,131.65170063525676,,191.14062883166932,,124.08445389681668,143.1925685602351,74.545285935085,152.10401376146788,59.51747812429886,,141.78701003988448,195.72160248661717,216.62581694723443,,84.78543445504772,144.3966756083541,59.51747812429886,122.33220114689014,66.92311961722488,85.4164734672849,92.6497255762898,163.12143119490696,113.1352168473728,134.8432570142933,153.12370818006656,341.9610341054168,298.4174464334147,162.27333005087806,173.71262711864406
12,Wolves,145.6663831406696,38,214.4128670435893,119.83384437596303,168.459893697798,,,285.3521580483736,180.83597575905978,78.99102038115406,,134.32453582725898,88.49115006043861,193.25267997898058,,234.01190262508416,,87.09967815763125,117.46661635565313,143.89443992405748,,111.72433866176264,,137.53654193336615,150.17254263268828,143.077014354067,95.73824437582707,27.95448222565688,,191.1694600881489,112.40228813559322,158.38930358632192,146.24057085537115,168.459893697798,132.4495897300159,169.27992014425553,172.47461021313117,148.79369531074715,203.07705263157897,256.27312489742326,85.48283196014563,142.72090133803852,97.29226335774342,86.99146979770832,171.77693835261616,135.17127342792082,152.21026344676181,92.03718195571449
13,Southampton,140.70338882300172,38,185.86050096339116,136.45720752581695,189.47516836470388,,182.6118364946331,169.08374467130358,88.94835217474612,,,116.2739483675019,97.42999510284037,280.8569613552144,,222.49925979983317,220.04309824368826,155.88279466373265,,98.46812018489985,118.54719903805349,48.1438304997424,,82.76673363468944,173.32739354488743,15.393744300565386,266.47327277928764,169.61549282296653,,98.18973941368078,,68.98616782589187,109.82665966018568,31.232170609566573,215.0797200878156,135.00008612440192,168.32025168477514,167.18870934111757,138.54369870508847,114.05659635024277,166.78673718470301,64.67797882992419,131.91012326656394,274.885741885626,115.14453966699315,47.07545659078878,160.22000759301443,121.44573592118805
14,Fulham,140.18975491253394,38,108.73841198806618,137.44414554076238,129.62076973576234,,,166.75882080465857,204.99953632148376,,,79.61543540669857,157.45866398794576,133.66782291517666,180.80579997170747,129.04783205268936,,198.842483733453,119.93611996962794,122.33220114689014,,135.98286343006467,62.23534939121229,179.2862942989214,185.86050096339116,147.8621958229546,113.66832761998043,149.58989783152626,157.23610249863214,178.59808088614116,160.22000759301443,,,126.65235516166092,106.28566585299701,159.64636155129273,188.0211240744896,87.68634742041712,162.87945008622341,156.0626810477658,176.35627080049045,130.64476616062686,141.8344361123364,129.349553018842,104.97244265863051,150.05291088542413,121.95862922619892,45.000028708133975
15,Everton,139.44736738922202,38,170.40931668496157,184.71112506278254,179.09938110301198,,150.91528393648977,118.27486424943073,158.67664139608067,102.69237320574163,,172.12206529992406,71.65230400333611,145.3802970151448,,143.62003705664375,,69.88620556414219,119.57317580803135,117.74711143935664,,128.50364595019073,105.8854006586169,77.0393541702642,129.74727339047968,111.72433866176264,98.10984540276647,122.44838091588427,,,92.86023773648084,103.4905062182519,,80.42888873607482,108.4616076555024,251.82780226096955,200.34045595054096,176.33348994176814,147.54435563728958,217.5841219133138,89.06380631041401,161.8812449145647,93.99979484654521,159.61505496971057,231.29866555462883,128.53745772680486,231.02718535749267,146.48686408504176
16,Newcastle,132.58889189461394,38,113.47688654809188,125.20373401182782,304.42052689352363,,,220.63812032956506,50.76926315789474,167.73107471393317,,224.93344718864952,145.215815246162,309.45350037965073,23.88410133444537,147.46579173222716,,103.3348432908913,,237.19734639209778,,113.2539759255882,,167.72689335394128,89.05243722304283,228.70802823114244,144.9153466872111,153.51435846654408,57.77899442139894,55.38465071770335,64.674776509421,110.89664686721595,133.91432577967242,114.15769758507135,120.7643930236574,121.95862922619892,138.7639324191969,,115.24047934127333,122.68911643482741,45.51569013622189,146.77323574730354,68.63582789218148,116.55263541856648,110.90658417151933,78.73668944570994,54.053492493744784,190.0846032580137
17,Burnley,131.11052818221762,38,156.7119584651355,223.19054296612072,162.895791483944,,,185.310878950095,143.61947801716587,178.65502260170769,,128.64772022615358,230.5581366965012,123.68394058755949,,135.62590138674884,,113.07699521531102,169.81049051542442,100.7097190584662,,44.286361410381986,92.6554394750475,172.86071901191,353.2332881567973,38.052565861690454,38.82566975785677,114.69561579173224,112.27160646174558,118.27486424943073,115.45308225424039,,74.624742126255,202.1272386476164,155.43996316758748,56.05424831926763,152.3077894736842,112.40228813559322,120.77553512623491,124.99159682399646,50.282318598832354,41.93172333848532,111.69623386484434,87.09651077375123,108.73841198806618,122.69446906285901,207.93121287602992,
18,Crystal Palace,124.02047272136039,38,77.10218757011444,222.69244976076556,297.5187026176513,,177.1154029213852,241.2866662082245,155.51918221734357,60.06901705307531,,,69.88620556414219,165.35212634822804,,65.69143609206661,,46.69268792710706,92.36246580339231,41.642894146088764,,64.10995621351125,,153.19470619375332,86.13861225067195,58.86590724165988,100.93504101791395,80.25794359782799,,56.25161909989023,158.07702392344498,103.64547517535416,41.58624257520598,103.4847661278787,104.15558671752301,128.83511998598703,191.3484662110858,202.2410504407444,101.38017358285869,163.56726442562203,132.1929197906352,177.64567219152855,287.3359696080125,36.454680984153455,79.20436630602782,129.12328967642526,183.62537844245853,76.18930740193665
19,Sheffield Utd,110.0458439780032,38,90.16146770778191,51.507668836452396,127.26540061633281,,,60.27963534774297,105.28743356112376,129.47697039199332,,122.13139963167588,101.53852631578948,87.84432734474467,,9.241387238934662,,69.26300672903332,85.37493205549993,106.86092663226387,,68.71077534104646,,159.45986162200035,161.51478619268417,144.6687806072478,57.90607848518112,104.4575506109794,,162.05109339407744,210.9361676159479,98.39764005293338,84.57624404446798,119.83384437596303,76.68053586321935,206.7159948933066,22.757845068110946,67.0000574822763,207.40779260528896,116.16281310211947,122.68911643482741,84.37742864983535,221.8378730087503,123.88761008461407,80.76928229665073,155.2200735606168,48.29289085967673,129.19685250292986
20,West Brom,109.08070746748358,38,121.10577167916256,181.6363986687686,143.38301548126543,,,132.69239234449762,146.35580947597524,78.47594764697469,,55.448323433607975,236.48369440341375,232.95401854714063,,123.21866637259225,,138.1713656088961,143.05745762711865,114.39227481234362,,67.02268395976708,,98.9597847893489,46.69268792710706,137.64119103287032,79.12149887756865,95.95864434687157,64.41755999299352,152.41191193705006,,77.30774162679427,39.23144716367238,87.92354722907787,16.38508797024746,54.59715971459934,96.47468131272036,101.05703573003969,149.24948425251,78.06827466715302,117.18949126803341,115.55903125539632,98.0505212677231,138.0348133933298,65.30512063023141,163.06781298299845,77.10239599383667,80.8621383406783
