id,name,team_name,country,team_fan,2020/21,2019/20,2018/19,2017/18,2016/17,2015/16,2014/15,2013/14,2012/13,2011/12,2010/11,2009/10,2008/09,2007/08,2006/07,predict,probability
21645.0,Widi Susanto,Trentminator,Australia,Liverpool,21839.0,9910.0,2925.0,685.0,13432.0,92667.0,10389.0,54549.0,412.0,28697.0,,,,,,1,0.7649263869853122
3750702.0,Eivind Almhjell,Sifl,Norway,,27848.0,460.0,38693.0,4060.0,119.0,26482.0,789.0,28308.0,2917.0,,,,,,,1,0.7648233335206154
928.0,James Cooper,CoopersSuperTroopers,England,Arsenal,7619.0,2997.0,1000.0,4404.0,81779.0,14601.0,3273.0,3731.0,22974.0,16228.0,35305.0,,,,,1,0.7629292506604273
299805.0,Jonathan Wigert,Lisselby Locals,Sweden,Brighton,1855.0,8031.0,1404.0,,,,,,,,,,,,,1,0.7624817008160741
297955.0,Corey Baker,All That Ales You,USA,Chelsea,2518.0,29018.0,2642.0,16973.0,4332.0,24658.0,897.0,125750.0,10458.0,,,,,,,1,0.7624541498706554
376243.0,yann cameli,Chourmo,Singapore,,10289.0,22212.0,172545.0,727.0,1713.0,3043.0,13046.0,,,,,,,,,1,0.7620257949304788
4237569.0,Ahmed Mohamed,Catch 22,Sudan,Arsenal,4058.0,16196.0,7969.0,384.0,38376.0,12540.0,11235.0,189003.0,2540442.0,,,,,,,1,0.7617082260590541
96186.0,Duöan Tratar,PROMOVERTUM team,Slovenia,Arsenal,41084.0,10867.0,2098.0,2403.0,209.0,26446.0,87059.0,98063.0,,,,,,,,1,0.7612284914927634
3202898.0,Steffen Marstein,Tactical TrÃ¸nder,Norway,Chelsea,6613.0,8608.0,68174.0,2889.0,172743.0,,,,,,,,,,,1,0.7610447626334059
69331.0,Aidan Atkinson,Aidan¢??s Allstars,England,,20998.0,11557.0,17035.0,20642.0,141.0,,,,,,,,,,,1,0.7606465688725547
8754.0,Aapo Ounaslehto,Fc Takavasara,Finland,Newcastle,2236.0,3049.0,224299.0,4252.0,,,,,,,,,,,,1,0.760179930478344
1783536.0,Tom Grant,Galacticos,England,,838.0,270532.0,1396.0,2174.0,3498.0,54385.0,1210.0,20198.0,9718.0,,,,,,,1,0.7599856898462439
1406130.0,Hugo Osmundsen,Chang All Stars,Norway,Everton,17864.0,44758.0,5763.0,18177.0,7912.0,11455.0,7125.0,370.0,,,,,,,,1,0.759961977259083
7640.0,Daniel Brenn,Brenn Mee,Norway,Man Utd,7909.0,10629.0,1480.0,13309.0,13797.0,85971.0,16071.0,442555.0,,,,,,,,1,0.7597786359120949
403241.0,Liam Quinn,Quinn it to win it,New Zealand,Liverpool,14821.0,14044.0,26605.0,18765.0,2495.0,,,,,,,,,,,1,0.7597148963319615
169637.0,Ben Alexander,Schar the load,England,,222.0,206690.0,10363.0,2751.0,2019.0,5798.0,339.0,1928.0,487257.0,,,,,,,1,0.7596216531505436
77790.0,Harry von Behr,Mourinho¢??s Dier,England,Spurs,3933.0,53912.0,34145.0,2593.0,4218.0,2263.0,1777.0,30554.0,9330.0,798.0,1155.0,1767.0,133612.0,,,1,0.7589572854036847
899627.0,James Hill,Top of the Klopps,Scotland,Liverpool,2310.0,2703.0,13992.0,119350.0,29040.0,36331.0,,,,,,,,,,1,0.7586247948575205
20147.0,Christoffer Kjelsberg,Lynguttene,Norway,Burnley,11044.0,23164.0,24105.0,9317.0,29190.0,,,,,,,,,,,1,0.7585616927101652
312427.0,Gianni Zeps,Jaffa Cakes,England,,1716.0,4656.0,3397.0,233139.0,78478.0,6790.0,25964.0,11709.0,,,,,,,,1,0.758329437452083
100860.0,John Haugh,Sigurdsson Kane,Ireland,Man Utd,7538.0,14348.0,43167.0,5325.0,,,,,,,,,,,,1,0.7583193160208308
4756967.0,Phil Ward,Beps Wardiolas,England,Liverpool,11973.0,7246.0,49852.0,15177.0,15238.0,67673.0,3483.0,,,,,,,,,1,0.7582935498181106
444695.0,Henrik Rñssevold Mildestveit,VAR out,Norway,Man Utd,45774.0,6522.0,79506.0,1048.0,10064.0,,,,,,,,,,,1,0.7579573368656226
879886.0,Albert Wan,AWFC,Hong Kong,Liverpool,1594.0,17744.0,19470.0,,,,,,,,,,,,,1,0.7579287990732493
274981.0,Alexander Krogstad,Rex's Supertots,Norway,Spurs,15225.0,553.0,5394.0,54278.0,,,,,,,,,,,,1,0.7573521386467135
