GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,GW16,GW17,GW18,GW19,GW19*,GW20,GW21,GW22,GW23,GW24,GW24*,GW25,GW25*,GW26,GW27,GW28,GW29,GW30,GW31,GW32,GW33,GW34,GW35,GW36,GW37,GW38
155.30446631268487,144.45037080674598,119.00768564520874,162.9074167367309,118.40908537732416,87.61882670489834,129.44411705265063,188.72386648843639,136.19019324733475,129.35617697066908,97.48106773042018,99.07285197546297,125.27090976241483,83.37769615542132,69.24502113823986,86.03399582035594,100.13036557206219,,157.9618935823494,75.91962747987257,125.27090976241483,129.44411705265063,129.35617697066908,188.72386648843639,136.19019324733475,,118.40908537732416,,87.61882670489834,99.07285197546297,97.48106773042018,144.45037080674598,119.00768564520874,162.9074167367309,155.30446631268487,86.03399582035594,157.9618935823494,100.13036557206219,69.24502113823986,75.91962747987257,83.37769615542132
,57.08885618045649,79.75848579117893,90.95257723301097,69.69571434072569,75.80771070605397,51.31312892765255,105.38013534149971,73.36371171886236,44.461604651871774,58.02106941889649,92.50887412983455,40.552685203508744,58.640392155410694,50.38498785837133,,84.59597987791128,75.75620943704217,48.829351332486986,95.40517252572806,40.552685203508744,51.31312892765255,44.461604651871774,105.38013534149971,73.36371171886236,69.34514981164861,69.69571434072569,,75.80771070605397,92.50887412983455,58.02106941889649,57.08885618045649,79.75848579117893,90.95257723301097,95.40517252572806,,48.829351332486986,84.59597987791128,50.38498785837133,75.75620943704217,69.34514981164861
,84.75143046834292,131.48745460349932,127.33487836656947,87.4514954345917,146.8303409911173,120.96846111407591,120.35999828383191,70.38590492278655,101.78011754764232,131.5768435898482,191.83328858831223,89.06243805724468,157.86326901606034,138.4340684102865,99.08716976701147,165.59148596051352,77.17048234996777,182.90468682097065,100.70518031401525,89.06243805724468,120.96846111407591,101.78011754764232,120.35999828383191,70.38590492278655,,87.4514954345917,,146.8303409911173,191.83328858831223,131.5768435898482,84.75143046834292,131.48745460349932,127.33487836656947,77.17048234996777,157.86326901606034,182.90468682097065,165.59148596051352,138.4340684102865,100.70518031401525,99.08716976701147
157.10831290524425,157.00157867713523,152.04322712381682,92.14481786689402,191.72077626321501,118.3142690455283,143.7149254818413,121.52976252457597,175.32163355677272,101.19679036148271,,84.04374563960975,188.4954159725224,120.24624203079807,229.0570552301949,218.39592731438552,165.29612919083073,106.3443156458354,144.44145582044078,197.72323367039613,188.4954159725224,143.7149254818413,101.19679036148271,121.52976252457597,175.32163355677272,,191.72077626321501,,118.3142690455283,84.04374563960975,197.72323367039613,157.00157867713523,152.04322712381682,92.14481786689402,157.10831290524425,218.39592731438552,144.44145582044078,165.29612919083073,229.0570552301949,106.3443156458354,120.24624203079807
132.37657179966143,221.22372939107188,210.8991347171471,161.6091186761625,134.5381704188538,244.3534865753292,256.2817482837242,196.15957567748015,175.78150151628546,94.03280786608357,184.9424848799598,135.97424439515115,214.5078468492091,175.66208133709034,160.79623620384433,103.09673716219133,113.22458646156346,116.83176733784457,170.11440238254903,,214.5078468492091,256.2817482837242,94.03280786608357,196.15957567748015,175.78150151628546,,134.5381704188538,,244.3534865753292,135.97424439515115,184.9424848799598,221.22372939107188,210.8991347171471,161.6091186761625,132.37657179966143,175.66208133709034,170.11440238254903,113.22458646156346,160.79623620384433,116.83176733784457,103.09673716219133
91.93993306381165,138.1352518655594,83.71597909970734,76.35594292009046,159.28429346691019,130.56877181452904,179.63673357505743,94.86901391699658,107.49161053115732,174.18334389477897,142.64004404612697,96.61659453100968,131.2288436454741,208.10433068511176,109.24685856137947,142.7370148863375,198.41841689809382,,150.17586031361432,,131.2288436454741,179.63673357505743,174.18334389477897,94.86901391699658,107.49161053115732,,159.28429346691019,171.25301964068265,130.56877181452904,96.61659453100968,142.64004404612697,138.1352518655594,83.71597909970734,76.35594292009046,91.93993306381165,,150.17586031361432,198.41841689809382,109.24685856137947,171.25301964068265,142.7370148863375
131.90988886909344,111.54706037077327,95.84344639993759,175.97244131732478,144.2031161777979,84.57585490117123,144.10514931651898,77.1402212421148,210.24184230547806,160.92035758487674,132.57674052631253,92.88427994334373,200.45644114496116,151.71836856157853,108.59569407351233,,173.01201868841832,110.36897086387067,97.60897701940077,,200.45644114496116,144.10514931651898,160.92035758487674,77.1402212421148,210.24184230547806,,144.2031161777979,,84.57585490117123,92.88427994334373,132.57674052631253,111.54706037077327,95.84344639993759,175.97244131732478,131.90988886909344,,97.60897701940077,173.01201868841832,108.59569407351233,181.48184465082036,151.71836856157853
235.0436877970175,204.3561833061929,249.29950570232162,172.8098758313613,131.0258014439983,223.24920869516941,170.98476721147148,216.19865499986437,272.61835168680204,151.21685092087301,143.89730065804835,148.48167236832518,325.7088671149393,281.15357711364544,310.54922100783267,268.0320339012038,205.3892768874932,,168.23758820973106,223.40097998413862,325.7088671149393,170.98476721147148,151.21685092087301,216.19865499986437,272.61835168680204,,131.0258014439983,,223.24920869516941,148.48167236832518,143.89730065804835,204.3561833061929,249.29950570232162,172.8098758313613,235.0436877970175,281.15357711364544,168.23758820973106,205.3892768874932,310.54922100783267,223.40097998413862,268.0320339012038
86.79328622748507,120.05798434659332,98.34138392169606,137.3921356457058,126.37648435729416,190.389443218363,181.52804313648886,99.94721641006353,88.39210398868106,164.34515117645944,159.35598145825685,156.67510114524288,84.11354347084219,145.72521315033333,130.49780596674424,101.01406306066833,119.4541011502945,,76.58965383757716,69.85614096117013,84.11354347084219,181.52804313648886,164.34515117645944,99.94721641006353,88.39210398868106,,126.37648435729416,,190.389443218363,156.67510114524288,159.35598145825685,120.05798434659332,98.34138392169606,137.3921356457058,86.79328622748507,145.72521315033333,76.58965383757716,119.4541011502945,130.49780596674424,69.85614096117013,101.01406306066833
98.82509972076961,212.86127224945216,145.99976120520242,111.7440719569555,175.16759750874357,97.03757213000466,94.04153704088453,153.60864707751574,112.93683943137029,134.2285310557378,202.9539535270809,183.74295011371532,162.92528485639667,85.62959627080518,141.29280903381553,178.16490442098745,145.90057376229646,133.553371008619,78.10132110306822,,162.92528485639667,94.04153704088453,134.2285310557378,153.60864707751574,112.93683943137029,,175.16759750874357,,97.03757213000466,183.74295011371532,202.9539535270809,212.86127224945216,145.99976120520242,111.7440719569555,98.82509972076961,85.62959627080518,78.10132110306822,145.90057376229646,141.29280903381553,133.553371008619,178.16490442098745
