,Name,Team,Position,xG per fixture adj,xG per game adj,Team games,Played,GW38,GW37*,GW37,GW36,GW35*,GW35,GW34*,GW34,GW33,GW32,GW31,GW30,GW29,GW28*,GW28,GW27,GW26,GW25*,GW25,GW24,GW23,GW22,GW21,GW20,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW7*,GW7,GW6,GW5,GW4,GW3,GW2,GW1
106,Enzo Fernandez,Chelsea,Midfielder,9.93350215133682,13.481181491099969,38,28,0.0,0.0,0.0,0.0,0.0,0.0,,7.665180682201959,0.0,2.933893485005171,18.55399821640904,19.376721684689812,,,0.9921577198810982,7.062419985775249,,,10.398564447159439,23.96563757039421,2.612808902532617,8.917613381230355,18.17343416370107,3.1953540757426437,0.0,0.0,0.0,18.28404940923738,13.49381688466112,62.73364468166222,16.86668123797867,3.466188149053146,4.301857467778621,0.0,22.995542046605877,20.184085088218556,,20.19270462633452,6.427204077779876,8.155118173107635,12.917814456459874,14.379093340841896,17.76199487763233,11.465502918724741
107,Noni Madueke,Chelsea,Midfielder,9.92888423527628,16.404243519152114,38,23,9.967366656020443,24.877134959969503,4.305938152153291,90.42470119521913,11.830108036391207,36.420823107419295,,22.995542046605877,10.1578052273541,16.13641416752844,16.02390755053508,16.954631474103586,,,0.0,0.0,,,0.0,2.282441673370877,0.0,0.0,23.2216103202847,24.76399408700549,23.96563757039421,4.354681504221029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.124839971550498,0.0,0.0,,0.0,0.0,0.0,13.994298994498198,0.0,10.49572424587365,0.0
108,Nicolo Zaniolo,Aston Villa,Midfielder,9.846381865004945,14.17878988560712,36,25,0.0,,24.20495060619668,0.0,,0.0,,0.0,17.246656534954408,2.0178342816500714,8.665470372632864,33.095579432079816,15.339904667046103,,37.64125284306293,0.0,4.305938152153291,,0.0,0.0,0.0,3.968630879524393,0.0,0.0,3.37345422116528,12.469047311271977,0.0,0.0,0.0,4.530621207282019,0.0,0.0,29.06508252703472,52.72334224975362,2.4220902105862265,7.838426707597851,,25.958749523446436,31.397682863565628,30.812962590506842,2.547889537494387,4.844180421172453,,
109,Gabriel dos Santos Magalhaes,Arsenal,Defender,9.84556132609287,10.392536955320251,38,36,4.06312209094164,,5.9035448870392395,6.342869690194827,,0.0,0.0,0.0,0.0,59.488800991231415,0.0,0.0,,,17.151591394025605,0.0,34.72552019583844,,15.339904667046103,53.285984632896984,14.01339245621913,0.0,52.496158487530174,0.0,5.6515438247011955,21.65706106870229,20.55067670606176,0.0,1.5976770378713219,12.19310821181888,7.062419985775249,15.339904667046103,1.9843154397621965,0.0,16.68001902126924,0.0,,0.0,8.603714935557242,0.0,0.0,0.0,0.0,0.0
110,Bobby De Cordova-Reid,Fulham,Midfielder,9.83267250277677,11.322471366833858,38,33,11.982577784034914,,6.932376298106292,4.035668563300143,,12.553429203539824,,5.095779074988774,1.6147268070574845,0.0,4.305938152153291,5.134313598759049,9.679179302501897,,0.0,0.0,0.0,,9.640806116669813,19.02860907058448,1.6147268070574845,31.48919620479771,4.905887947432129,36.409608240459306,9.061242414564038,2.4220902105862265,0.0,0.0,0.0,42.04017736865739,0.0,0.0,0.0,4.326458253907739,3.2263931008339655,21.27072776628749,,0.0,0.0,0.0,62.39138668295663,7.665180682201959,10.089171408250357,46.72590404582886
111,Ryan Christie,Bournemouth,Midfielder,9.827885312876294,10.093503834845924,38,37,11.774131073837111,,0.0,0.0,,0.0,8.709363008442057,6.427204077779876,20.24072532699168,0.0,4.564883346741754,0.0,,10.384900746163591,14.669467425025855,0.0,15.597846670739157,,0.0,19.183069395017796,2.1529690760766456,5.6515438247011955,16.561281993713514,2.1509287338893106,4.038540925266904,6.458907228229937,,0.0,0.0,28.92241835000944,13.935994053774563,39.68630879524393,13.864752596212584,3.229453614114969,6.09655410590944,2.03156104547082,,51.73996960486323,4.326458253907739,9.811775894864258,34.30318278805121,9.679179302501897,0.0,7.26627063175868
112,Joao Palhinha Goncalves,Fulham,Midfielder,9.822208187934336,11.31042154974257,38,33,11.982577784034914,,0.0,4.035668563300143,,0.0,,14.01339245621913,9.688360842344906,6.9451040391676875,13.994298994498198,16.13641416752844,17.207429871114485,,39.19213353798926,0.0,0.0,,2.1424013592599587,0.0,29.87244593056346,36.56809881847476,0.0,13.414066193853428,3.6244969658256156,13.725177859988618,6.9451040391676875,0.8073634035287423,2.1529690760766456,30.574674449932644,0.0,0.0,16.02390755053508,7.571301944338544,24.73568043972707,2.200420113753878,,0.0,1.1412208366854386,6.3907081514852875,0.0,42.15849375211077,0.0,0.0
113,Harvey Elliott,Liverpool,Midfielder,9.811520876635852,10.965817450357717,38,34,11.322171910974674,,4.284802718519917,51.62228961334345,,24.220902105862265,7.110463659147871,9.086717081850535,39.94272928399035,22.77081599286564,5.867786970010342,10.816145634769349,,,8.665470372632864,11.841329918421552,,54.32101928762494,7.062419985775249,4.844180421172453,0.0,6.868243126404981,6.342869690194827,0.0,13.725177859988618,3.8325903411009796,5.9035448870392395,12.553429203539824,2.933893485005171,0.0,0.0,7.062419985775249,3.1953540757426437,9.688360842344906,9.14202470461869,2.1632291269538695,,0.0,0.0,9.580299309286262,2.1424013592599587,0.0,0.0,3.9247103579457034
114,Matty Cash,Aston Villa,Defender,9.786831734922696,12.824124342312498,38,29,0.0,,0.0,3.2448436904308045,,0.0,,2.7183727243692117,0.0,0.0,0.0,0.0,6.458907228229938,,17.207429871114485,1.5976770378713219,8.611876304306582,,2.019270462633452,7.59027199762188,0.0,35.717677915719534,7.110463659147871,0.0,0.0,5.867786970010342,7.062419985775249,1.9162951705504898,0.0,0.0,4.301857467778621,34.327597864768684,5.382422690191614,1.5976770378713219,1.6147268070574845,22.64434382194935,,6.489687380861609,30.416505274079203,20.541975060337894,61.14934889986529,65.39643568582812,0.0,10.91373491869208
115,Jayden Bogle,Sheffield Utd,Defender,9.705261688140359,10.847057180862755,38,34,0.0,,6.094683136412461,16.147268070574842,,1.9843154397621965,27.83099732461356,16.147268070574846,22.196177098150784,16.68001902126924,21.65706106870229,9.086717081850535,,,30.808224209517732,17.246656534954408,5.225617805065234,,20.55067670606176,1.5976770378713219,4.284802718519917,9.129766693483509,4.844180421172453,38.12806963958461,0.0,6.427204077779876,3.9247103579457034,0.0,0.0,0.0,1.8122484829128078,23.795520396492567,9.580299309286262,0.0,0.0,13.12525800711744,,8.880997438816165,0.0,2.1509287338893106,0.0,29.46259926695174,0.0,0.0
