,Teams,xG av adj,Matches,GW27*,GW27,GW26,GW25*,GW25,GW24,GW23*,GW23,GW22*,GW22,GW21,GW20*,GW20,GW19*,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW6,GW5,GW4,GW3,GW2,GW1
11,Chelsea,141.0232582080139,25,,143.68506788009128,108.06292955211435,,69.32071417835668,137.6907127413197,,118.1685134976445,,78.84219047842677,135.80179968105244,,152.30548681460854,136.02443851772532,172.44191108766603,124.50766203222744,136.36356010847308,62.918009129064494,126.19105965877817,237.27717441552866,71.75817250442238,150.27386847839207,103.95163343994358,232.72997650333994,144.1945437298069,,159.3164780191457,173.31698107298982,101.35217947793429,192.45493167852746,223.03186300862586,177.28466539423295
12,West Ham,139.85859892717968,25,,135.16221598473768,64.3677441233615,,177.74542097014537,50.23240157851934,,154.34290309795975,,95.50054957090147,110.29230335585922,,121.5895387446021,,94.68370970280496,180.99283606789766,104.4339804072647,167.28029622571677,38.7522836273856,163.08675569186903,164.95591948605613,133.46038934172395,260.9383437265569,230.4617875523244,199.4828370028628,174.0167452948001,111.21768017352981,132.61354016729106,77.7114152900549,227.18027337657,129.6597032197679,131.46561538366618
13,Aston Villa,137.06549995810423,25,,132.2204997129047,74.80091955983733,,85.78290261011271,136.34436330948446,,92.19666533399966,,148.58426311813668,133.83922427303102,,107.03375879447516,,165.28577923094346,149.69255670398763,220.0925718968781,126.21126298698334,68.03047523146537,83.14165492054951,229.97713573764977,160.28357404954895,251.94209182166958,157.99592975124034,236.7092742570124,156.948155082763,99.02604795133296,82.67690115575122,94.95684120346434,99.13374881424224,162.57902494678507,103.37237621126185
14,Everton,133.60352898796518,26,,159.9961618230364,113.3449061258898,185.66040961291503,172.57989629349856,166.72566273754785,,52.681732634891034,,175.50710596220873,93.9017651900925,,104.95306076086607,,142.61872717529118,59.75709790166644,136.78823108767736,115.1025749302703,190.89633804581797,118.69648456642273,127.07144166189234,26.964861055313357,33.153385041822766,147.24404228180177,194.50016764857747,83.35100505637425,203.70269952157867,102.91707576391843,154.42508031481177,195.77756512653696,230.1065283913314,145.26390879807977
15,Leicester,126.75521839519061,25,,116.24336118957409,85.69561841942274,,42.06368655292606,116.49053977990646,,145.67396457770607,,130.19185158983225,135.04605139607216,,32.629594187756155,,158.55077865441868,113.55840145743178,158.41855869996596,104.45252532381076,209.9638663885616,210.0035154829992,91.19215405845156,81.30448985349555,186.5516909504377,135.63042268853505,155.41990915747013,178.82734961952883,113.590136688285,63.37085364026911,220.16561177208965,80.88125783406193,108.7853962575674,110.42223484876325
16,Southampton,125.87587982955094,25,150.7419586247611,130.9546905767943,91.51216205289212,,45.28351333612411,90.78994299879984,,117.78986565883328,,86.34520619752915,99.91467680149917,,105.39042320670991,,62.68316778174209,76.24299738573139,190.57900711034483,162.72801858333008,216.84242431981156,156.811566306165,192.9127693634195,109.9706129907041,146.6555658586838,42.683641358333176,214.86574653771092,71.6559803323883,150.0870868878682,155.47777738544474,197.56795546672134,97.41617250791742,146.14224758476416,118.54846772530564
17,Wolves,123.09814886808455,26,,106.97108927897992,78.36254646249017,50.340322295562544,65.84622501494984,124.63336138946464,,70.2896645462681,,104.19276010011782,81.95259140799969,,128.71927363136277,,125.14565579177673,142.5844206906055,91.50176278412023,149.39861086039255,159.026191363599,119.55490088888652,339.48060116395465,104.54104420411001,106.47551787583589,96.46431443622484,164.59185808600483,97.31870229699963,109.7674213462269,136.36356010847308,132.57723352195734,169.78551733539535,68.44541810764522,183.1923948597748
18,Crystal Palace,119.8491905613622,25,95.12336236845802,71.90656889772373,16.147826553777644,,39.80397576858434,104.6105382777757,,92.13422198049784,,108.1032209157532,64.04154500636922,95.98820477864292,153.20802881047476,,199.92495828250696,147.36062140754348,29.457521717214398,66.97653543802579,213.12535470110882,139.61645697546402,101.30552308241883,177.6347167596921,45.26408015519395,162.6089797069911,80.57607441143486,,250.54850063895327,110.42223484876325,47.805678321333154,201.84783192222054,86.63218255515415,261.08495101816175
19,Bournemouth,109.49073745035146,25,,93.70260653896732,130.54247550908087,,203.1741328656659,62.694605915185456,,138.19491290848094,,118.63858720776433,109.0515384696061,,53.965753873455725,,93.19243182392516,77.5045672547712,96.46431443622484,221.40158673657663,161.57980894935193,97.45085906232751,92.84668917672067,166.57687625348467,123.8948707518135,182.04032236328,64.75890464814687,91.00640606168257,98.74745609452522,76.94337998681851,58.53525848321226,68.17218165474223,58.04975224733312,91.84076352461035
20,Nott'm Forest,104.91228493442709,25,,105.91011111813621,103.75646315699348,,83.35100505637425,93.90401098833298,,76.24299738573139,,51.45853788195922,116.56884977014634,,121.03221432801861,,63.549559726762936,196.33325173490468,116.49053977990646,78.4057831530825,143.6319295401206,91.37973285635661,169.75224960131555,22.718027337657002,86.44256270124055,72.6652194919994,99.38417599292585,107.43331449807604,118.0351246100224,107.5627762229996,182.8459417458104,115.19418350500851,152.98602193891475,51.68265035601726
