,Teams,xA av adj,Matches,GW38,GW37*,GW37,GW36,GW35*,GW35,GW34*,GW34,GW33,GW32,GW31,GW30,GW29,GW28*,GW28,GW27,GW26,GW25*,GW25,GW24,GW23,GW22,GW21,GW20,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW7*,GW7,GW6,GW5,GW4,GW3,GW2,GW1
11,Fulham,153.41135563490045,38,153.29711178375334,,24.783245265729995,157.79464082503557,,117.77399034593726,,149.3063268971711,149.68517501422878,179.18368421052634,297.97092012900777,192.8301493019649,194.981689727066,,174.79691557943207,146.66693480747236,160.82942999405472,,229.12982537285254,85.99119051421272,152.8338922879909,258.8208771929825,139.42533546602115,307.75700439040867,92.06222293197062,176.08595830961866,84.33340618989335,180.9301387307911,182.78707455890725,132.74504490345757,122.27945663852645,147.07585331319618,135.0225052021403,98.75140964544414,149.81218631539048,145.00768549638056,,152.37687964724196,144.02206958970234,163.7618963818105,105.02550091631032,129.15829449510298,104.12024893314367,110.41534282133907
12,Crystal Palace,140.10600879501163,38,202.3498083821031,,125.58901458173445,174.40758323424498,,152.2529928825623,203.39233257562515,160.18089926010245,150.0706937584194,113.17104306658521,54.09561721494731,117.65976000758869,,,181.9754146135436,41.62047100075815,165.3480250426864,,145.56134890798427,120.97919678367631,85.01490468928708,102.4662299638056,179.74848699763592,210.66189900426744,141.4858084039426,145.90980461303852,80.58887446548565,149.68851032779523,184.39628313637817,70.64429780876495,182.93402083626634,166.9943179377014,45.13161425725669,142.92921436694465,156.26484088127296,103.01957029026751,,70.33652051129609,88.94886387900358,110.86927034170286,145.01089409056024,164.6552773826458,294.91782674772037,192.75680196483975
13,Brentford,139.65308539681232,38,140.3903173631754,,136.6435356116257,105.8097722419929,,131.94988990332976,,176.9427319442489,111.7079944415719,84.41061355484239,77.65992565764392,269.37031956004756,109.47847751849744,,174.19123100303952,156.79217879993087,152.75315594763802,132.40838729383017,159.49788504714863,95.36752494244053,137.43436010995723,109.91245830174375,131.22346518687158,158.17320796460177,175.31947735993865,,53.56003398149897,74.74093653050673,75.06405070529927,185.33053639307334,188.1801857480581,206.63384149079482,109.23626849743881,88.79657184852154,166.236124786568,115.45647071938171,,231.01358186302411,100.56227175080558,145.45032173456903,205.3277531140211,176.0903751005632,141.550859430605,116.15015163002276
14,Burnley,135.95566239694963,38,265.1381417188389,,108.94454037149359,193.6691869207904,,136.20321417954816,,137.96634113236817,142.44863800991234,80.44981740064448,155.46212970069072,183.08773819816707,209.65298186344242,,83.15843056346044,197.08202251676784,38.68738636363638,,183.38944782168184,109.04967220475976,134.98823042704626,175.04250152718384,119.74589398845558,92.6588587879932,140.64350246969016,121.05526423487545,167.40063014679555,70.73759245139154,90.05481350729087,171.99950555842815,99.06348961297667,165.37627321850727,246.04721238938052,68.68421750239541,81.21782983641536,102.04246930658826,107.84320005631423,89.69105787725128,138.05861400118906,76.21510529311327,177.98935272934042,170.53514819709272,,134.83471899816735
15,Everton,134.72418523489893,38,83.74209895305641,,141.3403186401241,86.35444389694494,,142.45910028449504,202.68461270767853,87.94878675773099,132.65521009856477,89.29439243027889,104.37499213149152,81.36995688278508,,,182.67254607609993,183.1100199203187,86.31284216545941,,232.46668443282383,104.15895387904705,170.99883434420016,195.06152669039147,93.40869926373419,112.78625095932463,149.21939981673793,169.2780913570887,87.11451124075128,78.49420715891405,205.4758637873754,66.3114475431607,178.1183828775268,106.81827031375704,72.79266012199771,104.87650611838362,64.07942186798383,171.52931890769727,,217.20419329860619,212.57884157183503,178.2154508611955,105.69351279731129,123.84714198004606,118.90327543892772,195.76827135231323
16,Wolves,131.82761715563524,38,80.00373147732375,,166.9606084070797,64.1244807574832,,107.60354850063352,158.75296710316195,83.93372847011145,136.49823942325935,118.92462933978373,81.05928571428572,169.4639475174627,,,121.9639359430605,160.43190330477358,111.78134177869701,,156.04987964366944,226.19922297297296,111.36365640670934,150.20304919738408,69.9804622569577,136.4193242033656,130.3520945945946,114.9940134878091,149.76591135458168,151.9996167710112,88.0026109846329,165.18464370145222,123.37742526690393,162.18002653525397,94.39802288004137,92.76674680888269,243.4755836793357,100.90710402114406,,55.45901038485034,26.441554976770373,165.86760889088458,195.03464098954146,132.2546240601504,183.5499914220359,221.72027868608805
17,Nott'm Forest,131.15686828801367,38,118.76315665907799,,167.5851322842815,137.74629912099277,,311.6103145998778,,116.00213569638383,141.78842977743668,136.2613352918878,155.4838256227758,186.36136263073215,120.46484865549768,,103.83499809378574,100.51424225415357,113.1187917689258,,142.90332242458737,142.87071166287814,86.172415362504,139.69791793313073,161.12406738975818,78.68581970868016,133.94129218394826,112.99369290961357,135.2934173616376,82.04219953952416,60.174259786476874,147.49133190118155,248.23054231795655,113.51529453614116,54.952594865017936,89.81310619667714,149.0632676333943,173.00907884151252,,106.23897492887625,198.09265271838726,114.16118525896415,59.6555974407747,81.80626486325804,137.7462991209928,124.7508156028369
18,Luton,127.17193250871259,38,125.29573220640572,,35.36251707455891,212.1965511994272,,101.28989178818112,,64.77248044096729,47.486777642028095,188.02078010220382,144.68028537656198,107.43889025777106,100.4360073989755,109.18797109549666,110.81254324215607,150.28945535208604,,148.6693545127975,224.75638748513677,194.95722207859362,119.75343678964856,167.86658025162026,156.5477639442231,180.3404409476051,91.75751874353674,172.7346590312992,,86.13477550397069,160.01064674096588,43.78700391180654,123.13772827835884,89.73388228299645,81.53246519982038,90.83781763262226,114.21500948586605,157.34043688400305,183.19075626067158,106.25064267812388,184.63849577897162,100.15581494661922,151.6228471826978,90.85704478644303,,114.43482081585971
19,West Ham,125.93221036495424,38,66.20419364691509,,155.7735111924539,120.88107902472767,,139.75174113156712,,87.75988234111023,192.2345480427046,76.90367536454337,125.72178449583019,134.83423413184127,146.0046526335662,,136.68662421741607,166.28327157178663,212.07438300142246,,95.3765300701954,55.76418946301925,181.15449167657553,112.26879351644844,104.37326072905897,71.27839973313002,80.29276764606551,85.0953827288942,123.2374865694551,99.55003380782921,83.67112774829417,154.0648129525342,120.2164107854297,178.48113640675393,136.40559743954483,169.83850340136058,134.22144515763642,79.17418604651164,,179.18754459669086,143.19139200718453,151.47242211362249,94.42271293819512,121.03266965306902,112.14859847829847,158.39051740657942
20,Sheffield Utd,98.95264905156424,38,74.74477350265353,,116.30686985320446,203.9938199582622,,184.54133589788424,65.86669366825208,155.49819151963578,103.61579036273116,136.28556717966455,67.51907274360126,93.49222241992885,,,97.68019322900035,70.90292131036811,105.99294781273981,,60.67857701105605,44.734957060397015,93.08733905984519,129.75680913113436,151.8650562037564,79.37570861331704,136.9209221455723,63.52220030205777,64.75772090610411,106.33986664295874,65.09857768298158,52.88230293113263,116.07451533056533,106.75535741517346,87.09363008442057,60.93818642350558,97.15548156956007,84.91032295373667,,158.56617245304497,100.50557702395525,88.18807808946173,103.30487916219121,76.77606750152718,65.3426114589262,89.12934734513276
