,Teams,xA av,Matches,GW38,GW37*,GW37,GW36,GW35*,GW35,GW34*,GW34,GW33,GW32,GW31,GW30,GW29,GW28*,GW28,GW27,GW26,GW25*,GW25,GW24,GW23,GW22,GW21,GW20,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW7*,GW7,GW6,GW5,GW4,GW3,GW2,GW1
11,Fulham,153.89210526315787,38,191.9,,14.3,156.4,,103.2,,117.2,185.39999999999998,180.6,276.8,262.90000000000003,181.3,,200.7,135.6,190.7,,213.89999999999998,94.89999999999999,189.29999999999998,254.8,142.10000000000002,160.6,101.6,218.09999999999997,85.0,224.09999999999997,169.8,104.2,140.39999999999998,137.3,160.09999999999997,91.3,139.3,197.7,,155.3,126.2,205.0,60.6,67.39999999999999,103.2,108.69999999999999
12,Crystal Palace,139.36578947368423,38,188.9,,144.2,206.8,,150.8,205.0,198.4,117.8,65.3,59.699999999999996,109.3,,,227.80000000000004,38.699999999999996,204.79999999999998,,143.3,123.3,78.6,139.70000000000002,93.8,208.8,144.2,134.9,46.5,117.5,203.49999999999997,87.5,229.0,164.39999999999998,55.900000000000006,132.89999999999998,157.5,95.7,,83.4,88.10000000000001,103.5,166.5,163.2,153.9,262.8
13,Brentford,138.74473684210528,38,141.5,,150.8,104.80000000000001,,129.9,,221.5,152.3,78.80000000000001,71.8,319.4,135.6,,90.9,159.8,189.2,76.4,125.2,109.5,79.3,102.19999999999999,121.9,138.6,201.30000000000004,,50.0,101.89999999999999,69.39999999999999,232.0,98.2,162.20000000000002,135.29999999999998,90.5,205.9,136.9,,214.60000000000002,98.99999999999999,146.60000000000002,226.6,154.3,140.2,108.0
14,Everton,135.04473684210527,38,43.7,,192.7,108.1,,141.20000000000002,159.10000000000002,81.7,135.2,110.60000000000001,105.19999999999999,89.80000000000001,,,216.60000000000002,226.79999999999998,79.80000000000001,,203.7,60.10000000000001,159.0,193.2,87.2,129.5,86.1,157.39999999999998,107.89999999999999,79.99999999999999,207.09999999999997,61.6,211.20000000000005,93.6,67.3,129.9,50.3,189.3,,271.9,210.70000000000002,92.99999999999999,144.1,142.20000000000002,111.00000000000001,193.90000000000003
15,Burnley,132.33421052631581,38,246.29999999999998,,101.30000000000001,195.20000000000002,,161.49999999999997,,188.1,131.70000000000002,79.2,178.5,186.6,207.8,,103.0,217.5,33.900000000000006,,95.69999999999999,85.6,133.7,100.99999999999999,149.9,86.49999999999999,110.4,119.89999999999999,164.79999999999998,65.39999999999999,103.4,234.5,122.7,86.3,215.59999999999997,75.8,80.5,103.99999999999997,135.0,90.4,163.7,70.80000000000001,165.5,159.20000000000002,,77.79999999999998
16,Wolves,131.1236842105263,38,62.8,,146.3,37.0,,134.7,175.2,43.8,126.80000000000001,147.3,100.4,158.2,,,120.8,161.7,152.4,,145.09999999999997,224.2,113.5,178.1,64.7,134.3,129.20000000000002,117.19999999999999,185.5,141.20000000000002,109.0,86.2,122.2,150.79999999999998,128.7,93.5,268.7,94.20000000000002,,32.0,33.099999999999994,130.2,170.9,130.20000000000002,169.70000000000005,262.90000000000003
17,Nott'm Forest,128.05526315789476,38,147.10000000000002,,170.79999999999998,187.8,,179.8,,114.2,162.79999999999998,126.69999999999999,154.0,163.3,150.8,,96.0,78.9,105.6,,177.0,144.0,95.1,72.9,159.7,93.3,135.0,124.70000000000002,125.8,94.19999999999999,59.6,145.20000000000002,229.5,140.6,51.3,70.5,186.59999999999997,151.60000000000002,,105.3,114.29999999999998,141.4,60.800000000000004,97.0,187.80000000000004,65.10000000000001
18,Luton,127.41052631578948,38,124.10000000000001,,43.8,208.90000000000003,,116.3,,64.2,27.4,207.5,75.5,99.9,93.29999999999998,120.5,97.09999999999998,140.29999999999995,,116.7,266.5,265.8,120.7,155.2,193.9,183.8,125.10000000000001,174.1,,49.7,83.5,43.4,107.9,106.4,64.0,84.80000000000001,106.1,146.3,226.89999999999998,104.6,212.0,99.19999999999999,187.8,92.6,,105.8
19,West Ham,126.31052631578947,38,38.2,,195.0,123.2,,109.69999999999999,,76.9,190.39999999999995,88.30000000000001,116.9,135.9,136.3,,169.3,163.7,210.2,,88.6,29.099999999999998,214.8,123.9,142.3,65.9,41.9,100.9,141.5,98.60000000000001,77.8,135.0,148.89999999999998,165.8,135.20000000000002,167.20000000000002,125.30000000000001,79.8,,244.30000000000004,112.39999999999999,87.4,118.2,111.9,114.29999999999998,174.8
20,Sheffield Utd,99.25263157894736,38,69.5,,114.50000000000001,189.50000000000003,,185.99999999999997,78.1,192.60000000000002,102.7,138.9,53.0,92.60000000000001,,,107.80000000000001,37.0,121.69999999999999,,56.1,56.0,86.89999999999999,113.7,188.1,45.8,171.4,59.3,66.0,105.39999999999999,51.1,65.50000000000001,128.1,98.69999999999999,100.0,31.8,115.2,84.10000000000001,,196.4,101.3,82.0,101.70000000000002,44.3,60.699999999999996,78.10000000000001
