,Name,Team,Position,xG per fixture,xG per game,Team games,Played,GW6,GW5,GW4,GW3,GW2,GW1
430,Andrey Nascimento dos Santos,Nott'm Forest,Midfielder,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
431,Matt Turner,Nott'm Forest,Goalkeeper,0.0,0.0,4,4,0.0,0.0,0.0,0.0,0.0,0.0
432,Nuno Varela Tavares,Nott'm Forest,Defender,0.0,0.0,4,1,0.0,0.0,0.0,0.0,0.0,0.0
433,Alex Murphy,Newcastle,Defender,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
434,Gustavo Henrique Furtado Scarpa,Nott'm Forest,Midfielder,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
435,Tino Livramento,Newcastle,Defender,0.0,0.0,5,1,0.0,0.0,0.0,0.0,0.0,0.0
436,Francisco Jorge Tomas Oliveira,Wolves,Midfielder,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
437,Paul Dummett,Newcastle,Defender,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
438,Luke Cundle,Wolves,Midfielder,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
439,Loris Karius,Newcastle,Goalkeeper,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
440,Goncalo Manuel Ganchinho Guedes,Wolves,Midfielder,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
441,Joe Hodge,Wolves,Midfielder,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
442,Joe Willock,Newcastle,Midfielder,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
443,Kell Watts,Newcastle,Defender,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
444,Tommy Doyle,Wolves,Midfielder,0.0,0.0,5,1,0.0,0.0,0.0,0.0,0.0,0.0
445,Mohammed Kudus,West Ham,Midfielder,0.0,0.0,2,2,0.0,0.0,0.0,,,
446,Josh Bowler,Nott'm Forest,Midfielder,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
447,Konstantinos Mavropanos,West Ham,Defender,0.0,0.0,3,0,0.0,0.0,0.0,0.0,,
448,Gianluca Scamacca,West Ham,Forward,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
449,Omar Richards,Nott'm Forest,Defender,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
450,Jonathan Panzo,Nott'm Forest,Defender,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
451,Braian Ojeda Rodriguez,Nott'm Forest,Midfielder,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
452,Lewis O'Brien,Nott'm Forest,Midfielder,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
453,Moussa Niakhate,Nott'm Forest,Defender,0.0,0.0,4,2,0.0,0.0,0.0,0.0,0.0,0.0
454,Alex Mighten,Nott'm Forest,Midfielder,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
455,Loic Mbe Soh,Nott'm Forest,Defender,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
456,Richie Laryea,Nott'm Forest,Defender,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
457,Ethan Horvath,Nott'm Forest,Goalkeeper,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
458,Nikola Vlasic,West Ham,Midfielder,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
459,Wayne Hennessey,Nott'm Forest,Goalkeeper,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
460,Angelo Ogbonna,West Ham,Defender,0.0,0.0,5,2,0.0,0.0,0.0,0.0,0.0,0.0
461,Remo Freuler,Nott'm Forest,Midfielder,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
462,Felipe Augusto de Almeida Monteiro,Nott'm Forest,Defender,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
463,Djed Spence,Spurs,Defender,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
464,Joseph Anang,West Ham,Goalkeeper,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
465,Emmanuel Dennis,Nott'm Forest,Forward,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
466,Steve Cook,Nott'm Forest,Defender,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
467,Mohamed Drager,Nott'm Forest,Defender,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
468,Folarin Balogun,Arsenal,Forward,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
469,Harry Maguire,Man Utd,Defender,0.0,0.0,5,1,0.0,0.0,0.0,0.0,0.0,0.0
470,Jeremy Sarmiento Morante,Brighton,Midfielder,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
471,Jordan Beyer,Burnley,Defender,0.0,0.0,3,2,0.0,0.0,0.0,0.0,,0.0
472,Samuel Bastien,Burnley,Midfielder,0.0,0.0,3,0,0.0,0.0,0.0,0.0,,0.0
473,Enock Agyei,Burnley,Midfielder,0.0,0.0,3,0,0.0,0.0,0.0,0.0,,0.0
474,Carlos Baleba,Brighton,Midfielder,0.0,0.0,2,0,0.0,0.0,0.0,,,
475,Jack Hinshelwood,Brighton,Midfielder,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
476,Igor Julio dos Santos de Paulo,Brighton,Defender,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
477,Andi Zeqiri,Brighton,Forward,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
478,Adam Webster,Brighton,Defender,0.0,0.0,5,2,0.0,0.0,0.0,0.0,0.0,0.0
479,Bart Verbruggen,Brighton,Goalkeeper,0.0,0.0,5,2,0.0,0.0,0.0,0.0,0.0,0.0
480,Deniz Undav,Brighton,Forward,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
481,Jason Steele,Brighton,Goalkeeper,0.0,0.0,5,3,0.0,0.0,0.0,0.0,0.0,0.0
482,Kjell Scherpen,Brighton,Goalkeeper,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
483,Jakub Moder,Brighton,Midfielder,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
484,Dara Costelloe,Burnley,Midfielder,0.0,0.0,3,0,0.0,0.0,0.0,0.0,,0.0
485,Tom McGill,Brighton,Goalkeeper,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
486,Kacper Kozłowski,Brighton,Midfielder,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
487,Michał Karbownik,Brighton,Defender,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
488,Aaron Connolly,Brighton,Forward,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
489,Facundo Buonanotte,Brighton,Midfielder,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
490,Yasin Ayari,Brighton,Midfielder,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
491,Steven Alzate,Brighton,Midfielder,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
492,Saman Ghoddos,Brentford,Midfielder,0.0,0.0,2,0,0.0,0.0,0.0,,,
493,Ethan Brierley,Brentford,Midfielder,0.0,0.0,3,0,0.0,0.0,0.0,0.0,,
494,Mathias Jorgensen,Brentford,Defender,0.0,0.0,5,1,0.0,0.0,0.0,0.0,0.0,0.0
495,Yegor Yarmolyuk,Brentford,Midfielder,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
496,Ryan Trevitt,Brentford,Midfielder,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
497,Darko Churlinov,Burnley,Midfielder,0.0,0.0,3,0,0.0,0.0,0.0,0.0,,0.0
498,CJ Egan-Riley,Burnley,Defender,0.0,0.0,3,0,0.0,0.0,0.0,0.0,,0.0
499,Thomas Strakosha,Brentford,Goalkeeper,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
500,Wilson Odobert,Burnley,Midfielder,0.0,0.0,2,0,0.0,0.0,0.0,0.0,,
501,Trevoh Chalobah,Chelsea,Defender,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
502,Armando Broja,Chelsea,Forward,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
503,Marcus Bettinelli,Chelsea,Goalkeeper,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
504,Benoit Badiashile,Chelsea,Defender,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
505,Abdul Rahman Baba,Chelsea,Defender,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
506,Cesar Azpilicueta,Chelsea,Defender,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
507,Pierre-Emerick Aubameyang,Chelsea,Forward,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
508,Kepa Arrizabalaga,Chelsea,Goalkeeper,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
509,Ethan Ampadu,Chelsea,Defender,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
510,Robert Sanchez,Chelsea,Goalkeeper,0.0,0.0,4,4,0.0,0.0,0.0,0.0,0.0,0.0
511,Han-Noah Massengo,Burnley,Midfielder,0.0,0.0,1,0,0.0,0.0,0.0,,,
512,Aaron Ramsey,Burnley,Midfielder,0.0,0.0,2,1,0.0,0.0,0.0,0.0,,
513,Owen Dodgson,Burnley,Defender,0.0,0.0,3,0,0.0,0.0,0.0,0.0,,0.0
514,Hjalmar Ekdal,Burnley,Defender,0.0,0.0,3,0,0.0,0.0,0.0,0.0,,0.0
515,James Trafford,Burnley,Goalkeeper,0.0,0.0,3,3,0.0,0.0,0.0,0.0,,0.0
516,Wout Weghorst,Burnley,Forward,0.0,0.0,3,0,0.0,0.0,0.0,0.0,,0.0
517,Lawrence Vigouroux,Burnley,Goalkeeper,0.0,0.0,3,0,0.0,0.0,0.0,0.0,,0.0
518,Scott Twine,Burnley,Midfielder,0.0,0.0,3,0,0.0,0.0,0.0,0.0,,0.0
519,Bobby Thomas,Burnley,Defender,0.0,0.0,3,0,0.0,0.0,0.0,0.0,,0.0
520,Charlie Taylor,Burnley,Defender,0.0,0.0,3,0,0.0,0.0,0.0,0.0,,0.0
521,Connor Roberts,Burnley,Defender,0.0,0.0,3,3,0.0,0.0,0.0,0.0,,0.0
522,Bailey Peacock-Farrell,Burnley,Goalkeeper,0.0,0.0,3,0,0.0,0.0,0.0,0.0,,0.0
523,Michael Obafemi,Burnley,Forward,0.0,0.0,3,0,0.0,0.0,0.0,0.0,,0.0
524,Arijanet Muric,Burnley,Goalkeeper,0.0,0.0,3,0,0.0,0.0,0.0,0.0,,0.0
525,Luke McNally,Burnley,Defender,0.0,0.0,3,0,0.0,0.0,0.0,0.0,,0.0
526,Denis Franchi,Burnley,Goalkeeper,0.0,0.0,3,0,0.0,0.0,0.0,0.0,,0.0
527,Ivan Toney,Brentford,Forward,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
528,Charlie Goode,Brentford,Defender,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
529,David Datro Fofana,Chelsea,Forward,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
530,Alexandre Moreno Lopera,Aston Villa,Defender,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
531,Bertrand Traore,Aston Villa,Midfielder,0.0,0.0,5,1,0.0,0.0,0.0,0.0,0.0,0.0
532,Viljami Sinisalo,Aston Villa,Goalkeeper,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
533,Morgan Sanson,Aston Villa,Midfielder,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
534,Jacob Ramsey,Aston Villa,Midfielder,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
535,Robin Olsen,Aston Villa,Goalkeeper,0.0,0.0,5,1,0.0,0.0,0.0,0.0,0.0,0.0
536,Emiliano Martinez Romero,Aston Villa,Goalkeeper,0.0,0.0,5,4,0.0,0.0,0.0,0.0,0.0,0.0
537,Tim Iroegbunam,Aston Villa,Midfielder,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
538,Kortney Hause,Aston Villa,Defender,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
539,Leander Dendoncker,Aston Villa,Midfielder,0.0,0.0,5,1,0.0,0.0,0.0,0.0,0.0,0.0
540,Keinan Davis,Aston Villa,Forward,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
541,Calum Chambers,Aston Villa,Defender,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
542,Emiliano Buendia Stati,Aston Villa,Midfielder,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
543,Karl Hein,Arsenal,Goalkeeper,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
544,Omari Kellyman,Aston Villa,Midfielder,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
545,Jurrien Timber,Arsenal,Defender,0.0,0.0,4,1,0.0,0.0,0.0,0.0,0.0,0.0
546,David Raya Martin,Arsenal,Goalkeeper,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
547,Granit Xhaka,Arsenal,Midfielder,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
548,Kieran Tierney,Arsenal,Defender,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
549,Emile Smith Rowe,Arsenal,Midfielder,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
550,Runar Alex Runarsson,Arsenal,Goalkeeper,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
551,Aaron Ramsdale,Arsenal,Goalkeeper,0.0,0.0,4,4,0.0,0.0,0.0,0.0,0.0,0.0
552,Nicolas Pepe,Arsenal,Midfielder,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
553,Marcus Oliveira Alencar,Arsenal,Midfielder,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
554,Jorge Luiz Frello Filho,Arsenal,Midfielder,0.0,0.0,4,3,0.0,0.0,0.0,0.0,0.0,0.0
555,Gabriel dos Santos Magalhaes,Arsenal,Defender,0.0,0.0,4,3,0.0,0.0,0.0,0.0,0.0,0.0
556,Mohamed Elneny,Arsenal,Midfielder,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
557,Wesley Moraes Ferreira da Silva,Aston Villa,Forward,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
558,Filip Marschall,Aston Villa,Goalkeeper,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,
559,Mark Flekken,Brentford,Goalkeeper,0.0,0.0,5,5,0.0,0.0,0.0,0.0,0.0,0.0
560,Adam Smith,Bournemouth,Defender,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
561,Halil Dervisoglu,Brentford,Forward,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
562,Matthew Cox,Brentford,Goalkeeper,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
563,Sergi Canos Tenes,Brentford,Midfielder,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
564,Mads Bidstrup,Brentford,Midfielder,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
565,Mads Bech Sørensen,Brentford,Defender,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
566,Shandon Baptiste,Brentford,Midfielder,0.0,0.0,5,1,0.0,0.0,0.0,0.0,0.0,0.0
567,Ellery Balcombe,Brentford,Goalkeeper,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
568,Tyler Adams,Bournemouth,Midfielder,0.0,0.0,2,0,0.0,0.0,0.0,0.0,,
569,Alex Scott,Bournemouth,Midfielder,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
570,Ben Greenwood,Bournemouth,Defender,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
571,Ionut Radu,Bournemouth,Goalkeeper,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
572,Mark Travers,Bournemouth,Goalkeeper,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
573,Marcos Senesi,Bournemouth,Defender,0.0,0.0,4,3,0.0,0.0,0.0,0.0,0.0,0.0
574,Oliwier Zych,Aston Villa,Goalkeeper,0.0,0.0,3,0,0.0,0.0,0.0,0.0,,
575,Darren Randolph,Bournemouth,Goalkeeper,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
576,Ben Pearson,Bournemouth,Midfielder,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
577,Dango Ouattara,Bournemouth,Midfielder,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
578,Norberto Murara Neto,Bournemouth,Goalkeeper,0.0,0.0,4,4,0.0,0.0,0.0,0.0,0.0,0.0
579,Chris Mepham,Bournemouth,Defender,0.0,0.0,4,2,0.0,0.0,0.0,0.0,0.0,0.0
580,Emiliano Marcondes,Bournemouth,Midfielder,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
581,Jamal Lowe,Bournemouth,Midfielder,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
582,Gavin Kilkenny,Bournemouth,Midfielder,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
583,James Hill,Bournemouth,Defender,0.0,0.0,4,1,0.0,0.0,0.0,0.0,0.0,0.0
584,Ryan Fredericks,Bournemouth,Defender,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
585,Siriki Dembele,Bournemouth,Midfielder,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
586,Clement Lenglet,Aston Villa,Defender,0.0,0.0,2,0,0.0,0.0,0.0,,,
587,Marc Cucurella Saseta,Chelsea,Defender,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
588,Wesley Fofana,Chelsea,Defender,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
589,Tom Heaton,Man Utd,Goalkeeper,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
590,James McConnell,Liverpool,Midfielder,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
591,Gabriel Osho,Luton,Defender,0.0,0.0,4,0,0.0,0.0,0.0,0.0,,0.0
592,Fred Onyedinma,Luton,Midfielder,0.0,0.0,4,0,0.0,0.0,0.0,0.0,,0.0
593,Admiral Muskwe,Luton,Forward,0.0,0.0,4,0,0.0,0.0,0.0,0.0,,0.0
594,Carlos Mendes Gomes,Luton,Midfielder,0.0,0.0,4,0,0.0,0.0,0.0,0.0,,0.0
595,John McAtee,Luton,Forward,0.0,0.0,4,0,0.0,0.0,0.0,0.0,,0.0
596,Matt Macey,Luton,Goalkeeper,0.0,0.0,4,0,0.0,0.0,0.0,0.0,,0.0
597,Luke Freeman,Luton,Midfielder,0.0,0.0,4,0,0.0,0.0,0.0,0.0,,0.0
598,Jordan Clark,Luton,Midfielder,0.0,0.0,4,0,0.0,0.0,0.0,0.0,,0.0
599,Allan Campbell,Luton,Midfielder,0.0,0.0,4,0,0.0,0.0,0.0,0.0,,0.0
600,Luke Berry,Luton,Midfielder,0.0,0.0,4,1,0.0,0.0,0.0,0.0,,0.0
601,Albert Sambi Lokonga,Luton,Midfielder,0.0,0.0,5,1,0.0,0.0,0.0,0.0,0.0,0.0
602,Wataru Endo,Liverpool,Midfielder,0.0,0.0,4,3,0.0,0.0,0.0,0.0,0.0,
603,Ben Doak,Liverpool,Midfielder,0.0,0.0,5,1,0.0,0.0,0.0,0.0,0.0,0.0
604,Dion Pereira,Luton,Midfielder,0.0,0.0,4,0,0.0,0.0,0.0,0.0,,0.0
605,Bobby Clark,Liverpool,Midfielder,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
606,Jarell Quansah,Liverpool,Defender,0.0,0.0,5,3,0.0,0.0,0.0,0.0,0.0,0.0
607,Sepp van den Berg,Liverpool,Defender,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
608,Konstantinos Tsimikas,Liverpool,Defender,0.0,0.0,5,1,0.0,0.0,0.0,0.0,0.0,0.0
609,Thiago Alcantara do Nascimento,Liverpool,Midfielder,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
610,Nathaniel Phillips,Liverpool,Defender,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
611,Alexis Mac Allister,Liverpool,Midfielder,0.0,0.0,5,5,0.0,0.0,0.0,0.0,0.0,0.0
612,Caoimhin Kelleher,Liverpool,Goalkeeper,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
613,Jordan Henderson,Liverpool,Midfielder,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
614,Fabio Henrique Tavares,Liverpool,Midfielder,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
615,Cedric Alves Soares,Arsenal,Defender,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
616,Alisson Ramses Becker,Liverpool,Goalkeeper,0.0,0.0,5,5,0.0,0.0,0.0,0.0,0.0,0.0
617,Aribim Pepple,Luton,Forward,0.0,0.0,4,0,0.0,0.0,0.0,0.0,,0.0
618,Dan Potts,Luton,Defender,0.0,0.0,4,0,0.0,0.0,0.0,0.0,,0.0
619,Fode Ballo-Toure,Fulham,Defender,0.0,0.0,1,0,0.0,0.0,,,,
620,Ederson Santana de Moraes,Man City,Goalkeeper,0.0,0.0,5,5,0.0,0.0,0.0,0.0,0.0,0.0
621,Frederico Rodrigues de Paula Santos,Man Utd,Midfielder,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
622,Alvaro Fernandez Carreras,Man Utd,Defender,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
623,Eric Bailly,Man Utd,Defender,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
624,Brandon Williams,Man Utd,Defender,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
625,Amad Diallo,Man Utd,Midfielder,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
626,Alex Telles,Man Utd,Defender,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
627,John Stones,Man City,Defender,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
628,Zack Steffen,Man City,Goalkeeper,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
629,Kalvin Phillips,Man City,Midfielder,0.0,0.0,5,1,0.0,0.0,0.0,0.0,0.0,0.0
630,Maximo Perrone,Man City,Midfielder,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
631,Stefan Ortega Moreno,Man City,Goalkeeper,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
632,Riyad Mahrez,Man City,Midfielder,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
633,Shea Charles,Man City,Midfielder,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
634,Glen Rea,Luton,Midfielder,0.0,0.0,4,0,0.0,0.0,0.0,0.0,,0.0
635,Scott Carson,Man City,Goalkeeper,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
636,Joao Cancelo,Man City,Defender,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
637,Joseph Johnson,Luton,Defender,0.0,0.0,3,0,0.0,0.0,0.0,0.0,,
638,Tim Krul,Luton,Goalkeeper,0.0,0.0,3,0,0.0,0.0,0.0,0.0,,
639,Aidan Francis-Clarke,Luton,Defender,0.0,0.0,4,0,0.0,0.0,0.0,0.0,,0.0
640,Thomas Kaminski,Luton,Goalkeeper,0.0,0.0,4,4,0.0,0.0,0.0,0.0,,0.0
641,Teden Mengi,Luton,Defender,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
642,Louie Watson,Luton,Midfielder,0.0,0.0,4,0,0.0,0.0,0.0,0.0,,0.0
643,Jack Walton,Luton,Goalkeeper,0.0,0.0,4,0,0.0,0.0,0.0,0.0,,0.0
644,Elliot Thorpe,Luton,Midfielder,0.0,0.0,4,0,0.0,0.0,0.0,0.0,,0.0
645,Joe Taylor,Luton,Forward,0.0,0.0,4,0,0.0,0.0,0.0,0.0,,0.0
646,James Shea,Luton,Goalkeeper,0.0,0.0,4,0,0.0,0.0,0.0,0.0,,0.0
647,Adrian San Miguel del Castillo,Liverpool,Goalkeeper,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
648,Steven Benda,Fulham,Goalkeeper,0.0,0.0,2,0,0.0,0.0,0.0,,,
649,Romelu Lukaku Bolingoli,Chelsea,Forward,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
650,Rob Holding,Crystal Palace,Defender,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
651,James Tomkins,Crystal Palace,Defender,0.0,0.0,5,1,0.0,0.0,0.0,0.0,0.0,0.0
652,Jairo Riedewald,Crystal Palace,Midfielder,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
653,Chris Richards,Crystal Palace,Defender,0.0,0.0,5,1,0.0,0.0,0.0,0.0,0.0,0.0
654,Luke Plange,Crystal Palace,Forward,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
655,Michael Olise,Crystal Palace,Midfielder,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
656,Jake O'Brien,Crystal Palace,Defender,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
657,Remi Matthews,Crystal Palace,Goalkeeper,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
658,Sam Johnstone,Crystal Palace,Goalkeeper,0.0,0.0,5,5,0.0,0.0,0.0,0.0,0.0,0.0
659,Vicente Guaita,Crystal Palace,Goalkeeper,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
660,Malcolm Ebiowei,Crystal Palace,Midfielder,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
661,Nathaniel Clyne,Crystal Palace,Defender,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
662,Naouirou Ahamada,Crystal Palace,Midfielder,0.0,0.0,5,3,0.0,0.0,0.0,0.0,0.0,0.0
663,Djordje Petrovic,Chelsea,Goalkeeper,0.0,0.0,1,0,0.0,0.0,0.0,,,
664,Dean Henderson,Crystal Palace,Goalkeeper,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
665,Diego Manuel Jadon da Silva Moreira,Chelsea,Midfielder,0.0,0.0,2,0,0.0,0.0,0.0,0.0,,
666,Eddie Beach,Chelsea,Goalkeeper,0.0,0.0,2,0,0.0,0.0,0.0,0.0,,
667,Deivid Washington de Souza Eugenio,Chelsea,Forward,0.0,0.0,2,0,0.0,0.0,0.0,0.0,,
668,Bashir Humphreys,Chelsea,Defender,0.0,0.0,3,0,0.0,0.0,0.0,0.0,0.0,
