,Name,Team,Position,xG per fixture,xG per game,Team games,Played,GW6,GW5,GW4,GW3,GW2,GW1
85,Douglas Luiz Soares de Paulo,Aston Villa,Midfielder,12.6,12.6,5,5,12.265307875566407,23.0,2.0,0.0,19.0,19.0
86,Antony Matheus dos Santos,Man Utd,Midfielder,12.6,15.75,5,4,17.112801592342432,0.0,4.0,27.0,13.0,19.0
87,Kevin Schade,Brentford,Midfielder,12.4,12.4,5,5,15.279595230300506,4.0,23.0,25.0,4.0,6.0
88,Lucas Tolentino Coelho de Lima,West Ham,Midfielder,12.2,12.2,5,5,13.639686010561197,0.0,4.0,16.0,25.0,16.0
89,Zeki Amdouni,Burnley,Forward,12.0,12.0,3,3,22.193832162549544,20.679230717121815,5.0,10.0,,21.0
90,Alejandro Garnacho,Man Utd,Midfielder,11.8,14.75,5,4,16.631881742143005,2.0,0.0,0.0,43.0,14.0
91,Lewis Dunk,Brighton,Defender,11.8,11.8,5,5,12.040519861387425,0.0,8.0,36.0,0.0,15.0
92,Destiny Udogie,Spurs,Defender,11.8,11.8,5,5,7.20464814061962,10.0,2.0,8.0,37.0,2.0
93,Nicolo Zaniolo,Aston Villa,Midfielder,11.666666666666666,11.666666666666666,3,3,11.183816139432691,27.0,2.0,6.0,,
94,Raphael Varane,Man Utd,Defender,11.6,19.333333333333332,5,3,18.955394508138966,0.0,0.0,0.0,21.0,37.0
95,Leon Bailey,Aston Villa,Midfielder,11.4,14.25,5,4,13.775458959038458,26.0,0.0,0.0,31.0,0.0
96,Bruno Guimaraes Rodriguez Moura,Newcastle,Midfielder,11.4,11.4,5,5,17.713659271010734,39.0,0.0,1.0,1.0,16.0
97,Cristian Romero,Spurs,Defender,11.2,11.2,5,5,8.224688603036384,10.0,9.0,0.0,4.0,33.0
98,Jacob Brown,Luton,Forward,11.0,11.0,4,4,14.181165839403327,10.0,2.0,9.0,,23.0
99,Jhon Duran,Aston Villa,Forward,11.0,13.75,5,4,13.132557393726088,26.0,8.0,2.0,19.0,0.0
100,Alex Iwobi,Fulham,Midfielder,10.8,18.0,5,3,10.80696793726461,6.0,0.0,0.0,2.0,46.0
101,Jefferson Lerma Solis,Crystal Palace,Midfielder,10.8,13.5,5,4,15.79409838880721,0.0,23.0,24.0,4.0,3.0
102,Harvey Barnes,Newcastle,Midfielder,10.6,10.6,5,5,18.06967397846546,13.0,5.0,7.0,7.0,21.0
103,Jack Grealish,Man City,Midfielder,10.4,26.0,5,2,22.264895550233657,0.0,0.0,33.0,19.0,0.0
104,Simon Adingra,Brighton,Midfielder,10.4,13.0,5,4,13.61694190553314,2.0,7.0,8.0,0.0,35.0
105,Sandro Tonali,Newcastle,Midfielder,10.0,12.5,5,4,18.956599584858232,0.0,8.0,8.0,0.0,34.0
106,Christian Nørgaard,Brentford,Midfielder,9.8,9.8,5,5,10.299170248576909,8.0,23.0,2.0,10.0,6.0
107,Carney Chukwuemeka,Chelsea,Midfielder,9.75,19.5,4,2,15.277560026290509,20.428269196556734,0.0,0.0,29.0,10.0
108,Kristoffer Ajer,Brentford,Defender,9.6,16.0,5,3,14.01238604364733,0.0,39.0,0.0,7.0,2.0
109,Michael Keane,Everton,Defender,9.5,12.666666666666666,4,3,9.214502537098866,7.64890014194511,0.0,4.0,0.0,34.0
110,Vitaly Janelt,Brentford,Midfielder,9.4,9.4,5,5,10.406014727110298,0.0,21.0,5.0,4.0,17.0
111,Justin Kluivert,Bournemouth,Midfielder,9.25,9.25,4,4,10.739063790851471,8.059111665279394,9.0,7.0,19.0,2.0
112,Nayef Aguerd,West Ham,Defender,9.2,11.5,5,4,19.01536918632861,13.0,0.0,0.0,33.0,0.0
113,Harry Wilson,Fulham,Midfielder,9.2,9.2,5,5,7.55903324131438,12.0,2.0,1.0,26.0,5.0
114,Joelinton Cassio Apolinario de Lira,Newcastle,Midfielder,9.2,11.5,5,4,20.506144845030697,0.0,8.0,21.0,9.0,8.0
115,Bernardo Veiga de Carvalho e Silva,Man City,Midfielder,9.0,11.25,5,4,7.947362154624548,35.0,0.0,10.0,0.0,0.0
116,Jean-Ricner Bellegarde,Wolves,Midfielder,9.0,9.0,1,1,12.256306516240299,9.0,,,,
117,Luca Koleosho,Burnley,Midfielder,9.0,9.0,3,3,13.041640694488361,12.151623697786334,16.0,5.0,,6.0
118,Diego Carlos Santos Silva,Aston Villa,Defender,9.0,11.25,5,4,10.047106006615769,0.0,0.0,8.0,0.0,37.0
119,Manor Solomon,Spurs,Midfielder,8.8,14.666666666666666,5,3,7.616802211299311,20.0,24.0,0.0,0.0,0.0
120,Pablo Sarabia,Wolves,Midfielder,8.8,11.0,5,4,14.744709144822709,0.0,4.0,12.0,19.0,9.0
121,Tahith Chong,Luton,Midfielder,8.5,8.5,4,4,9.046958482406561,17.0,9.0,6.0,,2.0
122,Trent Alexander-Arnold,Liverpool,Defender,8.4,10.5,5,4,9.714559772631135,0.0,4.0,0.0,38.0,0.0
123,Ruben Gato Alves Dias,Man City,Defender,8.4,10.5,5,4,7.477485512133274,36.0,0.0,6.0,0.0,0.0
124,Jacob Bruun Larsen,Burnley,Midfielder,8.333333333333334,8.333333333333334,3,3,13.346657573887338,12.435824928809042,14.0,2.0,,9.0
125,Amari'i Bell,Luton,Defender,8.25,8.25,4,4,7.398858734625445,33.0,0.0,0.0,,0.0
126,Christian Eriksen,Man Utd,Midfielder,8.2,8.2,5,5,9.34080259430173,4.0,2.0,35.0,0.0,0.0
127,Tim Ream,Fulham,Defender,8.2,10.25,5,4,15.180468527068872,4.0,35.0,0.0,2.0,0.0
128,Conor Gallagher,Chelsea,Midfielder,8.0,8.0,4,4,5.770113213805125,7.715461488835706,1.0,19.0,12.0,0.0
129,Keane Lewis-Potter,Brentford,Midfielder,8.0,10.0,5,4,9.871707817187154,2.0,17.0,4.0,17.0,0.0
130,Thiago Emiliano da Silva,Chelsea,Defender,8.0,8.0,4,4,7.432089028807601,9.937759374663809,17.0,2.0,5.0,8.0
