,Name,Team,Threat per fixture,Threat per game,Team games,Played,Threat GW5,Threat GW4*,Threat GW4,Threat GW3,Threat GW2,Threat GW1
162,Lucas Digne,Everton,5.6,5.6,5,5,0.0,,4.0,12.0,12.0,0.0
163,Christian Pulisic,Chelsea,5.6,14.0,5,2,28.0,,0.0,0.0,0.0,0.0
164,Oriol Romeu Vidal,Southampton,5.6,5.6,5,5,3.0,,25.0,0.0,0.0,0.0
165,Stuart Armstrong,Southampton,5.4,9.0,5,3,0.0,,7.0,14.0,6.0,0.0
166,Dale Stephens,Burnley,5.25,10.5,4,2,0.0,,8.0,13.0,0.0,0.0
167,Nelson Cabral Semedo,Wolves,5.2,8.666666666666666,5,3,0.0,,20.0,6.0,,
168,Andriy Yarmolenko,West Ham,5.2,8.666666666666666,5,3,0.0,,0.0,0.0,0.0,26.0
169,Fabian Balbuena,West Ham,5.0,8.333333333333334,5,3,17.0,,8.0,0.0,0.0,0.0
170,James Maddison,Leicester,5.0,6.25,5,4,16.0,,0.0,9.0,0.0,0.0
171,Joe Bryan,Fulham,5.0,6.25,5,4,0.0,,0.0,20.0,5.0,0.0
172,Bamidele Alli,Spurs,5.0,12.5,5,2,0.0,,4.0,0.0,0.0,21.0
173,Paul Pogba,Man Utd,5.0,5.0,4,4,0.0,,4.0,0.0,16.0,
174,Seamus Coleman,Everton,4.8,4.8,5,5,0.0,,9.0,2.0,6.0,7.0
175,Pablo Hernandez Dominguez,Leeds,4.8,12.0,5,2,22.0,,0.0,0.0,0.0,2.0
176,Daniel Ceballos Fernandez,Arsenal,4.8,4.8,5,5,0.0,,0.0,0.0,20.0,4.0
177,Ashley Westwood,Burnley,4.75,4.75,4,4,2.0,,17.0,0.0,0.0,
178,Nathan Ake,Man City,4.75,4.75,4,4,0.0,,2.0,17.0,0.0,
179,Juan Mata,Man Utd,4.75,19.0,4,1,19.0,,0.0,0.0,0.0,
180,Jannik Vestergaard,Southampton,4.6,5.75,5,4,19.0,,0.0,0.0,0.0,4.0
181,Ezgjan Alioski,Leeds,4.6,7.666666666666667,5,3,0.0,,4.0,0.0,19.0,0.0
182,Conor Townsend,West Brom,4.6,7.666666666666667,5,3,19.0,,0.0,4.0,0.0,0.0
183,Steven Alzate,Brighton,4.6,5.75,5,4,0.0,,0.0,4.0,2.0,17.0
184,Isaac Hayden,Newcastle,4.6,4.6,5,5,0.0,,13.0,0.0,10.0,0.0
185,Matthew Cash,Aston Villa,4.5,4.5,4,4,0.0,,0.0,2.0,16.0,
186,Vladimir Coufal,West Ham,4.4,11.0,5,2,22.0,,0.0,,,
187,Ben Osborn,Sheffield Utd,4.4,7.333333333333333,5,3,0.0,,0.0,22.0,0.0,0.0
188,Steven Bergwijn,Spurs,4.4,5.5,5,4,3.0,,0.0,17.0,0.0,2.0
189,Jeffrey Schlupp,Crystal Palace,4.4,7.333333333333333,5,3,0.0,,0.0,0.0,22.0,0.0
190,Chris Basham,Sheffield Utd,4.4,4.4,5,5,4.0,,6.0,6.0,4.0,2.0
191,Andre Filipe Tavares Gomes,Everton,4.4,5.5,5,4,0.0,,0.0,0.0,2.0,20.0
192,Mohamed Naser El Sayed Elneny,Arsenal,4.4,7.333333333333333,5,3,0.0,,2.0,2.0,0.0,18.0
193,Willy Boly,Wolves,4.4,4.4,5,5,0.0,,18.0,0.0,4.0,0.0
194,Gylfi Sigurdsson,Everton,4.4,4.4,5,5,0.0,,22.0,0.0,0.0,0.0
195,Robbie Brady,Burnley,4.25,8.5,4,2,0.0,,0.0,0.0,17.0,
196,Erik Pieters,Burnley,4.25,8.5,4,2,0.0,,0.0,0.0,17.0,
197,Jake Livermore,West Brom,4.2,4.2,5,5,2.0,,0.0,0.0,19.0,0.0
198,Jan Bednarek,Southampton,4.2,4.2,5,5,0.0,,17.0,4.0,0.0,0.0
199,Granit Xhaka,Arsenal,4.2,4.2,5,5,0.0,,0.0,0.0,0.0,21.0
200,Marcos Alonso,Chelsea,4.0,6.666666666666667,5,3,0.0,,0.0,16.0,2.0,2.0
