,Name,Team,Threat per fixture adj,Threat per game adj,Team games,Played,Threat GW3 adj,Threat GW2 adj,Threat GW1 adj
41,Grady Diangana,West Brom,21.748505079168215,21.748505079168215,3,3,12.554505494505499,41.899511002444996,10.791498740554157
42,Gabriel Fernando de Jesus,Man City,21.72527890466532,43.45055780933064,2,1,0.0,43.45055780933064,
43,Jorge Luiz Frello Filho,Chelsea,21.1506438350723,31.725965752608452,3,2,0.0,37.84299163179917,25.60893987341773
44,Mason Mount,Chelsea,21.031071466017522,21.031071466017522,3,3,47.543803945746006,1.9917364016736405,13.557674050632915
45,Georginio Wijnaldum,Liverpool,21.019753938985307,21.019753938985307,3,3,9.25318574514039,30.340054945054952,23.466021126760573
46,Jordan Ayew,Crystal Palace,20.66337001473482,20.66337001473482,3,3,2.327750611246944,34.88297587131368,24.77938356164384
47,Helder Wander Sousa de Azevedo e Costa,Leeds,20.603418087349368,20.603418087349368,3,3,19.795099009900994,30.06473684210527,11.950418410041843
48,Tammy Abraham,Chelsea,20.090914414251742,30.136371621377613,3,2,26.413224414303336,33.85951882845189,0.0
49,Kurt Zouma,Chelsea,19.822819567289873,29.73422935093481,3,2,0.0,33.85951882845189,25.60893987341773
50,Mahmoud Ahmed Ibrahim Hassan,Aston Villa,19.81163626889005,19.81163626889005,2,2,21.713421052631585,17.90985148514852,
51,Jack Harrison,Leeds,19.096936067643323,19.096936067643323,3,3,9.426237623762379,10.021578947368424,37.84299163179917
52,Ivan Ricardo Neves Abreu Cavaleiro,Fulham,18.857028985507252,18.857028985507252,3,3,56.571086956521754,0.0,0.0
53,James Rodriguez,Everton,18.558429303917876,18.558429303917876,3,3,24.386526639344268,5.282644882860668,26.006116389548698
54,Aaron Connolly,Brighton,18.54692026544185,18.54692026544185,3,3,6.806434316353889,15.355645161290328,33.47868131868133
55,Ruben Diogo da Silva Neves,Wolves,18.49757164010104,18.49757164010104,3,3,17.115505617977533,38.37720930232559,0.0
56,Virgil van Dijk,Liverpool,18.23168850701819,18.23168850701819,3,3,25.703293736501085,4.1848351648351665,24.806936619718318
57,Callum Robinson,West Brom,18.04859916554903,18.04859916554903,3,3,36.617307692307705,15.130378973105138,2.3981108312342574
58,Riyad Mahrez,Man City,17.985831234256928,35.971662468513856,2,1,35.971662468513856,0.0,
59,Andrew Robertson,Liverpool,17.84342993164169,17.84342993164169,3,3,23.647030237581,27.20142857142858,2.681830985915494
60,Robin Koch,Leeds,17.796339462673426,17.796339462673426,3,3,0.0,17.53776315789474,35.85125523012553
61,Dennis Praet,Leicester,17.710112067231602,17.710112067231602,3,3,0.0,33.760638297872354,19.36969790382245
62,Bobby Decordova-Reid,Fulham,17.362652744179737,17.362652744179737,3,3,38.63391304347827,11.39778169014085,2.056263498920087
63,Mason Greenwood,Man Utd,17.200218536003327,17.200218536003327,2,2,9.03844936708861,25.36198770491804,
64,Tyrone Mings,Aston Villa,17.02510812923398,17.02510812923398,2,2,28.394473684210535,5.6557425742574265,
65,Fernando Luiz Rosa,Man City,16.919328597851024,16.919328597851024,2,2,29.976385390428216,3.8622718052738345,
66,Jonjo Shelvey,Newcastle,16.88544155320297,16.88544155320297,3,3,9.04560570071259,18.07689873417722,23.533820224719104
67,Erik Lamela,Spurs,16.773230033237915,25.159845049856873,3,2,4.673457223001404,45.64623287671234,0.0
68,Kyle Walker,Man City,15.985378740656344,15.985378740656344,2,2,20.383942065491187,11.586815415821503,
69,Oliver McBurnie,Sheffield Utd,15.929749141584969,15.929749141584969,3,3,2.681830985915494,5.5191304347826105,39.588286004056805
70,George Baldock,Sheffield Utd,15.76920219985285,15.76920219985285,3,3,19.44327464788733,2.7595652173913052,25.104766734279924
71,Ezri Konsa Ngoyo,Aston Villa,15.553292079207925,15.553292079207925,2,2,0.0,31.10658415841585,
72,Harry Maguire,Man Utd,15.508596181780456,15.508596181780456,2,2,27.11534810126583,3.901844262295083,
73,John Lundstram,Sheffield Utd,15.390543463769363,15.390543463769363,3,3,20.784190140845077,23.456304347826094,1.9311359026369173
74,Matt Doherty,Spurs,15.358909888655328,15.358909888655328,3,3,5.341093969144461,0.0,40.735635696821525
75,Matheus Pereira,West Brom,14.65935638930118,14.65935638930118,3,3,0.0,12.802628361858194,31.175440806045348
76,Ben Davies,Spurs,14.411594831577036,14.411594831577036,3,3,1.3352734922861154,0.0,41.899511002444996
77,Fabio Silva,Wolves,14.262921348314611,21.394382022471916,3,2,42.78876404494383,0.0,0.0
78,Caglar Soyuncu,Leicester,13.733028080674032,13.733028080674032,3,3,2.9520930232558147,34.72522796352584,3.5217632552404448
79,Ayoze Perez,Leicester,13.69852121975322,20.54778182962983,3,2,0.0,27.00851063829788,14.087053020961779
80,Scott McTominay,Man Utd,13.656454918032793,27.312909836065586,2,1,0.0,27.312909836065586,
81,Naby Keita,Liverpool,13.600767328677165,13.600767328677165,3,3,22.618898488120955,2.0924175824175832,16.09098591549296
