,Name,Team,Position,xA per fixture,xA per game,Team games,Played,GW30,GW29*,GW29,GW28*,GW28,GW27*,GW27,GW26*,GW26,GW25*,GW25,GW24,GW23*,GW23,GW22*,GW22,GW21*,GW21,GW20,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW7,GW6,GW5,GW4,GW3,GW2,GW1
152,Stuart Armstrong,Southampton,Midfielder,8.017857142857142,14.966666666666667,28,15,,,16.1569615189016,21.8,6.8,,52.1,,15.7,,13.1,26.1,,11.6,,1.1,,1.1,13.1,0.3,,0.0,0.0,0.0,0.0,0.0,0.0,26.8,0.5,22.5,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,Fabio Henrique Tavares,Liverpool,Midfielder,7.982142857142857,10.642857142857142,28,21,,9.902300768568786,1.0,,14.7,,,3.3,0.0,,3.4,3.3,,3.6,,45.9,,5.8,14.1,,0.0,0.0,23.5,9.6,11.8,23.7,13.3,9.2,0.0,0.0,0.0,2.0,18.0,2.7,4.9,5.1,0.0,4.6
154,Kyle Walker,Man City,Defender,7.975000000000001,13.135294117647062,28,17,,,12.091962911688153,,13.1,,0.0,,25.3,,26.3,0.0,,24.6,,4.8,,0.0,0.0,0.0,0.0,0.0,0.0,16.8,0.0,8.5,24.4,21.3,4.2,3.8,0.0,1.8,14.6,16.8,3.2,4.5,9.3,0.0
155,Joseph Willock,Newcastle,Midfielder,7.948148148148149,9.330434782608696,27,23,,8.953611998008759,6.18241762202776,2.5,16.6,,28.2,,1.6,,11.8,0.9,,22.3,,0.0,,,,0.0,0.3,0.0,19.4,32.8,12.1,1.7,22.2,0.0,0.0,0.3,2.6,1.6,12.5,11.4,1.1,1.7,11.0,0.0
156,Jamie Vardy,Leicester,Forward,7.908,10.983333333333334,25,18,11.747821505816939,,10.901232413055766,,2.0,,20.8,,0.0,,0.0,0.0,,0.0,,0.0,,,10.8,0.0,,,0.0,0.3,23.6,1.6,1.5,2.3,22.7,0.3,24.1,1.8,11.8,22.1,15.9,10.6,0.8,24.7
157,Jonjo Shelvey,Newcastle,Midfielder,7.885185185185187,11.20526315789474,27,19,,11.06820532470883,7.642532160084611,14.8,11.3,,2.9,,4.3,,1.0,11.3,,1.1,,3.6,,,,0.8,0.0,0.5,11.5,43.7,18.2,5.5,56.8,0.6,10.4,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,14.4
158,Antonio Rudiger,Chelsea,Defender,7.818518518518517,8.443999999999999,27,25,,,11.007265705199888,0.0,5.3,,,,5.7,,,,,0.9,15.0,4.3,,5.9,2.1,2.7,2.6,7.5,1.7,28.5,1.6,2.6,11.6,24.3,10.8,13.3,0.0,11.8,27.8,15.6,1.1,3.3,1.7,3.4
159,Albert Sambi Lokonga,Arsenal,Midfielder,7.791999999999999,13.914285714285713,25,14,12.44198140386566,8.963946306509008,15.913324669046906,,0.0,,,0.0,0.0,,,0.0,,15.0,,,,0.0,,0.0,0.0,0.0,0.2,0.0,0.0,70.5,0.8,2.7,2.1,25.3,15.0,2.7,0.3,11.3,6.7,0.0,7.9,34.3
160,Charlie Taylor,Burnley,Defender,7.770370370370371,10.49,27,20,,,0.4,,0.9,2.0,0.4,0.0,0.0,,0.0,0.0,0.0,0.0,,,,29.1,2.1,,,,16.3,10.9,5.2,,1.3,6.1,18.6,2.3,0.0,42.0,1.3,16.4,35.9,1.2,1.8,15.6
161,Nicolas Pepe,Arsenal,Midfielder,7.764000000000001,16.175,25,12,13.654249387932756,9.837336546017093,17.463818387865437,,0.3,,,2.4,2.4,,,0.0,,0.0,,,,0.0,,1.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.9,0.0,15.3,6.6,0.0,27.6,84.7,0.0,8.3,43.9
162,Abdoulaye Doucoure,Everton,Midfielder,7.752000000000001,10.766666666666667,25,18,,13.39758727634833,11.23542341735751,,26.9,,14.1,,0.0,,0.0,0.0,,1.4,,4.5,,2.0,,,,10.9,1.3,2.3,4.2,5.1,0.0,0.0,0.0,0.0,22.7,24.3,4.3,12.5,26.8,14.1,11.8,4.6
163,Romelu Lukaku,Chelsea,Forward,7.496296296296298,11.244444444444447,27,18,,,15.344853152596981,0.3,0.0,,,,0.4,,,,,3.7,21.0,1.8,,0.0,25.5,1.1,0.0,0.0,0.3,3.5,1.8,10.5,0.0,0.0,0.0,0.0,12.8,13.5,10.7,32.3,2.3,27.5,33.4,0.0
164,Joao Pedro Junqueira de Jesus,Watford,Forward,7.47142857142857,11.010526315789471,28,19,,,11.429114444863346,0.0,15.7,,0.0,0.0,0.0,,0.5,0.5,13.5,22.6,,14.7,,1.3,31.5,,,,4.5,1.8,36.0,5.8,1.3,14.8,11.5,11.3,10.6,0.7,10.6,0.0,0.0,0.0,0.0,0.0
165,Francisco Machado Mota de Castro Trincao,Wolves,Midfielder,7.432142857142859,10.405000000000003,28,20,11.31495263816288,,10.415416178807055,0.0,0.0,,7.5,0.0,0.0,,0.8,15.3,,0.3,,6.9,,50.8,,,0.0,4.3,0.2,0.0,11.0,4.0,0.0,2.6,17.0,0.0,0.0,4.2,0.0,12.9,14.7,4.6,28.7,22.3
166,Wout Weghorst,Burnley,Forward,7.43,8.255555555555555,10,9,,,2.4,,0.8,5.1,3.9,4.8,21.3,,21.3,12.7,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
167,Matt Doherty,Spurs,Defender,7.425925925925926,18.227272727272727,27,11,17.594090795032933,15.956797178136943,3.3,,53.8,,28.6,0.0,0.1,,8.3,0.0,,1.3,,46.3,,0.0,42.0,0.0,0.0,,,11.7,0.0,,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
168,Harry Winks,Spurs,Midfielder,7.125925925925925,13.742857142857142,27,14,14.557285938752706,13.202595228984492,0.2,,0.0,,15.0,3.5,0.0,,7.6,16.2,,18.3,,53.5,,4.3,54.1,0.0,15.2,,,0.0,0.3,,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0
169,Ruben Santos Gato Alves Dias,Man City,Defender,7.067857142857142,7.9159999999999995,28,25,,,6.818010959784112,,0.0,,3.7,,5.0,,12.0,12.8,,12.7,,0.0,,3.6,2.3,13.3,1.4,1.7,3.7,12.8,1.1,2.0,0.0,2.4,3.3,1.5,0.0,0.6,1.5,21.5,23.3,26.0,28.7,1.0
170,James Milner,Liverpool,Midfielder,6.942857142857142,10.231578947368419,28,19,,9.738797110162974,0.0,,0.1,,,14.8,0.0,,0.0,0.0,,0.0,,11.9,,1.2,16.6,,30.7,0.5,0.6,0.0,0.8,2.2,0.0,0.0,0.0,0.3,48.5,19.6,0.0,27.8,0.0,0.0,0.0,18.8
171,Hee-Chan Hwang,Wolves,Forward,6.940000000000001,8.675,25,20,9.870326647014544,,9.085637663448239,10.8,2.8,,27.1,3.1,0.8,,2.0,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,0.2,21.3,16.4,15.0,18.8,18.9,4.2,2.3,4.8,21.3,2.8,0.5,0.4,,,
172,Jacob Murphy,Newcastle,Midfielder,6.811111111111111,8.35909090909091,27,22,,8.568449691130182,5.916465262922123,11.9,11.3,,16.5,,23.1,,0.0,0.1,,0.0,,0.6,,,,12.7,0.7,0.9,26.0,0.0,0.0,11.4,30.0,2.7,0.0,0.0,1.6,0.8,0.3,0.0,0.5,11.3,1.2,20.3
173,Tyler Roberts,Leeds,Midfielder,6.778571428571429,8.252173913043478,28,23,8.27346896999087,,10.670483864835623,0.0,0.6,,0.0,11.8,0.0,,1.1,0.0,,0.5,,0.0,,31.1,,,1.8,1.3,15.8,3.6,21.0,0.6,0.0,0.5,10.3,21.1,12.7,0.0,11.1,24.6,2.2,3.1,0.7,14.3
174,Seamus Coleman,Everton,Defender,6.676,8.345,25,20,,9.210115770265046,7.7237451988455454,,4.6,,1.0,,1.8,,1.3,25.6,,0.0,,15.5,,2.9,,,,0.0,1.8,4.8,0.5,37.0,0.8,3.3,2.2,26.8,2.0,0.0,0.0,0.0,6.6,1.3,10.5,16.6
175,James McArthur,Crystal Palace,Midfielder,6.642857142857143,12.4,28,15,,,7.406473862122002,,0.0,,14.2,10.7,3.4,,0.8,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,17.0,12.6,19.5,12.7,20.4,23.4,12.0,5.8,5.9,1.6,26.0
176,Naby Keita,Liverpool,Midfielder,6.371428571428572,11.893333333333334,28,15,,9.936743098435745,2.7,,25.8,,,0.0,29.8,,6.5,0.0,,0.0,,0.0,,4.8,14.3,,17.3,4.7,0.0,0.0,0.0,0.0,0.0,0.0,2.1,42.9,6.5,0.0,0.0,0.0,0.3,0.0,3.9,16.8
177,Kelechi Iheanacho,Leicester,Forward,6.364000000000001,9.358823529411765,25,17,11.87283741149484,,11.017239235465237,,11.5,,0.0,,0.3,,0.0,0.8,,0.0,,0.0,,,12.3,24.7,,,0.0,0.8,0.0,0.0,1.9,0.0,3.8,23.0,15.3,21.2,13.8,10.8,14.6,0.3,0.3,3.7
178,Ben White,Arsenal,Defender,6.339999999999999,6.891304347826086,25,23,6.026381163753005,4.341764821932254,7.707756258857188,,1.4,,,14.7,21.7,,,10.3,,18.2,,,,0.3,,5.3,10.4,0.5,1.3,0.8,14.6,3.2,0.3,0.4,0.3,0.4,12.3,10.5,0.2,0.2,30.7,0.0,0.0,0.5
179,Roberto Firmino,Liverpool,Forward,6.335714285714286,11.826666666666666,28,15,,10.144463779422663,0.0,,0.0,,,0.0,0.0,,5.3,2.1,,5.5,,28.8,,0.0,12.0,,0.9,12.6,0.0,0.0,0.0,0.0,0.0,0.0,23.3,14.4,40.6,0.3,4.1,0.0,0.0,2.6,10.7,14.2
180,Marc Albrighton,Leicester,Midfielder,6.287999999999999,11.228571428571428,25,14,14.334828706813594,,13.301810829943474,,28.9,,19.8,,29.7,,0.0,1.1,,0.3,,1.7,,,0.1,14.2,,,3.9,0.0,0.0,0.5,15.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.3,5.6,0.0,0.0
181,Ibrahima Diallo,Southampton,Midfielder,6.239285714285713,9.19473684210526,28,19,,,10.091067425799597,0.0,21.2,,0.0,,0.0,,0.0,0.0,,0.7,,11.5,,34.5,33.4,10.1,,0.0,1.5,0.0,0.0,0.0,29.4,0.1,0.0,13.6,3.1,10.7,0.0,0.0,0.9,1.5,1.6,0.9
182,Jose Diogo Dalot Teixeira,Man Utd,Defender,6.220689655172414,11.275,29,16,,,0.0,,0.0,,0.0,,0.0,14.3,2.5,23.0,,26.7,2.3,29.2,,0.0,5.0,18.3,,,2.2,21.7,3.0,0.0,0.3,0.0,0.0,22.6,0.0,0.0,9.3,0.0,0.0,0.0,0.0,0.0
183,Alex Oxlade-Chamberlain,Liverpool,Midfielder,6.071428571428571,10.0,28,17,,9.073475020038293,0.0,,0.0,,,0.0,3.8,,0.0,0.0,,14.2,,39.9,,1.3,7.6,,0.0,13.8,2.8,1.4,0.7,11.5,6.7,5.7,29.8,13.2,12.3,0.0,0.0,0.0,0.0,0.0,0.0,5.3
184,Edo Kayembe,Watford,Midfielder,6.04,8.628571428571428,10,7,,,7.022475550044682,0.0,0.6,,0.0,1.3,0.0,,0.7,2.0,1.3,29.3,,25.2,,,,,,,,,,,,,,,,,,,,,,
185,Adam Forshaw,Leeds,Midfielder,6.025,8.878947368421054,28,19,8.671442164725262,,11.1837590784677,2.8,1.3,,3.5,2.1,13.6,,0.7,0.3,,0.0,,22.8,,7.8,,,14.3,0.3,12.2,23.7,4.2,12.1,13.3,12.9,20.5,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,Adam Armstrong,Southampton,Forward,6.003571428571429,8.405000000000001,28,20,,,8.590499983029202,1.8,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.8,,1.1,1.8,0.0,,0.0,0.3,0.0,31.5,1.2,22.9,1.2,21.5,0.5,0.0,0.9,32.9,0.9,11.3,25.0,11.5,1.0
187,Ben Godfrey,Everton,Defender,6.000000000000001,8.823529411764708,25,17,,10.480523446046536,8.789128678396688,,0.0,,0.0,,0.0,,0.0,0.0,,1.0,,21.9,,26.6,,,,14.9,16.7,4.3,0.3,0.7,0.0,11.3,12.1,0.4,0.4,11.8,12.3,15.3,0.0,0.0,0.0,0.0
188,Benjamin Chilwell,Chelsea,Defender,5.962962962962963,26.833333333333332,27,6,,,27.329872645542594,0.0,0.0,,,,0.0,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.1,26.8,32.2,15.5,4.8,41.6,0.0,0.0,0.0,0.0,0.0,0.0
189,Christian Benteke,Crystal Palace,Forward,5.867857142857143,7.468181818181819,28,22,,,3.9498326206626815,,0.6,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,3.9,0.5,0.0,,0.0,0.3,10.7,1.2,12.3,15.3,6.3,0.5,38.0,0.7,0.1,10.3,11.4,15.5,22.4,14.0,0.3
190,Bruno Guimaraes Rodriguez Moura,Newcastle,Midfielder,5.8,5.8,6,6,,6.079439402179352,4.197817964464219,14.9,4.1,,5.2,,0.3,,0.0,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Joshua Sargent,Norwich,Forward,5.75,6.708333333333333,28,24,,,7.732794298371344,1.3,12.6,,4.1,,14.5,,0.8,0.0,,13.4,,3.2,,0.0,0.0,2.2,,0.0,12.9,0.6,1.7,3.6,1.1,0.6,4.1,2.3,34.5,21.2,2.5,12.9,0.0,10.3,0.3,0.3
192,Imran Louza,Watford,Midfielder,5.75,11.5,28,14,,,12.484314475908292,16.2,2.3,,11.8,1.3,2.2,,1.4,0.5,0.0,0.0,,0.0,,15.0,29.6,,,,0.0,10.7,13.6,0.3,44.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.3,0.0
193,Adam Lallana,Brighton,Midfielder,5.721428571428573,7.628571428571431,28,21,,8.50223084189138,0.2,,0.0,,0.0,,1.8,0.0,15.3,,,0.0,0.0,5.9,,2.9,18.8,13.3,,1.5,,0.0,6.3,0.0,2.4,18.4,23.6,3.3,17.3,13.5,2.9,1.3,3.1,2.2,3.2,3.0
194,Luke Thomas,Leicester,Defender,5.700000000000001,8.382352941176473,25,17,9.370720587636685,,8.695433698328936,,12.3,,2.6,,4.1,,0.9,11.3,,1.8,,3.7,,,10.8,10.7,,,1.8,20.3,12.1,17.7,0.0,0.0,14.8,0.0,0.0,0.0,0.0,0.0,0.0,10.6,1.3,5.7
195,Rico Henry,Brentford,Defender,5.668965517241379,6.575999999999999,29,25,8.641270829646237,,2.9,,2.1,,2.5,,0.4,,13.2,4.5,,0.3,1.2,0.7,0.0,0.0,0.0,0.0,,,2.7,1.8,3.0,0.9,12.5,3.7,5.5,2.4,19.9,25.3,6.4,0.8,12.9,11.3,26.2,1.3
196,Oliver Skipp,Spurs,Midfielder,5.611111111111111,8.416666666666666,27,18,9.20562908944026,8.348959772267717,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,,21.8,,6.9,,16.6,0.0,22.6,0.8,,,4.5,27.8,,0.0,22.5,1.1,3.8,5.6,4.9,2.2,0.9,0.7,6.5,1.5,0.8
197,Miguel Almiron,Newcastle,Midfielder,5.574074074074076,7.525000000000003,27,20,,7.625873659881876,5.265621930981169,0.8,0.0,,0.0,,0.3,,0.0,0.0,,0.0,,0.0,,,,0.3,0.9,0.0,2.3,2.9,0.1,12.0,0.0,11.6,0.5,14.6,0.0,2.4,13.4,41.3,12.4,5.1,15.8,13.8
198,Maxwel Cornet,Burnley,Midfielder,5.5375000000000005,7.81764705882353,24,17,,,2.9,,0.8,1.8,0.0,0.0,1.6,,17.2,2.3,14.1,0.0,,,,1.5,0.0,,,,0.0,4.3,10.2,,16.2,11.7,16.0,15.0,1.1,0.0,0.9,15.3,0.0,,,
199,Kai Havertz,Chelsea,Midfielder,5.4148148148148145,7.694736842105263,27,19,,,8.292449243928473,27.5,4.1,,,,14.0,,,,,0.0,1.0,0.0,,2.3,0.0,0.0,0.0,0.0,6.1,2.9,26.7,0.0,4.8,6.3,15.0,4.7,0.1,0.0,0.2,9.8,12.9,1.8,5.2,0.8
200,Leander Dendoncker,Wolves,Midfielder,5.314285714285714,6.763636363636363,28,22,7.172113067047558,,6.601931520491911,0.0,0.0,,30.4,1.0,11.4,,2.3,1.8,,5.0,,11.6,,0.9,,,2.6,0.1,0.6,1.8,37.8,1.5,0.2,0.0,0.0,1.7,24.8,10.3,1.8,0.0,0.0,0.0,0.6,0.6
201,Pierre-Emerick Aubameyang,Arsenal,Forward,5.296,9.457142857142857,25,14,8.65022588978716,6.232139230744621,11.063660085684575,,0.0,,,0.0,0.0,,,0.0,,0.0,,,,0.0,,0.0,0.0,0.0,0.0,0.3,2.1,5.8,10.3,1.8,3.0,24.6,15.8,2.8,3.3,37.4,22.5,1.4,1.3,0.0
202,Ashley Young,Aston Villa,Defender,5.24074074074074,8.323529411764705,27,17,7.645845952614585,,8.703909988715232,1.1,1.9,,0.7,,29.4,,0.0,10.3,,0.0,,0.0,,0.0,,0.0,,3.7,11.8,5.5,0.6,22.2,11.4,0.0,16.2,0.0,0.1,0.0,0.0,0.2,0.0,0.9,2.8,22.7
203,Christian Pulisic,Chelsea,Midfielder,5.196296296296297,10.021428571428572,27,14,,,12.392482653706406,0.0,20.5,,,,3.8,,,,,0.0,0.0,12.4,,3.2,13.5,15.8,2.8,24.3,0.0,0.4,12.2,16.1,10.8,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4
204,Luka Milivojevic,Crystal Palace,Midfielder,5.185714285714285,12.1,28,12,,,5.523839615503482,,0.1,,1.6,0.0,0.0,,0.0,0.0,,0.0,,0.2,,29.3,28.6,0.0,,0.0,0.0,0.0,0.0,2.0,36.2,0.0,0.0,6.7,5.6,26.8,7.7,0.0,0.4,0.0,0.0,0.0
205,Ethan Pinnock,Brentford,Defender,5.182758620689655,5.367857142857142,29,28,7.325059544643708,,0.3,,10.3,,0.6,,0.6,,0.8,0.1,,5.5,2.2,0.7,1.4,0.3,20.6,1.5,,,0.0,14.7,0.8,0.4,0.6,17.0,1.0,20.8,25.8,10.5,0.6,0.4,0.3,0.8,0.6,11.1
206,Ben Davies,Spurs,Defender,5.148148148148148,7.722222222222222,27,18,7.418067543724498,6.727747436789941,2.9,,3.0,,0.5,3.2,0.6,,24.3,0.4,,0.8,,13.9,,26.3,17.8,0.0,0.7,,,27.0,1.1,,0.8,12.5,3.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
207,Aymeric Laporte,Man City,Defender,5.117857142857145,6.230434782608698,28,23,,,5.469858033513148,,2.6,,5.8,,30.0,,0.0,5.1,,2.8,,1.2,,2.4,2.5,2.4,1.2,14.7,3.4,12.7,0.0,2.2,3.4,0.0,12.2,1.2,2.4,0.6,2.2,0.0,19.8,3.2,9.3,0.0
208,Johann Berg Gudmundsson,Burnley,Midfielder,5.0925925925925934,7.63888888888889,27,18,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.3,,,,1.5,14.8,,,,2.2,1.7,1.6,,12.9,16.4,16.0,0.0,0.3,18.8,5.6,1.4,15.2,2.7,23.5,2.6
209,Joel Matip,Liverpool,Defender,5.067857142857143,6.45,28,22,,6.006894977904095,13.8,,0.0,,,1.8,12.8,,1.0,22.6,,11.8,,2.7,,0.0,3.3,,0.6,14.7,11.8,3.2,0.5,0.0,0.6,2.8,0.0,0.0,2.8,12.3,1.2,0.0,13.4,3.6,0.8,3.8
210,Fernando Marcal,Wolves,Defender,5.064285714285715,9.453333333333335,28,15,10.485939399063456,,9.652309325505785,0.0,25.8,,38.8,0.0,0.0,,0.0,1.1,,0.0,,0.0,,2.3,,,5.4,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,5.8,1.3,4.0,3.1,2.8,22.3,24.6
211,Ricardo Domingos Barbosa Pereira,Leicester,Defender,4.944,11.236363636363636,25,11,10.544166670062811,,9.78431715322166,,0.0,,11.6,,15.8,,12.7,0.0,,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.4,0.0,12.8,2.1,0.0,12.8,25.3,0.0,10.3,2.3,17.5
212,Jeffrey Schlupp,Crystal Palace,Midfielder,4.939285714285715,6.286363636363637,28,22,,,3.24789830081601,,10.8,,11.4,0.0,3.4,,3.4,4.1,,3.7,,22.3,,16.3,11.5,0.0,,0.0,10.3,0.8,3.3,0.0,10.3,10.5,0.2,1.2,0.0,1.5,0.1,0.0,0.0,0.6,11.2,1.4
213,Danny Ings,Aston Villa,Forward,4.937037037037037,6.347619047619046,27,21,5.724019803293072,,6.516133525349067,27.3,21.9,,2.1,,12.1,,0.3,0.0,,0.0,,3.1,,22.8,,2.5,,0.9,0.5,0.0,0.0,0.0,1.5,0.0,0.0,3.3,1.5,0.7,2.5,11.4,3.3,11.3,3.4,0.9
214,Oleksandr Zinchenko,Man City,Defender,4.910714285714286,17.1875,28,8,,,14.390298444921068,,0.0,,0.0,,0.0,,34.7,0.0,,0.0,,0.0,,0.0,0.0,15.8,18.7,7.3,35.5,0.0,17.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,0.0,0.6
215,Juraj Kucka,Watford,Midfielder,4.853571428571429,6.4714285714285715,28,21,,,5.873232394018376,0.0,0.0,,0.2,0.0,0.0,,24.8,1.7,30.8,0.8,,11.3,,1.7,16.3,,,,0.7,0.5,0.3,0.0,0.0,0.8,3.7,12.6,1.3,0.8,11.8,12.8,0.8,1.4,0.0,0.8
216,Marcus Rashford,Man Utd,Midfielder,4.7379310344827585,7.231578947368422,29,19,,,1.6,,0.3,,1.8,,0.0,11.4,13.2,12.8,,1.4,0.3,0.0,,0.3,0.0,3.3,,,13.3,38.8,25.6,2.6,5.9,0.4,0.5,2.4,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,Fernando Luiz Rosa,Man City,Midfielder,4.732142857142857,10.192307692307692,28,13,,,8.663418367340519,,0.0,,0.0,,0.0,,17.5,0.0,,0.0,,0.0,,0.0,17.9,17.8,2.2,25.1,0.0,0.0,9.5,0.0,0.0,0.0,0.0,1.8,0.3,0.0,0.0,11.4,0.3,0.0,0.0,28.7
218,Nemanja Matic,Man Utd,Midfielder,4.727586206896552,9.139999999999999,29,15,,,4.9,,0.0,,22.3,,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,,18.5,12.3,0.7,,,0.0,0.0,0.0,0.6,1.0,0.0,13.3,0.0,15.4,0.0,0.0,10.8,31.0,0.0,2.6,1.7
219,Ruben Loftus-Cheek,Chelsea,Midfielder,4.707407407407407,8.473333333333333,27,15,,,9.15054857354496,12.9,1.1,,,,0.3,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,3.9,9.5,31.3,16.3,3.8,0.6,1.1,3.4,11.4,8.8,21.9,0.8,0.0,0.0,0.0,0.0,0.0
220,Yves Bissouma,Brighton,Midfielder,4.707142857142856,6.936842105263157,28,19,,7.293443224748628,0.9,,0.0,,13.9,,13.5,3.7,1.6,,,0.0,0.0,0.0,,2.1,27.4,0.0,,3.3,,2.1,16.5,8.0,4.3,4.0,1.3,0.0,0.0,0.0,0.0,0.8,6.2,4.3,12.7,5.2
221,Kenny McLean,Norwich,Midfielder,4.696428571428572,5.057692307692308,28,26,,,6.342379587986672,0.9,3.9,,12.9,,1.4,,15.0,1.4,,0.4,,0.0,,0.7,1.2,11.5,,1.5,1.7,14.8,13.1,3.8,13.8,1.3,1.4,1.0,1.7,4.4,16.2,2.6,3.3,1.5,0.1,0.0
222,Mathias Normann,Norwich,Midfielder,4.604,7.673333333333334,25,15,,,8.369994520721974,0.8,1.3,,1.0,,4.3,,1.5,0.2,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,12.0,3.7,14.0,4.8,8.1,33.1,15.5,14.3,0.0,,,
223,Joachim Andersen,Crystal Palace,Defender,4.5928571428571425,5.358333333333333,28,24,,,2.8676632030492746,,20.3,,0.6,1.1,1.6,,11.8,11.0,,13.2,,0.3,,1.2,0.2,0.6,,0.2,0.0,0.0,0.0,0.0,13.5,0.7,0.0,1.5,1.3,10.6,11.7,0.4,0.8,24.7,1.0,0.3
224,Bamidele Alli,Everton,Midfielder,4.56,7.599999999999999,25,15,,10.325107741809811,8.658794670728827,,2.2,,13.6,,3.9,,24.3,22.5,,0.0,,0.0,,0.0,15.5,0.0,13.9,,,0.0,0.0,,0.0,0.0,2.1,0.0,0.0,0.0,1.5,3.8,1.7,3.3,3.5,2.2
225,Will Hughes,Crystal Palace,Midfielder,4.517857142857143,10.541666666666668,28,12,,,4.999029850131191,,0.0,,0.0,2.4,0.0,,7.6,13.5,,0.4,,1.3,,27.3,39.6,16.1,,1.5,16.3,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,Cedric Soares,Arsenal,Defender,4.488,14.025000000000002,25,8,13.754567049770992,9.90961137951211,17.592124922898158,,16.7,,,2.7,42.2,,,10.1,,0.0,,,,0.0,,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,1.0,20.8,0.0
227,Joel Ward,Crystal Palace,Defender,4.485714285714285,5.460869565217391,28,23,,,2.893440695897799,,0.0,,0.0,0.0,0.0,,14.6,3.3,,0.2,,2.0,,15.8,1.1,2.4,,0.8,0.8,0.0,10.8,19.8,11.5,1.9,0.5,6.3,1.8,2.1,2.3,5.9,2.8,0.8,16.8,1.3
228,Salomon Rondon,Everton,Forward,4.3136363636363635,6.778571428571428,22,14,,7.650728542470855,6.41601900796512,,0.0,,0.0,,0.0,,1.3,0.0,,0.0,,1.4,,11.1,,,,0.0,20.6,0.0,0.8,11.3,0.8,0.0,0.0,5.0,4.2,12.4,25.2,0.3,0.5,,,
229,Jay Rodriguez,Burnley,Forward,4.296296296296295,5.043478260869564,27,23,,,0.5,,1.3,0.8,1.6,2.0,20.9,,11.3,1.5,10.3,12.2,,,,0.3,0.0,,,,13.4,0.3,10.4,,0.3,10.5,0.0,0.0,0.1,4.8,0.0,0.0,0.0,0.0,11.0,2.5
230,Curtis Jones,Liverpool,Midfielder,4.271428571428571,10.872727272727273,28,11,,10.905954336485,0.0,,0.0,,,14.7,0.0,,0.0,13.3,,25.5,,9.0,,0.8,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,19.7,0.0,12.8,18.0,0.2,0.0,0.0,0.0,0.0
231,Luke Ayling,Leeds,Defender,4.232142857142857,6.2368421052631575,28,19,6.202419474500884,,7.999403535041838,0.5,7.0,,4.0,0.1,1.5,,1.7,1.6,,12.5,,10.4,,18.7,,,0.7,10.6,0.3,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.3,0.8,2.9,13.5,4.8
232,Virgil van Dijk,Liverpool,Defender,4.185714285714287,4.5076923076923086,28,26,,3.71550937961701,0.0,,1.2,,,1.0,21.9,,1.0,0.7,,0.8,,1.7,,0.5,1.7,,0.0,0.0,0.9,1.2,0.5,10.4,0.2,2.4,1.4,0.6,11.2,1.1,1.2,10.9,13.9,2.9,10.3,17.6
233,Nuno Varela Tavares,Arsenal,Defender,4.172,7.45,25,14,7.29834938959011,5.258166680276685,9.334606733024316,,0.0,,,10.2,0.0,,,0.0,,0.0,,,,0.0,,0.0,0.1,1.1,0.0,0.8,22.8,18.3,11.8,13.8,1.9,20.8,0.0,0.0,0.5,0.7,0.0,0.0,0.8,0.7
