,Name,Team,Position,xA per fixture,xA per game,Team games,Played,GW30,GW29*,GW29,GW28*,GW28,GW27*,GW27,GW26*,GW26,GW25*,GW25,GW24,GW23*,GW23,GW22*,GW22,GW21*,GW21,GW20,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW7,GW6,GW5,GW4,GW3,GW2,GW1
29,Jack Grealish,Man City,Midfielder,18.389285714285716,28.60555555555556,28,18,,,27.456399598805472,,39.8,,0.0,,0.0,,0.0,8.3,,17.6,,28.0,,0.0,19.0,0.0,0.0,18.6,30.0,17.5,2.1,0.0,0.0,0.0,56.6,36.5,0.0,1.8,24.9,38.6,52.1,76.3,18.6,28.6
30,Allan Saint-Maximin,Newcastle,Forward,18.30740740740741,20.595833333333335,27,24,,20.524229985456444,14.171862838020688,0.0,0.5,,0.0,,0.0,,22.4,32.6,,53.2,,14.3,,,,2.2,4.1,14.9,15.2,25.0,32.1,13.8,22.4,1.0,2.3,3.8,11.9,5.8,64.6,26.8,37.0,34.0,6.1,48.3
31,Sadio Mane,Liverpool,Midfielder,17.967857142857145,20.124000000000002,28,25,,17.521383329357235,7.5,,27.3,,,65.3,18.9,,24.7,0.0,,0.0,,0.0,,14.0,13.6,,20.0,19.3,23.9,18.8,14.0,5.1,23.9,21.8,24.9,0.8,8.7,1.4,34.6,3.4,21.0,18.9,27.3,44.0
32,Pablo Fornals,West Ham,Midfielder,17.857142857142858,19.23076923076923,28,26,19.34252007640508,,18.0997669415394,,16.3,,28.2,,7.3,,23.5,4.2,,3.8,,33.9,63.1,0.0,0.0,1.9,,6.3,1.8,0.4,24.8,13.4,1.4,25.8,26.8,42.2,5.3,4.8,23.0,23.5,8.3,17.3,43.8,48.9
33,Ilkay Gundogan,Man City,Midfielder,17.79285714285714,24.909999999999997,28,20,,,21.582465595950858,,25.4,,16.7,,17.2,,31.4,1.6,,0.0,,0.1,,5.3,0.0,8.5,0.0,23.9,15.5,39.3,0.0,53.3,19.3,9.1,0.0,54.7,0.0,0.0,0.0,27.7,62.4,40.2,38.8,7.8
34,Youri Tielemans,Leicester,Midfielder,17.7,21.071428571428573,25,21,20.80355319396907,,19.30437641332336,,1.8,,12.4,,32.3,,19.6,0.8,,24.4,,4.8,,,1.0,10.4,,,3.5,0.0,0.0,0.0,0.0,19.9,71.8,41.1,39.8,14.9,69.8,36.1,0.5,14.0,5.8,17.8
35,Emiliano Buendia Stati,Aston Villa,Midfielder,17.61481481481481,19.81666666666666,27,24,18.196004894487814,,20.71404390532942,10.9,0.4,,0.0,,60.9,,15.0,1.1,,1.8,,51.9,,52.8,,10.9,,31.8,3.3,13.1,15.8,0.8,2.5,44.3,12.1,24.0,27.8,1.3,11.3,0.0,0.0,40.3,36.2,5.3
36,Joao Filipe Iria Santos Moutinho,Wolves,Midfielder,17.542857142857144,19.648000000000003,28,25,21.438660142071914,,19.734290971980247,4.3,27.2,,0.0,2.8,33.7,,0.0,0.0,,31.7,,12.2,,36.9,,,13.4,12.0,1.3,0.1,31.1,17.6,28.1,18.0,14.2,3.8,29.3,14.1,13.3,12.2,60.6,16.8,41.6,14.9
37,Leandro Trossard,Brighton,Midfielder,17.521428571428576,18.869230769230775,28,26,,20.137567674478284,12.3,,20.0,,7.3,,3.3,11.7,0.0,,,36.9,1.3,10.0,,20.3,0.0,10.4,,15.4,,12.6,14.1,28.3,21.8,42.2,26.3,32.8,5.8,40.8,7.4,57.3,30.2,15.2,5.0,1.9
38,Reece James,Chelsea,Defender,17.455555555555556,27.723529411764705,27,17,,,30.531216201939802,0.0,15.6,,,,0.0,,,,,0.0,0.0,0.0,,0.0,14.5,13.1,20.0,79.3,38.2,31.7,0.0,19.2,25.8,71.8,43.9,26.4,0.1,0.0,0.1,0.0,0.0,15.0,54.5,2.1
39,Riyad Mahrez,Man City,Midfielder,17.364285714285717,23.15238095238096,28,21,,,19.96086379977399,,7.3,,0.5,,5.6,,38.3,9.1,,0.0,,0.0,,38.1,0.0,39.5,42.7,62.0,0.0,12.7,42.0,44.8,4.1,0.0,1.4,2.5,34.3,0.0,0.0,19.2,0.0,48.5,11.5,22.1
40,Matt Targett,Newcastle,Defender,17.218518518518522,21.131818181818186,27,22,,22.742292715375896,15.703422404290336,23.1,14.3,,57.0,,41.3,,0.0,14.4,,0.0,,0.0,,28.3,,22.9,,13.2,0.8,0.0,0.9,3.3,48.3,30.8,31.0,36.2,11.8,28.9,3.8,25.5,12.1,2.2,0.0,14.8
41,Ashley Westwood,Burnley,Midfielder,16.903703703703705,19.843478260869567,27,23,,,23.1,,2.3,31.7,0.7,0.0,0.0,,0.7,15.3,17.8,33.2,,,,15.6,38.8,,,,15.2,15.7,0.0,,16.8,15.1,30.0,26.1,13.6,39.8,14.0,18.3,21.8,18.4,0.0,32.4
