,Name,Team,Creativity per fixture adj,Creativity per game adj,Team games,Played,Creativity GW6 adj,Creativity GW5 adj,Creativity GW4 adj,Creativity GW3 adj,Creativity GW2 adj,Creativity GW1 adj
33,Solomon March,Brighton,21.21461310706852,21.21461310706852,6,6,16.912032702237525,36.597758181818186,26.646676938369783,16.497770809578107,9.740234234234233,20.893205776173286
34,Roberto Firmino,Liverpool,21.1148045570124,21.1148045570124,6,6,5.2119336585365845,27.3104731610338,18.295090299277607,29.689882653061225,40.52363537906137,5.6578121911037895
35,Leandro Trossard,Brighton,20.859144957854777,20.859144957854777,6,6,3.858570567986231,24.02269909090909,16.500077534791252,22.661773090079816,26.4275472972973,31.684202166064985
36,Willian Borges Da Silva,Arsenal,19.427140416313247,23.312568499575896,6,5,0.0,36.87384040880503,7.72483024390244,16.564498098859314,23.319266666666667,32.080407079646015
37,Ivan Ricardo Neves Abreu Cavaleiro,Fulham,19.136459944085743,22.96375193290289,6,5,0.0,37.97265951219512,2.8290925266903915,18.86937564499484,23.02415238879736,32.123479591836734
38,Arthur Masuaku,West Ham,18.91510847135621,22.698130165627454,6,5,2.9999056603773586,23.93857303370787,2.964612652608213,63.14534519572954,20.442214285714286,0.0
39,Mahmoud Ahmed Ibrahim Hassan,Aston Villa,18.906285753543195,18.906285753543195,5,5,8.801041186161449,0.8470321864594896,48.60531558935362,1.0974876106194689,35.18055219512195,
40,Pierre-Emerick Aubameyang,Arsenal,18.868987157722653,18.868987157722653,6,6,16.94064372918979,37.373824685534586,4.281231219512194,1.0881787072243347,40.6134596491228,12.916584955752212
41,Raheem Sterling,Man City,18.816477249499954,18.816477249499954,5,5,2.3430842105263157,25.552767857142857,42.66933360790774,6.882136514983352,16.6350640569395,
42,Rodrigo Hernandez,Man City,18.62456934102313,18.62456934102313,5,5,30.68324561403509,31.393400510204085,4.243359143327842,8.470321864594895,18.332519572953736,
43,Miguel Almiron,Newcastle,18.226636894184328,21.87196427302119,6,5,14.824444839857652,0.5438825541619157,0.0,17.150022471910113,64.12187149917628,12.719600000000002
44,Ollie Watkins,Aston Villa,18.215494519010367,18.215494519010367,5,5,19.09511614497529,8.999716981132076,31.07354752851711,10.130654867256636,21.77843707317073,
45,Kai Havertz,Chelsea,17.90375349925239,17.90375349925239,6,6,13.778358038768529,12.354484646194926,33.215500909090906,23.726104130808952,1.0881787072243347,23.25989456342669
46,Jonjo Shelvey,Newcastle,17.72667802060978,21.272013624731734,6,5,0.0,2.5381185860889395,16.78280555555556,18.10280149812734,19.173696869851728,49.762645614035094
