,Name,Team,Position,xA per fixture adj,xA per game adj,Team games,Played,GW38,GW37*,GW37,GW36,GW35*,GW35,GW34*,GW34,GW33,GW32,GW31,GW30,GW29,GW28*,GW28,GW27,GW26,GW25*,GW25,GW24,GW23,GW22,GW21,GW20,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW7*,GW7,GW6,GW5,GW4,GW3,GW2,GW1
14,Cole Palmer,Chelsea,Midfielder,26.11432856980645,29.186602519195443,38,34,46.03111146598531,28.55462447579108,78.3680743691899,41.09479723961298,26.133784116755123,42.09818670945818,,0.0,8.430978338703904,17.823402921406416,88.3001642390012,51.913466846898125,,,32.93963630005246,36.018341927453775,,,8.838779780085522,43.70875804505229,15.938134305448964,7.134090704984283,26.553406583629897,22.047943122624243,0.0,33.8794221028396,21.490769777662877,34.9428499820981,21.084088882282998,11.356952916507815,15.775307746109462,20.45051007941356,25.2734126231994,63.662671586059744,24.52857818304627,21.23365751280592,,22.615829181494664,24.42337549556353,10.511041200894285,18.623182508062985,0.0,0.0,0.5651543824701195
15,Dejan Kulusevski,Spurs,Midfielder,26.091225320822005,27.54073783864545,38,36,16.723192864529477,2.946259926695174,38.511234348321004,3.0574674449932644,23.646379906622865,58.447002701789934,,,8.036477531036896,11.087790741794727,5.490071143995447,25.96225186540898,15.245491992882563,,36.63506324334529,37.08967719227675,,,19.334785878741364,24.22816622188334,11.376741854636592,29.359488798008538,0.0,0.0,18.06296321006481,36.669676870748305,48.226507304116865,63.10123098443785,36.6542985202049,29.46259926695174,43.91922786482915,11.670546431312356,11.283542279093897,11.754574617860019,13.428148576512458,19.331892158242994,,75.0353468792097,71.86106889564337,48.18920049120994,28.4999281445646,21.47514452251677,15.686562128418553,19.976559388335705
16,Bruno Guimaraes Rodriguez Moura,Newcastle,Midfielder,25.320681417672844,26.00502415869103,38,37,55.086875889046944,3.37345422116528,40.01973884864659,24.220902105862265,,31.392660289555327,,24.53624798873693,18.390440674753606,43.61624199288257,26.613449695667743,21.637339214570293,,,23.05767335293101,38.05991634689179,38.709162445119894,,39.77885419993613,6.997149497249099,36.187384907785436,27.744097602416463,43.15404245571167,2.930072968118545,17.654346423828493,7.9085013374630435,78.95347508896798,6.775425511751328,3.2504976727533124,35.252596611177175,10.891071243299328,0.0,65.3456653157717,13.499512663085188,5.8202262670957365,7.024061610700056,,49.41064029595903,39.82760405894519,16.14267425320057,17.413994471978654,31.5938302649304,7.4523045204642635,2.4637615631489522
17,Julian Alvarez,Man City,Forward,25.249014498197983,26.651737525875646,38,36,0.0,0.5377321834723277,0.504817615658363,1.7418726016884114,,27.450355719977235,,6.381525924513916,39.382738983528085,5.477860016090105,16.924970738153675,0.0,,,3.184861921867984,20.156388971462547,0.9061242414564039,42.677195056899,50.62876361749958,48.046418725384896,20.279234530583217,2.906508252703472,46.929060150375946,7.481428386763185,56.07108485499464,,42.6816592920354,14.538861044629028,1.0712006796299793,97.86725739196362,62.42329366861248,22.567084558187794,53.82377994251039,29.180379013079673,7.354979031643157,4.407478892266126,,31.52789409056025,5.490071143995446,49.8143219977234,3.028905693950178,40.26768808169597,27.2843372967302,68.46441661923734
18,Gustavo Hamer,Sheffield Utd,Midfielder,24.518625709477302,25.199698645851672,37,36,27.639434230477637,,48.554308986752595,64.91201764371087,,60.72005245672322,40.734459720570754,30.76054567444508,12.006113975817923,20.11414058447173,0.6369723843735967,15.346455516014236,,,54.00500479080167,2.107924687605539,25.605527244819644,,5.948880099123142,19.731311417710824,37.384903719086275,12.895795454545457,50.62168540125214,0.0,32.99203083204279,22.28097413630357,34.92992218571676,24.012227951635847,7.388879658733722,8.961733779169037,2.8089851485148523,42.07480651925276,11.409265541059094,20.312728807835192,2.1084088882283,5.351066725978648,,38.591970688673875,10.715303374715862,43.77139973464747,28.2386985320444,18.370797189981673,23.144417567823943,
19,Son Heung-min,Spurs,Midfielder,24.46047490507774,26.557087039798688,38,35,39.387520036194424,8.31885155772755,45.454559618668185,36.43482038616974,34.14498011412762,26.44487335359676,,,22.81962755726526,31.3257000569152,31.40643639726807,15.817002674926087,14.134893238434165,,37.27778365112328,40.39921761866452,,,23.341092862624713,23.57919748379718,0.0,0.0,0.0,28.995975726604925,26.391395348837207,13.611459004654495,26.158574274331247,44.151018534708875,28.4999281445646,39.514544899205866,40.81274589390221,11.235078280890253,1.5698841431782815,17.574800884955753,46.24129359430605,20.689917640433617,,3.5670453524921415,40.81708713272543,1.833683428128232,13.805914200341492,44.03763813478123,42.84286860879905,6.860636557610242
20,Mohamed Salah,Liverpool,Midfielder,24.446667662200216,29.030417848862758,38,32,3.9192133537989253,,32.77874079667737,44.309131918119796,,1.9376721684689813,15.541441997851775,0.3028905693950178,72.3534010458568,36.51764194411415,14.009341390899692,16.76502573389249,,,24.783245265729995,0.0,,0.0,24.012227951635847,0.0,0.0,0.0,0.0,48.81415981815004,4.117553357996585,47.33249071259709,48.32473171819263,17.460678801287212,11.955615951396073,54.31837544483986,68.45721594379964,23.50776938122333,30.91505068281008,34.77045057863783,34.63811582527748,14.818119519634006,,29.897909401061415,23.252066021627776,49.9917436684574,24.744735699452523,24.704727225039345,29.90209996806133,19.819787307625802
21,Kevin De Bruyne,Man City,Midfielder,24.23074817603607,51.15380170496504,38,18,64.26612692088787,12.045200909780137,94.70378469750891,27.60868073676132,,49.841234111174344,,12.330406023637059,75.33047233563282,71.66866854384554,0.0,114.40282168186424,,,49.93863493488999,63.842621135552925,1.177961513893325,0.0,121.46978557841952,13.408302900107412,72.23846728307254,21.23365751280592,40.083171883196364,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,15.178431986340355
22,Andrew Robertson,Liverpool,Defender,23.97747975835365,39.61496655727994,38,23,81.78091864927092,,0.0,13.873490333586052,,58.77605577689243,47.741684568564274,24.029318505338082,80.11370273531779,51.52951322829965,19.290349663909,0.0,,,75.21628283445327,60.821376399165246,,8.547572152611572,38.64152649359886,62.57066377347752,3.6409608240459304,15.208252637039601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.987270301181855,,57.32225075815012,53.85113901536711,31.092425940138146,21.20977345667359,19.049428221717086,45.487436921111474,12.362837627528966
23,Bernardo Veiga de Carvalho e Silva,Man City,Midfielder,23.96906516945772,27.600741710284648,38,33,35.52398975526466,19.68099791508719,47.553819395017804,28.82799155794321,,7.96598558148359,,23.038390202058714,0.0,0.5706104183427193,27.101377194638477,13.03080715974333,,,16.943465424337674,75.81838362068967,33.61720935803258,72.94470928165008,25.804970603493,1.3205146795560332,6.255286273115221,0.0,10.219224514775313,33.59308040330921,33.31760114572145,,32.182427594529365,30.51563142334225,19.38873230130263,41.08273881728583,36.68960933991917,28.552267854054996,36.69803177898436,35.42126932223544,28.230140106748,12.072659574468085,,0.0,0.0,44.404987194080825,2.019270462633452,43.494970915201655,0.0,6.943325270347183
24,Rodrigo Hernandez,Man City,Midfielder,23.59198290890477,26.367510309952394,38,34,28.096246442800226,7.20561125852919,22.312938612099646,52.865833461243284,,23.359714475431606,,9.410046702249332,0.0,29.671741753821404,25.066095903341512,81.82580378250591,,,20.89269420745397,38.79472354340072,13.591863621846057,69.21171586059744,21.1934359329068,30.473415682062303,36.9263673541963,13.56370517928287,49.60788599405491,23.5444952171665,18.588783566058005,,34.12250301689461,16.456073490074616,0.0,25.058319749810465,20.765299730579255,35.322393221511334,25.280866336633668,7.421599286563616,8.436593595120092,0.0,,0.0,15.178431986340351,45.69676863972681,8.88479003558719,14.15603606514995,8.334124847001226,15.178431986340355
25,Douglas Luiz Soares de Paulo,Aston Villa,Midfielder,23.532117196929242,25.54915581380889,38,35,34.00838093322607,,15.159942748091604,4.001973884864659,,4.120945875842989,,0.0,0.0,35.009424786628735,68.11059712889431,14.893010744435918,21.79881189527604,,29.360177217589086,11.26362311699282,11.303087649402391,,56.84246352313168,13.578153240190252,40.70777210444675,46.333765518447294,29.965525420694597,12.352660073989757,25.132233947681335,25.37817864529473,0.0,23.570430597771026,90.46751069028711,19.119221494730123,34.73749905231236,18.981142348754453,12.487220641244544,32.59261157257497,33.1826358850313,14.544636224098234,,20.55067670606176,4.219063634791631,23.39502715205149,2.930072968118545,27.36961937962436,14.627239527389905,22.12511715334849
26,Conor Gallagher,Chelsea,Midfielder,23.399959607560703,24.032390948305586,38,37,10.601653625039924,5.191749904689287,6.243610320622272,33.10189954467843,13.22821171341926,20.6741731168586,,44.07478892266126,24.073998388829217,20.683949069286456,19.060016349583833,31.729381758679565,,,34.130225563909775,37.93528449502134,,,25.64979230299328,51.126693483507644,14.544636224098234,0.7643668612483161,26.048588967971533,2.716050964381247,41.08395012067579,8.97064389869532,14.669467425025855,34.841271929824565,0.0,9.518208158597027,15.180013114180804,47.14015882712278,63.882583396512516,40.05401049075392,81.44254474839582,15.824322709163349,,13.52911209964413,14.782569378893715,21.11269482593421,15.93197116296718,15.817002674926087,5.813016505406944,8.025852043107319
27,Pedro Porro,Spurs,Defender,22.981581491296904,24.951431333408067,38,35,13.642604705274046,8.492160965180208,16.954631474103586,21.78445554557701,33.45815580148712,33.72679500168862,,,2.281962755726526,20.776151584139633,5.3285984632896986,17.015260453329578,27.05822419928826,,36.849303379271284,0.0,,,0.0,4.001973884864659,7.516775868242035,10.089171408250357,65.69802095719383,14.22615059086554,52.35014487228364,14.424083422842822,44.458811420982734,50.897691029900336,61.19814598747866,32.582168601099575,65.77172172928073,27.5215871066769,23.352026629776937,11.183964199517298,4.442395017793595,9.506178375334365,,53.760469241131574,3.8325903411009796,40.561077430196484,20.42629410927718,3.6244969658256156,14.505853151010703,0.0
28,Anthony Gordon,Newcastle,Midfielder,21.999156124374863,23.88479807789271,38,35,0.0,55.915003715814514,51.4848532215021,43.8398328116107,,31.906091649431236,,26.932811745776352,121.3123805913571,2.524088078291815,0.0,31.648645418326698,,,12.362837627528966,29.52474059861857,5.365626477541371,,31.80496087511978,19.69966704610131,1.4379093340841897,3.963442514630924,18.370797189981673,22.676216883700047,4.305938152153291,16.296305786287483,61.28485854092528,25.058319749810465,14.1193492660222,25.806924791914394,18.740491959190734,3.080822420951773,24.33694866599122,4.267587874136608,4.679005430410298,0.0,,2.260617529880478,25.15813663391934,8.172228840682788,14.493635150590928,39.11010440053884,2.426331704337202,31.600420049084388
29,Luis Diaz,Liverpool,Midfielder,21.98146536131087,22.575559019724675,38,37,32.834298541826556,,47.56131017557108,13.873490333586052,,62.893609134889026,47.030638202649484,11.509841637010679,3.1954183427192278,30.02374256837099,51.19644131334023,28.44646301944339,,,73.82980757483202,21.960284575981785,,13.180835562438405,38.64152649359886,12.27192373363688,25.295096251266465,24.13696870136608,3.4432721175343346,29.46708428046862,8.880997438816165,22.03739446133063,45.20428656361475,39.25799678197909,12.835783996897623,27.15918772241993,0.8665470372632865,0.10089171408250357,3.834424890891172,0.0,7.719931972789116,3.4611666031261916,,5.269775398028811,18.488621940808194,23.863654643131234,2.4637615631489522,3.0756889316314044,25.46209118492495,14.521428324399103
