,Teams,Opponent xG av adj,Matches,GW38,GW37*,GW37,GW36*,GW36,GW35,GW34*,GW34,GW33,GW32,GW31,GW30,GW29*,GW29,GW28,GW27*,GW27,GW26,GW25*,GW25,GW24,GW23*,GW23,GW22*,GW22,GW21,GW20*,GW20,GW19*,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW6,GW5,GW4,GW3,GW2,GW1
11,Spurs,152.51278105625326,38,0.0,,135.87574218750007,,128.9811885245902,105.00482087571875,,132.60764192139743,164.5893231939164,200.26251062623982,153.33334902329966,125.51952838181309,,154.51399253731347,236.0831724137932,,226.6259084967321,99.27648686030432,,72.03057288712425,53.85583300819354,,178.70279017857152,,125.73329802727397,129.74039640375975,146.20150933403949,96.21275247524756,,242.97627156125617,168.58067622950824,180.08927734375007,183.93762205628957,130.34728438864633,126.04521063779717,154.89053556248234,251.92243346007615,37.77008706467663,149.68788477831126,199.71434983498358,219.37308035714295,83.48512464241932,142.17939914163094,262.7128366013073,215.09905486399268,231.75053885422585,149.7731954022989
12,Southampton,153.98127224897505,38,0.0,,183.99135837334092,,131.99675112382513,177.54768627450986,,202.60933692264106,158.53108966815728,188.05219801980203,96.45791685095094,155.70460744075206,,113.09724931720643,109.79602281988595,146.65953125000007,103.28819771863122,109.68654017857148,,165.96670495883598,149.28075250519953,,92.9126094974643,,150.97304687500005,157.26653688524596,,124.75574212271978,,95.26949019607846,113.94591336330204,110.70666478395937,149.1835971615721,86.83257296684617,177.0430119416188,114.43486468646869,224.80228289009187,291.898614904409,228.80536210777183,231.19871475953573,184.42047131147547,145.09640387275246,187.9058423142372,187.26234220532328,103.52437500000005,266.3924181504883,233.99152404237987
13,Leeds,157.9880093920205,38,0.0,,302.6697815060477,,132.98682346273736,118.423222560572,,271.58194869381043,167.61089285714294,120.7149775234982,137.88180949781665,245.41824413976124,124.1390326797386,143.5902442244225,320.73941908713704,,134.87502118045754,109.6117413499717,,55.84763218390807,185.41679104477618,,96.57026615969586,157.03165019011414,72.17385620915036,37.74326171875001,,117.66704918032791,,99.09473273507611,122.81724284499863,216.37823381437846,199.7927628361859,204.0113203106614,242.6117085152839,218.86640784634253,97.3622098214286,88.9239075907591,192.91583370190187,260.2252049180329,,182.24603515625006,114.45480928689888,109.1474159841853,195.21329173756862,180.23554022988512,226.55403411710472
14,Leicester,158.10456939126317,38,0.0,,143.1564040804761,,139.3887145196507,164.71389456477326,,275.8360903814263,133.19620907524416,110.73146611341636,82.60385277373231,330.0565309484586,140.2953278688525,308.9095311808935,114.30816406250004,,152.41251654377015,118.0415862068966,,69.24402640264029,187.26234220532328,,101.69631621841894,,170.8435040983607,94.33455238633158,,177.54768627450986,,89.12601144258278,149.93704967248914,131.42227259846987,183.10983222785805,222.04233001658383,108.92012445385943,439.1075380359614,159.6240283362053,56.165369305617006,240.39550482466473,145.79118954248372,234.89149144254287,244.02243716464284,90.69207604562742,107.52389865759127,125.65717241379315,187.3233135313532,77.64328125000003
15,Fulham,159.43132968143703,38,0.0,,175.82202565236628,,45.693517241379325,209.51361607142866,100.20918395196509,153.51158480074147,128.9811885245902,73.9978939306912,145.35760779436157,127.09976589933676,,236.4971993410215,,,161.08347194719477,173.61900390625007,,96.7309359151683,164.50074837616498,,127.02598692810462,,94.9968425033088,95.39654441727795,,144.72095494474362,163.89565135186243,225.53524553571438,111.69526436781614,41.51353383458648,196.4994980988594,166.66972064080502,156.80308872305147,212.4796668581276,209.3115778688525,185.81922805365974,286.51303160358964,310.56334655709844,178.99116339869286,303.28901385493083,89.65680598700935,279.1627590759077,226.4595703125001,100.54926233287232,158.22502729257647
16,Wolves,159.99488372663345,38,0.0,,169.39311774461032,,193.98027376425864,158.3979508196722,,194.90609997175946,173.38005307386118,219.37308035714295,108.91626953125004,102.30429192664025,,284.36499346405236,128.96775799349038,,193.22203173703608,134.09514262428692,144.66288209606992,106.04867184307318,85.76272064015066,,157.38878160919546,,109.25061408296946,142.5464716006885,,137.87093250097547,,196.866024590164,230.08915589353623,164.81492537313437,127.5547854785479,187.88948037277612,168.22710937500005,118.31357142857148,228.32443609022565,131.35641830065364,255.76072981660062,226.19449863441287,141.0844565073481,200.54377011494262,105.25424805836671,204.9561632190423,159.29422982885092,131.99675112382513,156.45269002488996
17,Brentford,160.77450673115342,38,0.0,,181.79341483292592,,75.39816621147095,109.25061408296946,,79.39124183006538,140.92938173567788,91.64452868852462,207.46240202858465,76.66299234910743,111.68561216730043,258.0556763626095,107.2216741071429,74.88659770114946,160.23673300165842,124.09950960359627,,,153.84427244582048,,174.203392739274,,132.00349425287362,94.08303656902167,,84.46328547893626,,216.24087063318782,234.81143191572383,170.0938386308069,294.5960413080896,249.72154248366022,183.27966804979258,313.4016598360657,188.94976366042738,236.22619316577246,173.66514593369234,101.3559425747235,135.57251485148518,189.22318590848178,162.39117647058828,212.8859452736319,318.14601552921954,127.64069961977192,163.91359375000008
18,Nott'm Forest,166.31264853872818,38,0.0,,102.77271287128717,,160.7638873132918,258.9299310344829,,189.79468750000007,136.43426998023162,166.5130049126638,216.65329277566548,135.7696721311476,202.96565192418157,73.82097740894423,135.3336497591386,,171.8937734311329,151.08034825870652,,222.96314865392125,147.66352442737988,,156.81665304454438,,119.45374305954437,165.0282654742293,,46.83245535714288,,92.65629885057474,151.36859519757996,263.67881368821304,95.2369305616984,83.03517578125003,293.01156435643577,163.4991948689957,187.88948037277612,157.8241585984325,208.18016393442628,223.07037946428582,225.6354720065387,149.43504353965645,191.52397722759173,195.2929258353709,260.95696517412944,162.64461568474448,253.45724001133476
19,Everton,178.3691439769157,38,0.0,,162.91526048870452,,87.7209056004237,182.43210957356686,,177.4703571428572,161.14873901955235,100.12087571870858,175.99566816510017,258.64036501901154,,63.897685411572965,214.00387596899233,,132.64060546875004,183.3215947712419,130.4703234323433,118.79846311475413,48.627187440168505,,126.58002183406117,,94.75498349834987,145.41074912212255,,163.73510344827594,,167.61924597571314,182.75188666754937,142.55085292761646,352.14692868910345,316.7352901785716,311.3769513690234,151.4022998673154,164.27784074808736,301.4890790546048,96.57026615969586,333.8165287356323,229.42584861490448,229.8030158296944,157.50980279532843,256.6541796875001,203.530274509804,225.15137295081973,226.53093212327482
20,Bournemouth,190.04471436613497,38,0.0,,151.9932015209126,,205.12569659442732,168.07133673662327,,190.28029867892025,115.50305747126441,228.3487319547406,195.2929258353709,142.9622321428572,135.65464558034458,85.74147936248471,304.3503483606558,,107.7437090611354,261.6695313531354,,155.70460744075206,216.3718303365607,,157.2373618588836,,155.14525557752052,229.51286274509812,,108.91626953125004,,209.93536121673012,245.41824413976124,194.1693703913784,179.69405058043122,266.3924181504883,276.28999185004085,242.35124853687094,190.38965517241385,292.1979362484676,228.00011160714294,176.85414062500007,187.74610371209982,232.39981699346413,236.73623789764875,267.47564137554593,143.5902442244225,176.90382629418778,159.5293647540984
