,Name,Team,Creativity per fixture,Creativity per game,Team games,Played,Creativity GW3,Creativity GW2,Creativity GW1
340,Ahmed El-Sayed Hegazy,West Brom,0.0,0.0,3,0,0.0,0.0,0.0
341,Charlie Austin,West Brom,0.0,0.0,3,0,0.0,0.0,0.0
342,Kenneth Zohore,West Brom,0.0,0.0,3,0,0.0,0.0,0.0
343,Darren Randolph,West Ham,0.0,0.0,3,0,0.0,0.0,0.0
344,Sam Johnstone,West Brom,0.0,0.0,3,3,0.0,0.0,0.0
345,David Martin,West Ham,0.0,0.0,3,0,0.0,0.0,0.0
346,Robert Snodgrass,West Ham,0.0,0.0,3,0,0.0,0.0,0.0
347,Jonathan Leko,West Brom,0.0,0.0,3,0,0.0,0.0,0.0
348,Filip Krovinovic,West Brom,0.0,0.0,3,0,,,
349,Conor Gallagher,West Brom,0.0,0.0,3,0,0.0,,
350,Manuel Lanzini,West Ham,0.0,0.0,3,0,0.0,0.0,0.0
351,Paulo Gazzaniga,Spurs,0.0,0.0,3,0,0.0,0.0,0.0
352,Serge Aurier,Spurs,0.0,0.0,3,0,0.0,0.0,0.0
353,Ryan Bennett,Wolves,0.0,0.0,3,0,0.0,0.0,0.0
354,Morgan Gibbs-White,Wolves,0.0,0.0,3,0,0.0,0.0,0.0
355,Matija Sarkic,Wolves,0.0,0.0,3,0,0.0,0.0,0.0
356,Max Kilman,Wolves,0.0,0.0,3,0,0.0,0.0,0.0
357,Lys Mousset,Sheffield Utd,0.0,0.0,3,0,0.0,0.0,0.0
358,Luke Freeman,Sheffield Utd,0.0,0.0,3,0,0.0,0.0,0.0
359,Leo Bonatini,Wolves,0.0,0.0,3,0,0.0,0.0,0.0
360,Jonathan Castro Otto,Wolves,0.0,0.0,3,0,0.0,0.0,0.0
361,Jayden Bogle,Sheffield Utd,0.0,0.0,3,0,0.0,0.0,0.0
362,Max Lowe,Sheffield Utd,0.0,0.0,3,0,0.0,0.0,0.0
363,Phil Jagielka,Sheffield Utd,0.0,0.0,3,0,0.0,0.0,0.0
364,Alex McCarthy,Southampton,0.0,0.0,3,3,0.0,0.0,0.0
365,Angus Gunn,Southampton,0.0,0.0,3,0,0.0,0.0,0.0
366,Jordan Hugill,West Ham,0.0,0.0,3,0,0.0,0.0,0.0
367,Rui Pedro dos Santos Patricio,Wolves,0.0,0.0,3,3,0.0,0.0,0.0
368,Sofiane Boufal,Southampton,0.0,0.0,3,0,0.0,0.0,0.0
