,Name,Team,Position,xA per fixture adj,xA per game adj,Team games,Played,GW38,GW37*,GW37,GW36*,GW36,GW35,GW34*,GW34,GW33*,GW33,GW32,GW31*,GW31,GW30,GW29*,GW29,GW28*,GW28,GW27*,GW27,GW26*,GW26,GW25*,GW25,GW24,GW23*,GW23,GW22*,GW22,GW21*,GW21,GW20,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW7,GW6,GW5,GW4,GW3,GW2,GW1
146,Joao Pedro Junqueira de Jesus,Watford,Forward,8.121679847487886,11.022279793019274,38,28,16.765665620797847,,4.874146468595257,6.240967741935483,0.0,13.83396665849473,,1.392013567684243,,5.488951340934639,16.319011658717542,,18.407260891337003,,,3.6788362806617236,0.0,18.184141522988508,,0.0,0.0,0.0,,0.5138645418326694,0.44834538375973304,10.671917136553077,16.773782943952124,,13.29411022297013,,1.3467791164658636,28.24575917686318,,,,4.66043038381243,3.579463459759482,52.03137606454505,4.874146468595257,1.2953800988875155,17.141738505747128,10.576654306902455,10.685293255131965,17.115523284927388,0.5980789613142554,9.58622914037302,0.0,0.0,0.0,0.0,0.0
147,Kai Havertz,Chelsea,Midfielder,8.11316226028968,10.631040203138202,38,29,23.90422479075329,,0.6722960646338286,0.0,0.2865797659605984,13.52209677419355,45.83652657601977,21.341240266963293,,1.85316091954023,22.073017683970342,,30.758840533162033,,,13.474982470901697,20.410576591092184,3.2411007599901938,,,,15.553143841515935,,,,,0.0,1.0277290836653388,0.0,,3.713745618427641,0.0,0.0,0.0,0.0,5.211830948595654,2.600403225806452,22.87608609007573,0.0,4.0337763878029715,4.980227997058103,13.56541859486748,3.4883530901139372,0.10356511964027622,0.0,0.39771816219549805,10.152642570281126,13.402948284195263,2.9064096144216323,6.022772988505748,0.8887510766580534
148,Abdoulaye Doucoure,Everton,Midfielder,8.097082183001838,10.256304098468995,38,30,0.11582255747126438,15.775331610680446,1.3463465553235907,7.882396705194632,2.100925201980714,47.406364858807706,,0.8073360040060089,,0.0,0.298933868974042,10.909070850698702,12.822677975528366,,1.0852334875893983,1.7194785957635905,,27.86796787148594,,28.03913043478261,,0.0,,0.0,0.0,,1.4545835347188658,,3.339912533087812,,2.0554581673306775,,,,15.753944419542806,1.4442204995693368,2.6639188218390806,6.781622433650476,5.281821101654086,0.0,0.0,0.0,0.0,20.35488042269188,24.213643386897402,3.191471976061687,12.987352988561302,21.185731797009073,14.490980079681275,10.081902490726021,4.230661722760981
149,Hassane Kamara,Watford,Defender,7.744345853452566,8.15194300363428,20,19,1.1562528014343345,,0.9244070888715143,0.0,1.1109388458225666,1.0276660946310372,,13.124699352451433,,20.29876344949414,9.911022787493376,,1.6146720080120178,,,10.208770678836283,1.337372241149459,18.647431752873565,,0.7971569839307787,24.551748492678726,1.4545835347188658,,0.8221832669322711,13.360692436040045,18.65609217945575,2.2266083553918747,,13.655854718833263,,,,,,,,,,,,,,,,,,,,,,
150,Odsonne Edouard,Crystal Palace,Forward,7.708837774034976,9.63604721754372,35,28,13.252734857849196,0.0,0.3116964717254712,,11.480882157566096,0.0,,0.0,,13.022801851072781,0.0,,2.6639188218390806,,,21.47678075855689,,0.0,,0.0,0.0,0.0,,25.580584551148224,0.0742202785130625,,3.0678768152228337,,0.41109163346613553,,22.327600111234705,25.457555529980432,12.742602409638554,,10.300741585852824,11.25265395894428,0.49822311495673666,1.7942368839427665,0.3116964717254712,0.0,11.272137461116872,0.596577243293247,5.064422942083859,37.989798850574715,19.24447485014334,2.6720956175298807,16.631121682523787,0.31079518072289153,,,
151,Kelechi Iheanacho,Leicester,Forward,7.646529462518106,11.175696906757231,38,26,0.0,5.203137606454505,0.0,0.0,23.356348973607037,4.9727228915662645,,0.0,10.307052785923753,0.0,0.33328165374677,,14.24918108776267,24.130672876184356,,1.9689834770114945,,9.825582935877055,,0.0,,0.2865797659605984,,0.0,1.2917376064096144,,0.0,,0.0,,,19.86046569854782,49.118193031144,,,0.0,0.8311905912679234,0.0,0.0,2.746100403406544,0.0,4.401257183908046,23.819977517263528,15.245627317676144,23.551903531438413,10.909070850698702,11.09947410358566,29.033425840271352,0.22266083553918747,0.26900723025583984,3.534483780180714
152,Hee-Chan Hwang,Wolves,Forward,7.613066916389775,8.881911402454737,35,30,15.662318477716573,,2.9688111405224995,0.0,1.445316001792918,39.156478087649404,,29.0908556018632,,,4.25049782639181,,0.5194941195424521,0.0,,0.0,9.25324830609805,3.1106287683031866,,24.300319799777533,3.590499281609196,0.6722960646338286,,2.0719678714859437,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,0.39771816219549805,34.39251377065598,12.964403039960775,11.133041776959374,16.857786429365962,20.99674418604651,3.971524926686217,1.9651165871754108,4.987143547607539,19.262894404711822,2.575185396463206,0.5178255982013811,0.34271290022585366,,,
153,Maxwel Cornet,Burnley,Midfielder,7.556527656348537,10.172248768161493,35,26,12.208876735380732,13.299049460286774,4.454730923694779,,0.7272917673594329,0.0,,0.0,3.58686537364518,25.73502502780868,23.750489124179996,29.408196480938418,0.994295405488745,,,3.00338846956801,,1.1562528014343345,1.5126661454261143,0.0,0.0,1.6443665338645421,,27.772358537806706,2.2918263288009886,12.08062973296134,0.0,,,,1.2815977742448332,0.0,,,,0.0,3.8887533305286777,9.743712042660345,,17.99720930232558,16.91019722097714,16.570419142444194,13.795636052481463,2.187449892075239,0.0,0.7563330727130572,17.72085129310345,0.0,,,
154,Jose Diogo Dalot Teixeira,Man Utd,Defender,7.504794248961507,11.882590894189052,38,24,4.33266149870801,,,,12.332749003984064,7.35312349445961,3.613290004482295,14.59364224137931,0.3229344016024036,19.37149269190931,0.0,,32.18617409434454,,,3.1079518072289156,,0.0,,0.0,,0.0,14.696525896414345,2.2992726754135773,18.181784751164503,,23.941643492769746,2.3819977517263524,30.3384565812792,,0.0,3.9525619024270657,16.549810685738326,,,1.6328461272873749,24.107372954349696,3.4746767241379315,0.0,0.2570346751693902,0.0,0.0,36.49158738107161,0.0,0.0,9.66259062348961,0.0,0.0,0.0,0.0,0.0
155,Fabio Henrique Tavares,Liverpool,Midfielder,7.4777111400952005,9.798380114607504,38,29,0.0,,0.0,0.4155952956339617,15.43616064257028,0.8139251156920488,,7.092008797653959,,16.640652039555004,3.579463459759482,,11.309525707453169,,3.822144396551724,1.0277290836653388,,13.181354282536152,,,2.8195151033386328,0.0,,2.6877420936504044,2.773221266614543,,3.9993798449612403,,47.536389914886776,,8.382832810398924,11.849218139171228,,0.0,0.0,24.41622361849525,9.17055251073915,11.158093841642229,21.79710496292071,15.404400143678163,8.249555061179088,0.0,0.0,0.0,3.97718162195498,18.64172153524972,2.9995348837209304,4.186552729199788,7.371111609143881,0.0,3.4141328116008745
