,Teams,Opponent xG av,Matches,GW38,GW37*,GW37,GW36*,GW36,GW35,GW34*,GW34,GW33*,GW33,GW32,GW31*,GW31,GW30,GW29*,GW29,GW28*,GW28,GW27*,GW27,GW26*,GW26,GW25*,GW25,GW24,GW23*,GW23,GW22*,GW22,GW21*,GW21,GW20,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW7,GW6,GW5,GW4,GW3,GW2,GW1
11,Wolves,177.6578947368421,38,467.0,,89.0,176.0,227.0,213.0,,173.0,,,152.0,,176.0,210.0,,80.0,84.0,260.0,,150.0,343.0,220.0,,240.0,238.0,,160.0,,186.0,,94.0,,,143.0,107.0,355.0,260.0,57.0,179.0,82.0,184.0,206.0,213.0,156.0,116.0,196.0,108.0,66.0,116.0,168.0,101.0
12,Everton,179.47368421052633,38,385.0,120.0,215.0,34.0,160.0,220.0,,226.0,,177.0,236.0,225.0,133.0,,192.0,131.0,,205.0,,199.0,,310.0,,63.0,300.0,,84.0,,133.0,,156.0,,,,267.0,256.0,131.0,211.0,84.0,211.0,96.0,147.0,246.0,274.0,152.0,93.0,185.0,125.0,129.0,186.0,123.0
13,Southampton,184.52631578947367,38,175.0,,243.0,,265.0,232.0,,221.0,226.0,220.0,333.0,,195.0,,,142.0,133.0,208.0,,92.0,,80.0,,213.0,134.0,,259.0,,142.0,,134.0,312.0,221.0,,182.0,231.0,148.0,177.0,280.0,125.0,148.0,72.0,95.0,41.0,323.0,129.0,177.0,145.0,127.0,212.0,220.0
14,Newcastle,187.6578947368421,38,162.0,,118.0,,351.0,292.0,,54.0,107.0,146.0,59.0,,273.0,,98.0,98.0,256.0,281.0,,80.0,,183.0,,83.0,142.0,,214.0,,199.0,,,,211.0,279.0,343.0,129.0,100.0,205.0,252.0,141.0,162.0,218.0,216.0,221.0,79.0,164.0,221.0,259.0,308.0,113.0,314.0
15,West Ham,189.26315789473685,38,282.0,,397.0,,112.0,163.0,,314.0,,117.0,256.0,,138.0,192.0,,235.0,,243.0,,164.0,,222.0,,144.0,57.0,,212.0,,220.0,83.0,270.0,192.0,125.0,,277.0,96.0,284.0,124.0,267.0,155.0,245.0,118.0,97.0,157.0,199.0,205.0,251.0,177.0,146.0,65.0,191.0
16,Watford,198.07894736842104,38,268.0,,146.0,232.0,226.0,275.0,,335.0,,195.0,87.0,,220.0,,,191.0,132.0,161.0,,240.0,110.0,179.0,,228.0,148.0,119.0,93.0,,141.0,,302.0,213.0,,,,222.0,439.0,111.0,271.0,126.0,167.0,169.0,210.0,290.0,208.0,195.0,167.0,194.0,225.0,179.0,113.0
17,Leeds,198.6315789473684,38,156.0,,181.0,186.0,255.0,296.0,,251.0,,,67.0,,222.0,171.0,,143.0,221.0,112.0,,266.0,339.0,244.0,,299.0,134.0,,196.0,,218.0,,81.0,,,327.0,386.0,203.0,146.0,109.0,170.0,214.0,91.0,136.0,104.0,150.0,75.0,213.0,189.0,453.0,160.0,191.0,193.0
18,Leicester,201.94736842105263,38,68.0,251.0,148.0,111.0,157.0,184.0,,141.0,122.0,203.0,201.0,,158.0,269.0,,349.0,,258.0,,136.0,,123.0,,152.0,347.0,,191.0,,389.0,,,286.0,300.0,,,198.0,210.0,234.0,205.0,194.0,183.0,179.0,198.0,133.0,218.0,100.0,152.0,382.0,116.0,209.0,219.0
19,Burnley,214.68421052631578,38,117.0,249.0,271.0,,174.0,140.0,,179.0,146.0,315.0,184.0,236.0,226.0,,,190.0,,231.0,285.0,161.0,158.0,103.0,,180.0,352.0,150.0,247.0,,,,257.0,189.0,,,,221.0,260.0,167.0,,244.0,341.0,141.0,202.0,284.0,156.0,342.0,151.0,164.0,160.0,377.0,208.0
20,Norwich,228.6578947368421,38,275.0,,210.0,274.0,216.0,268.0,,152.0,,302.0,188.0,,263.0,,,219.0,241.0,163.0,,356.0,,371.0,,390.0,163.0,,166.0,,221.0,,183.0,294.0,218.0,,337.0,160.0,162.0,66.0,62.0,236.0,353.0,161.0,255.0,170.0,223.0,172.0,205.0,384.0,99.0,253.0,258.0
