,Teams,Opponent xG av,Matches,GW38,GW37*,GW37,GW36*,GW36,GW35,GW34*,GW34,GW33,GW32,GW31,GW30,GW29*,GW29,GW28,GW27*,GW27,GW26,GW25*,GW25,GW24,GW23*,GW23,GW22*,GW22,GW21,GW20*,GW20,GW19*,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW6,GW5,GW4,GW3,GW2,GW1
11,Spurs,154.28947368421052,38,160.0,,126.0,,114.0,86.0,,176.0,196.0,256.0,118.0,161.0,,135.0,186.0,,157.0,78.0,,69.0,50.0,,145.0,,172.0,115.0,200.0,132.0,,199.0,149.0,167.0,174.0,173.0,97.0,198.0,300.0,33.0,192.0,274.0,178.0,74.0,132.0,182.0,169.0,222.0,118.0
12,Leicester,158.21052631578948,38,129.0,,183.0,,185.0,146.0,,241.0,126.0,87.0,113.0,254.0,124.0,253.0,106.0,,146.0,93.0,,95.0,223.0,,113.0,,151.0,121.0,,123.0,,79.0,199.0,168.0,170.0,194.0,149.0,345.0,151.0,46.0,185.0,101.0,261.0,313.0,108.0,103.0,99.0,257.0,72.0
13,Leeds,159.23684210526315,38,147.0,,281.0,,170.0,162.0,,209.0,136.0,107.0,183.0,201.0,86.0,197.0,252.0,,173.0,105.0,,44.0,162.0,,115.0,187.0,50.0,35.0,,104.0,,92.0,157.0,296.0,222.0,157.0,322.0,194.0,79.0,122.0,158.0,230.0,,169.0,100.0,140.0,187.0,142.0,178.0
14,Southampton,162.55263157894737,38,279.0,,236.0,,117.0,123.0,,259.0,122.0,258.0,79.0,213.0,,105.0,122.0,136.0,123.0,89.0,,157.0,143.0,,73.0,,140.0,139.0,,109.0,,66.0,101.0,142.0,198.0,111.0,145.0,157.0,173.0,271.0,313.0,202.0,163.0,114.0,180.0,223.0,84.0,252.0,260.0
15,Brentford,165.0,38,112.0,,202.0,,70.0,145.0,,55.0,135.0,81.0,163.0,98.0,133.0,331.0,87.0,59.0,140.0,110.0,,,126.0,,239.0,,104.0,89.0,,65.0,,287.0,218.0,189.0,403.0,173.0,144.0,277.0,181.0,303.0,222.0,78.0,186.0,179.0,133.0,186.0,282.0,152.0,133.0
16,Wolves,166.23684210526315,38,241.0,,148.0,,231.0,140.0,,250.0,142.0,178.0,101.0,98.0,,197.0,122.0,,247.0,149.0,192.0,94.0,66.0,,124.0,,145.0,195.0,,128.0,,174.0,274.0,144.0,175.0,241.0,156.0,96.0,187.0,91.0,245.0,210.0,193.0,158.0,81.0,262.0,177.0,117.0,148.0
17,Fulham,167.0,38,192.0,,144.0,,36.0,170.0,133.0,210.0,114.0,70.0,127.0,118.0,,182.0,,,221.0,161.0,,76.0,211.0,,88.0,,91.0,106.0,,185.0,157.0,183.0,88.0,34.0,234.0,228.0,137.0,201.0,185.0,143.0,266.0,397.0,124.0,337.0,115.0,383.0,210.0,79.0,210.0
18,Nott'm Forest,175.89473684210526,38,130.0,,141.0,,154.0,204.0,,176.0,175.0,221.0,258.0,120.0,192.0,58.0,173.0,,191.0,132.0,,207.0,202.0,,139.0,,113.0,127.0,,38.0,,73.0,145.0,314.0,78.0,77.0,402.0,217.0,241.0,124.0,184.0,181.0,200.0,115.0,262.0,217.0,228.0,151.0,324.0
19,Everton,177.3421052631579,38,53.0,,128.0,,120.0,234.0,,144.0,206.0,82.0,156.0,308.0,,71.0,205.0,,123.0,127.0,179.0,105.0,46.0,,168.0,,130.0,135.0,,129.0,,215.0,250.0,112.0,271.0,257.0,276.0,124.0,210.0,335.0,115.0,263.0,213.0,305.0,149.0,238.0,141.0,199.0,217.0
20,Bournemouth,193.89473684210526,38,120.0,,181.0,,168.0,161.0,,180.0,91.0,212.0,217.0,116.0,174.0,76.0,269.0,,143.0,359.0,,213.0,170.0,,201.0,,199.0,159.0,,101.0,,250.0,201.0,186.0,157.0,252.0,307.0,225.0,150.0,259.0,185.0,164.0,240.0,161.0,186.0,355.0,197.0,242.0,141.0
