name_un,name_fpl,id_fpl,web_name_fpl
Cheikhou Kouyate,Cheikhou Kouyate,150,Kouyate
Chris Wood,Chris Wood,109,Wood
Christian Benteke,Christian Benteke,149,Benteke
Christian Kabasele,Christian Kabasele,384,Kabasele
Christian Nørgaard,Christian Nørgaard,77,Nørgaard
Christian Pulisic,Christian Pulisic,137,Pulisic
Christos Tzolis,Christos Tzolis,528,Tzolis
Ciaran Clark,Ciaran Clark,293,Clark
Cole Palmer,Cole Palmer,507,Palmer
Conor Coady,Conor Coady,429,Coady
Conor Gallagher,Conor Gallagher,144,Gallagher
Craig Cathcart,Craig Cathcart,379,Cathcart
Craig Dawson,Craig Dawson,414,Dawson
Cristian Romero,Cristian Romero,494,Romero
Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,579,Ronaldo
Crysencio Summerville,Crysencio Summerville,551,Summerville
Curtis Jones,Curtis Jones,244,Jones
Dan Burn,Dan Burn,58,Burn
Dan Gosling,Dan Gosling,378,Gosling
Daniel Amartey,Daniel Amartey,208,Amartey
Daniel Bachmann,Daniel Bachmann,389,Bachmann
Daniel James,Daniel James,287,James
Daniel Podence,Daniel Castelo Podence,438,Podence
Danny Ings,Danny Ings,337,Ings
Danny Rose,Danny Rose,377,Rose
Danny Welbeck,Danny Welbeck,447,Welbeck
David Raya,David Raya Martin,80,Raya
David de Gea,David de Gea,270,de Gea
Davinson Sanchez,Davinson Sanchez,367,Sanchez
Declan Rice,Declan Rice,421,Rice
Dele Alli,Bamidele Alli,363,Dele
Demarai Gray,Demarai Gray,484,Gray
Diego Llorente,Diego Llorente,190,Llorente
Dimitris Giannoulis,Dimitris Giannoulis,457,Giannoulis
Diogo Dalot,Jose Diogo Dalot Teixeira,510,Dalot
Diogo Jota,Diogo Jota,240,Jota
Divock Origi,Divock Origi,235,Origi
Dominic Calvert-Lewin,Dominic Calvert-Lewin,177,Calvert-Lewin
Donny van de Beek,Donny van de Beek,282,van de Beek
Douglas Luiz,Douglas Luiz Soares de Paulo,50,Douglas Luiz
Dwight McNeil,Dwight McNeil,118,McNeil
Ederson,Ederson Santana de Moraes,257,Ederson
Edinson Cavani,Edinson Cavani,269,Cavani
Edouard Mendy,Edouard Mendy,143,Mendy
Emerson,Emerson Aparecido Leite de Souza Junior,588.0,Emerson Royal
Emil Krafth,Emil Krafth,303,Krafth
Emile Smith-Rowe,Emile Smith Rowe,21,Smith Rowe
Emiliano Buendia,Emiliano Buendia Stati,43,Buendia
Emiliano Martinez,Emiliano Martinez,30,Martinez
Emmanuel Dennis,Emmanuel Dennis,450,Dennis
Enock Mwepu,Enock Mwepu,462,Mwepu
Eric Dier,Eric Dier,361,Dier
Erik Pieters,Erik Pieters,100,Pieters
Ethan Pinnock,Ethan Pinnock,91,Pinnock
Ezri Konsa Ngoyo,Ezri Konsa Ngoyo,45,Konsa
Fabian Delph,Fabian Delph,163,Delph
Fabian Schar,Fabian Schar,305,Schar
Fabinho,Fabio Henrique Tavares,232,Fabinho
Fabio Silva,Fabio Silva,445,Fabio Silva
Federico Fernandez,Federico Fernandez,465,Fernandez
Fernandinho,Fernando Luiz Rosa,453,Fernandinho
Fernando Marcal,Fernando Marcal,432,Marcal
Ferran Torres,Ferran Torres,268,Torres
Folarin Balogun,Folarin Balogun,530,Balogun
Francisco Sierralta,Francisco Sierralta,396,Sierralta
Frank Onyeka,Frank Onyeka,479,Onyeka
Fred,Frederico Rodrigues de Paula Santos,274,Fred
Freddie Woodman,Freddie Woodman,513,Woodman
Gabriel,Gabriel Magalhaes,23,Gabriel
Gabriel Jesus,Gabriel Fernando de Jesus,263,Jesus
Gabriel Martinelli,Gabriel Teodoro Martinelli Silva,26,Martinelli
Giovani Lo Celso,Giovani Lo Celso,372,Lo Celso
Granit Xhaka,Granit Xhaka,7,Xhaka
Grant Hanley,Grant Hanley,319,Hanley
Hakim Ziyech,Hakim Ziyech,131,Ziyech
Harry Kane,Harry Kane,357,Kane
Harry Maguire,Harry Maguire,273,Maguire
Harry Winks,Harry Winks,366,Winks
Harvey Barnes,Harvey Barnes,215,Barnes
Harvey Elliott,Harvey Elliott,506,Elliott
Hee-Chan Hwang,Hee-Chan Hwang,583,Hwang
Helder Costa,Helder Wander Sousa de Azevedo e Costa,192,Costa
Hugo Lloris,Hugo Lloris,353,Lloris
Ibrahima Diallo,Ibrahima Diallo,349,Diallo
Ibrahima Konate,Ibrahima Konate,243,Konate
Ilkay Gundogan,Ilkay Gundogan,250,Gundogan
Illan Meslier,Illan Meslier,199,Meslier
Imran Louza,Imran Louza,403,Louza
Isaac Hayden,Isaac Hayden,306,Hayden
Ismaila Sarr,Ismaila Sarr,399,Sarr
Ivan Toney,Ivan Toney,78,Toney
Jack Cork,Jack Cork,101,Cork
Jack Grealish,Jack Grealish,33,Grealish
Jack Harrison,Jack Harrison,267,Harrison
Jack Stephens,Jack Stephens,338,Stephens
Jacob Murphy,Jacob Murphy,304,Murphy
Jacob Ramsey,Jacob Ramsey,51,Ramsey
Jaden Philogene-Bidace,Jaden Philogene-Bidace,497,Philogene-Bidace
Jadon Sancho,Jadon Sancho,485,Sancho
Jairo Riedewald,Jairo Riedewald,157,Riedewald
Jakub Moder,Jakub Moder,75,Moder
Jamaal Lascelles,Jamaal Lascelles,299,Lascelles
Jamal Lewis,Jamal Lewis,311,Lewis
James Maddison,James Maddison,212,Maddison
James McArthur,James McArthur,148,McArthur
James Milner,James Milner,221,Milner
James Tarkowski,James Tarkowski,98,Tarkowski
James Ward-Prowse,James Ward-Prowse,341,Ward-Prowse
Jamie Shackleton,Jamie Shackleton,197,Shackleton
Jamie Vardy,Jamie Vardy,205,Vardy
Jan Bednarek,Jan Bednarek,343,Bednarek
Jannik Vestergaard,Jannik Vestergaard,340,Vestergaard
Japhet Tanganga,Japhet Tanganga,371,Tanganga
Jarrod Bowen,Jarrod Bowen,420,Bowen
Javier Manquillo,Javier Manquillo,302,Manquillo
Jay Rodriguez,Jay Rodriguez,104,Rodriguez
Jean-Philippe Mateta,Jean-Philippe Mateta,159,Mateta
Jed Steer,Jed Steer,28,Steer
Jeff Hendrick,Jeff Hendrick,297,Hendrick
Jeffrey Schlupp,Jeffrey Schlupp,155,Schlupp
Jeremy Ngakia,Jeremy Ngakia,400,Ngakia
Jesse Lingard,Jesse Lingard,276,Lingard
Jesurun Rak-Sakyi,Jesurun Rak-Sakyi,541,Rak-Sakyi
Joachim Andersen,Joachim Andersen,488,Andersen
Joao Cancelo,Joao Pedro Cavaco Cancelo,256,Cancelo
Joao Moutinho,Joao Filipe Iria Santos Moutinho,426,Moutinho
Joe Rodon,Joe Rodon,374,Rodon
Joe Willock,Joseph Willock,19,Willock
Joel Matip,Joel Matip,224,Matip
Joel Veltman,Joel Veltman,62,Veltman
Joel Ward,Joel Ward,474,Ward
Joelinton,Joelinton Cassio Apolinario de Lira,310,Joelinton
Johann Berg Gudmundsson,Johann Berg Gudmundsson,108,Gudmundsson
John McGinn,John McGinn,35,McGinn
Jonjo Shelvey,Jonjo Shelvey,291,Shelvey
Jonjoe Kenny,Jonjoe Kenny,502,Kenny
Jonny Evans,Jonny Evans,201,Evans
Jordan Ayew,Jordan Ayew,153,Ayew
Jordan Henderson,Jordan Henderson,222,Henderson
Jordan Pickford,Jordan Pickford,170,Pickford
Jorginho,Jorge Luiz Frello Filho,123,Jorginho
Jose Sa,Jose Malheiro de Sa,475,Sa
Joseph Gomez,Joseph Gomez,238,Gomez
Josh Brownhill,Josh Brownhill,115,Brownhill
Joshua King,Joshua King,468,King
Joshua Sargent,Joshua Sargent,516,Sargent
Juan Camilo Hernandez,Juan Camilo Hernandez Suarez,472,Cucho
Junior Firpo,Hector Junior Firpo Adames,463,Firpo
Juraj Kucka,Juraj Kucka,495,Kucka
Kai Havertz,Kai Havertz,141,Havertz
Kalvin Phillips,Kalvin Phillips,191,Phillips
Karl Darlow,Karl Darlow,294,Darlow
Kasper Schmeichel,Kasper Schmeichel,200,Schmeichel
Kelechi Iheanacho,Kelechi Iheanacho,213,Iheanacho
Ken Sema,Ken Sema,391,Sema
Kenny McLean,Kenny McLean,318,McLean
Kepa,Kepa Arrizabalaga,129,Arrizabalaga
Kevin De Bruyne,Kevin De Bruyne,251,De Bruyne
Ki-Jana Hoever,Ki-Jana Hoever,443,Hoever
Kieran Dowell,Kieran Dowell,323,Dowell
Kieran Tierney,Kieran Tierney,16,Tierney
Kiernan Dewsbury-Hall,Kiernan Dewsbury-Hall,505,Dewsbury-Hall
Kiko Femenia,Francisco Femenia Far,382,Femenia
Konstantinos Tsimikas,Konstantinos Tsimikas,245,Tsimikas
Kortney Hause,Kortney Hause,36,Hause
Kristoffer Ajer,Kristoffer Ajer,483,Ajer
Kurt Zouma,Kurt Zouma,128,Zouma
Kyle Walker,Kyle Walker,249,Walker
Kyle Walker-Peters,Kyle Walker-Peters,342,Walker-Peters
Leander Dendoncker,Leander Dendoncker,434,Dendoncker
Leandro Trossard,Leandro Trossard,64,Trossard
Leon Bailey,Leon Bailey,492,Bailey
Lewis Dunk,Lewis Dunk,59,Dunk
Liam Cooper,Liam Cooper,184,Cooper
Lucas Digne,Lucas Digne,168,Digne
Lucas Moura,Lucas Rodrigues Moura da Silva,362,Lucas Moura
Luka Milivojevic,Luka Milivojevic,152,Milivojevic
Lukas Rupp,Lukas Rupp,317,Rupp
Lukasz Fabianski,Lukasz Fabianski,408,Fabianski
Luke Ayling,Luke Ayling,185,Ayling
Luke Shaw,Luke Shaw,275,Shaw
Luke Thomas,Luke Thomas,219,Thomas
Mads Bech Sørensen,Mads Bech Sørensen,90,Sørensen
Mads Bidstrup,Mads Bidstrup,97,Bidstrup
Mads Roerslev,Mads Roerslev Rasmussen,89,Roerslev
Manuel Lanzini,Manuel Lanzini,416,Lanzini
Marc Albrighton,Marc Albrighton,202,Albrighton
Marc Cucurella,Marc Cucurella,584,Cucurella
Marc Guehi,Marc Guehi,477,Guehi
Marcos Alonso,Marcos Alonso,122,Alonso
Marcus Forss,Marcus Forss,88,Forss
Mark Noble,Mark Noble,406,Noble
Martin Odegaard,Martin Ødegaard,558,Ødegaard
Marvelous Nakamba,Marvelous Nakamba,41,Nakamba
Mason Greenwood,Mason Greenwood,289,Greenwood
Mason Holgate,Mason Holgate,178,Holgate
Mason Mount,Mason Mount,138,Mount
Matej Vydra,Matej Vydra,111,Vydra
Mateo Kovacic,Mateo Kovacic,125,Kovacic
Mateusz Klich,Mateusz Klich,186,Klich
Mathias Jensen,Mathias Jensen,86,Jensen
Mathias Normann,Mathias Normann,581,Normann
Matt Doherty,Matt Doherty,360,Doherty
Matt Ritchie,Matt Ritchie,292,Ritchie
Matt Targett,Matt Targett,39,Targett
Matthew Cash,Matthew Cash,44,Cash
Matthew Lowton,Matthew Lowton,110,Lowton
Max Aarons,Max Aarons,326,Aarons
Max Kilman,Max Kilman,439,Kilman
Maxwel Cornet,Maxwel Cornet,578,Cornet
Michael Keane,Michael Keane,169,Keane
Michael Olise,Michael Olise,464,Olise
Michail Antonio,Michail Antonio,413,Antonio
Miguel Almiron,Miguel Almiron,308,Almiron
Milot Rashica,Milot Rashica,449,Rashica
Mohamed Elneny,Mohamed Naser El Sayed Elneny,12,Elneny
Mohamed Elyounoussi,Mohamed Elyounoussi,517,Elyounoussi
Mohamed Salah,Mohamed Salah,233,Salah
Mohammed Salisu,Mohammed Salisu,351,Salisu
Moise Kean,Moise Kean,564,Kean
Morgan Gibbs-White,Morgan Gibbs-White,440,Gibbs-White
Moussa Djenepo,Moussa Djenepo,350,Djenepo
Moussa Sissoko,Moussa Sissoko,354,Sissoko
N&#039;Golo Kante,N'Golo Kante,130,Kante
Naby Keita,Naby Keita,239,Keita
Nathan Ake,Nathan Ake,258,Ake
Nathan Redmond,Nathan Redmond,336,Redmond
Nathan Tella,Nathan Tella,346,Tella
Neal Maupay,Neal Maupay,63,Maupay
Nelson Semedo,Nelson Cabral Semedo,437,Semedo
Nemanja Matic,Nemanja Matic,271,Matic
Nick Pope,Nick Pope,112,Pope
Nicolas Pepe,Nicolas Pepe,17,Pepe
Nikola Vlasic,Nikola Vlasic,582,Vlasic
Nuno Tavares,Nuno Varela Tavares,466,Tavares
Odsonne Edouard,Odsonne Edouard,586,Edouard
Oghenekaro Etebo,Oghenekaro Peter Etebo,467,Etebo
Oleksandr Zinchenko,Oleksandr Zinchenko,264,Zinchenko
Oliver Skipp,Oliver Skipp,373,Skipp
Ollie Watkins,Ollie Watkins,40,Watkins
Oriol Romeu,Oriol Romeu Vidal,335,Romeu
Ozan Kabak,Ozan Kabak,580,Kabak
Pablo Fornals,Pablo Fornals,423,Fornals
Pablo Mari,Pablo Mari,8,Mari
Pascal Groß,Pascal Groß,55,Groß
Pascal Struijk,Pascal Struijk,198,Struijk
Patrick Bamford,Patrick Bamford,189,Bamford
Patson Daka,Patson Daka,455,Daka
Paul Pogba,Paul Pogba,272,Pogba
Phil Foden,Phil Foden,265,Foden
Pierre Lees-Melou,Pierre Lees-Melou,471,Lees-Melou
Pierre-Emerick Aubameyang,Pierre-Emerick Aubameyang,4,Aubameyang
Pierre-Emile Højbjerg,Pierre-Emile Højbjerg,365,Højbjerg
Pontus Jansson,Pontus Jansson,76,Jansson
Raheem Sterling,Raheem Sterling,255,Sterling
Raphael Varane,Raphael Varane,555,Varane
Raphinha,Raphael Dias Belloli,196,Raphinha
Raul Jimenez,Raul Jimenez,430,Jimenez
Rayan Ait Nouri,Rayan Ait Nouri,470,Ait Nouri
Reece James,Reece James,142,James
Reiss Nelson,Reiss Nelson,531,Nelson
Ricardo Pereira,Ricardo Domingos Barbosa Pereira,207,Pereira
Richarlison,Richarlison de Andrade,180,Richarlison
Rico Henry,Rico Henry,83,Henry
Riyad Mahrez,Riyad Mahrez,254,Mahrez
Rob Holding,Rob Holding,14,Holding
Robert Sanchez,Robert Sanchez,69,Sanchez
Roberto Firmino,Roberto Firmino,228,Firmino
Robin Koch,Robin Koch,194,Koch
Rodri,Rodrigo Hernandez,266,Rodrigo
Rodrigo,Rodrigo Moreno,187,Rodrigo
Romain Perraud,Romain Perraud,460,Perraud
Romain Saiss,Romain Saiss,431,Saiss
Romelu Lukaku,Romelu Lukaku,529,Lukaku
Ruben Dias,Ruben Santos Gato Alves Dias,262,Dias
Ruben Neves,Ruben Diogo da Silva Neves,436,Neves
Ryan Bertrand,Ryan Bertrand,473,Bertrand
Ryan Fraser,Ryan Fraser,298,Fraser
Ryan Fredericks,Ryan Fredericks,415,Fredericks
Sadio Mane,Sadio Mane,230,Mane
Said Benrahma,Said Benrahma,419,Benrahma
Salomon Rondon,Salomon Rondon,591,Rondon
Saman Ghoddos,Saman Ghoddos,85,Ghoddos
Saul Niguez,Saul Niguez,592,Saul
Scott McTominay,Scott McTominay,285,McTominay
Sead Kolasinac,Sead Kolasinac,11,Kolasinac
Seamus Coleman,Seamus Coleman,165,Coleman
Sean Longstaff,Sean Longstaff,309,S.Longstaff
Sergi Canos,Sergi Canos,81,Canos
Sergio Reguilon,Sergio Reguilon,370,Reguilon
Shandon Baptiste,Shandon Baptiste,499,Baptiste
Shane Duffy,Shane Duffy,56,Duffy
Solly March,Solomon March,60,March
Son Heung-Min,Heung-Min Son,359,Son
Steven Alzate,Steven Alzate,73,Alzate
Steven Bergwijn,Steven Bergwijn,369,Bergwijn
Stuart Dallas,Stuart Dallas,188,Dallas
Takehiro Tomiyasu,Takehiro Tomiyasu,590,Tomiyasu
Tanguy NDombele Alvaro,Tanguy Ndombele,375,Ndombele
Taylor Richards,Taylor Richards,537,Richards
Teemu Pukki,Teemu Pukki,315,Pukki
Theo Walcott,Theo Walcott,332,Walcott
Thiago Alcantara,Thiago Alcantara do Nascimento,225,Thiago
Thiago Silva,Thiago Emiliano da Silva,121,Thiago Silva
Thomas Partey,Thomas Partey,15,Partey
Tim Krul,Tim Krul,314,Krul
Timo Werner,Timo Werner,134,Werner
Timothy Castagne,Timothy Castagne,209,Castagne
Todd Cantwell,Todd Cantwell,325,Cantwell
Tom Cleverley,Tom Cleverley,381,Cleverley
Tom Davies,Tom Davies,176,Davies
Tomas Soucek,Tomas Soucek,422,Soucek
Trent Alexander-Arnold,Trent Alexander-Arnold,237,Alexander-Arnold
Trevoh Chalobah,Trevoh Chalobah,527,Chalobah
Trincao,Francisco Machado Mota de Castro Trincao,461,Trincao
Troy Deeney,Troy Deeney,380,Deeney
Tyler Roberts,Tyler Roberts,193,Roberts
Tyrick Mitchell,Tyrick Mitchell,162,Mitchell
Tyrone Mings,Tyrone Mings,38,Mings
Valentino Livramento,Tino Livramento,491,Livramento
Vicente Guaita,Vicente Guaita,146,Guaita
Victor Lindelof,Victor Lindelof,284,Lindelof
Virgil van Dijk,Virgil van Dijk,229,van Dijk
Vitaly Janelt,Vitaly Janelt,84,Janelt
Vladimir Coufal,Vladimir Coufal,418,Coufal
Wesley,Wesley Moraes,47,Wesley
Wilfred Ndidi,Wilfred Ndidi,216,Ndidi
Wilfried Zaha,Wilfried Zaha,154,Zaha
William Troost-Ekong,William Troost-Ekong,387,Troost-Ekong
Yerry Mina,Yerry Mina,175,Mina
Yoane Wissa,Yoane Wissa,524,Wissa
Youri Tielemans,Youri Tielemans,210,Tielemans
Yves Bissouma,Yves Bissouma,70,Bissouma
Zanka,Mathias Jorgensen,594,Zanka
