chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,full_name
100.0,100.0,235382,0,0,-2,2,1,3,1.8,2.3,0,Steven,1.8,79,False,,2021-01-11T22:30:26.268264Z,43,235382.jpg,2.8,Alzate,0.6,False,,a,3,36,25,180425,656,173311,1953,0.4,5.8,Alzate,610,1,0,3,13,0,0,0,1,0,0,3,106,115.6,121.2,50.0,28.8,285,124,184,115,292,145,284,131,,,,,,,Steven Alzate
100.0,50.0,243016,0,0,-2,2,0,3,2.5,1.5,2,Alexis,2.5,80,False,,2021-02-01T16:30:27.126938Z,53,243016.jpg,2.9,Mac Allister,0.0,False,,a,3,36,29,3369,90,6265,60,0.5,5.5,Mac Allister,540,1,1,3,4,0,0,0,1,0,0,3,93,112.6,116.6,93.0,32.1,290,126,188,116,216,115,267,124,4.0,,4.0,,,,Alexis Mac Allister
100.0,100.0,108813,0,0,0,0,0,1,0.0,0.5,0,Christian,0.0,503,False,,2020-09-12T09:00:11.155698Z,40,108813.jpg,0.0,Walton,1.3,False,,a,3,36,0,60626,775,82926,1410,0.0,0.0,Walton,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,495,45,476,18,448,13,505,45,,,,,,,Christian Walton
,,49262,0,0,0,0,0,1,0.0,0.5,0,Jason,0.0,528,False,,,40,49262.jpg,0.0,Steele,0.7,False,,a,3,36,0,82974,186,49154,1002,0.0,0.0,Steele,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,493,43,473,15,445,10,503,43,,,,,,,Jason Steele
0.0,0.0,220738,0,0,0,0,0,3,0.0,0.0,0,Jayson,0.0,550,False,Joined Preston North End on loan until the end of the season on 5/1. - Expected back 01 Jul,2021-01-11T12:00:22.222847Z,45,220738.jpg,1.0,Molumby,0.0,False,,u,3,36,1,2278,0,2223,12,0.0,0.2,Molumby,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,584,223,575,224,559,221,591,225,,,,,,,Jayson Molumby
,,204676,0,0,0,0,0,4,0.2,0.7,0,Andi,0.2,574,False,,,50,204676.jpg,1.0,Zeqiri,0.1,False,,a,3,36,3,10456,514,8213,431,0.0,0.6,Zeqiri,66,0,0,0,0,0,0,0,0,0,0,0,6,0.4,5.1,63.0,6.8,473,61,407,59,264,49,394,53,,,,,,,Andi Zeqiri
100.0,0.0,50175,0,0,0,0,1,4,0.2,0.0,1,Danny,0.2,588,False,,2020-12-30T00:00:15.304730Z,55,50175.jpg,3.7,Welbeck,0.3,False,,a,3,36,37,188223,776,180258,795,0.0,6.7,Welbeck,648,2,2,2,9,0,0,0,0,0,0,6,117,113.8,95.1,264.0,47.3,288,32,209,35,81,32,203,34,,,,,,,Danny Welbeck
,,215059,0,0,0,0,1,1,6.0,6.5,5,Robert,6.0,597,False,,,45,215059.jpg,4.3,Sánchez,2.4,False,,a,3,36,52,238017,13529,59977,5184,1.3,11.6,Sánchez,1080,0,0,5,11,0,0,0,0,0,34,6,243,278.8,0.0,0.0,28.0,146,19,570,58,554,54,288,19,,,,,,,Robert Sánchez
,,230127,0,0,-3,3,0,3,0.5,1.0,0,Percy,0.5,627,False,,,52,230127.jpg,1.5,Tau,0.0,False,,a,3,36,3,4907,18,3404,213,0.1,0.6,Tau,84,0,0,0,1,0,0,0,0,0,0,0,14,7.6,11.5,6.0,2.5,448,190,383,183,394,185,436,188,,,,,,,Percy Tau
100.0,100.0,243505,0,0,0,0,0,3,0.0,0.5,0,Jakub,0.0,628,False,,2021-01-14T22:00:27.325395Z,50,243505.jpg,0.0,Moder,0.0,False,,a,3,36,0,520,37,269,39,0.0,0.0,Moder,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,648,259,643,260,637,259,653,260,,,,,,,Jakub Moder
,,465572,0,0,0,0,0,3,0.2,0.7,0,Reda,0.2,630,False,,,45,465572.jpg,1.0,Khadra,0.0,False,,a,3,36,1,231,30,149,22,0.0,0.2,Khadra,4,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,2.0,0.2,606,239,596,240,409,192,478,202,,,,,,,Reda Khadra
,,244848,0,0,0,0,0,3,0.0,0.5,0,Teddy,0.0,631,False,,,45,244848.jpg,0.0,Jenks,0.0,False,,a,3,36,0,139,24,86,19,0.0,0.0,Jenks,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,590,229,581,230,565,227,597,231,,,,,,,Teddy Jenks
0.0,0.0,215062,0,0,0,0,0,3,0.0,0.0,0,Max,0.0,632,False,Joined Lincoln City on a permanent deal on 1/2,2021-02-02T00:00:26.759828Z,45,215062.jpg,0.0,Sanders,0.0,False,,u,3,36,0,105,0,86,0,0.0,0.0,Sanders,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,579,219,571,221,555,218,587,222,,,,,,,Max Sanders
,,440241,0,0,0,0,0,3,0.0,0.5,0,Jensen,0.0,633,False,,,45,440241.jpg,0.0,Weir,0.0,False,,a,3,36,0,276,44,176,28,0.0,0.0,Weir,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,594,232,584,233,569,230,600,234,,,,,,,Jensen Weir
,,209288,0,0,0,0,0,1,0.0,0.5,0,Thomas,0.0,662,False,,,40,209288.jpg,0.0,McGill,0.0,False,,a,3,36,0,349,167,45,33,0.0,0.0,McGill,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,503,50,484,23,456,18,513,50,,,,,,,Thomas McGill
,,442229,0,0,0,0,0,2,0.0,0.5,0,Michal,0.0,663,False,,,45,442229.jpg,0.0,Karbownik,0.0,False,,a,3,36,0,186,68,47,31,0.0,0.0,Karbownik,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,596,222,586,223,571,217,602,222,,,,,,,Michal Karbownik
,,486672,0,0,0,0,0,3,1.7,2.2,0,Moisés,0.0,664,False,,,50,486672.jpg,0.0,Caicedo,0.0,False,,a,3,36,0,101,50,19,14,0.0,0.0,Caicedo,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,650,260,645,261,639,260,655,261,,,,,,,Moisés Caicedo
100.0,100.0,40845,0,0,-3,3,0,3,-0.5,-0.5,0,Dale,0.0,55,False,,2020-11-06T20:30:19.624560Z,42,40845.jpg,1.2,Stephens,3.6,False,,a,4,90,7,337340,4525,968503,6957,0.0,1.7,Stephens,248,0,0,0,4,0,0,0,1,0,0,0,29,28.8,8.2,41.0,7.8,397,171,393,186,306,150,382,170,,,,,,,Dale Stephens
100.0,100.0,17761,0,0,-2,2,0,2,3.7,1.6,2,James,2.1,81,False,,2020-09-17T22:00:10.017429Z,53,17761.jpg,3.0,Tarkowski,2.6,False,,a,4,90,61,140899,16827,352983,3245,0.4,11.5,Tarkowski,1800,0,0,7,24,0,0,0,3,0,0,3,285,395.8,73.5,211.0,68.5,64,21,232,53,101,9,113,24,,,,,,,James Tarkowski
100.0,100.0,17997,0,0,-1,1,0,2,-0.5,-0.5,0,Phil,0.0,82,False,,2020-11-29T21:30:18.549331Z,44,17997.jpg,0.3,Bardsley,0.2,False,,a,4,90,1,12430,132,42167,183,0.0,0.2,Bardsley,270,0,0,0,8,0,0,0,2,0,0,0,24,31.4,12.9,6.0,5.1,392,153,371,138,390,148,414,155,,,,,,,Phil Bardsley
100.0,100.0,39487,0,0,-2,2,0,2,4.9,2.2,8,Erik,2.7,83,False,,2020-10-22T13:30:13.791092Z,43,39487.jpg,2.5,Pieters,0.7,False,,a,4,90,37,81813,18992,114502,809,0.6,8.6,Pieters,935,0,2,2,15,1,0,0,0,0,0,5,160,146.4,48.1,48.0,24.2,252,96,284,82,296,97,309,106,5.0,,,,,,Erik Pieters
75.0,100.0,40145,0,0,0,0,0,3,1.1,0.5,2,Jack,1.0,84,False,Knock - 75% chance of playing,2021-02-08T16:00:20.974589Z,50,40145.jpg,1.8,Cork,0.0,False,,d,4,90,7,10698,65,11228,42,0.2,1.4,Cork,295,0,0,0,6,0,0,0,0,0,0,0,27,22.6,15.6,38.0,7.7,408,176,363,177,315,156,384,171,,,,,,,Jack Cork
100.0,100.0,41674,0,0,-2,2,0,2,-0.5,-0.5,0,Kevin,0.0,85,False,,2021-01-11T12:00:21.187814Z,43,41674.jpg,1.8,Long,0.2,False,,a,4,90,11,11903,102,19785,189,0.0,2.6,Long,540,0,0,1,12,0,0,0,2,0,0,1,76,94.2,11.5,16.0,12.2,313,120,382,142,359,133,367,135,,,,,,,Kevin Long
100.0,100.0,44683,0,0,-2,2,0,4,1.5,0.5,0,Jay,1.0,86,False,,2021-01-01T10:30:18.225481Z,58,44683.jpg,1.4,Rodriguez,0.3,False,,a,4,90,24,19813,1019,57931,792,0.2,4.1,Rodriguez,756,0,1,2,17,0,0,0,3,0,0,0,58,46.6,59.4,136.0,23.6,368,42,260,41,163,43,312,44,,,,,3.0,,Jay Rodriguez
100.0,50.0,44699,0,0,0,0,0,4,2.9,0.6,2,Ashley,1.7,87,False,,2021-01-25T21:30:18.928734Z,60,44699.jpg,2.3,Barnes,0.4,False,,a,4,90,37,61861,17752,46772,1187,0.3,6.2,Barnes,1110,2,0,5,16,0,0,0,4,0,0,4,73,111.4,195.5,397.0,69.9,292,34,119,14,45,21,108,25,,,,,1.0,,Ashley Barnes
100.0,100.0,51927,0,0,0,0,1,2,5.5,2.5,1,Ben,3.0,88,False,,2020-09-07T00:30:12.617922Z,50,51927.jpg,4.3,Mee,3.7,False,,a,4,90,69,371211,69988,130038,6108,0.6,13.8,Mee,1440,2,0,6,17,0,0,0,1,0,0,7,288,411.2,25.5,161.0,60.1,58,18,335,115,143,24,143,37,,,,,,,Ben Mee
100.0,100.0,60551,0,0,-2,2,0,3,4.1,1.8,2,Ashley,2.3,89,False,,2021-01-11T12:00:21.212082Z,53,60551.jpg,2.8,Westwood,0.5,False,,a,4,90,62,51971,8946,78761,1217,0.4,11.7,Westwood,1970,1,3,7,29,0,0,0,5,0,0,2,338,308.4,474.8,76.0,85.9,125,47,18,14,241,125,71,40,1.0,,,,,,Ashley Westwood
