assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,name,opponent_team,own_goals,penalties_missed,penalties_saved,position,red_cards,round,saves,selected,starts,team,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,3,34,0,41.6,3,0.06,0.35,0.29,0.67,127,1,1,12.5,49.0,2022-10-23T13:00:00Z,90,Granit Xhaka,17,0,0,0,Midfielder,0,13,0,368620,1,1,1,1,34.0,10,16549,34061,17512,51,False,0
0,0,11,1,26.2,3,0.19,0.23,0.04,0.39,131,0,0,4.5,2.8,2022-10-30T14:00:00Z,74,Granit Xhaka,16,0,0,0,Midfielder,0,14,0,438068,1,1,0,5,16.0,3,63626,77987,14361,51,True,0
0,0,16,1,4.6,3,0.03,0.10,0.07,0.29,142,0,0,4.7,20.4,2022-11-06T12:00:00Z,90,Granit Xhaka,6,0,0,0,Midfielder,0,15,0,429403,1,1,1,0,22.0,3,-9632,28099,37731,51,False,0
0,0,3,0,0.2,3,0.00,0.00,0.00,0.00,160,0,0,0.0,0.0,2022-11-12T19:45:00Z,15,Granit Xhaka,20,0,0,0,Midfielder,0,16,0,420636,1,1,2,0,0.0,1,-11525,23835,35360,51,False,0
1,0,22,0,31.9,3,0.08,0.15,0.07,1.07,161,1,0,8.7,31.8,2022-12-26T20:00:00Z,90,Granit Xhaka,19,0,0,0,Midfielder,0,17,0,396383,1,1,1,3,23.0,5,-28511,88192,116703,51,True,0
0,0,11,0,12.5,3,0.09,0.09,0.00,1.15,172,2,0,2.7,14.8,2022-12-31T17:30:00Z,90,Granit Xhaka,5,0,0,0,Midfielder,0,18,0,396368,1,1,4,2,0.0,2,-1692,15387,17079,51,False,0
0,0,8,1,38.3,3,0.16,0.47,0.31,1.08,181,0,0,8.2,8.2,2023-01-03T19:45:00Z,90,Granit Xhaka,15,0,0,0,Midfielder,0,19,0,371502,1,1,0,0,35.0,2,-24944,6461,31405,51,True,1
0,0,19,1,19.1,3,0.15,0.25,0.09,1.54,199,0,0,4.6,23.4,2023-01-15T16:30:00Z,90,Granit Xhaka,18,0,0,0,Midfielder,0,20,0,349243,1,1,2,0,3.0,3,-23486,9460,32946,50,False,0
1,0,24,0,50.1,3,0.72,0.72,0.00,0.33,201,2,0,9.5,35.2,2023-01-22T16:30:00Z,90,Granit Xhaka,14,0,0,0,Midfielder,0,21,0,330216,1,1,2,3,10.0,5,-20825,4547,25372,50,True,0
0,0,10,0,27.1,3,0.08,0.19,0.12,1.66,215,1,0,4.5,4.6,2023-02-04T12:30:00Z,90,Granit Xhaka,8,0,0,0,Midfielder,0,22,0,315354,1,1,0,1,13.0,2,-16250,9136,25386,50,False,0
0,0,15,0,35.2,3,0.09,0.11,0.02,2.23,221,1,0,6.1,15.4,2023-02-11T15:00:00Z,80,Granit Xhaka,4,0,0,0,Midfielder,0,23,0,320392,1,1,1,1,10.0,2,3683,17036,13353,49,True,0
0,0,9,0,4.2,3,0.08,0.13,0.05,1.71,111,3,0,1.5,5.0,2023-02-15T19:30:00Z,82,Granit Xhaka,13,0,0,0,Midfielder,0,23,0,320392,1,1,3,1,6.0,2,3683,17036,13353,49,True,0
0,0,7,0,3.8,3,0.02,0.08,0.06,0.40,231,2,0,1.6,4.2,2023-02-18T12:30:00Z,78,Granit Xhaka,2,0,0,0,Midfielder,0,24,0,311777,1,1,4,2,8.0,2,-9378,5007,14385,49,False,0
0,0,14,1,17.8,3,0.08,0.08,0.00,0.02,246,0,0,3.1,8.8,2023-02-25T15:00:00Z,90,Granit Xhaka,10,0,0,0,Midfielder,0,25,0,307768,1,1,1,0,4.0,3,-1611,12087,13698,49,False,0
0,0,14,1,5.8,3,0.04,0.04,0.00,0.74,61,0,0,1.1,5.4,2023-03-01T19:45:00Z,71,Granit Xhaka,8,0,0,0,Midfielder,0,25,0,307768,1,1,0,4,0.0,3,-1611,12087,13698,49,True,0
0,0,3,0,0.3,3,0.01,0.01,0.00,0.00,251,0,0,0.3,0.6,2023-03-04T15:00:00Z,6,Granit Xhaka,3,0,0,0,Midfielder,0,26,0,299605,0,1,2,3,2.0,1,-11970,2897,14867,49,True,0
0,0,0,0,0.0,4,0.00,0.00,0.00,0.00,1,0,0,0.0,0.0,2022-08-05T19:00:00Z,0,Mohamed Elneny,7,0,0,0,Midfielder,0,1,0,86132,0,1,2,0,0.0,0,0,0,0,45,False,0
0,0,0,0,0.0,4,0.00,0.00,0.00,0.00,11,0,0,0.0,0.0,2022-08-13T14:00:00Z,0,Mohamed Elneny,10,0,0,0,Midfielder,0,2,0,87552,0,1,2,4,0.0,0,-12599,5829,18428,45,True,0
0,0,0,0,0.0,4,0.00,0.00,0.00,0.00,21,0,0,0.0,0.0,2022-08-20T16:30:00Z,0,Mohamed Elneny,3,0,0,0,Midfielder,0,3,0,131934,0,1,3,0,0.0,0,21882,57920,36038,44,False,0
0,0,15,0,3.8,4,0.04,0.04,0.00,0.83,31,1,0,0.8,4.2,2022-08-27T16:30:00Z,90,Mohamed Elneny,9,0,0,0,Midfielder,0,4,0,115883,1,1,1,2,0.0,2,-18950,14683,33633,44,True,0
0,0,0,0,0.0,4,0.00,0.00,0.00,0.00,41,0,0,0.0,0.0,2022-08-31T18:30:00Z,0,Mohamed Elneny,2,0,0,0,Midfielder,0,5,0,110818,0,1,1,2,0.0,0,-9174,10920,20094,44,True,0
0,0,0,0,0.0,4,0.00,0.00,0.00,0.00,56,0,0,0.0,0.0,2022-09-04T15:30:00Z,0,Mohamed Elneny,14,0,0,0,Midfielder,0,6,0,85016,0,1,1,3,0.0,0,-25515,941,26456,44,False,0
0,0,0,0,0.0,4,0.00,0.00,0.00,0.00,72,0,0,0.0,0.0,2022-09-18T11:00:00Z,0,Mohamed Elneny,4,0,0,0,Midfielder,0,8,0,81657,0,1,3,0,0.0,0,-6095,1257,7352,43,False,0
0,0,0,0,0.0,4,0.00,0.00,0.00,0.00,81,0,0,0.0,0.0,2022-10-01T11:30:00Z,0,Mohamed Elneny,18,0,0,0,Midfielder,0,9,0,77553,0,1,1,3,0.0,0,-5443,2120,7563,43,True,0
0,0,0,0,0.0,4,0.00,0.00,0.00,0.00,91,0,0,0.0,0.0,2022-10-09T15:30:00Z,0,Mohamed Elneny,12,0,0,0,Midfielder,0,10,0,71360,0,1,2,3,0.0,0,-6254,917,7171,43,True,0
0,0,0,0,0.0,4,0.00,0.00,0.00,0.00,104,0,0,0.0,0.0,2022-10-16T13:00:00Z,0,Mohamed Elneny,11,0,0,0,Midfielder,0,11,0,65729,0,1,1,0,0.0,0,-5619,301,5920,43,False,0
0,0,0,0,0.0,4,0.00,0.00,0.00,0.00,127,0,0,0.0,0.0,2022-10-23T13:00:00Z,0,Mohamed Elneny,17,0,0,0,Midfielder,0,13,0,60967,0,1,1,1,0.0,0,-2121,211,2332,43,False,0
0,0,0,0,0.0,4,0.00,0.00,0.00,0.00,131,0,0,0.0,0.0,2022-10-30T14:00:00Z,0,Mohamed Elneny,16,0,0,0,Midfielder,0,14,0,64887,0,1,0,5,0.0,0,2891,6735,3844,42,True,0
0,0,3,0,1.5,4,0.00,0.00,0.00,0.00,142,0,0,0.2,0.0,2022-11-06T12:00:00Z,3,Mohamed Elneny,6,0,0,0,Midfielder,0,15,0,71884,0,1,1,0,0.0,1,5537,11507,5970,42,False,0
0,0,3,0,0.0,4,0.00,0.00,0.00,0.00,160,0,0,0.0,0.0,2022-11-12T19:45:00Z,1,Mohamed Elneny,20,0,0,0,Midfielder,0,16,0,78891,0,1,2,0,0.0,1,5975,12847,6872,42,False,0
0,0,3,0,0.0,4,0.00,0.00,0.00,0.00,161,0,0,0.0,0.0,2022-12-26T20:00:00Z,1,Mohamed Elneny,19,0,0,0,Midfielder,0,17,0,90846,0,1,1,3,0.0,1,10525,32941,22416,42,True,0
0,0,3,0,0.1,4,0.00,0.00,0.00,0.46,172,1,0,0.1,0.4,2022-12-31T17:30:00Z,16,Mohamed Elneny,5,0,0,0,Midfielder,0,18,0,94836,0,1,4,2,0.0,1,2880,8124,5244,42,False,0
0,0,0,0,0.0,4,0.00,0.00,0.00,0.00,181,0,0,0.0,0.0,2023-01-03T19:45:00Z,0,Mohamed Elneny,15,0,0,0,Midfielder,0,19,0,91604,0,1,0,0,0.0,0,-3592,2863,6455,42,True,0
0,0,0,0,0.0,4,0.00,0.00,0.00,0.00,199,0,0,0.0,0.0,2023-01-15T16:30:00Z,0,Mohamed Elneny,18,0,0,0,Midfielder,0,20,0,90147,0,1,2,0,0.0,0,-3557,3386,6943,42,False,0
0,0,0,0,0.0,4,0.00,0.00,0.00,0.00,201,0,0,0.0,0.0,2023-01-22T16:30:00Z,0,Mohamed Elneny,14,0,0,0,Midfielder,0,21,0,84202,0,1,2,3,0.0,0,-4490,830,5320,42,True,0
0,0,0,0,0.0,4,0.00,0.00,0.00,0.00,215,0,0,0.0,0.0,2023-02-04T12:30:00Z,0,Mohamed Elneny,8,0,0,0,Midfielder,0,22,0,82046,0,1,0,1,0.0,0,-2962,6199,9161,41,False,0
0,0,0,0,0.0,4,0.00,0.00,0.00,0.00,221,0,0,0.0,0.0,2023-02-11T15:00:00Z,0,Mohamed Elneny,4,0,0,0,Midfielder,0,23,0,76867,0,1,1,1,0.0,0,-5079,616,5695,41,True,0
0,0,0,0,0.0,4,0.00,0.00,0.00,0.00,111,0,0,0.0,0.0,2023-02-15T19:30:00Z,0,Mohamed Elneny,13,0,0,0,Midfielder,0,23,0,76867,0,1,3,1,0.0,0,-5079,616,5695,41,True,0
0,0,0,0,0.0,4,0.00,0.00,0.00,0.00,231,0,0,0.0,0.0,2023-02-18T12:30:00Z,0,Mohamed Elneny,2,0,0,0,Midfielder,0,24,0,74667,0,1,4,2,0.0,0,-2397,714,3111,41,False,0
0,0,0,0,0.0,4,0.00,0.00,0.00,0.00,246,0,0,0.0,0.0,2023-02-25T15:00:00Z,0,Mohamed Elneny,10,0,0,0,Midfielder,0,25,0,71298,0,1,1,0,0.0,0,-3025,655,3680,41,False,0
0,0,0,0,0.0,4,0.00,0.00,0.00,0.00,61,0,0,0.0,0.0,2023-03-01T19:45:00Z,0,Mohamed Elneny,8,0,0,0,Midfielder,0,25,0,71298,0,1,0,4,0.0,0,-3025,655,3680,41,True,0
0,0,0,0,0.0,4,0.00,0.00,0.00,0.00,251,0,0,0.0,0.0,2023-03-04T15:00:00Z,0,Mohamed Elneny,3,0,0,0,Midfielder,0,26,0,69981,0,1,2,3,0.0,0,-1830,313,2143,41,True,0
0,0,0,0,0.0,5,0.00,0.00,0.00,0.00,1,0,0,0.0,0.0,2022-08-05T19:00:00Z,0,Rob Holding,7,0,0,0,Defender,0,1,0,14331,0,1,2,0,0.0,0,0,0,0,45,False,0
0,0,0,0,0.0,5,0.00,0.00,0.00,0.00,11,0,0,0.0,0.0,2022-08-13T14:00:00Z,0,Rob Holding,10,0,0,0,Defender,0,2,0,14520,0,1,2,4,0.0,0,-2978,631,3609,44,True,0
0,0,0,0,0.0,5,0.00,0.00,0.00,0.00,21,0,0,0.0,0.0,2022-08-20T16:30:00Z,0,Rob Holding,3,0,0,0,Defender,0,3,0,13295,0,1,3,0,0.0,0,-2174,683,2857,44,False,0
0,0,3,0,0.0,5,0.00,0.00,0.00,0.00,31,0,0,0.0,0.0,2022-08-27T16:30:00Z,1,Rob Holding,9,0,0,0,Defender,0,4,0,12198,0,1,1,2,0.0,1,-1795,363,2158,43,True,0
0,0,5,0,0.0,5,0.00,0.00,0.00,0.00,41,0,0,0.2,2.2,2022-08-31T18:30:00Z,2,Rob Holding,2,0,0,0,Defender,0,5,0,12085,0,1,1,2,0.0,1,-648,461,1109,43,True,0
0,0,0,0,0.0,5,0.00,0.00,0.00,0.00,56,0,0,0.0,0.0,2022-09-04T15:30:00Z,0,Rob Holding,14,0,0,0,Defender,0,6,0,12112,0,1,1,3,0.0,0,-473,556,1029,43,False,0
0,0,0,0,0.0,5,0.00,0.00,0.00,0.00,72,0,0,0.0,0.0,2022-09-18T11:00:00Z,0,Rob Holding,4,0,0,0,Defender,0,8,0,12232,0,1,3,0,0.0,0,-189,114,303,43,False,0
0,0,0,0,0.0,5,0.00,0.00,0.00,0.00,81,0,0,0.0,0.0,2022-10-01T11:30:00Z,0,Rob Holding,18,0,0,0,Defender,0,9,0,12343,0,1,1,3,0.0,0,-190,382,572,42,True,0
0,0,0,0,0.0,5,0.00,0.00,0.00,0.00,91,0,0,0.0,0.0,2022-10-09T15:30:00Z,0,Rob Holding,12,0,0,0,Defender,0,10,0,12562,0,1,2,3,0.0,0,-51,640,691,42,True,0
0,0,3,0,0.1,5,0.00,0.00,0.00,0.14,104,0,0,0.0,0.2,2022-10-16T13:00:00Z,8,Rob Holding,11,0,0,0,Defender,0,11,0,12405,0,1,1,0,0.0,1,-327,329,656,42,False,0
0,0,0,0,0.0,5,0.00,0.00,0.00,0.00,127,0,0,0.0,0.0,2022-10-23T13:00:00Z,0,Rob Holding,17,0,0,0,Defender,0,13,0,12380,0,1,1,1,0.0,0,-47,260,307,42,False,0
0,0,0,0,0.0,5,0.00,0.00,0.00,0.00,131,0,0,0.0,0.0,2022-10-30T14:00:00Z,0,Rob Holding,16,0,0,0,Defender,0,14,0,12264,0,1,0,5,0.0,0,-263,199,462,42,True,0
0,0,3,0,0.0,5,0.00,0.00,0.00,0.00,142,0,0,0.0,0.0,2022-11-06T12:00:00Z,1,Rob Holding,6,0,0,0,Defender,0,15,0,12120,0,1,1,0,0.0,1,-247,145,392,42,False,0
0,0,0,0,0.0,5,0.00,0.00,0.00,0.00,160,0,0,0.0,0.0,2022-11-12T19:45:00Z,0,Rob Holding,20,0,0,0,Defender,0,16,0,12141,0,1,2,0,0.0,0,-108,223,331,42,False,0
0,0,0,0,0.0,5,0.00,0.00,0.00,0.00,161,0,0,0.0,0.0,2022-12-26T20:00:00Z,0,Rob Holding,19,0,0,0,Defender,0,17,0,12351,0,1,1,3,0.0,0,11,774,763,42,True,0
0,0,3,0,0.0,5,0.00,0.00,0.00,0.14,172,0,0,0.1,1.0,2022-12-31T17:30:00Z,3,Rob Holding,5,0,0,0,Defender,0,18,0,12284,0,1,4,2,0.0,1,-146,115,261,42,False,0
0,0,0,0,0.0,5,0.00,0.00,0.00,0.00,181,0,0,0.0,0.0,2023-01-03T19:45:00Z,0,Rob Holding,15,0,0,0,Defender,0,19,0,12199,0,1,0,0,0.0,0,-137,64,201,42,True,0
0,0,0,0,0.0,5,0.00,0.00,0.00,0.00,199,0,0,0.0,0.0,2023-01-15T16:30:00Z,0,Rob Holding,18,0,0,0,Defender,0,20,0,12150,0,1,2,0,0.0,0,-145,103,248,42,False,0
0,0,3,0,0.0,5,0.00,0.00,0.00,0.00,201,0,0,0.0,0.0,2023-01-22T16:30:00Z,1,Rob Holding,14,0,0,0,Defender,0,21,0,12025,0,1,2,3,0.0,1,-157,71,228,42,True,0
0,0,0,0,0.0,5,0.00,0.00,0.00,0.00,215,0,0,0.0,0.0,2023-02-04T12:30:00Z,0,Rob Holding,8,0,0,0,Defender,0,22,0,11971,0,1,0,1,0.0,0,-163,129,292,42,False,0
0,0,0,0,0.0,5,0.00,0.00,0.00,0.00,221,0,0,0.0,0.0,2023-02-11T15:00:00Z,0,Rob Holding,4,0,0,0,Defender,0,23,0,11934,0,1,1,1,0.0,0,-110,75,185,42,True,0
0,0,0,0,0.0,5,0.00,0.00,0.00,0.00,111,0,0,0.0,0.0,2023-02-15T19:30:00Z,0,Rob Holding,13,0,0,0,Defender,0,23,0,11934,0,1,3,1,0.0,0,-110,75,185,42,True,0
0,0,3,0,0.0,5,0.00,0.00,0.00,0.00,231,0,0,0.0,0.0,2023-02-18T12:30:00Z,1,Rob Holding,2,0,0,0,Defender,0,24,0,11918,0,1,4,2,0.0,1,-76,58,134,42,False,0
0,0,0,0,0.0,5,0.00,0.00,0.00,0.00,246,0,0,0.0,0.0,2023-02-25T15:00:00Z,0,Rob Holding,10,0,0,0,Defender,0,25,0,11876,0,1,1,0,0.0,0,-83,69,152,42,False,0
0,0,0,0,0.0,5,0.00,0.00,0.00,0.00,61,0,0,0.0,0.0,2023-03-01T19:45:00Z,0,Rob Holding,8,0,0,0,Defender,0,25,0,11876,0,1,0,4,0.0,0,-83,69,152,42,True,0
0,0,0,0,0.0,5,0.00,0.00,0.00,0.00,251,0,0,0.0,0.0,2023-03-04T15:00:00Z,0,Rob Holding,3,0,0,0,Defender,0,26,0,11932,0,1,2,3,0.0,0,-59,85,144,42,True,0
0,0,17,1,12.9,6,0.02,0.11,0.10,1.21,1,0,0,4.6,22.6,2022-08-05T19:00:00Z,90,Thomas Partey,7,0,0,0,Midfielder,0,1,0,39617,1,1,2,0,10.0,3,0,0,0,50,False,0
0,0,9,0,4.8,6,0.02,0.40,0.39,0.46,11,2,0,4.9,5.4,2022-08-13T14:00:00Z,90,Thomas Partey,10,0,0,0,Midfielder,0,2,0,61511,1,1,2,4,39.0,2,4047,12745,8698,50,True,0
0,0,13,1,3.8,6,0.02,0.02,0.00,0.28,21,0,0,1.7,13.2,2022-08-20T16:30:00Z,90,Thomas Partey,3,0,0,0,Midfielder,0,3,0,61170,1,1,3,0,0.0,3,-5523,8704,14227,50,False,0
0,0,0,0,0.0,6,0.00,0.00,0.00,0.00,31,0,0,0.0,0.0,2022-08-27T16:30:00Z,0,Thomas Partey,9,0,0,0,Midfielder,0,4,0,54948,0,1,1,2,0.0,0,-8910,3409,12319,50,True,0
0,0,0,0,0.0,6,0.00,0.00,0.00,0.00,41,0,0,0.0,0.0,2022-08-31T18:30:00Z,0,Thomas Partey,2,0,0,0,Midfielder,0,5,0,40160,0,1,1,2,0.0,0,-15298,407,15705,49,True,0
0,0,0,0,0.0,6,0.00,0.00,0.00,0.00,56,0,0,0.0,0.0,2022-09-04T15:30:00Z,0,Thomas Partey,14,0,0,0,Midfielder,0,6,0,30613,0,1,1,3,0.0,0,-9978,131,10109,49,False,0
0,0,13,1,6.9,6,0.04,0.04,0.00,0.49,72,0,0,1.7,10.2,2022-09-18T11:00:00Z,77,Thomas Partey,4,0,0,0,Midfielder,0,8,0,26315,1,1,3,0,0.0,3,-900,54,954,48,False,0
0,3,39,0,46.4,6,0.07,0.14,0.06,1.56,81,1,1,11.5,53.6,2022-10-01T11:30:00Z,72,Thomas Partey,18,0,0,0,Midfielder,0,9,0,26537,1,1,1,3,15.0,10,-333,1078,1411,48,True,0
0,0,17,0,13.6,6,0.05,0.05,0.00,1.13,91,2,0,3.5,21.2,2022-10-09T15:30:00Z,90,Thomas Partey,12,0,0,0,Midfielder,0,10,0,45510,1,1,2,3,0.0,2,15410,17732,2322,48,True,0
0,0,15,1,1.0,6,0.00,0.00,0.00,1.86,104,0,0,1.1,10.0,2022-10-16T13:00:00Z,90,Thomas Partey,11,0,0,0,Midfielder,0,11,0,49227,1,1,1,0,0.0,3,3125,7934,4809,48,False,0
0,0,14,0,14.5,6,0.07,0.07,0.00,0.67,127,1,0,3.1,14.4,2022-10-23T13:00:00Z,90,Thomas Partey,17,0,0,0,Midfielder,0,13,0,53204,1,1,1,1,2.0,2,4234,6924,2690,48,False,0
0,1,31,1,21.6,6,0.23,0.40,0.16,0.43,131,0,1,10.1,45.8,2022-10-30T14:00:00Z,90,Thomas Partey,16,0,0,0,Midfielder,0,14,0,52188,1,1,0,5,34.0,9,-1545,3316,4861,48,True,0
0,0,14,1,2.6,6,0.02,0.36,0.34,0.29,142,0,0,2.6,12.2,2022-11-06T12:00:00Z,90,Thomas Partey,6,0,0,0,Midfielder,0,15,0,55765,1,1,1,0,11.0,3,2336,5751,3415,48,False,0
0,0,9,1,13.2,6,0.02,0.02,0.00,0.68,160,0,0,2.6,12.4,2022-11-12T19:45:00Z,90,Thomas Partey,20,0,0,0,Midfielder,0,16,0,57762,1,1,2,0,0.0,2,1138,4810,3672,48,False,1
0,0,14,0,6.6,6,0.08,0.13,0.05,1.07,161,1,0,1.8,8.2,2022-12-26T20:00:00Z,90,Thomas Partey,19,0,0,0,Midfielder,0,17,0,59947,1,1,1,3,3.0,2,821,11486,10665,48,True,0
0,0,7,0,20.7,6,0.02,0.18,0.16,0.68,172,1,0,4.7,8.2,2022-12-31T17:30:00Z,73,Thomas Partey,5,0,0,0,Midfielder,0,18,0,59144,1,1,4,2,18.0,1,-1288,2149,3437,48,False,1
0,0,12,1,17.7,6,0.03,0.11,0.07,1.08,181,0,0,5.4,20.4,2023-01-03T19:45:00Z,90,Thomas Partey,15,0,0,0,Midfielder,0,19,0,56940,1,1,0,0,16.0,3,-2431,1251,3682,48,True,0
0,0,12,1,16.1,6,0.05,0.17,0.12,1.54,199,0,0,4.5,23.2,2023-01-15T16:30:00Z,90,Thomas Partey,18,0,0,0,Midfielder,0,20,0,55640,1,1,2,0,6.0,3,-1863,1730,3593,48,False,0
0,0,18,0,17.2,6,0.04,0.15,0.11,0.33,201,2,0,3.9,13.4,2023-01-22T16:30:00Z,90,Thomas Partey,14,0,0,0,Midfielder,0,21,0,55646,1,1,2,3,8.0,2,-521,2125,2646,48,True,0
0,0,9,0,4.7,6,0.03,0.06,0.03,1.33,215,0,0,2.7,15.0,2023-02-04T12:30:00Z,58,Thomas Partey,8,0,0,0,Midfielder,0,22,0,51670,1,1,0,1,7.0,1,-4303,1501,5804,47,False,0
0,1,23,0,68.8,6,0.14,0.18,0.04,2.37,221,1,0,10.5,33.4,2023-02-11T15:00:00Z,90,Thomas Partey,4,0,0,0,Midfielder,0,23,0,52594,1,1,1,1,3.0,3,336,2204,1868,47,True,0
0,0,0,0,0.0,6,0.00,0.00,0.00,0.00,111,0,0,0.0,0.0,2023-02-15T19:30:00Z,0,Thomas Partey,13,0,0,0,Midfielder,0,23,0,52594,0,1,3,1,0.0,0,336,2204,1868,47,True,0
0,0,0,0,0.0,6,0.00,0.00,0.00,0.00,231,0,0,0.0,0.0,2023-02-18T12:30:00Z,0,Thomas Partey,2,0,0,0,Midfielder,0,24,0,50859,0,1,4,2,0.0,0,-1941,811,2752,47,False,0
0,0,3,0,0.3,6,0.00,0.00,0.00,0.00,246,0,0,0.1,0.2,2023-02-25T15:00:00Z,6,Thomas Partey,10,0,0,0,Midfielder,0,25,0,48104,0,1,1,0,0.0,1,-2536,200,2736,47,False,0
0,0,18,0,17.4,6,0.41,0.41,0.00,0.72,61,0,0,3.0,10.4,2023-03-01T19:45:00Z,45,Thomas Partey,8,0,0,0,Midfielder,0,25,0,48104,0,1,0,4,2.0,1,-2536,200,2736,47,True,0
0,1,29,0,19.8,6,0.11,0.71,0.60,1.32,251,2,1,10.6,48.8,2023-03-04T15:00:00Z,90,Thomas Partey,3,0,0,0,Midfielder,0,26,0,48173,1,1,2,3,37.0,8,-475,566,1041,47,True,0
0,0,9,1,8.3,7,0.06,0.15,0.09,1.21,1,0,0,3.5,3.4,2022-08-05T19:00:00Z,90,Martin Ødegaard,7,0,0,0,Midfielder,0,1,0,1133257,1,1,2,0,23.0,3,0,0,0,65,False,0
0,0,19,0,15.3,7,0.07,0.10,0.03,0.46,11,2,0,3.5,7.6,2022-08-13T14:00:00Z,90,Martin Ødegaard,10,0,0,0,Midfielder,0,2,0,1175045,1,1,2,4,12.0,2,-78957,58220,137177,65,True,0
0,3,47,1,10.0,7,0.05,0.69,0.64,0.12,21,0,2,12.0,67.8,2022-08-20T16:30:00Z,73,Martin Ødegaard,3,0,0,0,Midfielder,0,3,0,1025266,1,1,3,0,42.0,16,-188934,67382,256316,64,False,0
0,3,37,0,44.2,7,0.46,0.64,0.18,0.83,31,1,1,13.8,58.2,2022-08-27T16:30:00Z,90,Martin Ødegaard,9,0,0,0,Midfielder,0,4,0,1372230,1,1,1,2,36.0,10,243746,295915,52169,65,True,0
0,0,12,0,37.8,7,0.22,0.68,0.46,0.45,41,1,0,9.8,13.0,2022-08-31T18:30:00Z,80,Martin Ødegaard,2,0,0,0,Midfielder,0,5,0,2044513,1,1,1,2,47.0,1,558793,598888,40095,66,True,1
0,0,9,0,46.8,7,0.34,0.69,0.35,1.25,56,2,0,6.8,7.0,2022-09-04T15:30:00Z,73,Martin Ødegaard,14,0,0,0,Midfielder,0,6,0,1677063,1,1,1,3,14.0,2,-348491,149913,498404,66,False,0
0,0,0,0,0.0,7,0.00,0.00,0.00,0.00,72,0,0,0.0,0.0,2022-09-18T11:00:00Z,0,Martin Ødegaard,4,0,0,0,Midfielder,0,8,0,1911739,0,1,3,0,0.0,0,129352,171659,42307,65,False,0
0,0,9,0,16.8,7,0.04,0.15,0.11,1.57,81,1,0,4.2,6.8,2022-10-01T11:30:00Z,79,Martin Ødegaard,18,0,0,0,Midfielder,0,9,0,1615139,1,1,1,3,18.0,2,-218167,46253,264420,65,True,0
