iter	Passed	Remaining
162	11054	56765
163	11122	56698
164	11189	56623
165	11253	56537
166	11319	56464
167	11389	56403
168	11452	56311
169	11517	56234
170	11585	56165
171	11653	56100
172	11717	56015
173	11784	55944
174	11851	55873
175	11917	55794
176	11983	55720
177	12050	55649
178	12115	55569
179	12180	55487
180	12245	55411
181	12310	55328
182	12376	55255
183	12445	55192
184	12511	55119
185	12575	55034
186	12639	54951
187	12707	54883
188	12772	54805
189	12838	54734
190	12907	54670
191	12973	54596
192	13040	54525
193	13108	54462
194	13174	54387
195	13239	54309
196	13307	54243
197	13370	54156
198	13436	54084
199	13500	54002
200	13564	53921
201	13629	53844
202	13695	53771
203	13759	53690
204	13821	53601
205	13889	53535
206	13956	53464
207	14023	53398
208	14092	53334
209	14159	53266
210	14222	53184
211	14290	53119
212	14356	53044
213	14425	52983
214	14492	52915
215	14560	52848
216	14624	52770
217	14690	52697
218	14754	52616
219	14820	52543
220	14888	52478
221	14954	52409
222	15017	52323
223	15085	52261
224	15149	52180
225	15217	52116
226	15288	52060
227	15354	51989
228	15421	51920
229	15488	51853
230	15554	51780
231	15622	51716
232	15690	51649
233	15753	51568
234	15820	51500
235	15889	51437
236	15956	51368
237	16022	51299
238	16088	51228
239	16154	51154
240	16220	51084
241	16287	51015
242	16353	50944
243	16418	50871
244	16484	50798
245	16550	50726
246	16619	50664
247	16688	50604
248	16754	50533
249	16823	50469
250	16890	50402
251	16961	50344
252	17025	50268
253	17089	50191
254	17155	50120
255	17223	50054
256	17292	49993
257	17359	49924
258	17423	49848
259	17488	49775
260	17551	49695
261	17618	49626
262	17681	49548
263	17750	49486
264	17814	49409
265	17880	49340
266	17948	49275
267	18012	49199
268	18082	49138
269	18145	49060
270	18211	48990
271	18278	48921
272	18345	48854
273	18406	48770
274	18473	48703
275	18540	48634
276	18605	48563
277	18672	48493
278	18738	48424
279	18804	48354
280	18872	48289
281	18942	48230
282	19008	48158
283	19072	48083
284	19136	48010
285	19198	47930
286	19261	47851
287	19323	47772
288	19390	47705
289	19457	47638
290	19524	47570
291	19592	47504
292	19660	47441
293	19725	47367
294	19790	47295
295	19856	47227
296	19925	47162
297	19991	47094
298	20056	47022
299	20122	46951
300	20188	46882
301	20255	46814
302	20318	46738
303	20384	46669
304	20451	46603
305	20514	46525
306	20577	46450
307	20642	46378
308	20706	46305
309	20770	46231
310	20837	46163
311	20903	46095
312	20972	46032
313	21039	45965
314	21107	45900
315	21174	45833
316	21240	45764
317	21305	45693
318	21368	45618
319	21437	45555
320	21502	45484
321	21568	45414
322	21632	45341
323	21694	45263
324	21762	45198
325	21829	45131
326	21892	45056
327	21960	44991
328	22025	44920
329	22090	44851
330	22154	44777
331	22221	44710
332	22284	44635
333	22348	44562
334	22414	44493
335	22484	44433
336	22545	44356
337	22609	44281
338	22675	44212
339	22739	44142
340	22807	44076
341	22872	44005
342	22943	43948
343	23015	43890
344	23085	43828
345	23153	43764
346	23221	43700
347	23287	43629
348	23354	43564
349	23418	43492
350	23486	43426
351	23552	43357
352	23619	43291
353	23686	43225
354	23749	43151
355	23812	43076
356	23881	43014
357	23946	42942
358	24013	42875
359	24079	42808
360	24147	42742
361	24212	42672
362	24278	42604
363	24341	42531
364	24410	42468
365	24480	42405
366	24546	42337
367	24615	42275
368	24684	42210
369	24755	42151
370	24826	42090
371	24899	42034
372	24965	41966
373	25034	41902
374	25094	41824
375	25159	41753
376	25225	41685
377	25292	41618
378	25359	41552
379	25424	41482
380	25491	41414
381	25555	41343
382	25623	41277
383	25684	41202
384	25751	41136
385	25819	41069
386	25887	41005
387	25959	40946
388	26028	40882
389	26093	40812
390	26159	40744
391	26231	40686
392	26302	40625
393	26373	40564
394	26439	40495
395	26505	40427
396	26570	40357
397	26640	40296
398	26712	40236
399	26783	40174
400	26851	40109
401	26916	40040
402	26987	39979
403	27053	39909
404	27121	39845
405	27192	39784
406	27263	39723
407	27335	39663
408	27405	39601
409	27478	39542
410	27544	39473
411	27612	39407
412	27678	39339
413	27747	39275
414	27815	39209
415	27881	39141
416	27952	39080
417	28021	39015
418	28084	38942
419	28149	38873
420	28219	38810
421	28288	38745
422	28355	38679
423	28429	38621
424	28503	38563
425	28575	38502
426	28644	38438
427	28712	38372
428	28781	38308
429	28851	38244
430	28925	38187
431	28993	38120
432	29060	38053
433	29131	37992
434	29200	37926
435	29270	37863
436	29341	37801
437	29411	37737
438	29479	37672
439	29551	37610
440	29619	37544
441	29686	37477
442	29754	37411
443	29821	37344
444	29890	37278
445	29960	37215
446	30028	37148
447	30097	37084
448	30168	37021
449	30239	36959
450	30311	36897
451	30381	36834
452	30452	36772
453	30523	36708
454	30594	36645
455	30664	36582
456	30734	36518
457	30812	36463
458	30882	36399
459	30954	36338
460	31023	36272
461	31095	36210
462	31166	36147
463	31235	36082
464	31306	36018
465	31374	35952
466	31445	35889
467	31511	35820
468	31579	35753
469	31648	35688
470	31714	35619
471	31783	35554
472	31854	35490
473	31924	35426
474	31993	35361
475	32063	35297
476	32130	35229
477	32199	35163
478	32268	35098
479	32336	35031
480	32409	34970
481	32480	34906
482	32549	34841
483	32619	34776
484	32685	34706
485	32756	34643
486	32824	34576
487	32893	34511
488	32964	34447
489	33031	34379
490	33099	34313
491	33167	34246
492	33237	34181
493	33307	34116
494	33376	34050
495	33443	33983
496	33511	33916
497	33581	33851
498	33650	33785
499	33717	33717
500	33784	33649
501	33852	33583
502	33923	33519
503	33991	33451
504	34062	33388
505	34132	33323
506	34202	33257
507	34273	33193
508	34341	33127
509	34409	33060
510	34474	32989
511	34544	32925
512	34615	32861
513	34681	32792
514	34753	32729
515	34818	32659
516	34891	32596
517	34959	32529
518	35029	32464
519	35097	32398
520	35166	32332
521	35239	32268
522	35307	32201
523	35375	32135
524	35444	32068
525	35511	32001
526	35578	31932
527	35647	31866
528	35718	31801
529	35790	31738
530	35860	31673
531	35927	31604
532	35995	31538
533	36065	31472
534	36134	31406
535	36203	31340
536	36273	31275
537	36345	31210
538	36410	31141
539	36479	31075
540	36548	31008
541	36618	30943
542	36690	30879
543	36761	30814
544	36829	30747
545	36899	30681
546	36966	30614
547	37035	30547
548	37105	30482
549	37174	30415
550	37243	30349
551	37311	30281
552	37381	30216
553	37454	30152
554	37524	30086
555	37595	30022
556	37666	29957
557	37740	29894
558	37805	29825
559	37873	29757
560	37946	29694
561	38016	29628
562	38088	29564
563	38159	29498
564	38229	29433
565	38294	29363
566	38365	29298
567	38436	29233
568	38508	29169
569	38577	29102
570	38649	29037
571	38718	28970
572	38790	28906
573	38859	28840
574	38933	28776
575	39003	28711
576	39069	28641
577	39139	28575
578	39205	28507
579	39278	28443
580	39347	28376
581	39419	28311
582	39486	28243
583	39555	28176
584	39625	28110
585	39695	28043
586	39769	27980
587	39835	27911
588	39905	27845
589	39976	27780
590	40045	27713
591	40112	27645
592	40181	27578
593	40251	27512
594	40323	27447
595	40392	27379
596	40461	27313
597	40530	27246
598	40597	27177
599	40662	27108
600	40731	27041
601	40801	26975
602	40869	26907
603	40937	26840
604	41003	26770
605	41072	26704
606	41142	26637
607	41209	26569
608	41277	26501
609	41343	26432
610	41415	26367
611	41484	26300
612	41557	26236
613	41627	26169
614	41694	26101
615	41764	26034
616	41831	25966
617	41904	25902
618	41969	25832
619	42041	25767
620	42113	25702
621	42178	25632
622	42252	25568
623	42323	25502
624	42386	25431
625	42458	25366
626	42524	25297
627	42592	25229
628	42659	25161
629	42726	25093
630	42788	25022
631	42856	24954
632	42923	24886
633	42993	24819
634	43062	24752
635	43130	24684
636	43199	24617
637	43265	24548
638	43332	24480
639	43398	24411
640	43467	24344
641	43537	24278
642	43604	24209
643	43672	24141
644	43745	24076
645	43817	24011
646	43884	23943
647	43951	23875
648	44020	23807
649	44090	23740
650	44160	23674
651	44229	23607
652	44295	23538
653	44364	23471
654	44434	23404
655	44505	23338
656	44574	23271
657	44638	23201
658	44711	23135
659	44781	23069
660	44844	22998
661	44911	22930
662	44980	22863
663	45047	22794
664	45113	22726
665	45184	22660
666	45252	22592
667	45324	22526
668	45393	22459
669	45460	22391
670	45530	22324
671	45596	22255
672	45667	22189
673	45739	22123
674	45807	22055
675	45873	21986
676	45942	21919
677	46015	21853
678	46083	21786
679	46157	21721
680	46223	21652
681	46292	21585
682	46363	21518
683	46434	21452
684	46499	21383
685	46570	21316
686	46642	21250
687	46715	21185
688	46782	21116
689	46850	21048
690	46918	20980
691	46986	20913
692	47056	20846
693	47125	20778
694	47191	20709
695	47256	20640
696	47324	20572
697	47392	20504
698	47462	20437
699	47532	20371
700	47600	20303
701	47669	20235
702	47738	20168
703	47805	20099
704	47873	20032
705	47941	19964
706	48011	19897
707	48078	19828
708	48143	19759
709	48207	19690
710	48278	19623
711	48346	19555
712	48412	19487
713	48480	19419
714	48548	19351
715	48618	19284
716	48686	19216
717	48754	19148
718	48824	19081
719	48891	19013
720	48962	18946
721	49029	18878
722	49099	18811
723	49167	18743
724	49235	18675
725	49303	18607
726	49371	18539
727	49437	18471
728	49505	18403
729	49571	18334
730	49635	18265
731	49705	18198
732	49773	18130
733	49839	18061
734	49906	17993
735	49976	17926
736	50046	17859
737	50111	17790
738	50178	17722
739	50248	17654
740	50315	17586
741	50383	17518
742	50449	17450
743	50517	17382
744	50585	17314
745	50659	17248
746	50721	17178
747	50794	17112
748	50863	17045
749	50933	16977
750	51002	16910
751	51073	16843
752	51140	16775
753	51213	16708
754	51281	16641
755	51352	16574
756	51418	16505
757	51487	16437
758	51557	16370
759	51627	16303
760	51697	16235
761	51762	16167
762	51832	16099
763	51900	16032
764	51969	15964
765	52041	15897
766	52110	15830
767	52172	15760
768	52242	15693
769	52313	15626
770	52379	15557
771	52452	15491
772	52520	15423
773	52591	15356
774	52661	15288
775	52730	15221
776	52798	15153
777	52866	15085
778	52935	15017
779	53007	14950
780	53074	14882
781	53143	14814
782	53212	14747
783	53280	14679
784	53349	14611
785	53419	14544
786	53486	14475
787	53553	14407
788	53618	14339
789	53688	14271
790	53752	14202
791	53822	14135
792	53892	14067
793	53958	13999
794	54023	13930
795	54091	13862
796	54165	13796
797	54233	13728
798	54302	13660
799	54370	13592
800	54441	13525
801	54509	13457
802	54581	13390
803	54650	13322
804	54723	13255
805	54794	13188
806	54863	13121
807	54931	13053
808	55002	12985
809	55067	12917
810	55132	12848
811	55196	12779
812	55262	12711
813	55329	12642
814	55396	12574
815	55468	12507
816	55539	12440
817	55609	12372
818	55676	12304
819	55742	12236
820	55811	12168
821	55878	12100
822	55950	12033
823	56018	11965
824	56088	11897
825	56160	11830
826	56230	11762
827	56302	11695
828	56373	11628
829	56444	11560
830	56513	11493
831	56582	11425
832	56654	11358
833	56725	11290
834	56795	11223
835	56864	11155
836	56936	11087
837	57006	11020
838	57073	10952
839	57147	10885
840	57217	10817
841	57287	10749
842	57352	10681
843	57423	10613
844	57494	10546
845	57563	10478
846	57633	10410
847	57704	10343
848	57773	10275
849	57843	10207
850	57910	10139
851	57979	10071
852	58054	10004
853	58119	9936
854	58190	9868
855	58259	9800
856	58327	9732
857	58403	9665
858	58470	9597
859	58539	9529
860	58608	9461
861	58678	9394
862	58746	9325
863	58815	9257
864	58883	9189
865	58955	9122
866	59024	9054
867	59091	8986
868	59159	8918
869	59229	8850
870	59297	8782
871	59369	8714
872	59438	8646
873	59504	8578
874	59575	8510
875	59642	8442
876	59712	8374
877	59784	8307
878	59853	8239
879	59923	8171
880	59991	8103
881	60056	8034
882	60124	7966
883	60189	7898
884	60256	7829
885	60323	7761
886	60392	7693
887	60461	7625
888	60534	7558
889	60602	7490
890	60672	7422
891	60741	7354
892	60809	7286
893	60877	7218
894	60945	7150
895	61016	7082
896	61086	7014
897	61158	6946
898	61229	6878
899	61298	6810
900	61368	6743
901	61434	6674
902	61505	6606
903	61574	6538
904	61640	6470
905	61713	6402
906	61784	6335
907	61861	6267
908	61932	6200
909	62002	6132
910	62070	6064
911	62141	5996
912	62211	5928
913	62280	5860
914	62348	5791
915	62417	5723
916	62487	5655
917	62554	5587
918	62619	5519
919	62691	5451
920	62758	5383
921	62827	5315
922	62895	5246
923	62966	5179
924	63038	5111
925	63107	5043
926	63175	4975
927	63246	4907
928	63312	4838
929	63377	4770
930	63441	4701
931	63508	4633
932	63575	4565
933	63642	4497
934	63708	4428
935	63774	4360
936	63844	4292
937	63913	4224
938	63984	4156
939	64057	4088
940	64131	4020
941	64201	3952
942	64272	3884
943	64344	3817
944	64415	3749
945	64485	3681
946	64552	3612
947	64621	3544
948	64690	3476
949	64753	3408
950	64818	3339
951	64884	3271
952	64944	3202
953	65012	3134
954	65080	3066
955	65148	2998
956	65221	2930
957	65292	2862
958	65366	2794
959	65435	2726
960	65503	2658
961	65570	2590
962	65638	2521
963	65705	2453
964	65770	2385
965	65836	2317
966	65903	2249
967	65970	2180
968	66037	2112
969	66107	2044
970	66176	1976
971	66245	1908
972	66310	1840
973	66379	1771
974	66443	1703
975	66510	1635
976	66576	1567
977	66642	1499
978	66709	1430
979	66773	1362
980	66839	1294
981	66905	1226
982	66971	1158
983	67036	1090
984	67105	1021
985	67170	953
986	67234	885
987	67303	817
988	67371	749
989	67435	681
990	67501	613
991	67570	544
992	67639	476
993	67709	408
994	67777	340
995	67846	272
996	67915	204
997	67982	136
998	68046	68
999	68112	0
