name_un,name_fpl,id_fpl,web_name_fpl
Angelo Ogbonna,Angelo Ogbonna,432,Ogbonna
Anthony Elanga,Anthony Elanga,702,Elanga
Anthony Gordon,Anthony Gordon,168,Gordon
Anthony Martial,Anthony Martial,303,Martial
Antonee Robinson,Antonee Robinson,484,Robinson
Antonio Rudiger,Antonio Rudiger,109,Rudiger
Antwoine Hackford,Antwoine Hackford,618,Hackford
Anwar El Ghazi,Anwar El Ghazi,45,El Ghazi
Arthur Masuaku,Arthur Masuaku,442,Masuaku
Ashley Barnes,Ashley Barnes,87,Barnes
Ashley Westwood,Ashley Westwood,89,Westwood
Axel Tuanzebe,Axel Tuanzebe,307,Tuanzebe
Aymeric Laporte,Aymeric Laporte,280,Laporte
Ayoze Perez,Ayoze Perez,229,Perez
Bailey Peacock-Farrell,Bailey Peacock-Farrell,99,Peacock-Farrell
Ben Chilwell,Benjamin Chilwell,232,Chilwell
Ben Davies,Ben Davies,395,Davies
Ben Godfrey,Ben Godfrey,566,Godfrey
Ben Johnson,Ben Johnson,452,Johnson
Ben Mee,Ben Mee,88,Mee
Ben Osborn,Ben Osborn,356,Osborn
Ben White,Ben White,74,White
Benjamin Mendy,Benjamin Mendy,274,Mendy
Bernard,Bernard Anicio Caldeira Duarte,154,Bernard
Bernardo,Bernardo Fernandes da Silva Junior,75,Bernardo
Bernardo Silva,Bernardo Mota Veiga de Carvalho e Silva,281,Bernardo Silva
Bernd Leno,Bernd Leno,8,Leno
Bertrand Traore,Bertrand Traore,540,Traore
Billy Gilmour,Billy Gilmour,124,Gilmour
Billy Sharp,Billy Sharp,343,Sharp
Bobby Reid,Bobby Decordova-Reid,181.0,Decordova-Reid
Brandon Williams,Brandon Williams,318,Williams
Branislav Ivanovic,Branislav Ivanovic,530,Ivanovic
Bruno Fernandes,Bruno Miguel Borges Fernandes,302,Fernandes
Bukayo Saka,Bukayo Saka,24,Saka
Caglar Soyuncu,Caglar Soyuncu,238,Soyuncu
Caleb Watts,Caleb Watts,636,Watts
Callum Hudson-Odoi,Callum Hudson-Odoi,122,Hudson-Odoi
Callum Robinson,Callum Robinson,358,Callum Robinson
Callum Wilson,Callum Wilson,506,Wilson
Calum Chambers,Calum Chambers,13,Chambers
Caoimhin Kelleher,Caoimhin Kelleher,560,Kelleher
Carlos Vinicius,Carlos Vinicius Alves Morais,564,Carlos Vinicius
Carney Chukwuemeka,Carney Chukwuemeka,672,Chukwuemeka
Cedric Soares,Cedric Soares,5,Cedric
Cengiz Under,Cengiz Under,541,Under
Cenk Tosun,Cenk Tosun,153,Tosun
Cesar Azpilicueta,Cesar Azpilicueta,102,Azpilicueta
Charlie Austin,Charlie Austin,415,Austin
Charlie Taylor,Charlie Taylor,97,Taylor
Che Adams,Che Adams,377,Adams
Cheikhou Kouyate,Cheikhou Kouyate,133,Kouyate
Chris Basham,Chris Basham,345,Basham
Chris Wood,Chris Wood,91,Wood
Christian Benteke,Christian Benteke,132,Benteke
Christian Fuchs,Christian Fuchs,218,Fuchs
Christian Pulisic,Christian Pulisic,119,Pulisic
Ciaran Clark,Ciaran Clark,324,Clark
Conor Coady,Conor Coady,459,Coady
Conor Gallagher,Conor Gallagher,544,Gallagher
Conor Hourihane,Conor Hourihane,33,Hourihane
Conor Townsend,Conor Townsend,418,Townsend
Craig Dawson,Craig Dawson,576,Dawson
Curtis Jones,Curtis Jones,263,Jones
Dale Stephens,Dale Stephens,55,Stephens
Dan Burn,Dan Burn,61,Burn
Dane Scarlett,Dane Scarlett,666,Scarlett
Dani Ceballos,Daniel Ceballos Fernandez,501,Ceballos
Daniel Amartey,Daniel Amartey,227,Amartey
Daniel James,Daniel James,311,James
Daniel Jebbison,Daniel Jebbison,699,Jebbison
Daniel N&#039;Lundulu,Daniel N'Lundulu,590,N'Lundulu
Daniel Podence,Daniel Castelo Podence,469,Podence
Danny Ings,Danny Ings,366,Ings
Danny Welbeck,Danny Welbeck,588,Welbeck
Dara O&#039;Shea,Dara O'Shea,425,O'Shea
Darnell Furlong,Darnell Furlong,422,Furlong
Darren Randolph,Darren Randolph,430,Randolph
David Button,David Button,56,Button
David Luiz,David Luiz Moreira Marinho,3,David Luiz
David McGoldrick,David McGoldrick,344,McGoldrick
David de Gea,David de Gea,291,de Gea
Davinson Sanchez,Davinson Sanchez,398,Sanchez
Davy Propper,Davy Propper,59,Propper
DeAndre Yedlin,DeAndre Yedlin,335,Yedlin
Dean Henderson,Dean Henderson,305,Henderson
Declan Rice,Declan Rice,448,Rice
Dele Alli,Bamidele Alli,394,Alli
Demarai Gray,Demarai Gray,230,Gray
Denis Odoi,Denis Odoi,525,Odoi
Dennis Praet,Dennis Praet,225,Praet
Diego Llorente,Diego Llorente,549,Llorente
Diogo Jota,Diogo Jota,468,Jota
Divock Origi,Divock Origi,256,Origi
Dominic Calvert-Lewin,Dominic Calvert-Lewin,164,Calvert-Lewin
Donny van de Beek,Donny van de Beek,495,van de Beek
Douglas Luiz,Douglas Luiz Soares de Paulo,52,Douglas Luiz
Dwight Gayle,Dwight Gayle,329,Gayle
Dwight McNeil,Dwight McNeil,100,McNeil
Eberechi Eze,Eberechi Eze,489,Eze
Eddie Nketiah,Edward Nketiah,22,Nketiah
Ederson,Ederson Santana de Moraes,278,Ederson
Edinson Cavani,Edinson Cavani,569,Cavani
Edouard Mendy,Edouard Mendy,548,Mendy
Elliot Anderson,Elliot Anderson,602,Anderson
Emerson,Emerson Palmieri dos Santos,111,Emerson
Emil Krafth,Emil Krafth,333,Krafth
Emile Smith-Rowe,Emile Smith Rowe,23,Smith Rowe
Emiliano Martinez,Emiliano Martinez,12,Martinez
Enda Stevens,Enda Stevens,347,Stevens
Eric Bailly,Eric Bailly,310,Bailly
Eric Dier,Eric Dier,391,Dier
Eric Garcia,Eric Garcia,288,Garcia
Erik Lamela,Erik Lamela,387,Lamela
Erik Pieters,Erik Pieters,83,Pieters
Ethan Ampadu,Ethan Ampadu,509,Ampadu
Ezgjan Alioski,Ezgjan Alioski,201,Alioski
Ezri Konsa Ngoyo,Ezri Konsa Ngoyo,46,Konsa
Fabian Balbuena,Fabian Balbuena,443,Balbuena
Fabian Delph,Fabian Delph,149,Delph
Fabian Schar,Fabian Schar,334,Schar
Fabinho,Fabio Henrique Tavares,253,Fabinho
Fabio Carvalho,Fabio Carvalho,695,Carvalho
Fabio Silva,Fabio Silva,504,Fabio Silva
Federico Fernandez,Federico Fernandez,323,Fernandez
Felipe Anderson,Felipe Anderson Pereira Gomes,440,Felipe Anderson
Femi Seriki,Femi Seriki,705,Seriki
Fernandinho,Fernando Luiz Rosa,266,Fernandinho
Fernando Marcal,Fernando Marcal,505,Marcal
Ferran Torres,Ferran Torres,287,Torres
Fikayo Tomori,Fikayo Tomori,121,Tomori
Filip Krovinovic,Filip Krovinovic,555,Krovinovic
Franck Zambo,Andre-Frank Zambo Anguissa,191.0,Anguissa
Fraser Forster,Fraser Forster,523,Forster
Fred,Frederico Rodrigues de Paula Santos,299,Fred
Gabriel,Gabriel Magalhaes,494,Gabriel
Gabriel Jesus,Gabriel Fernando de Jesus,282,Jesus
Gabriel Martinelli,Gabriel Teodoro Martinelli Silva,26,Martinelli
Gaetano Berardi,Gaetano Berardi,685,Berardi
Gareth Bale,Gareth Bale,543,Bale
Gary Cahill,Gary Cahill,125,Cahill
George Baldock,George Baldock,351,Baldock
Georginio Wijnaldum,Georginio Wijnaldum,243,Wijnaldum
Giovani Lo Celso,Giovani Lo Celso,403,Lo Celso
Grady Diangana,Grady Diangana,446,Diangana
Granit Xhaka,Granit Xhaka,9,Xhaka
Gylfi Sigurdsson,Gylfi Sigurdsson,150,Sigurdsson
Hakim Ziyech,Hakim Ziyech,114,Ziyech
Hal Robson-Kanu,Hal Robson-Kanu,408,Robson-Kanu
Hamza Choudhury,Hamza Choudhury,234,Choudhury
Hannibal Mejbri,Hannibal Mejbri,712,Mejbri
Harrison Reed,Harrison Reed,373,Reed
Harry Kane,Harry Kane,388,Kane
Harry Maguire,Harry Maguire,298,Maguire
Harry Winks,Harry Winks,397,Winks
Harvey Barnes,Harvey Barnes,235,Barnes
Hector Bellerin,Hector Bellerin,11,Bellerin
Helder Costa,Helder Wander Sousa de Azevedo e Costa,205,Costa
Hugo Lloris,Hugo Lloris,383,Lloris
Ian Poveda-Ocampo,Ian Carlo Poveda-Ocampo,209,Poveda-Ocampo
Ibrahima Diallo,Ibrahima Diallo,565,Diallo
Iliman Ndiaye,Iliman Ndiaye,656,Ndiaye
Ilkay Gundogan,Ilkay Gundogan,271,Gundogan
Illan Meslier,Illan Meslier,213,Meslier
Isaac Hayden,Isaac Hayden,336,Hayden
Islam Slimani,Islam Slimani,579,Slimani
Issa Diop,Issa Diop,451,Diop
Ivan Cavaleiro,Ivan Ricardo Neves Abreu Cavaleiro,187,Cavaleiro
Jack Butland,Jack Butland,586,Butland
Jack Cork,Jack Cork,84,Cork
Jack Grealish,Jack Grealish,37,Grealish
Jack Harrison,Jack Harrison,203,Harrison
Jack O&#039;Connell,Jack O'Connell,354,O'Connell
Jack Robinson,Jack Robinson,352,Jack Robinson
Jack Stephens,Jack Stephens,367,Stephens
Jacob Murphy,Jacob Murphy,497,Murphy
Jacob Ramsey,Jacob Ramsey,554,Ramsey
Jaden Philogene-Bidace,Jaden Philogene-Bidace,683,Philogene-Bidace
Jairo Riedewald,Jairo Riedewald,144,Riedewald
Jake Livermore,Jake Livermore,409,Livermore
Jake Vokins,Jake Vokins,380,Vokins
Jakub Moder,Jakub Moder,628,Moder
Jamaal Lascelles,Jamaal Lascelles,328,Lascelles
Jamal Lewis,Jamal Lewis,513,Lewis
James Justin,James Justin,239,Justin
James Maddison,James Maddison,231,Maddison
James McArthur,James McArthur,130,McArthur
James McCarthy,James McCarthy,131,McCarthy
James Milner,James Milner,241,Milner
James Rodriguez,James Rodriguez,508,Rodriguez
James Tarkowski,James Tarkowski,81,Tarkowski
James Tomkins,James Tomkins,129,Tomkins
James Ward-Prowse,James Ward-Prowse,370,Ward-Prowse
Jamie Shackleton,Jamie Shackleton,210,Shackleton
Jamie Vardy,Jamie Vardy,224,Vardy
Jan Bednarek,Jan Bednarek,376,Bednarek
Jannik Vestergaard,Jannik Vestergaard,369,Vestergaard
Japhet Tanganga,Japhet Tanganga,402,Tanganga
Jarrod Bowen,Jarrod Bowen,445,Bowen
Javier Manquillo,Javier Manquillo,332,Manquillo
Jay Rodriguez,Jay Rodriguez,86,Rodriguez
Jayden Bogle,Jayden Bogle,510,Bogle
Jayson Molumby,Jayson Molumby,550,Molumby
Jean-Philippe Gbamin,Jean-Philippe Gbamin,161,Gbamin
Jean-Philippe Mateta,Jean-Philippe Mateta,641,Mateta
Jeff Hendrick,Jeff Hendrick,485,Hendrick
Jeffrey Schlupp,Jeffrey Schlupp,142,Schlupp
Jesse Lingard,Jesse Lingard,301,Lingard
Jimmy Dunne,Jimmy Dunne,519,Dunne
Joachim Andersen,Joachim Andersen,571,Andersen
Joao Cancelo,Joao Pedro Cavaco Cancelo,277,Cancelo
Joao Moutinho,Joao Filipe Iria Santos Moutinho,454,Moutinho
Joao Virginia,Joao Virginia,167,Virginia
Joe Bryan,Joe Bryan,182,Bryan
Joe Rodon,Joe Rodon,584,Rodon
Joe Willock,Joseph Willock,20,Willock
Joel Matip,Joel Matip,246,Matip
Joel Mumbongo,Joel Mumbongo,613,Mumbongo
Joel Veltman,Joel Veltman,67,Veltman
Joel Ward,Joel Ward,134,Ward
Joelinton,Joelinton Cassio Apolinario de Lira,340,Joelinton
Johann Berg Gudmundsson,Johann Berg Gudmundsson,90,Gudmundsson
John Egan,John Egan,353,Egan
John Fleck,John Fleck,346,Fleck
John Lundstram,John Lundstram,355,Lundstram
John McGinn,John McGinn,38,McGinn
John Ruddy,John Ruddy,453,Ruddy
John Stones,John Stones,273,Stones
Jonjo Shelvey,Jonjo Shelvey,321,Shelvey
Jonjoe Kenny,Jonjoe Kenny,160,Kenny
Jonny,Jonathan Castro Otto,462,Jonny
Jonny Evans,Jonny Evans,219,Evans
Jordan Ayew,Jordan Ayew,140,Ayew
Jordan Henderson,Jordan Henderson,244,Henderson
Jordan Pickford,Jordan Pickford,157,Pickford
Jorginho,Jorge Luiz Frello Filho,105,Jorginho
Jose Izquierdo,Jose Izquierdo,72,Izquierdo
Joseph Gomez,Joseph Gomez,260,Gomez
Josh Benson,Josh Benson,535,Benson
Josh Brownhill,Josh Brownhill,98,Brownhill
Josh Maja,Josh Maja,665,Maja
Josh Onomah,Josh Onomah,188,Onomah
Joshua King,Joshua King,651,King
Juan Mata,Juan Mata,290,Mata
Kai Havertz,Kai Havertz,500,Havertz
Kalvin Phillips,Kalvin Phillips,204,Phillips
Kamil Grosicki,Kamil Grosicki,410,Grosicki
Karl Darlow,Karl Darlow,325,Darlow
Karlan Grant,Karlan Grant,582,Grant
Kasper Schmeichel,Kasper Schmeichel,217,Schmeichel
Kayne Ramsay,Kayne Ramsay,598,Ramsay
Kean Bryan,Kean Bryan,603,Bryan
Keinan Davis,Keinan Davis,50,Davis
Kelechi Iheanacho,Kelechi Iheanacho,233,Iheanacho
Kenny Tete,Kenny Tete,517,Tete
Kepa,Kepa Arrizabalaga,112,Arrizabalaga
Kevin De Bruyne,Kevin De Bruyne,272,De Bruyne
Kevin Long,Kevin Long,85,Long
Ki-Jana Hoever,Ki-Jana Hoever,545,Hoever
Kieran Gibbs,Kieran Gibbs,407,Gibbs
Kieran Tierney,Kieran Tierney,17,Tierney
Kiko Casilla,Francisco Casilla Cortes,194,Casilla
Konstantinos Tsimikas,Konstantinos Tsimikas,242,Tsimikas
Kortney Hause,Kortney Hause,39,Hause
Kurt Zouma,Kurt Zouma,110,Zouma
Kyle Bartley,Kyle Bartley,412,Bartley
Kyle Edwards,Kyle Edwards,421,Edwards
Kyle Walker,Kyle Walker,270,Walker
Kyle Walker-Peters,Kyle Walker-Peters,375,Walker-Peters
Leander Dendoncker,Leander Dendoncker,464,Dendoncker
Leandro Trossard,Leandro Trossard,69,Trossard
Lee Peltier,Lee Peltier,600,Peltier
Leif Davis,Leif Davis,214,Davis
Lewis Dunk,Lewis Dunk,62,Dunk
Lewis Richardson,Lewis Richardson,592,Richardson
Liam Cooper,Liam Cooper,195,Cooper
Liam Delap,Liam Delap,539,Delap
Lucas Digne,Lucas Digne,155,Digne
Lucas Moura,Lucas Rodrigues Moura da Silva,392,Lucas Moura
Luka Milivojevic,Luka Milivojevic,138,Milivojevic
Lukasz Fabianski,Lukasz Fabianski,431,Fabianski
Luke Ayling,Luke Ayling,197,Ayling
Luke Shaw,Luke Shaw,300,Shaw
Luke Thomas,Luke Thomas,240,Thomas
Lys Mousset,Lys Mousset,359,Mousset
Mamadou Sakho,Mamadou Sakho,127,Sakho
Manuel Lanzini,Manuel Lanzini,439,Lanzini
Marc Albrighton,Marc Albrighton,221,Albrighton
Marcos Alonso,Marcos Alonso,104,Alonso
Marcus Rashford,Marcus Rashford,306,Rashford
Marek Rodak,Marek Rodak,186,Rodak
Mario Lemina,Mario Lemina,493,Lemina
Mark Noble,Mark Noble,427,Noble
Martin Dubravka,Martin Dubravka,326,Dubravka
Martin Kelly,Martin Kelly,135,Kelly
Martin Odegaard,Martin Ødegaard,645,Ødegaard
Marvelous Nakamba,Marvelous Nakamba,44,Nakamba
Mason Greenwood,Mason Greenwood,315,Greenwood
Mason Holgate,Mason Holgate,165,Holgate
Mason Mount,Mason Mount,120,Mount
Mat Ryan,Mathew Ryan,70,Ryan
Matej Vydra,Matej Vydra,93,Vydra
Mateo Kovacic,Mateo Kovacic,107,Kovacic
Mateusz Klich,Mateusz Klich,198,Klich
Matheus Pereira,Matheus Pereira,481,Pereira
Matt Doherty,Matt Doherty,457,Doherty
Matt Phillips,Matt Phillips,411,Phillips
Matt Ritchie,Matt Ritchie,322,Ritchie
Matt Targett,Matt Targett,42,Targett
Matthew Cash,Matthew Cash,496,Cash
Matthew Longstaff,Matthew Longstaff,487,Matty Longstaff
Matthew Lowton,Matthew Lowton,92,Lowton
Max Kilman,Max Kilman,470,Kilman
Max Lowe,Max Lowe,511,Lowe
Maxime Le Marchand,Maxime Le Marchand,173,Le Marchand
Mbaye Diagne,Mbaye Diagne,648,Diagne
Michael Hector,Michael Hector,178,Hector
Michael Keane,Michael Keane,156,Keane
Michael Obafemi,Michael Obafemi,381,Obafemi
Michail Antonio,Michail Antonio,437,Antonio
Michy Batshuayi,Michy Batshuayi,108,Batshuayi
Miguel Almiron,Miguel Almiron,339,Almiron
Mohamed Elneny,Mohamed Naser El Sayed Elneny,526,Elneny
Mohamed Salah,Mohamed Salah,254,Salah
Mohammed Salisu,Mohammed Salisu,479,Salisu
Moise Kean,Moise Kean,169,Kean
Morgan Gibbs-White,Morgan Gibbs-White,473,Gibbs-White
Morgan Sanson,Morgan Sanson,647,Sanson
Moussa Djenepo,Moussa Djenepo,382,Djenepo
Moussa Sissoko,Moussa Sissoko,385,Sissoko
N&#039;Golo Kante,N'Golo Kante,113,Kante
Naby Keita,Naby Keita,261,Keita
Nampalys Mendy,Nampalys Mendy,518,Mendy
Nathan Ake,Nathan Ake,279,Ake
Nathan Broadhead,Nathan Broadhead,680,Broadhead
Nathan Redmond,Nathan Redmond,365,Redmond
Nathan Tella,Nathan Tella,524,Tella
Nathaniel Clyne,Nathaniel Clyne,577,Clyne
Nathaniel Phillips,Nathaniel Phillips,589,Phillips
Neal Maupay,Neal Maupay,68,Maupay
Neco Williams,Neco Williams,264,Neco Williams
Neeskens Kebano,Neeskens Kebano,180,Kebano
Neil Taylor,Neil Taylor,31,Taylor
Nelson Semedo,Nelson Cabral Semedo,546,Semedo
Nemanja Matic,Nemanja Matic,295,Matic
Niall Huggins,Niall Huggins,619,Huggins
Nick Pope,Nick Pope,96,Pope
Nicolas Pepe,Nicolas Pepe,18,Pepe
Niels Nkounkou,Niels Nkounkou,559,Nkounkou
Odion Ighalo,Odion Ighalo,293,Ighalo
Okay Yokuslu,Okay Yokuslu,654,Yokuslu
Ola Aina,Ola Aina,562,Aina
Oleksandr Zinchenko,Oleksandr Zinchenko,283,Zinchenko
Oliver Burke,Oliver Burke,424,Burke
Oliver McBurnie,Oliver McBurnie,357,McBurnie
Oliver Norwood,Oliver Norwood,349,Norwood
Olivier Giroud,Olivier Giroud,103,Giroud
Ollie Watkins,Ollie Watkins,514,Watkins
Oriol Romeu,Oriol Romeu Vidal,364,Oriol Romeu
Oskar Buur,Oskar Buur,467,Buur
Owen Otasowie,Owen Otasowie,581,Otasowie
Ozan Kabak,Ozan Kabak,652,Kabak
Pablo Fornals,Pablo Fornals,450,Fornals
Pablo Hernandez,Pablo Hernandez Dominguez,193,Hernandez
Pablo Mari,Pablo Mari,10,Mari
Pascal Groß,Pascal Groß,57,Groß
Pascal Struijk,Pascal Struijk,211,Struijk
Patrick Bamford,Patrick Bamford,202,Bamford
Patrick Cutrone,Patrick Cutrone,626,Cutrone
Patrick van Aanholt,Patrick van Aanholt,139,van Aanholt
Paul Dummett,Paul Dummett,331,Dummett
Paul Pogba,Paul Pogba,296,Pogba
Pedro Neto,Pedro Lomba Neto,474,Neto
Percy Tau,Percy Tau,627,Tau
Phil Bardsley,Phil Bardsley,82,Bardsley
Phil Foden,Phil Foden,284,Foden
Phil Jagielka,Phil Jagielka,529,Jagielka
Pierre-Emerick Aubameyang,Pierre-Emerick Aubameyang,4,Aubameyang
Pierre-Emile Højbjerg,Pierre-Emile Højbjerg,396,Højbjerg
Raheem Sterling,Raheem Sterling,276,Sterling
Raphinha,Raphael Dias Belloli,570,Raphinha
Raul Jimenez,Raul Jimenez,460,Jimenez
Rayan Ait Nouri,Rayan Ait Nouri,563,Ait Nouri
Reda Khadra,Reda Khadra,630,Khadra
Reece James,Reece James,123,James
Reiss Nelson,Reiss Nelson,21,Nelson
Rekeem Harper,Rekeem Harper,426,Harper
Rhian Brewster,Rhian Brewster,262,Brewster
Rhys Williams,Rhys Williams,594,Rhys Williams
Ricardo Pereira,Ricardo Domingos Barbosa Pereira,226,Pereira
Richarlison,Richarlison de Andrade,166,Richarlison
Riyad Mahrez,Riyad Mahrez,275,Mahrez
Rob Holding,Rob Holding,16,Holding
Robbie Brady,Robbie Brady,95,Brady
Robert Sanchez,Robert Sanchez,597,Sanchez
Robert Snodgrass,Robert Snodgrass,428,Snodgrass
Roberto Firmino,Roberto Firmino,249,Firmino
Robin Koch,Robin Koch,491,Koch
Robin Olsen,Robin Olsen,573,Olsen
Rodri,Rodrigo Hernandez,286,Rodrigo
Rodrigo,Rodrigo Moreno,492,Rodrigo
Romain Saiss,Romain Saiss,461,Saiss
Romaine Sawyers,Romaine Sawyers,413,Sawyers
Ross Barkley,Ross Barkley,106,Barkley
Ruben Dias,Ruben Santos Gato Alves Dias,556,Dias
Ruben Loftus-Cheek,Ruben Loftus-Cheek,115,Loftus-Cheek
Ruben Neves,Ruben Diogo da Silva Neves,466,Neves
Ruben Vinagre,Ruben Goncalo Silva Nascimento Vinagre,471,Vinagre
Rui Patricio,Rui Pedro dos Santos Patricio,455,Patricio
Runar Alex Runarsson,Runar Alex Runarsson,547,Runarsson
Ryan Bertrand,Ryan Bertrand,362,Bertrand
Ryan Fraser,Ryan Fraser,507,Fraser
Ryan Fredericks,Ryan Fredericks,438,Fredericks
Sadio Mane,Sadio Mane,251,Mane
Said Benrahma,Said Benrahma,587,Benrahma
Sam Field,Sam Field,423,Field
Sam Johnstone,Sam Johnstone,417,Johnstone
Sander Berge,Sander Berge,360,Berge
Scott Carson,Scott Carson,608,Carson
Scott Dann,Scott Dann,486,Dann
Scott McTominay,Scott McTominay,309,McTominay
Sead Kolasinac,Sead Kolasinac,14,Kolasinac
Seamus Coleman,Seamus Coleman,152,Coleman
Sean Longstaff,Sean Longstaff,480,Sean Longstaff
Sebastien Haller,Sebastien Haller,441,Haller
Semi Ajayi,Oluwasemilogo Adesewo Ibidapo Ajayi,419,Ajayi
Serge Aurier,Serge Aurier,389,Aurier
Sergio Aguero,Sergio Aguero,268,Aguero
Sergio Reguilon,Sergio Reguilon,542,Reguilon
Shane Long,Shane Long,361,Long
Shkodran Mustafi,Shkodran Mustafi,7,Mustafi
Shola Shoretire,Shola Shoretire,673,Shoretire
Sidnei Tavares,Sidnei Tavares,676,Tavares
Solly March,Solomon March,65,March
Son Heung-Min,Heung-Min Son,390,Son
Steven Alzate,Steven Alzate,79,Alzate
Steven Bergwijn,Steven Bergwijn,400,Bergwijn
Stuart Armstrong,Stuart Armstrong,368,Armstrong
Stuart Dallas,Stuart Dallas,200,Dallas
Takumi Minamino,Takumi Minamino,258,Minamino
Tammy Abraham,Tammy Abraham,118,Abraham
Tanguy NDombele Alvaro,Tanguy Ndombele,405,Ndombele
Tariq Lamptey,Tariq Lamptey,77,Lamptey
Terence Kongolo,Terence Kongolo,585,Kongolo
Thakgalo Leshabela,Thakgalo Leshabela,661,Leshabela
Theo Corbeanu,Theo Corbeanu,610,Corbeanu
Theo Walcott,Theo Walcott,148,Walcott
Thiago Alcantara,Thiago Alcantara do Nascimento,531,Thiago
Thiago Silva,Thiago Thiago,490,Thiago Silva
Thomas Partey,Thomas Partey,567,Partey
Tim Ream,Tim Ream,176,Ream
Timo Werner,Timo Werner,117,Werner
Timothy Castagne,Timothy Castagne,498,Castagne
Timothy Fosu-Mensah,Timothy Fosu-Mensah,312,Fosu-Mensah
Toby Alderweireld,Toby Alderweireld,386,Alderweireld
Tom Cairney,Tom Cairney,175,Cairney
Tom Davies,Tom Davies,163,Davies
Tomas Soucek,Tomas Soucek,449,Soucek
Tosin Adarabioyo,Tosin Adarabioyo,572,Adarabioyo
Trent Alexander-Arnold,Trent Alexander-Arnold,259,Alexander-Arnold
Trezeguet,Mahmoud Ahmed Ibrahim Hassan,40,Trezeguet
Tyler Roberts,Tyler Roberts,206,Roberts
Tyrese Francois,Tyrese Francois,708,Francois
Tyrick Mitchell,Tyrick Mitchell,146,Mitchell
Tyrone Mings,Tyrone Mings,41,Mings
Vicente Guaita,Vicente Guaita,128,Guaita
Victor Lindelof,Victor Lindelof,308,Lindelof
Virgil van Dijk,Virgil van Dijk,250,van Dijk
Vitinha,Vitor Ferreira,515,Vitinha
Vladimir Coufal,Vladimir Coufal,558,Coufal
Wes Morgan,Wes Morgan,216,Morgan
Wesley,Wesley Moraes,48,Wesley
Wesley Fofana,Wesley Fofana,561,Fofana
Wilfred Ndidi,Wilfred Ndidi,236,Ndidi
Wilfried Zaha,Wilfried Zaha,141,Zaha
Will Norris,Will Norris,583,Norris
William Fish,William Fish,713,Fish
William Smallbone,William Smallbone,379,Smallbone
Willian,Willian Borges Da Silva,478,Willian
Willian Jose,Willian Jose Da Silva,642,Willian Jose
Willy Boly,Willy Boly,458,Boly
Willy Caballero,Willy Caballero,101,Caballero
Xherdan Shaqiri,Xherdan Shaqiri,247,Shaqiri
Yan Valery,Yan Valery,378,Valery
Yerry Mina,Yerry Mina,162,Mina
Youri Tielemans,Youri Tielemans,228,Tielemans
Yves Bissouma,Yves Bissouma,76,Bissouma
Zack Steffen,Zack Steffen,538,Steffen
