Name,GW24*,GW25,GW25*,GW26,GW27,GW28,GW29,GW30,GW31,GW32,GW33,GW34,GW35,GW36,GW37,GW38
Jack Harrison,,17.20059712719995,17.79502867184453,20.592222365761476,16.54902497041941,13.243116640231854,19.597183156442025,20.772145020571028,10.163056481619167,13.164787878778682,17.737622069806655,15.405380196164188,20.665944026234378,23.25411415181588,17.79502867184453,26.46413132950123
Aaron Connolly,,21.411299449531594,,27.38496378726202,17.140563236017982,18.41421544143071,23.452951839016137,18.354811348457346,21.254708905078918,13.703917393236102,21.49492201687973,23.585600733724807,17.799100359003976,17.124856428755177,10.516685027435013,16.44245773103967
Theo Walcott,,13.447519160529932,23.144317692393486,20.857036499184517,21.092755259803017,15.643156440517414,,23.613032650312704,26.872595234804013,21.01069725810915,,16.81986587662843,13.367981424128656,19.89965830158653,23.144317692393486,16.80445294136646
Pablo Fornals,,20.183298004290243,,9.925701789502504,22.260212110424025,17.323366000987686,15.518476753753692,16.798883091394565,16.177352344488654,22.135017396676236,12.933828201415022,22.711022305880313,20.06030433203447,15.045592834949195,25.846070635338098,17.379431891559793
Oliver Burke,,20.059490728883603,,13.475351957164907,18.214822498392728,16.954961663155494,,23.330210958440915,16.264415389339185,17.606368009624315,15.768800993131483,21.15346421414676,21.179453459400293,21.02455850983243,23.198998413469266,23.80269059655209
Edinson Cavani,,24.37816587646909,,14.244534063894376,10.93156604887928,17.80042842779423,,16.57030357226112,22.228660491438234,25.012542754092234,24.516047742288585,14.160282241531599,22.149364149619206,17.81675486531351,21.079082108230097,18.501271139860158
Fabio Silva,,21.836898467477518,,21.714084532048073,19.728849492331346,12.612826048864797,,15.855171777335476,18.77552942561178,19.901228505822395,22.27913578388084,25.354566140132757,14.759476751164453,19.79948021484204,19.678825464569744,16.993934406463943
Mason Mount,,18.279227568106442,,18.220258944795237,21.098898413866372,23.412703327682866,,27.184214641339278,21.254341050353833,15.824557272247237,16.999320374414243,20.130418287959696,10.43959105887632,16.3219240917762,17.0149120408221,21.15253229978577
Mason Greenwood,,23.825024665872522,,13.921325219701057,10.68352853413622,17.396536249047852,,16.19432295811819,21.724291613300338,24.44500751583005,23.95977798861108,13.83898507335414,21.64679450751621,17.412492239280002,20.60079719316742,18.081476821955555
Ruben Loftus-Cheek,21.736355586435305,19.41638058162175,,19.34084424836273,12.305543384063133,9.499730159028653,21.304892370977534,19.248201188613546,16.07794186503725,14.85248547319172,,12.378759753453764,21.736355586435305,16.63357582046701,16.579916054854873,21.18507051624494
Ferran Torres,20.41235112307192,15.790817085810568,,16.44617124219553,17.627381100144284,19.47538484180239,,16.461255563806453,22.65086601634575,20.464239789959002,,20.562735736203802,13.160809439524487,22.52347420745423,15.309634326500323,20.41235112307192
Helder Wander Sousa de Azevedo e Costa,,15.079483309123708,15.600611761211566,18.052865907267083,14.508260613178772,11.610024632305503,17.180531241331046,18.21060116785542,8.909786064456565,11.541355083090282,15.55028432834037,13.505645869201244,18.117496486101118,20.386503074724835,15.600611761211566,23.200672844236
Bernardo Mota Veiga de Carvalho e Silva,19.663075430145977,15.211183934171105,,15.842482020940341,16.980333236395182,18.76050234814162,,15.857012642712418,21.81942120984391,19.71305942095717,,19.807939878818093,12.67771591674454,21.696705569087296,14.747663939097688,19.663075430145977
