,Teams,xG av adj,Matches,GW38,GW37*,GW37,GW36*,GW36,GW35,GW34*,GW34,GW33,GW32,GW31,GW30,GW29*,GW29,GW28,GW27*,GW27,GW26,GW25*,GW25,GW24,GW23*,GW23,GW22*,GW22,GW21,GW20*,GW20,GW19*,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW6,GW5,GW4,GW3,GW2,GW1
11,West Ham,132.31935901712367,38,92.3041136354202,,203.0154220229614,,22.10926014206164,199.4817989620313,82.43911881429445,226.1125349512436,94.32232668283534,209.04678630880258,246.89434446634107,95.17281778185294,113.26910418719959,127.72546791446594,,,223.2133576582153,28.064767821471992,,250.4518329073826,40.156253235339484,,113.46010630348027,,173.73352962439674,207.8580721468103,,66.73676239726487,,105.91205224788563,123.94703037374134,129.24387134630467,68.55817073067877,21.149896177529342,112.87677323876619,164.74626757673798,249.67474545308303,152.45532560068898,287.24240456296354,94.36183899196709,53.80647628932908,146.87757678064256,167.67280417168135,34.79635404313562,86.41618600945876,172.00009497847785,40.82999611375611
12,Leeds,130.58956171406118,38,131.81069365567456,,66.8901883540171,,280.2775736613368,23.372150450363797,,111.51194435721125,199.76014943098784,82.98998860659208,117.22925983934924,112.1031153764715,200.93442732942168,62.65160403381049,150.23717071482534,,66.97722571302451,65.59569129543338,,63.51142391281219,49.048675061455924,,233.41490565838927,64.14262984092898,92.66080363660888,40.75079252309879,,289.94135647021085,,130.55616988444223,70.27829561382177,100.24717511483068,188.86882104857807,184.31060067784716,161.93649338692705,156.2291669794489,113.63942683207847,254.62177406577624,120.99626852224893,31.05627728905899,,195.30668756408238,85.83975046105935,129.34167074499967,273.7701528247404,179.00677344868788,80.58607075367375
13,Everton,130.55832027970482,38,93.5089001392078,,223.83607774254233,,205.11513397653852,330.2322995889714,,315.3534049549889,105.83729579905774,47.632316089215905,174.58618561354703,107.24069584707152,,90.5413189140568,173.0081746300095,,193.85584007458377,140.62215356127567,206.67560222438482,162.76375328471562,126.20685318176437,,40.3991397865211,,263.3822439927371,29.341040979872126,,104.27401351617398,,131.20228832067917,12.604863528184266,111.5470303925622,63.79471175929899,130.59640183106274,92.01159793885567,212.39661165836668,8.284547824607793,61.58470114234592,41.27737093240655,180.20980544601716,40.68617729065599,140.4131976657491,96.0562483680674,181.66942841994432,118.30784439702661,147.1452550909433,57.015644724772834
14,Leicester,129.7138493221383,38,207.67394541654434,,11.403724174193338,,52.96716745660277,247.3479019100356,,276.98878345582597,170.99790143565556,246.2148500916747,327.3757125362022,60.60689203239239,69.8442882657068,21.85055552813738,154.56271705340689,,244.57901966423955,147.34639875704107,,2.5617099134120878,157.74357178140355,,156.1758000316182,,259.7683072219103,163.1939872676776,,65.96616458159731,,112.19725512680827,86.68738317210544,42.59577955169235,164.87394477386144,186.20157579621926,115.03271118565272,89.64056690337475,53.63927155224493,106.90623217767752,97.80790231491974,102.78165810142494,175.33853541504186,119.58929589053542,69.5025008813299,202.81336503124783,21.429101674755874,87.36514187218731,49.55465424489782
15,Fulham,129.197363455502,38,212.30374096329845,,214.72772897448834,,112.09489028284378,167.70674630256107,74.31787282684351,71.61592754049963,8.3056408384681,117.7790510403569,158.7139839547207,46.70040831126191,,49.7670237925424,,,77.96564646905374,188.94641316702675,,82.75783680987406,25.165505932676343,,140.69666841690338,,51.297052469267165,120.23485751500958,,134.87167852785285,73.78697120417043,126.98423808570868,131.69360568559722,305.5611750870643,192.0525658742629,139.95755952933754,145.09852215393187,202.6150012151786,302.7509197492238,133.91910871076988,56.247136688338976,92.92089184267564,110.81062886314352,41.957798979687475,121.50094567940465,117.03096556858331,332.219034481324,99.0792708410518,127.3447969340731
16,Nott'm Forest,108.52012960125352,38,47.931782660544094,,143.49440451624525,,204.13374943171277,168.75836346865975,,104.89918851356775,273.690277981373,72.76558545057416,118.7948392601702,24.174391232286546,51.54624307073614,102.82970460438851,72.48309968004557,,179.02885297052677,67.54758539721595,,35.89035941425795,186.9696375725638,,53.03153328614654,,27.21875694011676,134.66929355560274,,166.76527393560673,,109.59311956839552,102.75018994645754,55.153185609261335,135.9099358731928,141.0378143068102,25.9524854003424,292.07337230581953,21.88692121982358,113.07199307143729,23.019365782582387,116.21245509856458,110.79420973044343,110.03728918338541,121.02882591540538,88.57071276657705,75.82560880054406,211.90992084168258,32.31459648456825
17,Crystal Palace,107.87801158751066,38,82.75200232754442,,163.87471827995628,,116.11700388339825,33.72280896486932,,237.2111016643618,52.59243127226853,30.22521221431192,76.12571029848245,269.5791434536059,,186.6267394060786,150.07212103464158,136.315881156871,30.76466748954517,15.88676262159424,,99.31654330712892,123.11515026955546,,104.18900105444237,,159.2563666240806,45.278522721659876,46.635968732501404,86.63720799485424,,86.60007446145563,145.19339366068832,32.56468656198023,94.05512814283024,105.84682823734435,88.54323721590796,49.02934098916218,113.8477191730064,32.9898697248066,135.2292539066008,73.44597518568658,,125.19812798316602,84.53450977937412,15.25415761602127,350.36243054651777,168.01576871394366,152.3588736551604
18,Bournemouth,106.8818050427095,38,35.47552219037696,,92.03605457803108,,28.77654052359351,125.97270709330314,,206.82347209708195,87.78863679634964,99.70634147626446,132.61512126053583,186.76044266638397,130.33144547665114,271.28721089826234,52.01310695841557,,110.58199053251913,219.4120079826867,,185.9441431266056,104.47364380659617,,220.06571394193782,,102.67843755090983,148.83551934560575,,29.319078854954128,,76.61238550348413,98.38305487031774,45.84182797307185,213.1595232483077,127.58472413625483,97.59759740628041,74.72111939848614,71.48543693497805,125.72477349728914,110.19036816184003,82.44286233799315,132.77568935599157,74.3098553926284,32.8114834184191,18.173777064698605,26.608226086718627,20.55636013740225,61.632389541735485
19,Southampton,106.68899248122436,38,134.5613211968059,,96.93598435709872,,11.554830998936428,274.1636923672472,,121.93393012505388,39.498577311092205,185.6905698445267,74.51038539102652,81.73071060829032,,32.55677846340139,279.89224619974533,39.037021373179016,133.4893632156496,127.78289423415742,,32.01804602550555,64.5019315559157,,118.40980537026014,,72.49162552856528,69.9324547263846,,89.00936871482222,,51.67535392195134,53.949351340632255,223.08032090949993,144.0187015288161,224.55864529680994,149.14486570109236,78.39542284133164,103.37402334403737,54.09929354694711,16.99225831507631,164.13739806984043,22.702767205348355,109.51594074088533,149.07679754273036,153.80443464580185,118.10122471947727,115.3468634842885,42.506513524295606
20,Wolves,92.4899452770469,38,48.816046741254134,,111.19488978576317,,31.051609312763173,83.82700099291044,,67.79057092274746,124.10239505092412,56.81711564932261,102.32052696327352,62.19763233734012,,31.711431072135706,226.6414457935683,,96.48096718634085,62.08667967545593,79.00555424369178,76.98850658869561,75.46546187167148,,55.5872287901858,,281.6400886880599,78.33469748562905,,82.5097099352119,,86.58005152083344,66.30560011209545,100.22814978106825,64.5063434574296,145.0706987741402,60.65682936735668,155.0542396574334,94.21171697386444,100.47224523854366,77.43757648712825,58.92110583229433,51.578410127435745,97.05907257217216,126.8883699460946,153.91374355401342,75.60159815521004,75.31137491882853,90.25123496489469
