,Teams,xA av,Matches,GW38,GW37*,GW37,GW36*,GW36,GW35,GW34*,GW34,GW33,GW32,GW31,GW30,GW29*,GW29,GW28,GW27*,GW27,GW26,GW25*,GW25,GW24,GW23*,GW23,GW22*,GW22,GW21,GW20*,GW20,GW19*,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW6,GW5,GW4,GW3,GW2,GW1
11,Leicester,96.16720362958547,38,151.5763934701681,,8.390722423791884,,45.19026093184948,108.09167735278606,,258.105050958693,187.1842548251152,111.42673846334219,81.74742832779886,51.5968207269907,55.33936116844416,19.895849749445915,69.72923092544079,,218.7723634764552,160.8753953129053,,2.0346300676465034,124.332488514483,,121.20885159820318,,216.39970242977142,24.028289876878258,,80.34212049096823,,129.79470007121563,84.14047956466675,25.26776986196637,85.05704086273909,211.64520010352135,59.998391568660736,97.67726846039295,57.38468915224075,82.66597017645836,103.12180761247875,98.85796867311001,76.79730989038944,98.92542026937008,45.87805047631264,194.27570961415768,11.786319874227047,67.26318113505842,27.548829466104507
12,Everton,91.65281325970825,38,44.173649698495865,,211.72084622085094,,110.42276173830032,287.98405826091766,,138.89515660703182,61.4697977900505,37.75240909308195,155.6332567706704,82.12593849748373,,68.88124914839864,160.60268115252256,,58.78077931702137,91.03202670812607,92.79111847281456,71.77988067269325,148.3979994431138,,38.494180329144,,206.21347967535257,14.188250061124563,,61.73784006386995,,38.48023060709238,7.600189745426178,98.32498859614134,57.63002969324589,121.9772931188345,106.54707849025725,105.99701888859273,6.095670163631438,20.8187198266387,28.680989984422922,181.25813100486997,32.22931865602732,120.7070205360651,109.73320007324219,114.12449143826962,94.60310935974121,58.07031989097595,36.85174407437444
13,West Ham,87.99004164328308,38,95.89871764183044,,228.3113201148808,,13.77041507512331,152.65387082472444,35.13665683567523,74.52048342674969,37.409840896725655,232.48395640403032,100.93285143375397,83.6386376991868,72.63102754950523,100.51420032978058,,,117.61337798088789,25.004459172487262,,298.39788004755974,23.96164014935493,,83.88787917792797,,65.00553153455257,173.4154311940074,,51.057520136237144,,28.42278964817524,87.37970814108849,24.635559879243374,57.54308011382818,15.632930025458336,95.14440167695284,102.0274082198739,164.03129994869232,125.35906005650759,136.90518960356712,67.52508990466595,42.55666024982929,42.66894031316041,131.16521667689085,12.762279901653528,58.25557000935078,70.69454044103622,14.666160009801388
14,Leeds,85.9535173047334,38,82.21567561849952,,48.19950796663761,,22.267331928014755,9.794891253113747,,96.26323133707047,189.25500214099884,37.69079148769379,81.52939956635237,84.88140981644392,146.67175970971584,42.068639397621155,142.8242824971676,,49.224910885095596,41.8127104640007,,50.012339651584625,56.819479167461395,,113.43507990241051,41.640341095626354,107.80668742954731,18.73061005026102,,166.63814820349216,,100.89724101126194,37.79989015311003,39.647819846868515,144.85794864594936,131.18020873516798,76.97091028094292,127.34284996986389,110.27095150202514,90.85365096107125,75.66282972693443,27.16880962252617,,148.3521370217204,44.92714926600457,36.983630526810884,173.34273848682642,199.07773062586782,71.11493162810802
15,Southampton,79.88757074467446,38,77.9081417247653,,44.56566572189331,,8.911576494574547,253.65378446877003,,73.10359282419086,31.10663592815399,127.22382470965385,53.26811075210571,49.28009910508991,,20.65380048006773,168.1994779035449,20.2437000349164,92.01825186610222,45.00598981976509,,39.11284990608692,23.826070688664913,,45.870779268443584,,47.87746053189039,65.42318249121308,,90.33517017960547,,53.584109246730804,63.04988879710436,75.84027210250497,143.4269815683365,159.1089177876711,126.86120122671127,56.83162119239569,106.82467333972454,43.67610961198807,3.845949936658144,171.85372076928616,9.102539904415607,102.54283249378204,139.2394406720996,128.62802892923355,122.7619081735611,119.33184722438453,31.62948042154312
16,Crystal Palace,78.34471774924742,38,84.58307832479477,,72.12534751743078,,123.453463986516,24.495159462094307,,53.80918346345425,54.78649903088808,26.894144900143147,15.33711925148964,321.7321670614183,,154.62005082517862,54.07333038747311,114.56821970641613,18.549800291657448,15.27612954378128,,70.56793123483658,104.90786116570234,,28.753620386123654,,124.00356903672218,23.486199975013733,27.605209499597553,21.498449519276615,,59.518359415233135,160.65316498279572,31.03889971971512,23.30348026007414,75.08211061358452,86.43877021968365,38.181500136852264,121.49698957800865,19.95150037109852,152.15527024120092,70.98692087456584,,73.55822119861841,58.70552025735378,9.197600185871122,184.2091515660286,167.32542105019093,110.16985923051834
17,Fulham,76.3859918561617,38,102.0990064367652,,115.24426564574242,,127.0853579044342,172.25832920521498,68.58095489442348,36.14159822463989,7.986400276422501,23.74393194913864,117.47200656682253,35.15093978494406,,53.44956014305353,,,45.87780945003033,18.441309593617916,,86.56009221449494,16.333070117980245,,162.01222781091928,,31.84046922251582,88.31134811043738,,19.734139740467075,63.25594056397676,119.36581898480654,57.15226940810681,171.2912004441023,67.93852988630533,8.271480072289705,102.47562974691391,235.95980256795883,113.36327642202377,69.45959888398647,32.168540358543396,68.37005913257599,113.4413905441761,25.80576939508319,62.51360811293126,50.37634931504727,146.07400931417942,29.009269922971725,38.052330166101456
18,Bournemouth,75.73526438423677,38,28.045486006885767,,67.64524579048157,,22.685394436120987,121.75505105406046,,138.24792876839638,62.95691952109337,80.41798043996096,75.94416001811624,95.32975032925606,85.83559840917587,131.3674494624138,42.35579036176205,,98.77910390496254,119.30460333824158,,30.99598065018654,104.12898883223534,,159.0527830645442,,72.06034064292908,141.16918817162514,,23.231629189103842,,60.02495810389519,22.571510262787342,30.326399765908718,207.63179399073124,103.60489971935749,88.75334048643708,60.999529622495174,73.30831065773964,100.74381940066814,80.96525967121124,63.02006244659424,92.05874241888523,89.08905871212482,23.232199996709824,13.365029729902743,15.929770283401012,6.88030980527401,44.12567913532257
19,Nott'm Forest,69.23451744706223,38,36.51390615850687,,28.934375941753387,,181.29490949213505,89.64152038097382,,37.555621936917305,79.15090546011925,53.87881621718406,94.45470906794071,11.08619971200824,26.867529563605785,79.57495208829641,5.343269929289819,,84.80053748935461,38.212159648537636,,35.08485015481711,103.82024049758911,,51.24653894454241,,27.939849719405174,149.01954140514138,,151.03750750422478,,117.73317996412517,88.61838057637215,31.07234090566635,46.483019925653934,108.58323946595192,8.975709974765778,220.59172056615353,19.500330090522766,28.718563821166754,18.98403037339449,108.14265049993992,97.7068405598402,49.780650064349174,65.04914164543153,68.59517972916365,44.7024405002594,133.0694429576397,9.146860055625439
20,Wolves,63.129568612203,38,33.45332583412528,,50.940472446382046,,27.521301805973053,78.63443568348885,,57.6536787673831,28.200099244713783,34.32066012173891,20.314650237560272,22.79639020562172,,22.990280017256737,228.52524407207966,,6.038890033960342,39.808009564876556,78.6809492856264,99.7096799314022,89.7820994257927,,29.057980701327324,,165.67373853176832,36.30005996674299,,52.79478020966053,,41.693880409002304,50.781699642539024,58.284870348870754,34.462789818644524,47.22822867333888,36.23459041118622,142.67593920230865,68.40314697474241,44.89647001028061,55.68621940910816,34.750979486852884,20.244849659502506,110.03880351781845,133.73239189386368,67.18024909496307,54.89466078579426,88.323762267828,106.2133495695889
