,Teams,xA av adj,Matches,GW38,GW37*,GW37,GW36*,GW36,GW35,GW34*,GW34,GW33,GW32,GW31,GW30,GW29*,GW29,GW28,GW27*,GW27,GW26,GW25*,GW25,GW24,GW23*,GW23,GW22*,GW22,GW21,GW20*,GW20,GW19*,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW6,GW5,GW4,GW3,GW2,GW1
11,Leicester,94.81023199160042,38,155.05615845395107,,11.403724174193338,,45.37669140169366,83.46049986929677,,211.9125871472019,153.23062009745675,100.98685303204265,135.5775562338755,42.72231848819887,57.55144272599067,21.85055552813738,75.82722672840323,,226.35074926572835,141.89918763346455,,2.5617099134120878,140.28129502934462,,133.28729360002654,,225.04985271514215,26.969059571137457,,65.96614668815846,,100.21798915168644,84.48759747933894,34.34110478804783,87.00970978197029,173.76754830885608,99.50692606774032,88.52560965720299,46.97559370638822,90.78764638732538,85.38515834551184,81.16887160722683,84.45014911109266,111.03268547262365,51.763078268067424,201.0055188713463,10.396053492754412,84.68800331876791,29.958043568013395
12,Everton,93.17433471053273,38,36.57591116303143,,191.8841229312193,,183.13540248682406,323.2297954857888,,132.12308921130906,83.54282070558477,41.46146666755557,120.16863577732212,92.6606806119329,,75.7452542262622,166.16603960065868,,63.92130561872877,74.74326032785838,116.82906482521481,74.64913949473936,121.47986216648057,,38.652986407645116,,259.6339863268611,14.513972125184456,,54.45549541164138,,43.18974162836297,12.60486321926583,89.11264306638994,47.717833160043355,116.03008466371435,82.26787342180941,116.41089856474834,8.284547824607793,22.893301811886985,32.36005701976953,159.87765867816253,32.96921259295819,121.20499213631692,89.82852915813261,124.1049639111401,77.67535323992514,60.39156612438754,38.12830720677953
13,Leeds,85.60596876604366,38,90.40845408727506,,49.306032249331295,,30.263247736841983,16.24476080579208,,79.70623712740044,180.02755562101262,29.102076821007707,81.86574558325613,93.22074612834494,120.42712784894837,52.966705005643306,129.4426726013657,,55.249439758155205,43.2611239919072,,44.113087364326574,46.65062843989163,,127.98601637104454,46.981774789118504,88.5163562211608,20.368648788929296,,173.29917873658118,,103.21355609300585,51.37335015380854,65.75564069471099,159.2930192546799,108.61759654893989,77.28845044716704,98.32484954949922,104.894505457366,114.38968785410393,83.09646902165748,28.25482907482069,,161.32590278555443,36.886641306493516,41.50997594690597,179.34741899192886,175.59533076378534,64.45197308789734
14,West Ham,85.25376288210819,38,91.22301407592956,,186.8975848911955,,14.974672345979219,172.23561553696516,58.27390739323351,81.84189072623967,37.56417357972766,192.49739594311646,127.07994943074797,64.57964832924499,98.71190617797734,88.65795384484765,,,122.3147402456302,28.064700085701404,,245.00421704534998,26.34941362461188,,86.79379792082572,,88.34819148764767,142.37967269168612,,46.27379705522867,,23.267136900796142,95.02128236235289,31.017509752086994,54.73747028402804,17.168817109622395,107.34909307699053,84.47899244719909,164.70800399261685,110.57221491151266,105.70818992587363,61.19847376149638,34.94039322511784,44.14701407793646,144.2358088110375,13.272426809868877,65.3853414447348,58.04485114765665,24.323727047297115
15,Southampton,81.75142866581854,38,78.22954839883472,,50.01995979904038,,6.880868602243932,208.26638196778026,,99.35416363503923,25.756385538767542,160.18171468286081,58.50153808586499,81.73071060829034,,21.127953282144553,184.9605280397963,22.014062280577015,103.82193497727324,42.81164695197908,,32.018110981011375,24.651417879013422,,41.57301656973076,,52.06446431072379,68.0383448705601,,74.16809377437025,,43.99606568912399,48.682519918119034,85.12219665669609,144.0186833866208,216.2429073997465,139.3249223671717,71.55410200550259,88.45114199895191,44.678789471141556,6.378481922624896,141.09745796846323,9.466395941497415,92.9353052718647,144.0627656192168,145.12784784455593,116.7764444893883,97.68606320361305,34.78135291090412
16,Crystal Palace,76.87463009985657,38,69.44825102962834,,55.68992640760755,,102.21982929549654,26.93609804856885,,55.0444900183561,49.653397398799626,22.08096201036049,13.528015009324216,263.37268329635714,,147.08128971574212,68.08126386583187,128.58997282177478,30.76471815216875,15.88676262159424,,70.85905618753121,114.08231624853926,,32.27271291684568,,139.9101832559702,31.919795803943053,31.146280303951443,22.243166730076535,,65.44935408073516,133.0212905335429,23.96597175141929,19.133684644948683,76.80578336657881,76.24280425451039,31.34824539507562,110.11359391432336,18.978731352657263,124.55559593908262,73.44594386920457,,99.97204327899375,63.83946496589148,15.254157616021269,191.5725482209011,168.0157148484566,138.7098446237385
17,Bournemouth,75.99681852253622,38,23.026250263002236,,76.32247046162595,,24.91416436324691,125.97270786417039,,113.17092814330074,55.53077721159709,82.26414966192884,83.51198299524283,90.6817877233774,96.34082902624142,101.43235138172308,44.0488793446538,,99.18661283215289,150.21098427036975,,51.40662398300469,94.3728501488506,,216.16661541119038,,80.87964767670339,115.90915596787781,,25.2632933192104,,67.72468690607535,24.789091421676662,31.376921657127912,170.47241220255083,84.8118504623387,97.59759617732594,62.39990617419988,64.6611603277312,77.78702053516797,77.01766201122288,68.53132467050544,125.11586647072687,73.1479562575728,21.055509647270217,13.420166582858402,20.056447165635586,11.410947214027656,45.88951592289144
18,Fulham,75.79761331381985,38,115.19580292555982,,126.566658750619,,112.0948856826255,163.85958411324066,68.86388266203721,59.94059588070209,8.3056408384681,19.436984267280184,96.4483133378604,35.957905873860696,,44.25639214416098,,,57.76265727249262,20.054048283124725,,78.45003301232825,18.33203874468166,,133.02265760152395,,32.9434392487352,97.11155933420714,,26.820418439438008,65.44715847395166,113.5459373513686,50.41082003028152,188.1200317613678,76.65337570823715,13.718193679945866,84.1358033814018,193.1586975589497,117.89474927934329,57.51275105273887,32.907038997786316,92.92087817259001,93.14281678670702,28.377310044475507,70.16451149221031,63.426563626448825,158.84854710697715,26.291309596590075,38.209313410837105
19,Nott'm Forest,70.97145528645262,38,40.10128464545081,,36.42995297622807,,187.57505723991315,79.06777102581856,,40.839955091169976,88.8380111693889,54.10109094662557,106.5709298348616,11.529348628230187,21.993987792212973,72.11935036774287,7.261970231443561,,93.25089701576894,31.373417844889303,,35.8902990128811,172.18516572575547,,39.56883510025993,,22.871798175194478,123.38861618164478,,143.6734193309097,,103.84585263594802,91.6881662904194,35.05815956810361,51.049833045170814,118.0791155820021,11.300907023784376,221.50176218266256,21.886932718179697,26.027840569466438,19.742879456401884,102.86997335677879,75.44208724931731,41.21852386703715,107.88356086303678,75.43067803674462,36.70214814866169,136.12434073831972,12.431381216775
20,Wolves,61.54216093358358,38,42.119556664672544,,41.82377394986038,,31.051609312763173,81.77769179072976,,64.70978605385399,30.970671884108086,32.647298507930536,22.091217256057178,23.586068741044233,,18.876526717896184,187.07270485866235,,8.207378672222523,43.774871129832746,79.00554414391294,76.9885335549187,74.33984094685448,,25.63041941725982,,166.3572183851354,60.20340360677211,,54.006798936945074,,43.360510850119425,57.29574526143878,47.85376195193147,43.39052672330666,53.0083879900344,39.403396051474154,135.71953338061596,75.1235448645553,36.862944472714226,57.61521833347984,35.54876361934255,33.575946048741734,97.0590735579332,110.73081166975018,91.30382247662854,60.36490464808997,68.19715939045751,86.94714965412975
